Category,Composition/property,Group,N,Mean,SD,95% CI Lower,95% CI Upper,Number of Outliers
RDKit,num_nonaromatic_rings,BBB-,71,0.6056338028169014,0.4921925650868372,-0.3590636247532995,1.5703312303871022,0
RDKit,num_nonaromatic_rings,BBB+,76,0.6578947368421053,0.4775669329409194,-0.2781364517220966,1.5939259254063072,0
RDKit,flexibility,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,flexibility,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_total,BBB-,71,0.323943661971831,0.471309661242674,-0.5998232740638101,1.247710598007472,0
RDKit,num_5_rings_total,BBB+,76,0.3289473684210526,0.4729526514634587,-0.5980398284473264,1.2559345652894316,0
RDKit,wiener_index,BBB-,71,1681.5915492957747,5901.318243960327,-9884.992208866464,13248.175307458016,2
RDKit,wiener_index,BBB+,76,246.1578947368421,119.49259978554645,11.952399157171072,480.3633903165131,2
RDKit,num_8_rings_nonaromatic,BBB-,71,0.0140845070422535,0.1186781658193853,-0.2185246979637417,0.2466937120482487,1
RDKit,num_8_rings_nonaromatic,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,bond_count_triple,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,bond_count_triple,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,z_isomers,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,z_isomers,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_c,BBB-,71,5.943661971830986,5.070608089607235,-3.994729883799195,15.882053827461167,2
RDKit,atom_count_c,BBB+,76,4.723684210526316,1.150057206815108,2.4695720851687044,6.9777963358839274,6
RDKit,num_5_rings_nonaromatic,BBB-,71,0.1690140845070422,0.3774317532617273,-0.5707521518859432,0.9087803209000276,12
RDKit,num_5_rings_nonaromatic,BBB+,76,0.2894736842105263,0.4565315461516093,-0.6053281462466279,1.1842755146676804,0
RDKit,bond_count_aromatic,BBB-,71,0.943661971830986,2.0134357554308715,-3.002672108813522,4.889996052475494,13
RDKit,bond_count_aromatic,BBB+,76,0.2763157894736842,1.1843274796049312,-2.044966070551981,2.5975976494993493,4
RDKit,num_6_rings_nonaromatic,BBB-,71,0.3661971830985915,0.4851932345458813,-0.5847815566113359,1.317175922808519,0
RDKit,num_6_rings_nonaromatic,BBB+,76,0.3421052631578947,0.4775669329409194,-0.5939259254063072,1.2781364517220968,0
RDKit,num_6_rings_aromatic,BBB-,71,0.028169014084507,0.1666331287517146,-0.2984319182688537,0.3547699464378678,2
RDKit,num_6_rings_aromatic,BBB+,76,0.0131578947368421,0.1147078669352809,-0.2116695244563085,0.2379853139299926,1
RDKit,num_4_rings_total,BBB-,71,0.056338028169014,0.2322144294558047,-0.3988022535643633,0.5114783099023914,4
RDKit,num_4_rings_total,BBB+,76,0.0263157894736842,0.1611363158344566,-0.2895113895618508,0.3421429685092192,2
RDKit,atom_count_b,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_b,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,r_isomers,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,r_isomers,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_li,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_li,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_p,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_p,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_br,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_br,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_nonaromatic,BBB-,71,0.056338028169014,0.2322144294558047,-0.3988022535643633,0.5114783099023914,4
RDKit,num_4_rings_nonaromatic,BBB+,76,0.0263157894736842,0.1611363158344566,-0.2895113895618508,0.3421429685092192,2
RDKit,hbond_donors,BBB-,71,0.5915492957746479,1.3688103780679923,-2.091319045238617,3.2744176367879128,2
RDKit,hbond_donors,BBB+,76,0.5394736842105263,0.6205543644985874,-0.6768128702067049,1.7557602386277575,5
RDKit,logp,BBB-,71,1.1666929577464793,1.7891871187237078,-2.340113794951988,4.673499710444947,2
RDKit,logp,BBB+,76,0.904534210526316,0.8139233404611079,-0.6907555367774556,2.4998239578300874,1
RDKit,atom_count_o,BBB-,71,0.4647887323943662,0.5814018997338111,-0.6747589910839034,1.6043364558726358,3
RDKit,atom_count_o,BBB+,76,0.2763157894736842,0.5561458851902396,-0.8137301454991852,1.3663617244465538,4
RDKit,e_isomers,BBB-,71,0.028169014084507,0.2373563316387706,-0.4370493959274834,0.4933874240964975,1
RDKit,e_isomers,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,num_8_rings_total,BBB-,71,0.0140845070422535,0.1186781658193853,-0.2185246979637417,0.2466937120482487,1
RDKit,num_8_rings_total,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_aromatic,BBB-,71,0.1549295774647887,0.3644129260661655,-0.5593197576248956,0.8691789125544731,11
RDKit,num_5_rings_aromatic,BBB+,76,0.0394736842105263,0.1960128889424849,-0.3447115781167442,0.4236589465377969,3
RDKit,num_aromatic_rings,BBB-,71,0.1830985915492957,0.3895000148516255,-0.5803214375598902,0.9465186206584816,13
RDKit,num_aromatic_rings,BBB+,76,0.0526315789473684,0.2247805947796065,-0.3879383868206604,0.4932015447153973,4
RDKit,heavy_atoms,BBB-,71,7.492957746478873,5.518470904767059,-3.3232452268645636,18.30916071982231,3
RDKit,heavy_atoms,BBB+,76,5.907894736842105,0.8513147726342256,4.239317782479024,7.576471691205187,2
RDKit,bond_count_double,BBB-,71,0.704225352112676,1.100576033554158,-1.4529036736534735,2.8613543778788255,3
RDKit,bond_count_double,BBB+,76,1.144736842105263,0.9048601714212872,-0.6287890938804599,2.9182627780909858,5
RDKit,hbond_acceptors,BBB-,71,1.4507042253521127,1.422158644901337,-1.3367267186545078,4.238135169358733,2
RDKit,hbond_acceptors,BBB+,76,1.1710526315789471,0.7726691037304708,-0.3433788117327754,2.6854840748906703,1
RDKit,atom_count_h,BBB-,71,10.577464788732394,9.85416804030658,-8.736704570268502,29.891634147733292,3
RDKit,atom_count_h,BBB+,76,7.697368421052632,2.1788054026131247,3.4269098319309075,11.967827010174355,4
RDKit,atom_count_cl,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_cl,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,num_total_rings,BBB-,71,0.7887323943661971,0.411113225896519,-0.01704952839098,1.5945143171233744,0
RDKit,num_total_rings,BBB+,76,0.7105263157894737,0.4565315461516093,-0.1842755146676806,1.605328146246628,0
RDKit,bond_count_single,BBB-,71,5.845070422535211,5.736220476246765,-5.397921710908448,17.08806255597887,3
RDKit,bond_count_single,BBB+,76,4.4868421052631575,1.3807574834380496,1.7805574377245803,7.193126772801735,4
RDKit,atom_stereo,BBB-,71,0.028169014084507,0.2373563316387706,-0.4370493959274834,0.4933874240964975,1
RDKit,atom_stereo,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,total_chiral_centers,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,total_chiral_centers,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_s,BBB-,71,0.1549295774647887,0.4017066208758989,-0.6324153994519731,0.9422745543815506,10
RDKit,atom_count_s,BBB+,76,0.131578947368421,0.3774336237683086,-0.6081909552174639,0.871348849954306,9
RDKit,mw,BBB-,71,107.47628169014084,76.68108180773949,-42.81863865302854,257.77120203331026,3
RDKit,mw,BBB+,76,84.00909210526315,12.80823257771098,58.90495625294963,109.11322795757668,4
RDKit,num_8_rings_aromatic,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,num_8_rings_aromatic,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_f,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_f,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_aromatic,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_aromatic,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,atom_count_i,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,atom_count_i,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,eccentric_connectivity,BBB-,71,256.07042253521126,527.9908636640184,-778.7916702462649,1290.9325153166874,2
RDKit,eccentric_connectivity,BBB+,76,107.38157894736842,31.6745816516496,45.29939891013521,169.46375898460164,2
RDKit,s_isomers,BBB-,71,0.0,0.0,0.0,0.0,0
RDKit,s_isomers,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,charge,BBB-,71,0.0704225352112676,0.2576788511734176,-0.4346280130886308,0.5754730835111661,5
RDKit,charge,BBB+,76,0.0,0.0,0.0,0.0,0
RDKit,tpsa,BBB-,71,16.395915492957748,17.515837125907744,-17.935125273821427,50.72695625973692,3
RDKit,tpsa,BBB+,76,12.058947368421054,8.740067822612113,-5.071585563898688,29.189480300740797,0
RDKit,atom_count_n,BBB-,71,0.9295774647887324,1.4863564623599532,-1.983681201436776,3.842836131014241,3
RDKit,atom_count_n,BBB+,76,0.7763157894736842,0.7411465749863755,-0.6763314974996116,2.22896307644698,0
RDKit,num_6_rings_total,BBB-,71,0.3943661971830985,0.4921925650868372,-0.5703312303871024,1.3590636247532994,0
RDKit,num_6_rings_total,BBB+,76,0.3552631578947368,0.4817730411281797,-0.5890120027164955,1.2995383185059692,0
