Category,Composition/property,Group,N,Mean,SD,95% CI Lower,95% CI Upper,Number of Outliers
RDKit,num_nonaromatic_rings,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_nonaromatic_rings,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,flexibility,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,flexibility,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_total,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_total,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,wiener_index,BBB-,31,43.61290322580645,48.10383035293193,-50.67060426594013,137.896410717553,1
RDKit,wiener_index,BBB+,13,32.53846153846154,57.872871284991824,-80.89236618012242,145.96928925704552,1
RDKit,num_8_rings_nonaromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_8_rings_nonaromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,bond_count_triple,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,bond_count_triple,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,z_isomers,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,z_isomers,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,atom_count_c,BBB-,31,1.0,1.1547005383792517,-1.263213055223333,3.263213055223333,0
RDKit,atom_count_c,BBB+,13,0.8461538461538461,0.898717034272917,-0.9153315410210712,2.6076392333287637,1
RDKit,num_5_rings_nonaromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_5_rings_nonaromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,bond_count_aromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,bond_count_aromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_6_rings_nonaromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_6_rings_nonaromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_6_rings_aromatic,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_6_rings_aromatic,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_total,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,num_4_rings_total,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,atom_count_b,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,atom_count_b,BBB+,13,0.0,0.0,0.0,0.0,0
RDKit,r_isomers,BBB-,31,0.0,0.0,0.0,0.0,0
RDKit,r_isomers,BBB+,13,0.0,0.0,0.0,0.0,0
