File,Data Source (Training),Data Source (Evaluation),Balancing,KNN,SN,SP,AUC,MCC,F1
predictions/evaluation-single/avg_none.csv,avg,avg,none,no,0.851,0.918,0.959,0.77,0.854
predictions/evaluation-single/avg_smote.csv,,,,,0.833,0.929,0.958,0.77,0.852
predictions/evaluation-single/avg_smoteenn.csv,,,,,0.796,0.915,0.935,0.721,0.819
predictions/evaluation-single/avg_smotetomek.csv,,,,,0.83,0.928,0.957,0.766,0.849
predictions/evaluation-single/both_none.csv,,,,,0.851,0.91,0.955,0.76,0.848
predictions/evaluation-single/both_smote.csv,,,,,0.844,0.929,0.956,0.779,0.858
predictions/evaluation-single/both_smoteenn.csv,,,,,0.819,0.92,0.936,0.747,0.837
predictions/evaluation-single/both_smotetomek.csv,,,,,0.83,0.935,0.955,0.776,0.855
predictions/evaluation-single/knn_avg_none.csv,,,,,0.851,0.918,0.959,0.77,0.854
predictions/evaluation-single/knn_avg_smote.csv,,,,,0.833,0.929,0.958,0.77,0.852
predictions/evaluation-single/knn_avg_smoteenn.csv,,,,,0.796,0.915,0.935,0.721,0.819
predictions/evaluation-single/knn_avg_smotetomek.csv,,,,,0.83,0.928,0.957,0.766,0.849
predictions/evaluation-single/knn_both_none.csv,,,,,0.851,0.91,0.955,0.76,0.848
predictions/evaluation-single/knn_both_smote.csv,,,,,0.844,0.929,0.956,0.779,0.858
predictions/evaluation-single/knn_pubchem-else-rdkit_none.csv,,,,,0.849,0.919,0.951,0.77,0.854
predictions/evaluation-single/knn_pubchem-else-rdkit_smote.csv,,,,,0.837,0.932,0.959,0.777,0.856
predictions/evaluation-single/knn_pubchem-else-rdkit_smoteenn.csv,,,,,0.791,0.912,0.934,0.713,0.814
predictions/evaluation-single/knn_pubchem-else-rdkit_smotetomek.csv,,,,,0.83,0.934,0.957,0.774,0.854
predictions/evaluation-single/knn_pubchem-only_none.csv,,,,,0.851,0.915,0.951,0.766,0.852
predictions/evaluation-single/knn_pubchem-only_smote.csv,,,,,0.828,0.938,0.952,0.777,0.855
predictions/evaluation-single/knn_pubchem-only_smoteenn.csv,,,,,0.765,0.926,0.924,0.71,0.808
predictions/evaluation-single/knn_pubchem-only_smotetomek.csv,,,,,0.809,0.935,0.951,0.758,0.842
predictions/evaluation-single/knn_rdkit-only_none.csv,,,,,0.861,0.915,0.958,0.775,0.858
predictions/evaluation-single/knn_rdkit-only_smote.csv,,,,,0.835,0.93,0.957,0.773,0.854
predictions/evaluation-single/knn_rdkit-only_smoteenn.csv,,,,,0.804,0.919,0.937,0.732,0.827
predictions/evaluation-single/knn_rdkit-only_smotetomek.csv,,,,,0.835,0.926,0.957,0.768,0.851
predictions/evaluation-single/pubchem-else-rdkit_none.csv,,,,,0.849,0.919,0.951,0.77,0.854
predictions/evaluation-single/pubchem-else-rdkit_smote.csv,,,,,0.837,0.932,0.959,0.777,0.856
predictions/evaluation-single/pubchem-else-rdkit_smoteenn.csv,,,,,0.791,0.912,0.934,0.713,0.814
predictions/evaluation-single/pubchem-else-rdkit_smotetomek.csv,,,,,0.83,0.934,0.957,0.774,0.854
predictions/evaluation-single/pubchem-only_none.csv,,,,,0.851,0.915,0.951,0.766,0.852
predictions/evaluation-single/pubchem-only_smote.csv,,,,,0.828,0.938,0.952,0.777,0.855
predictions/evaluation-single/pubchem-only_smoteenn.csv,,,,,0.765,0.926,0.924,0.71,0.808
predictions/evaluation-single/pubchem-only_smotetomek.csv,,,,,0.809,0.935,0.951,0.758,0.842
predictions/evaluation-single/rdkit-only-pred_avg_none.csv,,,,,0.847,0.923,0.957,0.774,0.856
predictions/evaluation-single/rdkit-only-pred_avg_smote.csv,,,,,0.823,0.934,0.956,0.769,0.85
predictions/evaluation-single/rdkit-only-pred_avg_smoteenn.csv,,,,,0.793,0.921,0.935,0.726,0.822
predictions/evaluation-single/rdkit-only-pred_avg_smotetomek.csv,,,,,0.826,0.938,0.956,0.776,0.854
predictions/evaluation-single/rdkit-only-pred_both_none.csv,,,,,0.814,0.918,0.948,0.74,0.832
predictions/evaluation-single/rdkit-only-pred_both_smote.csv,,,,,0.805,0.925,0.95,0.742,0.832
predictions/evaluation-single/rdkit-only-pred_both_smoteenn.csv,,,,,0.675,0.96,0.931,0.687,0.774
predictions/evaluation-single/rdkit-only-pred_both_smotetomek.csv,,,,,0.747,0.946,0.95,0.723,0.811
predictions/evaluation-single/rdkit-only-pred_knn_avg_none.csv,,,,,0.847,0.923,0.957,0.774,0.856
predictions/evaluation-single/rdkit-only-pred_knn_avg_smote.csv,,,,,0.823,0.934,0.956,0.769,0.85
predictions/evaluation-single/rdkit-only-pred_knn_avg_smoteenn.csv,,,,,0.793,0.921,0.935,0.726,0.822
predictions/evaluation-single/rdkit-only-pred_knn_avg_smotetomek.csv,,,,,0.826,0.938,0.956,0.776,0.854
predictions/evaluation-single/rdkit-only-pred_knn_both_none.csv,,,,,0.814,0.918,0.948,0.74,0.832
predictions/evaluation-single/rdkit-only-pred_knn_both_smote.csv,,,,,0.805,0.925,0.95,0.742,0.832
predictions/evaluation-single/rdkit-only-pred_knn_both_smoteenn.csv,,,,,0.675,0.96,0.931,0.687,0.774
predictions/evaluation-single/rdkit-only-pred_knn_both_smotetomek.csv,,,,,0.747,0.946,0.95,0.723,0.811
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-else-rdkit_none.csv,,,,,0.825,0.924,0.949,0.756,0.843
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-else-rdkit_smote.csv,,,,,0.811,0.942,0.957,0.768,0.848
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-else-rdkit_smoteenn.csv,,,,,0.763,0.922,0.935,0.703,0.804
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-else-rdkit_smotetomek.csv,,,,,0.809,0.941,0.956,0.765,0.846
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-only_none.csv,,,,,0.844,0.918,0.956,0.765,0.85
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-only_smote.csv,,,,,0.832,0.934,0.957,0.776,0.855
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-only_smoteenn.csv,,,,,0.802,0.92,0.935,0.732,0.826
predictions/evaluation-single/rdkit-only-pred_knn_pubchem-only_smotetomek.csv,,,,,0.809,0.935,0.957,0.758,0.842
predictions/evaluation-single/rdkit-only-pred_knn_rdkit-only_none.csv,,,,,0.861,0.915,0.958,0.775,0.858
predictions/evaluation-single/rdkit-only-pred_knn_rdkit-only_smote.csv,,,,,0.835,0.93,0.957,0.773,0.854
predictions/evaluation-single/rdkit-only-pred_knn_rdkit-only_smoteenn.csv,,,,,0.804,0.919,0.937,0.732,0.827
