"'LogP': entry.get('LogP_PubChem', np.nan) 
                if not pd.isna(entry.get('LogP_PubChem', np.nan)) 
                else entry.get('LogP_RDKit', np.nan),
            'Flexibility': entry.get('Flexibility_PubChem', np.nan) 
                if not pd.isna(entry.get('Flexibility_PubChem', np.nan)) 
                else entry.get('Flexibility_RDKit', np.nan),
            'HBA': entry.get('HBA_PubChem', np.nan) 
                if not pd.isna(entry.get('HBA_PubChem', np.nan)) 
                else entry.get('HBA_RDKit', np.nan),
            'HBD': entry.get('HBD_PubChem', np.nan) 
                if not pd.isna(entry.get('HBD_PubChem', np.nan)) 
                else entry.get('HBD_RDKit', np.nan),
            'TPSA': entry.get('TPSA_PubChem', np.nan) 
                if not pd.isna(entry.get('TPSA_PubChem', np.nan)) 
                else entry.get('TPSA_RDKit', np.nan),
            'Charge': entry.get('Charge_PubChem', np.nan) 
                if not pd.isna(entry.get('Charge_PubChem', np.nan)) 
                else entry.get('Charge_RDKit', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_PubChem', np.nan) 
                if not pd.isna(entry.get('AtomStereo_PubChem', np.nan)) 
                else entry.get('AtomStereo_RDKit', np.nan),'LogP': entry.get('LogP_PubChem', np.nan),
            'Flexibility': entry.get('Flexibility_PubChem', np.nan),
            'HBA': entry.get('HBA_PubChem', np.nan),
            'HBD': entry.get('HBD_PubChem', np.nan),
            'TPSA': entry.get('TPSA_PubChem', np.nan),
            'Charge': entry.get('Charge_PubChem', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_PubChem', np.nan),LogP",Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.027278993,-0.227918,0.024260262,0.2615013,0.58067113,0.047657456,0.12583016,-0.28917128,-0.125332,-0.20804726,0.022132665,-0.09647943,0.0037475647,0.04894412,-0.009475058,0.010164234,-0.022704158,-0.0073042484,0.00045978389,0.0058820825,0.0005922965,-0.0,-0.0,-0.104840495,-0.0070989616,0.006216241,0.0116383135,-0.11935154,-0.04976768,-0.013658235,-0.008015461,0.00056762353,-0.0,0.007051458,0.0018413401,0.012842196,-0.024985733,-0.0066630556,-0.0018998177,-0.050249614,-0.03157252,-0.0,-0.0002320802,-9.272446e-05,0.00912212,-0.117227264,-0.1292588
0.20863365,-0.043570135,0.12768118,0.38670507,1.5744822,0.07138491,0.10951188,0.101015136,-0.042505916,0.096743934,0.06225916,0.052622125,0.052708488,0.089492016,0.24474347,0.018733637,-0.0256615,0.110365964,-0.01854611,0.0050136526,0.0008971199,-0.0,-0.0,0.070284136,0.019075673,0.011226286,0.05696421,0.37409663,0.26298755,0.041024156,-0.0041245595,0.000554047,-0.0,0.009945045,0.0029426566,0.032583274,-0.022319887,-0.0006937596,0.021661242,-0.060159802,-0.027687483,-0.0,-0.00022408014,-9.561857e-05,0.009434447,-0.1647536,-0.001762015
0.018168483,-0.14139172,0.10223234,0.18979754,0.2650253,0.037744984,-0.14679618,0.06347403,0.031575702,0.092622116,0.0779039,0.027816968,0.08995552,-0.04331961,-0.16534665,0.016846139,0.28847852,0.08839506,0.00039828828,0.004040573,0.00017125544,-0.0,-0.0,0.094349205,-0.052689068,0.010361374,0.001885959,-0.34221607,-0.12480153,-0.011562065,-0.0037996229,0.0004527454,-0.0,0.009485073,0.004148975,0.012279447,0.12315179,0.02602634,-0.029545143,0.13843039,0.03812877,-0.0,-0.0001946743,-9.1235364e-05,0.01838568,0.18333465,0.010020016
0.32488164,-0.0461059,0.20297657,0.4239321,1.1482469,0.05571887,0.056758016,0.015629616,-0.17760642,0.1744025,0.045842532,0.04998546,0.032582406,0.16292125,0.28386137,0.012504921,-0.014381608,-0.0061257905,0.00031944102,0.005029682,0.0010738645,-0.0,-0.0,-0.01970877,0.06312914,0.015699392,-0.013977756,-0.23686509,-0.0725209,0.009016565,-0.004570069,0.00042312618,-0.0,0.0062858053,0.0017620756,0.030839952,0.02347971,0.019807495,-0.012135061,-0.078970194,0.13293923,-0.0,-0.0002276845,-9.454465e-05,-0.06122241,0.024373477,0.047371835
0.12474154,-0.09971186,0.032567505,-0.075963914,0.2538088,0.0422556,0.090313725,-0.008100369,0.009938264,0.07718647,0.06686057,0.051044364,-0.0008148639,0.12209277,0.004109038,0.024313571,-0.027682375,0.16349143,0.0004011165,0.005327409,9.203813e-05,-0.0,-0.0,-0.062093895,-0.005622384,0.009088352,0.03274311,-0.18277432,-0.05306209,-0.016152006,-0.008521008,0.00032607233,-0.0,0.007977258,0.0024876585,0.008873098,-0.0145276105,-0.010930219,0.013602096,-0.06142122,-0.028609226,-0.0,-0.00030912328,-0.000112250964,0.01973632,-0.07189196,-0.05465821
0.121948674,0.61836374,0.09684237,-0.053748935,0.9095175,0.039680213,-0.05300433,-0.11584826,0.36384815,0.19236745,0.2980778,0.02418442,0.08678708,0.058015186,0.03964566,0.033082813,-0.020709107,-0.025422981,-8.918323e-06,0.0057247696,0.0008399945,-0.0,-0.0,0.050145186,0.064134695,0.008411868,0.012672741,-0.2853936,-0.07277564,-0.00037888705,-0.0064216857,0.00022587129,-0.0,0.006872047,0.0015215995,0.013281361,0.05958115,0.04601489,0.019117625,0.008850028,-0.033458583,-0.0,-0.00019847823,-9.764432e-05,0.016768616,-0.0059945113,-0.031509794
0.37771982,0.068147235,0.09312431,0.26923037,1.8815656,0.08354543,0.13475884,-0.0025754045,-0.023863519,0.32446504,0.1214122,0.025817804,0.11313148,0.14637919,0.0069119954,0.014795665,-0.032052867,0.0015957353,0.0005280613,0.0047038794,0.0010791476,-0.0,-0.0,0.06753048,0.057525348,0.0132199135,0.042717956,0.3755543,0.13802578,0.039095383,-0.0035855076,0.00065834593,-0.0,0.008668725,0.0030327998,0.029721944,-0.0042415955,0.00214893,0.01907051,-0.06267789,-0.049268577,-0.0,-0.0002714268,-9.9944016e-05,0.0048827785,0.045916874,0.016346456
0.17050019,-0.053193476,0.11639015,0.24641746,1.4735636,0.07429949,0.14506838,0.06128526,0.025078692,0.061723832,0.18097402,0.07657856,0.050645314,0.07608236,0.07821691,0.011266704,-0.023328345,0.0010316996,0.0007813958,0.0049324958,0.0010869583,-0.0,-0.0,0.07207507,-0.028079143,0.008392524,0.03346713,0.41687396,-0.06759724,0.16704997,-0.007934808,0.00035788916,-0.0,0.009438138,0.0024665922,0.020038314,-0.008823609,0.0027566853,0.016471658,0.05658241,-0.023444783,-0.0,-0.00029756883,-9.7816075e-05,0.018310683,0.054365847,-0.015249901
0.39443666,0.01839142,0.1232987,0.48375967,1.4818045,0.06944443,0.13316956,0.1366298,0.1299016,0.35562563,0.17364928,0.048959624,0.038335383,0.14991122,0.22450612,-0.039356463,-0.029143259,-0.00445823,0.00046424032,0.0049868557,0.0010454191,-0.0,-0.0,0.03792133,0.032554764,0.0120250145,0.06077812,0.29664847,0.17269753,0.05105713,-0.0045409515,0.0005846575,-0.0,0.010739707,0.0030913532,0.021483809,-0.0016874701,-0.0072763474,0.023682112,-0.055295285,-0.026813775,-0.0,-0.0002804391,-0.000114578936,0.010221919,-0.121946655,-0.0055045015
-0.3501894,-0.032882724,-0.23773089,-0.060138248,-1.6131321,0.01605453,-0.24395037,-0.0124056,-0.1789057,-0.086186625,-0.1366757,0.046577625,0.04447678,-0.03161601,0.016616387,0.16222219,-0.018380582,-0.006380884,0.0005537938,0.003033928,8.103905e-05,-0.0,-0.0,0.020155387,-0.050108995,0.00093078293,-0.032765914,0.17752074,0.05837044,0.065451294,-0.017926749,0.002695351,-0.0,-0.14923157,-0.066176035,0.0018147284,0.060843684,-0.021220706,-0.0019191479,-0.060354706,-0.0770811,-0.0,-0.0024926027,-0.0017757665,0.006199195,0.10643448,-0.06559523
0.26464203,-0.024591913,0.09636628,0.29157606,0.7150266,0.054414,0.11140577,0.07919307,-0.04442987,0.1786615,0.05915691,0.10016544,0.06975254,0.19558828,0.1911382,0.012662232,0.27558753,0.00038179554,0.00020507516,0.0042993566,0.00042035707,-0.0,-0.0,0.054541826,0.04496448,0.014193811,0.08566102,-0.13176867,-0.030328635,-0.0030897046,9.756242e-05,0.00047300608,-0.0,0.0066671455,0.0025122017,0.023510873,0.022113124,0.012232252,0.016227804,0.037819184,0.041752163,-0.0,-0.00023552004,-0.000114578936,0.014700259,0.054754153,0.14923564
0.18184417,0.031029478,0.22392732,0.28517205,0.45361617,0.034045596,0.045207284,0.034704436,0.02565564,0.024727393,0.10933006,0.07826971,0.044012602,0.1386469,0.14272813,0.018962312,0.24164969,0.10690554,0.0002846443,0.004854841,0.00041091058,-0.0,-0.0,0.03889966,0.05353894,-0.13341087,0.07831362,-0.2044156,-0.045980472,-0.003513235,-0.0077408087,0.0003162208,-0.0,0.007582294,0.002478691,0.028056405,-0.02095848,-0.008619203,0.008372649,0.010086945,-0.008712598,-0.0,-0.00022650021,-9.9944016e-05,0.02172793,-0.055912342,0.010246073
-0.6868264,-0.06065446,0.07952059,-0.058587875,-0.36005384,0.028811717,0.06860695,-0.042779185,0.14698592,-0.06036368,0.24015908,-0.060488172,-0.08856275,0.048346594,-0.08363057,0.016126916,-0.018149272,-0.030095432,0.00030334957,0.004306034,0.0004282278,-0.0,-0.0,-0.1986148,-0.013580535,0.007813039,-0.073396005,0.4458314,0.27220085,0.035990622,-0.008410051,0.00066211075,-0.0,0.011307281,0.0070144325,0.014518787,-0.0014174941,0.009859819,-0.04946191,0.00013618424,-0.06284535,-0.0,-0.0002539733,-9.896675e-05,0.009985052,-0.04402192,-0.013394672
-0.10702489,0.049881533,-0.21706359,-0.33078837,-1.42386,0.011735635,0.13142294,-0.0632561,-0.17702891,0.12492462,-0.0528273,0.0014619532,-0.059641525,0.03730581,0.04981121,-0.13085349,-0.015996562,-0.00872681,0.00014551618,0.0031546808,6.476883e-05,-0.0,-0.0,0.01402803,0.058254756,0.0025828888,0.0056864065,0.24186046,-0.04524557,-0.10981342,0.352023,0.009270822,-0.0,-0.1043404,-0.03791515,0.0137507515,-0.0013024226,0.028824069,-0.03331201,0.06350344,-0.038180176,-0.0,-0.0018426864,-0.0007237386,0.011910566,0.03227547,-0.018858451
0.07318328,0.091395035,0.10840869,0.24353868,1.0852822,0.06387227,0.05242582,0.09606838,0.3743034,0.103030674,0.23674409,0.19339149,0.057801496,-0.02709181,0.07545637,0.022663638,-0.025816906,0.17318898,0.00030121388,0.0046981284,0.0011771788,-0.0,-0.0,-0.02583064,0.024168089,0.011305942,0.040592916,0.50144994,0.2149865,0.055086877,-0.006946991,0.00053716224,-0.0,0.013308651,0.0061105806,0.027405936,0.0045835455,0.01967801,0.010742469,0.021485362,-0.04505901,-0.0,-0.00021014774,-0.00010214153,0.012046774,0.025865687,-0.044197798
-0.059041005,0.073361106,-0.27825615,-0.2068771,-1.6809709,0.016889209,-0.06983247,-0.08661381,-0.2940659,0.047124792,-0.118687,-0.004252989,0.03368704,-0.089345686,-0.041551713,0.08244429,-0.015541181,-0.0068498864,0.0002594491,0.0032087828,0.0001182434,-0.0,-0.0,0.048456267,0.00957448,0.0023121312,-0.010336037,0.25987148,0.09705351,0.15688749,0.16258924,0.0043374323,-0.0,-0.114206776,-0.048525456,0.0010318129,-0.0089875255,0.014944692,-0.02444764,0.1502345,0.04304182,-0.0,-0.0016968464,-0.00060030166,0.0051368186,0.13245068,-0.05338638
0.24813862,-0.004395091,0.14751865,0.31260043,0.48359883,0.04576048,0.111024216,0.056026448,-0.05553612,0.1453159,0.057260156,0.042193368,0.058599487,0.22223002,0.12814306,0.006859244,-0.021926519,0.00042298753,0.00029854686,0.0040564556,0.00025093355,-0.0,-0.0,0.058450438,0.069833696,-0.1582591,-0.08131929,-0.21700986,-0.10915291,-0.011575275,-0.0070417007,0.00039987866,-0.0,0.025015531,0.003625463,0.018822104,-0.015025532,-0.0046672085,-0.015131436,0.04402381,0.07411353,-0.0,-0.00022599903,-0.00011033436,-0.032100376,-0.002832888,0.06016519
0.17630516,0.087511815,0.08152533,0.2812114,1.5100344,0.063053675,0.1649797,0.10085921,0.023249311,0.059415516,-0.07328542,0.013202184,0.057993677,0.13470553,0.12270054,0.019653045,-0.018947186,-0.013598324,0.00073091435,0.0043079997,0.000882812,-0.0,-0.0,0.019694153,0.06185692,0.010552213,-0.0012155483,0.24316451,-0.05246142,0.052537248,-0.0043123676,0.0005705177,-0.0,0.008327197,0.0032706228,0.014014295,0.08757352,0.0069359588,0.0117432205,0.033584673,-0.068113856,-0.0,-0.00034517658,-0.00011272542,0.016384434,0.112586215,0.07338826
0.37000272,-0.035355754,0.08899534,0.40129384,1.6044556,0.07247158,0.21679538,-0.07311218,0.45300737,-0.101391256,0.27587193,-0.0070936196,0.0849644,0.18451849,0.063442476,0.017626856,-0.010770932,0.03321957,0.000682189,0.005922457,0.0016023599,-0.0,-0.0,-0.050824996,0.026087645,0.00883679,0.03473558,-0.22825214,-0.05497054,-0.017415358,-0.0041899895,0.00029203304,-0.0,0.0073196096,0.0022370215,0.02509352,0.0005175516,0.010009125,0.019913413,-0.048946213,-0.033721797,-0.0,-0.00019268738,-9.272446e-05,0.015931325,-0.0635644,-0.08256769
0.33770403,-0.014437601,0.20817944,0.30842692,0.74861705,0.05358045,0.10790199,0.065467514,0.102675475,-0.022928048,-0.1347453,0.05241213,0.07435613,0.23992401,0.24699703,0.009115951,-0.02236807,0.0039795074,0.00040378084,0.004548525,0.00042372153,-0.0,-0.0,0.029783722,0.09839709,0.012884676,0.041146234,-0.09611409,-0.041952975,0.008984585,-0.0055698943,0.0004997867,-0.0,0.0058776285,0.0022672936,0.027378637,-0.016118558,0.004489144,0.018508228,0.07734262,0.12733616,-0.0,-0.00027912686,-0.000114578936,0.015885066,0.048444506,0.13953644
