LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.02122373,-0.24289262,-0.015106587,0.39707422,0.4789258,0.04843303,0.100411884,-0.2076149,-0.12335948,-0.13210025,-0.04985518,-0.045381505,-0.0064779874,0.019744506,-0.021958962,0.005373917,-0.01104942,-0.005054974,0.00016288969,0.005772047,0.00047612394,-0.0,-0.0,-0.16780764,-0.020451302,0.0076589957,-0.004713634,-0.08290399,-0.062087037,-0.017802166,-0.010000749,0.000985314,-0.0,0.008657245,0.0039815153,0.04466708,-0.035844073,0.003639099,-0.0027464367,-0.051211067,-0.058279432,-0.0,-0.00026460396,-0.00011436162,0.015081304,-0.083749,-0.17704666
0.23358287,-0.021415269,0.099114135,0.50772065,1.4467894,0.07772385,0.11059063,0.05788407,-0.07714135,0.07678585,0.0979191,0.040477086,0.06340648,0.12053872,0.26707655,0.037204485,-0.013629415,0.10390482,-0.008706958,0.005412304,0.00046817923,-0.0,-0.0,0.051873647,0.021321297,0.008961767,0.02304993,0.42733112,0.28464612,0.0653197,-0.005986769,0.002735249,-0.0,0.012312089,0.005394595,0.064523146,-0.019364784,0.0063000335,0.022800503,-0.07903916,-0.009295849,-0.0,-0.0002584227,-0.00010851426,0.032918237,-0.104341894,0.00065656175
0.05794558,-0.18848513,0.09999659,0.24356651,0.26236072,0.04713704,-0.06325227,0.085814565,-0.039470684,0.07544513,0.068650156,-0.018417258,0.14247805,-0.023434294,-0.15462014,0.019989163,0.17011443,0.0695582,0.00054009445,0.0042152368,0.0003140089,-0.0,-0.0,0.10016071,-0.02806506,0.013946426,-0.0007727556,-0.24815322,-0.11635526,-0.0049625896,-0.008090442,0.0019142603,-0.0,0.011829289,0.0047971653,0.039189734,0.15782708,0.04756103,-0.043432444,0.21421026,0.1029341,-0.0,-0.00020096292,-0.00010055454,0.011488033,0.18266854,0.031962153
0.24676463,-0.032439884,0.14883034,0.64726394,0.6046565,0.051233508,0.084264755,0.049559396,-0.17763852,0.11608671,0.06508187,0.027625205,0.01900044,0.18276921,0.29338259,0.023610473,-0.011376913,-0.009793518,0.00043573018,0.0049358145,6.6793844e-05,-0.0,-0.0,0.024251133,0.06953359,0.018634789,-0.024862668,-0.16585231,-0.07417966,0.016505882,-0.008460678,0.001223066,-0.0,0.009185822,0.004741301,0.05459499,0.04729946,0.059862245,0.022016676,-0.13764602,0.14919226,-0.0,-0.00026525263,-0.0001155184,-0.032721646,0.0015476715,0.06441445
0.06360665,-0.09726282,0.0011397236,-0.00977162,0.31728217,0.04149976,0.1224016,-0.028418774,-0.017776152,0.030465983,0.10217201,0.099086896,0.01651929,0.055589255,0.04013282,0.030267073,-0.01520338,0.2023087,0.0002239439,0.0055385665,-2.6132147e-05,-0.0,-0.0,-0.08213494,-0.019473571,0.010792485,0.0172925,-0.15004058,-0.06498269,-0.019017378,-0.011970865,0.0013034245,-0.0,0.0113541335,0.004303334,0.028219212,-0.0071148,-0.0039235353,0.023899278,-0.06836073,-0.018695364,-0.0,-0.00029023722,-0.00012368191,0.016530585,-0.051708963,-0.1089309
0.14874147,0.5677958,0.0539332,-0.038677186,0.8918722,0.04292579,-0.016116738,-0.13663183,0.42386305,0.24250466,0.22303051,0.0021838606,0.0667727,0.050113976,0.06265182,0.036978014,-0.009685194,-0.028652806,0.00013940851,0.0054238364,0.00018735178,-0.0,-0.0,0.033340987,0.07136492,0.011455163,-0.008590746,-0.24140106,-0.07363209,0.009596708,-0.008032579,0.0011833445,-0.0,0.010358755,0.004523605,0.030074928,0.051721178,0.07853248,0.011702661,0.0005700367,-0.042796414,-0.0,-0.000236143,-0.00010163031,0.029030379,-0.016123468,0.018583229
0.27773395,0.068060465,0.049024507,0.44937173,1.7159996,0.087741956,0.12902321,0.025169622,-0.0067130825,0.26658714,0.15337399,-0.0048462944,0.13127705,0.19488092,0.012074661,0.022511723,-0.01472291,0.0011997336,0.00018353092,0.0049854396,0.00029004458,-0.0,-0.0,0.07387783,0.06952769,0.0104785105,0.0082434155,0.38026902,0.18626152,0.055065837,-0.007118448,0.00280343,-0.0,0.0103234025,0.0041424125,0.051059585,-0.0025213915,0.0029158597,0.007918507,-0.10383805,-0.05738003,-0.0,-0.00031009305,-0.00011111879,0.014458926,0.028332807,-0.009515934
0.16821215,-0.06436392,0.09791616,0.4494659,1.3232584,0.07586908,0.15126543,0.027907513,0.02377954,0.04373377,0.16399571,0.11809991,0.07737513,0.11963943,0.06346794,0.012238047,-0.012887915,0.014170185,0.00017844434,0.005879872,0.00031954792,-0.0,-0.0,0.017135112,0.010035787,0.008204273,0.019546324,0.44467485,-0.08755333,0.23946598,-0.009303899,0.0015686009,-0.0,0.012112398,0.005710369,0.05360871,-0.0050730235,0.009016269,0.024087783,0.09874822,-0.036905948,-0.0,-0.0002930894,-0.00010698447,0.023534676,0.054516744,0.013512247
0.28911677,-0.01562545,0.09013594,0.60157585,1.3727524,0.07577265,0.12051756,0.09220164,0.0857867,0.2913513,0.13793477,0.028959386,0.05621312,0.20459644,0.25490397,-0.07193996,-0.016996149,-0.0072815325,0.00014827882,0.0051079537,0.00014866152,-0.0,-0.0,0.028330538,0.037837297,0.010382313,0.049889393,0.33111185,0.21747755,0.06156135,-0.008036043,0.0028100037,-0.0,0.0113270385,0.0054765185,0.044146564,0.007293848,0.0005712489,0.032764126,-0.07336103,-0.034676097,-0.0,-0.0003095844,-0.00011021293,0.021584453,-0.071669385,-0.011605919
-0.35397133,0.036151525,-0.2176685,-0.066193596,-1.3730003,0.014600799,-0.23127043,0.0039762864,-0.21658655,-0.11999458,-0.13406813,-0.018157763,0.023490543,-0.029560432,0.018301258,0.08143422,-0.012947209,-0.006395468,0.00021498441,0.003115514,-0.000263128,-0.0,-0.0,0.043728117,-0.016676629,0.001066765,-0.027539229,0.22382148,0.0116071645,-0.011063202,-0.03485232,0.0035480568,-0.0,-0.2605114,-0.08467241,0.0017395813,0.10469789,-0.019681789,0.0028859098,-0.094342,-0.09584718,-0.0,-0.002378904,-0.00069341226,0.0089040445,0.087752566,-0.06252541
