LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.13566394,-0.35072955,0.02053289,0.6193276,1.0739454,0.069842815,-0.007739979,-0.05558128,-0.033834696,0.017983409,0.13239868,-0.027807362,-0.08431096,0.10793692,-0.070336245,0.026452607,-0.019018138,0.0074130055,-4.8395807e-05,8.205412e-05,-0.00031332587,-0.0,-0.0,-0.15969265,-0.1314408,0.006954575,0.0029742504,-0.016576279,-0.06963588,-0.018450866,-0.004579976,0.0011791528,-0.0,0.011798678,0.006474661,0.07327584,-0.050837204,-0.013417441,-0.018753093,-0.056121364,-0.28701198,-0.0,-0.0,-0.0,0.0064708362,-0.10359075,-0.15146722
0.21441238,-0.070315994,0.10129578,0.7179936,2.5124288,0.08683132,0.04223344,0.03238694,-0.0030214977,-0.016282015,-0.12047094,0.022544652,0.067073375,0.2072448,0.15258802,0.03981828,-0.015145607,-0.10128996,0.00044769875,0.00014183414,-0.00030651697,-0.0,-0.0,0.04716157,-0.02089895,0.009634616,-0.014735067,0.17718665,0.06635413,0.048681766,-0.0012465178,0.0011967456,-0.0,0.017344926,0.009894553,0.09890484,-0.029804407,0.023519253,0.018005598,-0.031234624,-0.12554759,-0.0,-0.0,-0.0,0.015207992,-0.12057507,0.042053234
-0.22409652,-0.0999621,0.15071087,0.5865347,0.70810014,0.078705736,-0.058260642,0.13911624,-0.002258799,0.20870566,0.14006668,0.1782022,0.15081552,-0.056208115,-0.1057984,0.027443904,0.18605483,0.010517549,-4.8395807e-05,1.8717117e-05,-0.00023475064,-0.0,-0.0,0.08586264,-0.097302996,0.003509914,0.04734617,-0.18398444,-0.05769225,-0.024748323,-0.0034739084,0.00088136224,-0.0,0.019990964,0.013231738,0.114306495,0.39038977,0.058601733,-0.007065838,0.12092714,0.38476697,-0.0,-0.0,-0.0,-0.011853924,0.20271797,0.11130215
0.286177,-0.15490513,0.2197878,0.86181015,1.1581253,0.08057688,0.15622912,0.024937782,-0.0024440752,0.08975055,-0.039827023,0.10204526,0.052591432,0.50139993,0.24271618,0.035490483,-0.008663591,0.027857995,-4.8395807e-05,4.31737e-05,-0.0002912673,-0.0,-0.0,-0.051202007,0.09167411,0.014891317,-0.08574206,-0.13047637,-0.048517067,-0.0014681172,-0.0040120566,0.0019681382,-0.0,0.01673221,0.009699221,0.117696464,0.0070094103,-0.018856902,0.031023562,-0.09092172,0.33173904,-0.0,-0.0,-0.0,0.005451373,-0.0016904005,0.06966828
0.023964671,0.14380306,0.15449,0.15587266,0.7031378,0.06449321,0.13352449,0.115393646,0.013127381,0.011166004,-0.03179731,0.08548845,0.08866648,0.28411967,0.042597774,0.03442961,-0.014369234,0.09603213,-4.8395807e-05,5.911534e-05,-0.0003494558,-0.0,-0.0,0.064316146,-0.05740215,0.011631014,0.03626579,-0.06498074,-0.04734831,-0.01953932,-0.0030471005,0.0014920653,-0.0,0.019595986,0.009549226,0.07423032,0.0037218628,0.037416764,-0.0029501822,-0.054890364,-0.12414354,-0.0,-0.0,-0.0,0.010398049,-0.021578947,-0.019973826
0.20441112,0.24005522,0.3929685,-0.010651433,1.7220817,0.077132896,0.09436005,0.019176211,0.31964478,0.024623975,0.07346214,-0.08371451,0.090242386,0.5975073,0.044660714,0.04264603,-0.007395868,-0.014216545,-4.8395807e-05,0.0001159098,-0.0002746944,-0.0,-0.0,-0.11172258,0.046096615,0.009961849,0.0023691333,-0.12008558,-0.051332463,0.008729304,-0.0030057952,0.0011105598,-0.0,0.018923538,0.009438035,0.08377988,-0.009682399,0.0011050282,-0.033394407,-0.006733565,-0.1922871,-0.0,-0.0,-0.0,0.0127668,0.026063992,0.0035709082
0.29964602,0.16078873,0.2995513,0.74117917,2.6295254,0.10551514,0.063086756,0.06301398,0.056480177,0.23147622,0.108334646,-0.0219822,0.10458092,0.23438022,-0.012974825,0.018078227,-0.010637398,0.047559153,-4.8395807e-05,0.00012778779,-0.00030224596,-0.0,-0.0,0.08963139,0.0850413,0.01030679,-0.013130802,0.11234783,0.039800275,0.024428599,-0.0013000151,0.0014947285,-0.0,0.0178304,0.008802178,0.09019882,-0.026710697,-0.027706848,0.015749434,-0.05792499,-0.14008889,-0.0,-0.0,-0.0,0.015676385,0.039575584,0.0049750344
0.21808578,-0.0640244,0.08950369,0.7022507,2.3560228,0.09608736,0.052407693,0.18266368,-0.11993405,-0.025270417,0.23923372,0.097062856,0.1183852,0.1835599,0.052308913,0.042105544,-0.0118846595,0.03614613,-4.8395807e-05,0.00014183414,-0.00031105714,-0.0,-0.0,0.048124272,0.14244589,0.008429408,0.025566865,0.18365394,-0.047677897,0.12127357,-0.0009869025,0.0017620561,-0.0,0.02013276,0.0099496655,0.08345652,-0.004539891,0.015213303,-0.0037265038,-0.01376098,-0.0966011,-0.0,-0.0,-0.0,0.018960578,0.02780973,0.041192774
0.3446264,-0.057704933,0.16399433,0.96025544,1.9661052,0.091742165,0.07950736,0.07224677,0.024193114,0.27820083,0.1525434,0.010842867,0.17950875,0.30889812,0.18655711,-0.05047837,-0.014221096,0.046330478,-4.8395807e-05,0.00014183414,-0.0003152861,-0.0,-0.0,0.09231976,0.003930873,0.010622466,0.0015440936,0.2084836,0.09144544,0.033325367,-0.0015559633,0.001583116,-0.0,0.01823756,0.011208843,0.07429326,-0.013927339,0.022979548,0.018427882,-0.06312624,-0.11172224,-0.0,-0.0,-0.0,0.019650126,-0.11293339,0.013723038
-0.22052203,0.061603643,-0.34764907,0.019015862,-2.2985482,0.036464695,-0.10253941,-0.1485498,-0.11310989,-0.2693199,-0.29006398,0.0484634,-0.0100411875,0.019888476,-0.003708294,-0.10359125,-0.01047437,-0.0016825672,-0.00022738501,6.2964835e-05,-0.0015426511,-0.0,-0.0,0.02629672,0.018148016,0.00039198645,0.008950085,0.07501096,0.14800109,0.028831406,-0.002046621,0.00073127006,-0.0,-0.22391692,-0.11372735,0.025684435,0.18758771,0.044673722,-0.006977016,-0.08322173,-0.14898999,-0.0,-0.0,-0.0,0.0016210511,0.06653464,-0.0531212
0.39248174,0.008420766,0.15502882,0.5790812,1.2892746,0.08410874,0.13851,0.04551478,0.015515147,0.16479144,0.17457418,0.19423112,0.054836415,0.32929704,0.06674232,0.019565599,0.13597322,0.024310298,-4.8395807e-05,4.8821094e-05,-0.0003007808,-0.0,-0.0,0.058298927,-0.018216796,0.009239543,0.015961425,-0.08553011,-0.030051779,7.354395e-05,-0.0036636493,0.0021689343,-0.0,0.016286628,0.00852936,0.09477554,-0.022698052,-0.0071336254,0.031633195,0.006890823,0.4272163,-0.0,-0.0,-0.0,0.021686807,0.053389292,0.072827086
0.066363975,0.16202497,0.11834162,0.65695846,0.55506337,0.057681292,0.06705307,0.014999647,-0.031262208,0.022731028,0.17187722,0.02583999,-0.100680254,0.23862696,0.0921118,0.08429446,0.1582104,-0.0029750662,-4.8395807e-05,6.286746e-05,-0.00031619624,-0.0,-0.0,0.04887618,0.04921057,-0.07351106,0.007351046,-0.14149173,-0.048939,-0.0034801431,-0.0035048237,0.0026449529,-0.0,0.022921754,0.0082384925,0.1599462,0.0018290379,0.08002983,-0.011806354,-0.11172164,-0.28097066,-0.0,-0.0,-0.0,0.009337634,-0.12765372,0.10239638
-0.5676751,-0.14536136,-0.007970754,-0.041738432,-0.0579511,0.05934109,0.05582531,0.056645986,0.033420417,-0.0655126,0.1792656,-0.1286322,-0.025109744,0.14318255,-0.10603944,0.045542296,-0.011423075,-0.0121950535,-4.8395807e-05,4.8821094e-05,-0.00030067962,-0.0,-0.0,0.04314429,-0.10286116,0.0063304,0.0038636844,0.17939837,0.11130833,0.015013728,-0.0022481645,0.0009481465,-0.0,0.020544581,0.010611604,0.06363489,-0.06186047,-0.04814436,0.007590751,-0.0925231,-0.3509007,-0.0,-0.0,-0.0,-0.02903103,-0.06602472,0.0048188386
-0.38448936,-0.0056279455,-0.36489755,-0.8596936,-2.4897134,0.032441206,-0.011959641,-0.16216157,-0.11945097,0.030957656,-0.08503517,0.003897605,-0.052738857,-0.12850784,0.024450902,-0.12615973,-0.012093871,0.0018208243,-2.0742726e-05,0.00021502902,-0.001930184,-0.0,-0.0,0.043936785,-0.0010460061,0.0016592798,-5.292141e-05,0.0356711,0.07546675,-0.009751984,0.065099165,0.00014729556,-0.0,-0.16738923,-0.08570412,-0.06918293,-0.013280389,-0.020005513,-0.0022242207,0.048999324,-0.14678673,-0.0,-0.0,-0.0,-0.0010984807,-0.03635493,-0.05768669
0.12214013,0.05376289,0.14828314,0.6797669,1.4876668,0.088071845,0.043268476,0.18076232,0.3729585,0.09283792,0.2944721,0.13355267,0.075436465,0.064935826,0.09342704,0.054545224,-0.01581336,-0.008700435,-4.8395807e-05,3.1576332e-05,-0.000302882,-0.0,-0.0,0.124317154,0.0043441565,0.007686647,0.04473317,0.18437485,0.09058235,0.08284384,-0.0010384315,0.0011389332,-0.0,0.021504432,0.016904972,0.11663129,-0.004512971,-0.01738834,0.016690021,-0.039233133,-0.1400492,-0.0,-0.0,-0.0,0.02279937,0.03399992,-0.07477766
0.01637448,0.027310498,-0.3759444,-0.5611107,-2.5282247,0.035818025,0.019350477,-0.15664005,-0.37571388,0.07871971,-0.1996407,0.034115132,0.07354471,-0.19739038,0.006064537,-0.08776998,-0.011843131,0.0038021086,-7.1161485e-05,7.9794554e-05,-0.0021722363,-0.0,-0.0,0.044406824,0.001623163,0.0011105466,0.01335327,0.043982893,0.0015817467,0.07379459,0.046078224,0.00027087162,-0.0,-0.16053987,-0.068504475,-0.06630447,-0.014619836,-0.014821218,0.0033549732,0.10197503,0.17936282,-0.0,-0.0,-0.0,0.0074206125,0.08098175,-0.040986046
