LogP-R,Flexibility-R,HBA-R,HBD-R,TPSA-R,Charge-R,Atom_Stereo-R,LogP-P,Flexibility-P,HBA-P,HBD-P,TPSA-P,Charge-P,Atom_Stereo-P,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.04729386,-0.15589269,0.053398207,0.26935107,0.48100734,0.03640804,0.062102284,-0.24150905,-0.071390346,0.041006822,0.15583488,0.9393578,0.028735591,0.0198133,-0.13898905,0.0074821752,-0.06837308,0.04701188,-0.020822892,-0.089177385,0.06554358,-0.13906981,0.051871516,-0.0034724548,0.00057293416,-2.8703827e-05,-0.0,-0.00046821794,-0.0,-0.0,-0.03871657,-0.048728816,0.01267592,-0.03084013,-0.009177992,-0.08161852,-0.009764469,-0.0040761214,0.001741686,-0.0,0.013458187,0.0010354056,0.060964476,-0.07168272,-0.000585812,-0.058099363,-0.008127445,-0.26117942,-0.0,-0.0,-0.0,-0.0037059975,-0.06501236,-0.17330727
-0.10548203,0.029610677,0.0843106,0.42551586,1.3604703,0.04497013,0.089674,0.12127967,0.16439566,0.049882527,0.23389916,1.4112566,0.03576852,0.08394328,0.06655423,0.015167704,0.012461129,-0.19108406,-0.015103692,0.019990677,0.12168258,0.16616201,0.04244073,-0.0015227823,-0.027622769,0.00023887468,-0.0,-0.0002540781,-0.0,-0.0,0.0007147788,0.056244466,0.019632895,0.017782615,0.21373127,0.05028629,0.02868617,-0.0027653286,0.0023115575,-0.0,0.018825268,0.0018495307,0.10116228,-0.034380525,0.031154275,0.08634445,-0.012514331,-0.07955671,-0.0,-0.0,-0.0,0.008591561,-0.05954275,0.03978376
-0.2628991,-0.08080125,0.10459919,0.3407231,0.27139097,0.050967097,0.016616097,0.014557911,0.0685352,-0.04751923,0.15845712,0.6824627,0.030215526,0.008144932,0.100211136,-0.06025831,0.18766753,0.18515067,0.13625716,0.14070162,-0.11232854,-0.07486026,0.035438396,0.034286406,-0.012864945,-2.8703827e-05,-0.0,-0.00012814795,-0.0,-0.0,0.08298553,-0.0912754,0.009459852,0.01630157,-0.22833526,-0.07685017,-0.058261905,-0.004587113,0.002637967,-0.0,0.023552593,0.0015702178,0.09838065,0.32738245,0.07648186,-0.021336773,0.08502455,0.2966722,-0.0,-0.0,-0.0,0.00693863,0.22702369,0.07467178
-0.124052234,0.0154812755,0.10990045,0.46529558,0.4098662,0.045130417,0.08804632,0.22500433,9.9712284e-05,0.017386032,0.31037867,1.2116886,0.03381188,0.107515074,0.021213269,-0.06728452,0.12723862,-0.14966297,0.09159886,0.021928677,0.38822186,0.2747053,0.054833326,0.0007589128,0.02520814,-2.8703827e-05,-0.0,-0.00023287206,-0.0,-0.0,-0.00090422406,0.13762142,0.026822116,-0.038523696,-0.13064998,-0.06018573,-0.0057933885,-0.0042856475,0.0025724368,-0.0,0.016361056,0.0013939108,0.09918339,0.019623127,-0.033140752,0.065531075,-0.012137437,0.21947804,-0.0,-0.0,-0.0,-0.022572037,0.0075742495,0.046496395
0.11281489,0.038220327,0.08986474,-0.029391538,0.033352003,0.030297166,0.07128166,-0.09570017,-0.085757874,0.08890422,0.030582927,0.89097744,0.031180711,0.08498553,0.12881541,-0.02117077,0.01797585,-0.17432778,0.055097755,0.036997676,0.14199151,0.10153986,0.064799026,0.00063197064,0.066093445,-2.8703827e-05,-0.0,-0.0003911457,-0.0,-0.0,0.020895552,-0.029612489,0.03083947,-0.008325936,-0.033287477,-0.0487682,-0.009553324,-0.0012862894,0.002188897,-0.0,0.017479379,0.0014487929,0.07129109,-0.02264504,0.050027367,-0.016310368,-0.006197452,-0.13934875,-0.0,-0.0,-0.0,0.018919898,-0.03777485,-0.009518063
0.18041861,0.6442329,0.099577546,-0.09232841,0.82928026,0.034317773,0.013655594,0.14153257,0.13536102,0.14098682,-0.09108133,1.1677548,0.03280548,0.05450239,-0.01903883,0.23461986,0.034013644,0.1314746,-0.0757449,-0.008036554,0.332012,0.120799415,0.06723785,-0.0005126165,-0.0015814888,-2.8703827e-05,-0.0,-0.0005024074,-0.0,-0.0,-0.058367107,0.04758852,0.01937751,-0.0062227426,-0.08953649,-0.057738606,0.022410959,-0.0021950942,0.0022322065,-0.0,0.017011842,0.001270306,0.07985389,0.025975717,0.004186124,-0.039565377,0.007190666,-0.12609392,-0.0,-0.0,-0.0,0.009410778,0.035080828,0.020080693
-0.026805436,0.027129943,0.049187798,0.3826121,1.7149776,0.051086828,0.093183234,0.29643947,0.016740661,0.11228834,0.17466025,1.5076056,0.039253023,0.09850328,0.06407746,0.028342606,0.17376436,0.04742714,-0.050896034,0.10194614,0.22656105,-0.058873914,0.0503977,-0.0022476253,0.03151767,-2.8703827e-05,-0.0,-0.00027969573,-0.0,-0.0,0.051397014,0.113401726,0.022375349,0.007471641,0.15208031,0.032940935,0.016904678,-0.0024358705,0.002469125,-0.0,0.01838043,0.0019412183,0.08685614,-0.015035381,-0.033551604,0.07613339,-0.03421126,-0.09921359,-0.0,-0.0,-0.0,0.014018466,0.029132253,-0.0005314554
0.18934868,-0.012009611,0.06140625,0.3347721,1.2451296,0.04786515,0.07013466,0.3058967,-0.0051872297,0.08101827,0.17514633,1.4083006,0.036893748,0.07459271,0.21744044,0.073202096,-0.007937338,0.13997191,0.07192527,0.045508288,0.11007329,-0.050722793,0.07052741,-0.001310368,0.037596185,-2.8703827e-05,-0.0,-0.00029240752,-0.0,-0.0,0.0038030415,0.08328504,0.022421602,0.0049652066,0.20287457,-0.0437345,0.11423399,-0.0024377247,0.0025149474,-0.0,0.019755997,0.0013880499,0.10088347,-0.0345653,0.04308011,-0.023041908,-0.025172403,-0.07971864,-0.0,-0.0,-0.0,0.010997959,0.02675284,0.066706836
0.033585683,0.002629179,0.08177276,0.52965796,1.5070791,0.0486633,0.10843617,0.29901075,0.009808731,0.09786139,0.3241276,1.3410366,0.036629602,0.11666494,0.06786559,0.019637575,0.20097663,0.10842836,-0.018178534,0.060760006,0.27374703,0.17198724,-0.1188163,-0.0008611386,0.03742723,-2.8703827e-05,-0.0,-0.00022634787,-0.0,-0.0,0.034395326,0.033328503,0.020863147,0.030572873,0.2216987,0.06382603,0.02180204,-0.002761717,0.0025441698,-0.0,0.01892245,0.0024851155,0.08564245,-0.02284302,0.01890083,0.09589345,-0.036004238,-0.0801387,-0.0,-0.0,-0.0,0.01354185,-0.07333329,0.060048398
-0.07225684,0.010903393,-0.17606798,-0.08335371,-1.3976501,0.018632965,-0.053771768,0.12803465,-0.031949796,-0.020263959,-0.034677863,-1.9169987,0.016293792,-0.050280787,-0.1598535,-0.096794635,-0.2619635,-0.25326967,0.048602406,0.04457293,-0.063259535,-0.101639554,-0.1082524,-0.0013080991,0.0029707528,-0.00011511226,-0.0,-0.00070684386,-0.0,-0.0,0.003761333,-0.006618299,0.0052905874,0.0026584992,0.106007986,0.22200488,0.038110655,-0.0066376724,0.0019360876,-0.0,-0.25989062,-0.029508606,0.023125403,0.19630483,0.03132586,-0.010522858,-0.050262813,-0.12968592,-0.0,-0.0,-0.0,-0.000718646,0.11120771,-0.06992124
