LogP-R,Flexibility-R,HBA-R,HBD-R,TPSA-R,Charge-R,Atom_Stereo-R,LogP-P,Flexibility-P,HBA-P,HBD-P,TPSA-P,Charge-P,Atom_Stereo-P,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.21511808,-0.117180124,-0.0268997,0.2482053,0.1877204,0.032878485,0.09278237,-0.09283855,-0.10405496,0.0017392525,0.101146504,0.53639704,0.023635246,0.03651143,-0.123532996,-0.15991774,-0.18009928,-0.0006918097,-0.049801834,-0.018575193,0.037751097,-0.008636595,0.008508562,-0.017322147,-0.017360508,0.00039301848,0.0057041086,-0.0001326235,-0.0,-0.0,-0.049341884,0.014089227,0.011133126,-0.0077222474,-0.068465166,-0.051497065,-0.0022573546,-0.0064563444,0.0012218999,-0.0,0.0117121795,0.0045113615,0.04026047,-0.017520832,-0.0005104571,-0.0061443313,-0.07068331,-0.045466963,-0.0,-1.7980154e-05,-0.0,0.005328821,-0.082192644,-0.16046551
-0.026352625,0.036794946,0.06206831,0.4592274,0.743087,0.045363277,0.09025284,0.054292247,0.13770309,0.07006072,0.1499225,0.87958336,0.029935356,0.0691486,0.06482637,-0.083339885,0.046674717,0.026993403,0.031435397,0.012805086,0.10907916,0.14636268,0.034958106,-0.012629383,0.07413554,-0.010728317,0.004611995,-0.00015787911,-0.0,-0.0,0.023012504,0.05308525,0.013150677,0.07222061,0.378617,0.17695695,0.03483445,-0.0025281273,0.003443701,-0.0,0.016950805,0.005200345,0.0745861,-0.0057357973,0.0049782777,0.031010699,-0.052664503,-0.029278142,-0.0,-1.8888262e-05,-0.0,0.02997037,-0.11768318,0.026633607
-0.18932138,0.0139109,0.1083678,0.2958745,0.15263708,0.027065681,0.0033510614,-0.015358849,-0.019181902,0.033120103,0.049355373,0.3069282,0.01961372,-0.067829676,0.09649093,-0.03464118,0.12025109,0.038577236,0.030272793,0.089259796,-0.04022982,-0.121625766,0.018112602,0.18050525,0.060381576,0.00014579415,0.0031208892,-0.0002745336,-0.0,-0.0,0.13128822,-0.027779873,0.0072829477,0.01656358,-0.21768154,-0.08141323,-0.019741496,-0.0023401221,0.0031419636,-0.0,0.015894862,0.006287617,0.061939493,0.08294373,0.051149506,-0.016038623,0.1385735,0.09804019,-0.0,-1.4381652e-05,-0.0,0.007739663,0.23061661,0.022388633
0.0059537087,0.0805533,0.14234932,0.56350756,0.4300093,0.0332467,-0.0286766,0.10074395,-0.021852134,0.056773353,0.15018554,0.8606967,0.02291511,0.010165088,0.03610212,-0.21350574,0.1267797,-0.0042737927,0.019662581,-0.0017114668,0.15083435,0.33830217,0.020297749,-0.00792662,-0.0036251508,0.00022565457,0.0045386553,-0.00011275053,-0.0,-0.0,-0.0053261933,0.062324353,0.018318854,0.00024047222,-0.19989555,-0.04586762,-0.007599881,-0.00465216,0.0024105508,-0.0,0.012503536,0.0061658784,0.06785115,0.0100669805,-0.0049429354,0.033088583,-0.0474621,0.11943923,-0.0,-1.7981289e-05,-0.0,-0.030709814,0.0190607,0.007231864
0.24959423,-0.05520169,0.014612323,-0.15204905,-0.0837401,0.021225628,-0.0019330196,-0.070004396,-0.045207255,-0.0036260576,-0.022037873,0.51989675,0.020692177,0.011190796,0.016926985,-0.15161861,0.025262253,0.0032802701,0.027714308,0.009969865,0.04797345,0.05638912,0.024761457,-0.012903849,0.09878846,0.00014917826,0.0049466677,-0.00024463783,-0.0,-0.0,-0.06570115,0.0120384665,0.015684456,0.009653141,-0.14897549,-0.032702368,-0.009230886,-0.0055599706,0.001636085,-0.0,0.012954882,0.004255772,0.031647686,-0.0030158209,0.008596472,0.01861481,-0.041116893,-0.052238524,-0.0,-2.8461189e-05,-0.0,0.0036375034,-0.050750807,-0.095813274
0.106671765,0.49088675,0.07258555,-0.11883717,0.38676912,0.023427904,-0.0903736,0.029622564,0.08171055,-0.2668029,-0.056450367,0.65763175,0.018195834,-0.024058677,-0.061226077,0.29112646,0.1527457,0.121304624,-0.015247628,0.020732287,0.028141059,0.047645822,0.03504226,-0.011069905,-0.024217766,0.0013847996,0.0050936877,-0.00025930774,-0.0,-0.0,0.026732117,0.07665577,0.009432358,-0.0039625065,-0.22774597,-0.058625888,-0.014180316,-0.0057371394,0.0012459208,-0.0,0.010900267,0.0050873966,0.0366435,0.033004034,0.022124568,0.001480734,0.021552533,-0.03459742,-0.0,-1.7996143e-05,-0.0,-0.009848326,0.021625083,-0.0040701833
0.05702454,-0.082077794,0.06978644,0.37288287,0.99651015,0.053100035,0.08578432,0.14354599,-0.024068113,-0.040715873,0.08976688,1.1092819,0.035523016,0.060737334,0.028545456,-0.11899274,0.15378506,0.050305888,-0.019785406,0.07199546,0.115668714,0.024802508,0.011882742,-0.014561693,0.013241379,0.00018334859,0.0041943137,-0.00014366451,-0.0,-0.0,0.0660217,0.080788925,0.013747179,0.042523213,0.33580843,0.12491012,0.048004717,-0.002637579,0.0027649463,-0.0,0.0146318115,0.0058228383,0.057977952,-0.015260516,-0.012989284,0.04918662,-0.069336526,-0.04507184,-0.0,-1.8888262e-05,-0.0,0.015310829,0.035297856,0.011184052
0.14840344,-0.022960657,0.05007983,0.29212433,0.6683238,0.048854046,0.11204275,0.14935726,-0.026443962,0.050164487,0.07962767,0.96516395,0.03254575,0.06817186,0.06441526,-0.098361276,0.030515946,0.040798444,0.06351554,0.020495934,0.10023573,0.023625059,0.027674004,-0.009733273,0.012387622,0.00087206496,0.0047472804,-4.701782e-05,-0.0,-0.0,0.0064707967,0.015641727,0.0130299125,0.017147887,0.3583698,-0.04333345,0.13518047,-0.0034658327,0.0022951963,-0.0,0.015456387,0.006032019,0.054526415,-0.007005912,-0.0044079656,0.015344081,0.06215104,-0.025641305,-0.0,-2.843705e-05,-0.0,0.007500356,0.051055405,0.053659417
0.06519084,-0.02129962,0.03688948,0.595272,0.84984416,0.05188267,0.07618722,0.13715899,0.0039916704,0.03516694,0.18673827,0.91176724,0.033373527,0.051497504,0.07521196,0.064648435,0.15747738,0.011305826,0.0024056549,0.0119636925,0.14343688,0.13862742,-0.04268449,-0.014764917,0.010659011,0.00020061068,0.004567828,-0.00016699044,-0.0,-0.0,0.002813344,0.052181266,0.014289442,0.06249034,0.29651642,0.12371014,0.034200992,-0.0010764538,0.0031955605,-0.0,0.019764705,0.0058218814,0.06336778,0.0019596603,0.0028269906,0.038498133,-0.06809703,-0.025252027,-0.0,-1.8888262e-05,-0.0,0.020232614,-0.09502515,0.026900094
-0.2342782,-0.042055406,-0.15775883,-0.13406062,-0.60323405,0.01155435,-0.05630969,0.018984824,0.0379592,-0.0039056423,-0.019964267,-1.0839319,0.008510458,0.0064905803,-0.032538757,-0.2517196,-0.15312551,-0.11766493,0.02527457,-0.008977711,-0.019772569,-0.056282554,-0.04385835,-0.011932724,-0.0055699474,0.00017953095,0.0023386162,-0.00038603158,-0.0,-0.0,-0.016936451,-0.04338153,0.0025112876,-0.0075266864,0.10881517,0.015481983,-0.01869082,-0.033524778,0.003195747,-0.0,-0.34996957,-0.13154152,0.0039847614,0.055192757,0.00804437,8.524678e-05,-0.040922016,-0.057699762,-0.0,-0.00022879252,-0.0,-0.00022650944,0.080461055,-0.058622867
