LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.019126454,-0.00394491,0.04446492,0.13578498,0.5302012,0.023188371,0.021598047,0.0033853664,0.048578173,-0.0216541,0.01861985,-0.008643937,-0.027401377,0.046661735,0.023529544,0.004481259,-0.0015680521,0.001088626,4.3041317e-05,0.0009521196,0.00075476104,-0.0,-0.0,-0.03032742,0.001115134,0.0018707565,0.012442126,-0.09501146,-0.009926092,-0.0072155097,5.559945e-05,-0.0,-0.0,0.004427223,0.0010447822,0.004897059,-0.0017451036,-0.0043315017,0.0013748199,-0.017158747,0.004906399,-0.0,-0.00015549033,-5.7470723e-05,0.0036464995,-0.04780399,-0.027590355
0.03785871,0.0039248946,0.041227214,0.16355743,0.73567796,0.03287741,0.019741068,0.0009860274,0.022990795,0.023667436,0.018955275,0.012105863,0.013537575,0.05658828,0.06532168,0.0073294407,-0.005829213,0.0019262538,-0.0012106718,0.00047146884,0.00075770955,-0.0,-0.0,0.014894042,0.009428367,0.001742637,0.006392681,0.12627016,0.028804718,0.0021103688,0.00015833559,-0.0,-0.0,0.0050985888,0.0017019887,0.0044628764,-0.001584342,-0.0014877694,-0.001440017,-0.016939405,-0.011738962,-0.0,-0.0001668868,-6.0132603e-05,0.0022857443,-0.063863434,-0.0048227324
-0.0026643155,-0.010142065,0.051182874,0.08217158,0.25339168,0.014076734,-0.022116048,-0.008821858,-0.009659946,0.008896551,0.015978852,0.00675362,0.027165178,-0.021995086,-0.09699347,0.0056764153,0.03209514,0.001735934,0.0002473744,0.00017052171,0.00010956893,-0.0,-0.0,0.012450416,-0.006849745,0.0025768003,-0.0022973518,-0.15065983,-0.010846931,-0.016230289,4.8320395e-05,-0.0,-0.0,0.0045938613,0.0027780507,0.007653669,0.0038369512,0.001067347,-0.0020699939,0.120176554,0.002625056,-0.0,-0.000121162,-4.0579165e-05,0.0015105666,0.06452365,0.0045300145
0.076732635,0.008085604,0.0633226,0.17365722,0.68161345,0.028291164,0.0016501384,0.005848962,-0.0001231806,0.013095702,0.016342238,0.003347519,0.013010046,0.09718185,0.0733883,0.0020553365,-0.00070882495,0.00039232947,4.759833e-05,0.00042180825,0.0006792242,-0.0,-0.0,-0.003913185,0.009867823,0.0022595492,-0.04458518,-0.120334946,-0.01189991,-0.0015857735,6.239475e-05,-0.0,-0.0,0.0045719245,0.0009977929,0.0036549878,0.0029531708,-0.0020641543,-0.025317378,-0.026182007,0.019745335,-0.0,-0.00021983287,-6.6240435e-05,-0.032855567,0.009612226,0.012924069
0.007199713,0.0050489395,0.049362782,0.040218316,0.32051003,0.01807602,0.009051901,0.020999832,-0.017825319,0.005652614,0.013430189,0.010499229,0.006680442,0.09125729,0.036697038,0.0038590303,-0.004395924,-0.0008467977,7.692586e-05,0.00014486146,9.570693e-06,-0.0,-0.0,0.018048517,0.007348591,0.0021128056,0.0051781153,-0.11726895,-0.008781778,-0.012175467,5.2425465e-05,-0.0,-0.0,0.005319096,0.0006299071,0.009917726,-0.002929438,-0.0018825071,0.0014086689,-0.035179704,-0.0128162755,-0.0,-0.00015778978,-6.6604196e-05,0.007807157,-0.030786524,-0.014492533
-0.008536715,0.012767865,0.048128475,0.037240762,0.64096445,0.022118058,-0.014976831,-0.005245082,0.037800923,0.049450524,0.010366917,0.010904063,0.004342313,0.07967537,0.045932494,0.0070249364,-0.0035482165,0.00083621737,0.00011932129,0.00062847306,0.00057624566,-0.0,-0.0,0.02119877,0.012392329,0.0015523009,0.011351484,-0.1500632,-0.011040244,-0.007981939,2.3877723e-05,-0.0,-0.0,0.004276808,0.0005001654,0.002711084,0.009970061,-0.0008529015,0.0023192689,-0.016863195,-0.004847612,-0.0,-0.0001572326,-6.1502804e-05,0.0055735763,0.0056432392,-0.012865494
0.057338104,0.0048769526,0.046537794,0.13761353,0.8579766,0.034745473,0.025392309,0.0072936784,0.0027785364,0.017344374,0.0060085123,0.013086491,0.01794575,0.06950543,0.028086128,0.00583255,-0.0062000984,6.339842e-05,4.3041317e-05,0.00043245463,0.00075568334,-0.0,-0.0,0.016768618,0.0101492265,0.001348962,0.005019632,0.11966762,0.031312667,0.0016778402,7.3136274e-05,-0.0,-0.0,0.004187985,0.0018320645,0.0045868694,0.0018095294,0.00076676963,-0.0015815469,-0.024267647,-0.012088633,-0.0,-0.0001668868,-6.6240435e-05,0.0021261047,0.014322178,0.0026689922
0.06713508,0.0027400502,0.055636585,0.13634261,0.7501992,0.03324355,0.033166755,0.014078424,0.033532906,0.030630577,0.030445348,0.003074256,0.016546149,0.054968376,0.027858851,0.0034159222,-0.0039335242,0.00011522941,4.3041317e-05,0.0003355516,0.0007529108,-0.0,-0.0,0.017641347,0.010102694,0.0015976913,0.0066925557,0.14264514,-0.0073036193,0.032162547,0.00012230445,-0.0,-0.0,0.0061400793,0.0015460586,0.0034918843,-0.0017102773,-0.002055237,0.002968024,0.00096396543,-0.010417703,-0.0,-0.00015939887,-5.503121e-05,0.002962615,0.011839442,-0.0048812926
0.072607726,0.006681064,0.042241633,0.18085285,0.756793,0.03176169,0.028343974,0.0047743428,-0.012295391,0.021137355,0.012585327,0.0016769648,0.0185384,0.06299525,0.057600886,-0.029457044,-0.005277718,6.877213e-05,4.7354264e-05,0.00044157793,0.0007676839,-0.0,-0.0,0.015889643,0.0061143753,0.0013063871,0.0043575736,0.10736477,0.01500569,0.007990987,7.3136274e-05,-0.0,-0.0,0.0059989495,0.0015442404,0.004153535,-0.0014200916,-0.0012146,0.0013114614,-0.024372686,-0.0077556176,-0.0,-0.0001668868,-6.6240435e-05,0.0012018713,-0.042857945,-0.0069245514
-0.013289669,-0.009722039,-0.078756645,0.035672545,-0.98995197,0.0071147797,-0.032940716,-0.009539755,-0.017457189,-0.042948123,-0.015394591,0.00051885576,0.0037914263,-0.0306343,0.0040306677,-0.0050530345,-0.0023494093,0.00016447832,9.206469e-05,0.000108081644,0.0001397909,-0.0,-0.0,0.0001632364,-0.014976685,0.00031603136,-0.0031397252,0.07528323,0.011970775,0.013988931,7.71011e-06,-0.0,-0.0,-0.07179696,-0.043659244,0.0007004318,0.0064409063,-0.00039166908,0.00015294825,-0.02662002,-0.006377218,-0.0,-0.00053346733,-0.0003009455,0.00056284916,0.036601055,8.617997e-05
