SIDECHAINS_Br,SIDECHAINS_C,SIDECHAINS_C#C,SIDECHAINS_C#N,SIDECHAINS_C=C,SIDECHAINS_C=C\C,SIDECHAINS_C=N,SIDECHAINS_C=O,SIDECHAINS_CBr,SIDECHAINS_CC,SIDECHAINS_CC(C)C,SIDECHAINS_CC(C)N,SIDECHAINS_CC(C)O,SIDECHAINS_CC(F)F,SIDECHAINS_CC=C,SIDECHAINS_CC=O,SIDECHAINS_CCC,SIDECHAINS_CCN,SIDECHAINS_CCO,SIDECHAINS_CCS,SIDECHAINS_CCl,SIDECHAINS_CF,SIDECHAINS_CN,SIDECHAINS_CNC,SIDECHAINS_CNS,SIDECHAINS_CO,SIDECHAINS_CS,SIDECHAINS_CS(=O)=O,SIDECHAINS_C_N+_,SIDECHAINS_C_N+_(C)C,SIDECHAINS_C_S+_,SIDECHAINS_C_S+__O-_,SIDECHAINS_Cl,SIDECHAINS_ClC(Cl)Cl,SIDECHAINS_ClCCl,SIDECHAINS_F,SIDECHAINS_FC(F)F,SIDECHAINS_I,SIDECHAINS_N,SIDECHAINS_N=CN,SIDECHAINS_N=O,SIDECHAINS_N=_N+_,SIDECHAINS_NC=O,SIDECHAINS_NC=S,SIDECHAINS_NCN,SIDECHAINS_NN,SIDECHAINS_NO,SIDECHAINS_NS,SIDECHAINS_NS(=O)=O,SIDECHAINS_O,SIDECHAINS_O=CO,SIDECHAINS_O=CS,SIDECHAINS_O=P(O)O,SIDECHAINS_O=S,SIDECHAINS_O=S(=O)O,SIDECHAINS_O=S=O,SIDECHAINS_O=_N+__O-_,SIDECHAINS_OP,SIDECHAINS_OS,SIDECHAINS_S,SIDECHAINS__N+_=O,SIDECHAINS__N+_O,SIDECHAINS__N-_,SIDECHAINS__N-_=_N+_,SIDECHAINS__O-_
-0.0,-0.008275958,0.00017243606,-8.763715e-06,-2.2685563e-05,-0.0,1.4526544e-05,0.0001638353,-0.0,-0.0007054911,0.0003144504,-0.0,-0.0,-0.0,3.8718546e-05,-0.0010052683,-0.054397497,0.0002586445,-0.0017123239,-0.0,0.0009117651,-0.0,0.009174136,0.00012187658,-0.0,0.0037527215,0.00023300946,2.9302351e-05,0.00016344206,0.0005133691,-0.0,-0.0,-0.00038874973,-0.0,2.4529487e-05,-0.0021312945,1.069515e-05,-0.0,-0.00033702672,-0.0,-0.0,-0.0,0.0002277648,-0.0,-0.0,-2.120974e-05,0.00018541119,-2.5996324e-05,-1.9493378e-05,-0.040516917,0.015524808,-0.0,-5.0640756e-06,-0.0,-0.0,0.00044571093,-0.0003226231,-0.0,-0.0,7.4127136e-05,-2.0370964e-05,-0.0,-0.0,-0.0,-1.73882e-05
-0.0,0.000796393,0.00088646635,-1.2265595e-05,2.3986746e-05,-0.0,1.4526544e-05,0.00055634783,-0.0,-0.007856037,0.00039482964,-0.0,-0.0,-0.0,3.8718546e-05,-0.0006212197,0.0017118899,0.00047931273,-0.0016410917,-0.0,0.0010332812,-0.0,-0.0020745124,0.00016666377,-0.0,0.0014843083,0.00023049301,5.9028993e-05,0.00011077235,0.00069156545,-0.0,-0.0,0.00014808147,-0.0,0.00022847451,-0.0026573564,7.8034955e-06,-0.0,0.0005301821,-0.0,-0.0,-0.0,0.0014418324,-0.0,-0.0,-1.6072736e-05,6.424835e-05,-1.4923363e-05,-2.6966809e-05,0.022339843,0.019307472,-0.0,-5.0640756e-06,-0.0,-0.0,0.0023737978,-0.00035156956,-0.0,-0.0,4.4976867e-05,-1.7459053e-05,-0.0,-0.0,-0.0,-1.566939e-05
-0.0,0.0006906868,0.0005053178,-5.2830947e-05,-0.0001823407,-0.0,1.042664e-05,0.0005910567,-0.0,-0.0032597275,0.00015102832,-0.0,-0.0,-0.0,1.8674356e-05,0.009009278,0.00025576953,0.00046796174,-0.0010340925,-0.0,0.00024173027,-0.0,-0.0017811304,3.8961793e-05,-0.0,-0.0006441816,6.438132e-05,3.588321e-05,5.6006094e-05,0.000100254474,-0.0,-0.0,-0.0006518832,-0.0,9.610592e-06,0.06051317,7.007154e-05,-0.0,0.00017267051,-0.0,-0.0,-0.0,0.00047659955,-0.0,-0.0,-6.5933496e-06,1.30880835e-05,-8.077122e-06,-2.1584401e-05,-0.010761071,0.013304566,-0.0,-3.982354e-06,-0.0,-0.0,0.00041232735,-0.0001133779,-0.0,-0.0,5.4828277e-05,-2.0236363e-05,-0.0,-0.0,-0.0,-2.0753994e-05
-0.0,9.097526e-05,0.00022983406,-3.2498727e-05,4.8465517e-05,-0.0,1.4526544e-05,0.0015306082,-0.0,0.001473838,0.00047130062,-0.0,-0.0,-0.0,1.957612e-05,-0.00042174896,0.0008827591,0.001067014,-0.0012374937,-0.0,0.00092479016,-0.0,-0.005489002,0.00019258689,-0.0,-0.001640031,0.00020214758,3.090565e-05,0.00015412417,0.00072648365,-0.0,-0.0,-0.00045532608,-0.0,9.962326e-06,-0.0006226221,1.069515e-05,-0.0,0.0023826866,-0.0,-0.0,-0.0,0.00024791696,-0.0,-0.0,-1.0015043e-05,3.986393e-05,-3.5440535e-05,-3.2301592e-05,0.0378182,0.017255658,-0.0,-5.0640756e-06,-0.0,-0.0,0.00022382647,-0.00043473084,-0.0,-0.0,4.6174995e-05,-2.1491345e-05,-0.0,-0.0,-0.0,-1.6372269e-05
-0.0,0.00076261937,0.00015281509,-7.803316e-06,1.354591e-05,-0.0,1.0254464e-05,-0.0063330596,-0.0,-0.00034994073,0.00037347063,-0.0,-0.0,-0.0,0.00020845103,-0.0010538998,0.00031835004,0.0013934164,-0.002405849,-0.0,0.00031057734,-0.0,0.007655002,-0.0066397716,-0.0,-0.005055766,0.0001331725,3.7029546e-05,0.00010072507,0.00038034626,-0.0,-0.0,0.0046756873,-0.0,2.3541214e-05,-0.003417473,1.5120815e-05,-0.0,-0.0029314337,-0.0,-0.0,-0.0,0.00013777931,-0.0,-0.0,-2.8258331e-05,3.6200727e-05,-3.431026e-05,-2.3773278e-05,0.051446795,0.021242922,-0.0,-5.0640756e-06,-0.0,-0.0,0.0003395438,-0.00013395393,-0.0,-0.0,7.705648e-05,-2.7905153e-05,-0.0,-0.0,-0.0,-3.4462762e-05
-0.0,0.005396227,0.00015949564,-4.8578536e-06,-2.0852991e-05,-0.0,1.4526544e-05,0.00040861106,-0.0,3.6959893e-05,0.00053705584,-0.0,-0.0,-0.0,3.8718546e-05,-0.0009851813,0.0016011907,0.000382187,-0.001632654,-0.0,0.00074062945,-0.0,0.003900001,4.9713635e-05,-0.0,-0.0023618648,0.00028983768,2.2897653e-05,0.00015699031,0.0008454677,-0.0,-0.0,-0.00033302853,-0.0,4.574388e-05,-0.0020407944,7.8034955e-06,-0.0,0.008838719,-0.0,-0.0,-0.0,0.0003234557,-0.0,-0.0,-0.00013156162,3.986393e-05,-2.5996324e-05,-1.4711479e-05,0.046696927,0.024346292,-0.0,-5.0640756e-06,-0.0,-0.0,0.0003279582,-0.00027250234,-0.0,-0.0,0.00064673077,-2.7905153e-05,-0.0,-0.0,-0.0,-1.73882e-05
-0.0,0.0014149988,0.0008869319,-1.3631687e-05,-7.315193e-06,-0.0,1.4526544e-05,0.001011577,-0.0,0.0012344937,0.0003906677,-0.0,-0.0,-0.0,3.8718546e-05,-0.0006168919,0.0017978289,0.00044408935,-0.0018095477,-0.0,0.0010402662,-0.0,0.003579689,0.00013761087,-0.0,-0.0010246483,0.00016582814,0.00013497836,6.0767015e-05,0.00069307815,-0.0,-0.0,-0.0003384993,-0.0,1.19599e-05,-0.0031252946,1.069515e-05,-0.0,0.00027835072,-0.0,-0.0,-0.0,0.00044939455,-0.0,-0.0,-1.0015043e-05,3.986393e-05,-1.4923363e-05,-2.6966809e-05,0.023461314,0.020702992,-0.0,-5.0640756e-06,-0.0,-0.0,0.0013818386,-0.0003551738,-0.0,-0.0,4.110643e-05,-2.1491345e-05,-0.0,-0.0,-0.0,-1.6372269e-05
-0.0,-0.00060455466,0.0005420433,-1.3631687e-05,-2.6577962e-05,-0.0,1.4526544e-05,0.0010054001,-0.0,0.0014585198,0.00040924482,-0.0,-0.0,-0.0,3.8718546e-05,-0.00056935183,0.0015399755,0.00092345267,-0.0019175678,-0.0,0.0011273241,-0.0,0.0012635922,0.0001139799,-0.0,-0.0015377734,0.00017033692,6.29894e-05,8.944447e-05,0.00069307815,-0.0,-0.0,8.722412e-05,-0.0,0.00022847451,-0.0025216956,8.930183e-06,-0.0,0.00027015407,-0.0,-0.0,-0.0,0.0009873097,-0.0,-0.0,-1.0015043e-05,3.986393e-05,-1.4465865e-05,-1.5907988e-05,0.022713482,0.019390324,-0.0,-5.0640756e-06,-0.0,-0.0,0.0023314073,-0.00025630725,-0.0,-0.0,2.3326327e-05,-3.235903e-05,-0.0,-0.0,-0.0,-1.6372269e-05
-0.0,0.00076054357,0.0003634321,-3.2498727e-05,0.0013850903,-0.0,1.4526544e-05,0.00039922848,-0.0,0.0015981753,0.0004072497,-0.0,-0.0,-0.0,3.8718546e-05,-0.0006748795,0.0018374062,0.00049484824,-0.0020813982,-0.0,0.00095931615,-0.0,0.0067803254,0.0001418428,-0.0,0.00012785076,0.00038010604,0.00017876267,8.229363e-05,0.0006569319,-0.0,-0.0,0.0007991733,-0.0,1.7444447e-05,-0.0036194704,1.069515e-05,-0.0,0.000324498,-0.0,-0.0,-0.0,0.00088957173,-0.0,-0.0,-2.120974e-05,0.00018541119,-1.2545417e-05,-1.8190747e-05,-0.017446289,0.0131929,-0.0,-5.0640756e-06,-0.0,-0.0,0.0030216363,-0.00042473673,-0.0,-0.0,3.6854286e-05,-2.1491345e-05,-0.0,-0.0,-0.0,-1.566939e-05
-0.0,0.00061553274,0.00010756911,-5.820231e-06,-4.462182e-05,-0.0,7.820595e-06,-0.0011724705,-0.0,0.00012660342,-0.00014917471,-0.0,-0.0,-0.0,9.666255e-06,-0.00068843557,-8.549306e-05,2.7354137e-05,-0.003971192,-0.0,0.00021259679,-0.0,0.0004752599,2.4754027e-05,-0.0,0.0020467644,-2.8041002e-05,0.00012917668,2.868565e-05,0.00010440886,-0.0,-0.0,-9.4134346e-05,-0.0,8.466581e-06,-0.0031950625,1.310213e-05,-0.0,-6.082929e-05,-0.0,-0.0,-0.0,0.0007106896,-0.0,-0.0,-1.2597746e-05,1.2958184e-05,-6.111984e-06,-1.2317044e-05,-0.0043001315,-0.07698269,-0.0,-1.2485811e-05,-0.0,-0.0,-0.0006327034,-0.0011019886,-0.0,-0.0,2.3083358e-05,-1.3018035e-05,-0.0,-0.0,-0.0,-1.233369e-05
