LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.2888303,-0.18691988,0.0046171853,0.36218053,0.5825898,0.040658806,0.06368639,-0.30511066,-0.07245932,-0.13120398,-0.0044670315,-0.082884505,0.031935804,0.014361701,-0.043264933,0.00828855,-0.016465692,0.005806246,0.0003463,0.006777334,0.00054253684,-0.0,-0.0,-0.17562214,-0.0205226,0.011042034,0.027357697,-0.09670378,-0.072569646,-0.015873114,-0.011471589,0.00065263413,-0.0,0.01124007,0.003567926,0.04500061,-0.031512886,-0.003643509,-0.011087514,-0.05799121,-0.021131013,-0.0,-0.00028083497,-8.550153e-05,0.0005709783,-0.08554174,-0.11120042
0.28475687,0.0815824,0.08302617,0.5056414,1.4639242,0.06292978,0.0766433,0.059451967,-0.04281844,0.054878388,0.039268363,0.038506526,0.05692665,0.10496242,0.27831978,0.01623544,-0.015500152,0.08320597,-0.0088451775,0.0064156847,0.00055851304,-0.0,-0.0,0.073691085,0.025555275,0.015672866,0.029896684,0.3413071,0.30944282,0.038835328,-0.0068815867,0.0023100823,-0.0,0.016202528,0.005336002,0.048426285,-0.024339648,-0.0035950828,0.0458498,-0.06437469,-0.017301977,-0.0,-0.0002521757,-6.616532e-05,0.03329596,-0.12440751,0.015613543
0.16676548,-0.11079262,0.078591846,0.19630156,0.35199013,0.039520245,-0.056678187,0.07055888,-0.05530118,0.06779768,0.04320672,0.020739032,0.111427285,-0.030604376,-0.19384408,0.008028337,0.15051544,0.033110753,0.00035176822,0.004843079,0.00013390786,-0.0,-0.0,0.15479328,-0.0055767344,0.016194934,0.008085636,-0.23137736,-0.115156025,-0.008759369,-0.0053944085,0.0014611363,-0.0,0.013338029,0.004507858,0.038761783,0.19038223,0.03387236,-0.03428839,0.17992984,0.077065006,-0.0,-0.00023490028,-6.924287e-05,-0.008743483,0.13816543,-0.00813544
0.18187964,-0.07260315,0.12524265,0.6125336,1.0470171,0.051099844,0.0831839,0.05768953,-0.15045318,0.07650626,0.057241913,0.018518286,0.06757274,0.12882267,0.3365027,0.010125419,-0.009638922,-0.0095843375,0.00013538785,0.0055319355,0.00062608713,-0.0,-0.0,0.010718869,0.097315386,0.022820327,-0.06826279,-0.18446654,-0.09285301,0.009195711,-0.0076961694,0.0013709608,-0.0,0.011257724,0.0047761328,0.042017315,0.039334502,0.02292868,0.002498801,-0.15195125,0.14628993,-0.0,-0.00028880406,-6.78798e-05,-0.0137521345,0.038210154,0.0030167336
-0.17659077,-0.026258497,0.042922404,-0.058613025,0.35940936,0.03840428,0.12046363,-0.028588813,-0.05772659,-0.015609637,0.045293365,0.06362933,-0.0031350178,0.033447716,0.056993626,0.017374106,-0.015627233,0.1544264,0.00020654767,0.0064243665,-0.00012989111,-0.0,-0.0,-0.061174914,-0.023363743,0.016740715,0.03859769,-0.1818561,-0.06953678,-0.02523723,-0.010568429,0.0015500024,-0.0,0.012690864,0.0041625076,0.013412708,-0.01601842,-0.017351398,0.041044243,-0.08486169,-0.02496791,-0.0,-0.00033555046,-0.000106092004,0.008502099,-0.063465536,-0.05446543
0.019616466,0.09063018,-0.23239785,-0.036164783,0.9295857,0.038539875,-0.03281394,-0.15475245,0.4186722,0.23682028,0.29275486,0.0036917988,0.124423474,0.074414596,0.033753756,0.034431532,-0.010105758,-0.025449399,0.00017406436,0.006442798,0.000115298,-0.0,-0.0,0.10459374,0.07226124,0.012539215,0.018451408,-0.25358906,-0.08345955,-0.00639891,-0.008408915,0.0014406081,-0.0,0.0115616135,0.0037022901,0.026521765,0.09704552,0.03998265,0.008588018,-0.022291707,-0.03679197,-0.0,-0.0002534906,-7.0550144e-05,-0.019678503,0.03346223,0.015128488
0.35747093,-0.086750604,0.031544495,0.43074253,1.6945388,0.068852104,0.12334759,0.021192895,-0.034506515,0.25057432,0.14808166,-0.019425776,0.15701051,0.18520695,0.015149833,0.010856815,-0.01950696,0.0070915753,8.230978e-05,0.006205855,0.00060143427,-0.0,-0.0,0.069901735,0.0362535,0.019038655,0.014864089,0.33304998,0.22818103,0.034858547,-0.0040818574,0.002243451,-0.0,0.012839947,0.0056023994,0.03448748,0.006675524,-0.008230371,0.035273828,-0.102189094,-0.03914475,-0.0,-0.0003061303,-9.900445e-05,0.030159838,0.039395127,0.020199247
0.1954094,-0.077333085,0.08249155,0.42825928,1.2471966,0.06405418,0.10983562,0.07820729,0.0012310402,0.050107792,0.19381985,0.112759605,0.07230421,0.12807673,0.05325237,0.011225974,-0.014648056,0.0057471464,0.00028754116,0.007213118,0.0007081051,-0.0,-0.0,0.06575665,0.008265707,0.013540959,0.043915,0.41316345,-0.08521888,0.21384738,-0.008959414,0.0013027937,-0.0,0.014762996,0.005234959,0.036831092,-0.008851809,-0.0011486001,0.011412257,0.07373131,-0.038628206,-0.0,-0.00032853853,-8.698078e-05,0.005118111,0.056574676,0.008642813
0.18334557,-0.03716855,0.007805445,0.6227382,1.2009671,0.058926255,0.102132685,0.057642885,0.053520788,0.20793012,0.07787574,-0.015130591,0.027192984,0.2148664,0.25260398,-0.009456709,-0.017795071,0.0050297645,0.00013809418,0.006594733,0.0006928139,-0.0,-0.0,0.011110031,0.037911586,0.018067978,0.013493292,0.26668027,0.18380225,0.03527181,-0.006525502,0.0015124779,-0.0,0.016650815,0.0051219976,0.035379946,0.0026066639,0.0134122465,0.048181545,-0.080092356,-0.01678636,-0.0,-0.00031507082,-9.004818e-05,0.03601004,-0.05162171,-0.005398201
-0.1964864,0.08373968,-0.24909392,-0.058350533,-1.5272115,0.010413956,-0.13439749,-0.023183992,-0.22992228,-0.076167144,-0.090290755,-0.0021275757,0.013327737,-0.046404384,-0.005004356,0.18046914,-0.016376192,-0.006878781,0.00011996962,0.0039638956,-0.00018989878,-0.0,-0.0,-0.0108290175,-0.0009722253,0.003296711,-0.03176547,0.15200056,0.007987198,0.0025566097,-0.025431674,0.003466499,-0.0,-0.22879702,-0.08846323,0.0004495256,0.082435235,-0.023970217,0.0080513805,-0.12153464,-0.075530164,-0.0,-0.0032466145,-0.0009736207,-0.005630521,0.065271474,-0.08144313
