LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.29288518,-0.15030429,0.151825,0.50381297,1.2301991,0.062025074,-0.07412584,0.0038983347,-0.044186212,0.0973036,0.16572534,0.017562784,-0.15896314,0.027220683,-0.16802636,0.0332383,-0.0187744,-0.009565711,0.00027681902,-0.0,-0.0005439593,-0.0,-0.0,-0.08277216,-0.08726089,0.0077624763,-0.0019972497,-0.03821945,-0.05464556,-0.0022440162,-0.0040094606,0.0016581845,-0.0,0.012179214,0.0045802696,0.08963545,-0.08442629,-0.008359214,-0.010189703,-0.10504718,-0.20909102,-0.0,-0.0,-0.0,0.0141044045,-0.059862446,-0.12506026
0.35841656,0.20141068,0.12485671,0.7493407,2.3767157,0.08658701,0.02590331,0.021733798,-0.03478466,0.07110799,-0.0859422,0.012933863,0.09638141,0.14165603,0.18673494,0.0530408,-0.011785235,0.02890327,-0.009858723,-0.0,-0.0002570736,-0.0,-0.0,0.12394233,0.043560058,0.014013368,0.026625697,0.17621171,0.014859689,0.03029054,-0.0021329864,0.0031805772,-0.0,0.019807506,0.006338502,0.11673961,-0.053283595,0.02196134,0.043221373,-0.08289896,-0.08870638,-0.0,-0.0,-0.0,0.016294265,-0.10143719,0.036032494
-0.061876126,-0.061370347,0.11542897,0.56553406,0.8791223,0.0675368,-0.03536425,0.1551034,0.014350519,0.22718273,0.14605023,0.133775,0.16092378,-0.04343501,-0.06031405,0.029479317,0.14465262,0.004938825,0.0001814551,-0.0,-0.00013946115,-0.0,-0.0,0.04609507,-0.06381074,0.0046911775,0.02286757,-0.17345807,-0.05634563,-0.0422891,-0.002755873,0.0021090622,-0.0,0.017740052,0.008257843,0.12482895,0.41917124,0.1206192,-0.019515553,0.18043235,0.30456662,-0.0,-0.0,-0.0,0.006286785,0.068336494,0.040098228
0.45449772,-0.06697868,0.15515259,0.7099444,1.5138046,0.07761165,0.14812145,0.021444872,0.008321339,0.17135651,-0.010215481,0.03519344,0.079201065,0.4745742,0.35019594,0.051156297,-0.011206355,0.039728694,0.0007905975,-0.0,-0.00018660625,-0.0,-0.0,-0.053825755,0.18358791,0.012464057,-0.07094705,-0.103576325,-0.042399835,-0.0023867975,-0.003100346,0.003740154,-0.0,0.016936189,0.0046319976,0.09736771,0.050137952,-0.015298657,0.0022882684,-0.16547781,0.1938386,-0.0,-0.0,-0.0,-0.050808616,0.042510763,0.008432047
-0.11390552,-0.019964207,0.24998064,0.0675593,0.7992233,0.061301343,0.19851522,0.1152223,0.07578477,-0.00743287,-0.048473075,0.09104829,0.1248127,0.20893815,0.1068675,0.031510472,-0.011759476,0.16029799,0.0015805415,-0.0,-0.00022310812,-0.0,-0.0,0.07992754,-0.03392179,0.015415092,0.03291032,-0.046883617,-0.028128363,-0.0011013662,-0.0028231633,0.0030108024,-0.0,0.017473962,0.0062424857,0.07323248,-0.0018479418,0.05275699,0.009252501,-0.04359672,-0.12123032,-0.0,-0.0,-0.0,0.016542392,0.024852794,0.03018568
0.11029754,0.036081534,0.330668,-0.060970746,1.804351,0.06973771,0.12377318,-0.043915927,0.23185094,0.06495558,0.088321514,-0.10184826,0.020582184,0.43231788,0.114699244,0.06334104,-0.010465106,-0.01085113,0.0011789416,-0.0,-0.0007267823,-0.0,-0.0,-0.0419639,0.04958281,0.013630523,0.032362808,-0.118508935,-0.045853287,0.010332068,-0.0028768587,0.0033057432,-0.0,0.017328994,0.0055054785,0.10550079,0.08764169,0.0036719048,-0.013258886,-0.054521944,-0.14218822,-0.0,-0.0,-0.0,0.014604534,0.047970228,0.0061729387
0.5573509,-0.0015226562,0.19534568,0.6935137,2.6278186,0.092965275,0.07246604,-0.031607006,0.15278783,0.21609175,0.2130091,-0.024755925,0.14972189,0.21377204,-0.13741852,0.03616893,-0.012285225,0.0392625,0.00070832553,-0.0,-0.00016357253,-0.0,-0.0,0.18887012,0.13007335,0.011678337,0.038053334,0.11544263,0.050336722,0.012371723,-0.0015386852,0.0023852484,-0.0,0.018094378,0.005375167,0.09596057,0.023698747,-0.03715872,0.047482386,-0.14089772,-0.11490973,-0.0,-0.0,-0.0,0.010371482,0.05366269,-0.023898244
0.37703797,-0.022368383,0.16290718,0.66379964,2.4524653,0.088332795,0.034381766,0.2605357,0.0029323497,0.046518054,0.23561667,0.11070657,0.11949749,0.12277231,-0.063732065,0.04654387,-0.012172357,0.033339936,0.001397723,-0.0,-0.00040326774,-0.0,-0.0,0.13898343,0.1241664,0.011916834,0.05038867,0.16929162,-0.033900958,0.08020121,-0.0010886553,0.0019106794,-0.0,0.018125063,0.00543131,0.099628754,-0.028604545,0.016193427,0.030691164,0.023518266,-0.13263944,-0.0,-0.0,-0.0,0.015354431,0.036072526,0.04790901
0.53550184,-0.05175248,0.19747569,0.9468998,1.6359353,0.081587255,0.07670161,0.0063911993,-0.0634331,0.30488673,0.060104582,-0.02070214,0.21879922,0.2782745,0.21654007,-0.10414941,-0.01315489,0.03753432,0.00059557374,-0.0,-0.00018956875,-0.0,-0.0,0.14258203,0.030825442,0.016072253,0.04441477,0.21186621,0.065543264,-0.003091532,-0.0026988527,0.0032659927,-0.0,0.021780292,0.0061606145,0.1001618,-0.02903876,0.03379008,0.04882079,-0.14594212,-0.09467569,-0.0,-0.0,-0.0,0.016910752,-0.0050313175,0.031143144
0.091311194,0.093665496,-0.25451466,-0.022080325,-2.6501935,0.032011975,-0.066490054,-0.12221311,-0.16464743,-0.30455732,-0.30396354,0.054560136,0.046422217,0.0436038,-0.008915024,-0.07564365,-0.011146581,-0.0056922,3.2144864e-05,-0.0,-0.00095115864,-0.0,-0.0,0.042098347,0.22469068,0.0018912703,0.007725031,0.06658824,0.10856537,0.07867128,-0.0036572926,0.0014504009,-0.0,-0.2240687,-0.0786798,0.021160873,0.24969172,0.0905562,0.003093304,-0.113433704,-0.11961232,-0.0,-0.0,-0.0,0.005979308,0.012635132,-0.06105405
