LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.06775926,-0.11889395,0.06175734,0.34115338,0.7757391,0.04635356,0.07082959,-0.13105121,-0.10097663,-0.05582525,-0.021807555,-0.061927028,-0.023680585,0.08513813,-0.03550402,0.0069309995,-0.013123151,-0.0041051134,0.00053989,0.0066758012,-0.0005951627,-0.0,-0.0,-0.0745563,0.009226522,0.012348148,0.0038030318,-0.08275713,-0.04744953,-0.010515602,-0.004290253,0.0013476511,-0.0,0.013802386,0.0048714397,0.05685668,-0.05759175,-0.02781381,0.015009655,-0.052015983,-0.011836288,-0.0,-2.8078899e-05,-0.0,0.00610571,-0.06111566,-0.14810674
0.26598054,0.05963391,0.07310475,0.52553296,1.31231,0.06602926,0.07502184,0.03568709,-0.05824039,0.027005307,0.06344512,0.017545933,0.04307379,0.13058752,0.1756073,0.024812475,-0.009262571,0.03624613,-0.005778495,0.006308246,-0.00041326677,-0.0,-0.0,0.04016704,0.06315847,0.013372738,0.018555384,0.36722583,0.16774648,0.050848387,-0.0025484287,0.0018687398,-0.0,0.018974382,0.005547727,0.060052413,-0.03526125,-0.014049959,0.015617262,-0.05564126,-0.007355521,-0.0,-2.7458223e-05,-0.0,0.043269325,-0.1124905,0.019017333
0.05085062,-0.040629067,0.05621607,0.23208937,0.478083,0.040790007,-0.022263777,0.048621237,-0.007224804,0.11874678,0.052345354,0.016790984,0.08187259,-0.033682927,-0.09566603,0.012806863,0.17688125,0.028957734,0.0009753984,0.005272072,-0.00034461767,-0.0,-0.0,0.05763603,-0.008814356,0.010239801,0.0031040749,-0.22230333,-0.07226402,-0.013197567,-0.0010851154,0.0017010269,-0.0,0.018690651,0.011753263,0.05529068,0.1705037,0.014472366,-0.040076412,0.17371076,0.11739709,-0.0,-2.4919507e-05,-0.0,0.009262437,0.19018905,0.016440215
0.19873023,-0.013503466,0.11616589,0.5713301,1.0292331,0.05525155,0.03804595,0.01025234,-0.14857127,0.07401071,0.033991117,-0.0014971094,0.015801355,0.20288889,0.18961775,0.014761828,-0.00073738454,0.0044903615,0.0011575465,0.0060396385,-0.00040214078,-0.0,-0.0,-0.025176147,0.05504067,0.020842621,-0.029792646,-0.18674912,-0.05884794,-0.0018227483,-0.004277172,0.0013294842,-0.0,0.014418681,0.004442483,0.07474978,0.11068131,0.03873518,0.020156771,-0.11791036,0.096005484,-0.0,-2.8376466e-05,-0.0,-0.06378211,0.046403375,0.00016619012
-0.08132356,-0.0279859,0.05133504,-0.023389386,0.40049842,0.040844873,0.045526758,0.009808757,-0.12538795,0.035245143,0.02471669,0.034865998,-0.006496002,0.06416159,0.06028588,0.01019763,-0.013093907,0.09235407,0.0004918572,0.0058827866,-0.0002095748,-0.0,-0.0,-0.025045736,-0.00031030434,0.016825743,0.0078441985,-0.14280924,-0.028814575,-0.002524023,-0.0038514833,0.0009137561,-0.0,0.01675748,0.006369646,0.0323961,-0.01927878,-0.01604757,0.022854209,-0.08311105,-0.016111668,-0.0,-3.6069032e-05,-0.0,0.004011929,-0.07511226,-0.08176066
0.041503027,0.056810416,-0.009495436,-0.06534779,1.0086614,0.041516133,-0.021581132,-0.059878293,0.2859696,0.17459781,0.16376649,-0.011927082,0.05939828,0.09564466,0.07289839,0.03259581,-0.010494767,-0.015657108,0.00085800746,0.006346298,-0.00048097334,-0.0,-0.0,0.0070006237,0.060824268,0.012501174,0.005947894,-0.24426575,-0.04889774,0.0013799628,-0.0049808486,0.0013596648,-0.0,0.014545258,0.0043156687,0.03926753,0.12885039,0.05985191,0.012145793,-0.011647802,-0.040694393,-0.0,-2.9878516e-05,-0.0,0.009713261,0.023800123,-9.0923866e-05
0.22674564,-0.037706133,0.046800878,0.4434652,1.506438,0.07131363,0.06308282,0.031629425,-0.05901369,0.1465076,0.063075565,-0.026097529,0.044368234,0.17628954,0.044803094,0.006951431,-0.013049712,0.005901393,0.0004047226,0.0059097563,-0.0004907587,-0.0,-0.0,0.04189269,0.07932789,0.014249135,0.013653339,0.3173395,0.1593547,0.0421626,-0.0012040504,0.002474489,-0.0,0.01681013,0.0061597703,0.052129276,0.06301917,0.009839319,0.013490894,-0.07569902,-0.044369854,-0.0,-2.987851e-05,-0.0,0.03412253,0.041469373,0.018556379
0.16117322,-0.059619162,0.099367335,0.40189764,1.262004,0.067266256,0.07240479,0.11204273,0.009304187,-0.01598251,0.12279618,0.08330925,0.051750917,0.13510835,0.039965104,0.016420608,-0.009455421,0.014870771,0.00048805552,0.006987288,-0.0002811199,-0.0,-0.0,0.051000312,0.056312755,0.010985254,0.013325995,0.41841805,-0.03258085,0.09030966,-0.002445407,0.0015062309,-0.0,0.017835638,0.0071746623,0.052140504,-0.024139935,-0.0033958966,0.020968167,0.057642333,-0.03974159,-0.0,-3.606903e-05,-0.0,0.020962125,0.051666267,0.027596375
0.17295155,0.009717742,0.056596775,0.63494825,1.1617223,0.06285667,0.06214359,0.050084338,-0.053936254,0.15843683,0.034802917,-0.003920043,0.0535869,0.20619525,0.1744045,-0.003987273,-0.012467933,0.013560901,0.00044624164,0.0057507963,-0.00044319738,-0.0,-0.0,0.03473153,0.056928508,0.016114283,0.02448981,0.28275472,0.12017197,0.065892175,-0.0020013265,0.0029076096,-0.0,0.022297999,0.0070955735,0.046963293,-0.024855768,0.011474099,0.029407335,-0.065671064,-0.034225117,-0.0,-2.837646e-05,-0.0,0.024610123,-0.069414526,0.019232173
-0.119415395,-0.0011014866,-0.20852287,-0.062927864,-1.5643252,0.016902063,-0.103926815,-0.0717189,-0.122649774,-0.10842215,-0.1159572,-0.029138574,-0.029213244,-0.052522868,-0.015463318,0.08810066,-0.007861047,-0.005707996,0.00035793227,0.0034918513,-0.00041364884,-0.0,-0.0,0.006623839,0.009010333,0.003926591,-0.0050841314,0.10510613,0.03129579,-0.019169068,-0.03734282,0.0027938879,-0.0,-0.24138694,-0.14727592,-0.00048205227,0.07142848,-0.0027528305,0.0048320745,-0.047765933,-0.03773866,-0.0,-0.00028804154,-0.0,0.00853314,0.047477204,-0.034917973
