LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.23647398,-0.10735896,0.069534935,0.27198163,0.48259923,0.04781187,0.11360945,-0.2586281,-0.02903492,-0.13661067,-0.059041046,-0.049427032,0.037735082,0.038234714,0.0034289886,0.028674362,-0.021269672,-0.012343048,0.00023300304,0.004922628,0.0009857706,-0.0,-0.0,-0.054775145,-0.017692585,0.0037183736,0.0020677478,-0.07843924,-0.04331534,-0.009589803,-0.006698917,0.0005466867,-0.0,0.0064054783,0.0018986831,0.024163675,-0.021729618,-0.0052297637,0.005366951,-0.04683768,-0.035892203,-0.0,-0.00027118737,-4.8072834e-05,0.0038317628,-0.13616312,-0.10849062
0.102568015,0.12367804,0.18275765,0.3685042,1.4257344,0.06654096,0.11070395,0.08520449,-0.07445573,0.050507385,0.057054944,0.061968397,0.06812564,0.121740274,0.2077976,0.04940105,-0.02470745,0.09366185,-0.006456113,0.004344672,0.00067558064,-0.0,-0.0,0.08051167,0.01024604,0.0061340895,0.053156294,0.39201096,0.1772081,0.031212054,-0.004574171,0.0007400114,-0.0,0.009275532,0.002409833,0.030428797,-0.017841667,0.009379752,0.025043244,-0.063360944,-0.01116466,-0.0,-0.00030533274,-4.1804036e-05,0.025596555,-0.1474538,0.010656381
-0.104642406,0.055696674,0.15119231,0.2483202,0.20936947,0.04509872,-0.08025711,0.12441823,0.049441244,0.08631183,0.046713598,0.025164846,0.15955748,-0.05855442,-0.1389171,0.03383244,0.30432132,0.108241506,0.00019125128,0.003285057,-0.00021455044,-0.0,-0.0,0.09436291,-0.011461648,0.007300643,-0.0038602846,-0.32083592,-0.08565819,-0.03125322,-0.0031652835,0.0007062115,-0.0,0.00992947,0.0026801,0.020634307,0.08373193,-0.008068476,-0.027373064,0.13132443,0.06512583,-0.0,-0.00027102468,-4.7556252e-05,0.0024787518,0.16779564,-0.008791266
0.08776759,0.10310126,0.17477192,0.4295391,0.61178446,0.04293397,0.06693348,0.057868022,-0.13595098,0.11732467,0.08494162,0.05260514,0.03964164,0.15657446,0.3120253,0.032673486,-0.015347673,-0.010901986,0.00014973214,0.0037882212,-7.557274e-05,-0.0,-0.0,0.014451953,0.058535364,0.009939965,0.023292035,-0.26168537,-0.053617854,-0.0031265467,-0.0050728065,0.00059934304,-0.0,0.006590577,0.0013010794,0.025451366,0.01829542,-0.005434468,0.031043068,-0.071248,0.09671589,-0.0,-0.00030550646,-5.1702424e-05,-0.0067703575,-0.011492661,0.0044061383
0.2973418,-0.0817012,0.08140965,-0.09970575,0.026273975,0.039617844,0.055748984,0.010354683,-0.032566387,0.033400852,0.075097896,0.026822548,0.02643157,0.09150449,0.06686682,0.052371427,-0.020778114,0.13259561,0.00085135124,0.0044338154,-0.0001588771,-0.0,-0.0,-0.042255163,-0.008343856,0.0052570268,0.01782784,-0.21456504,-0.034962904,-0.006522961,-0.005766336,0.00042183913,-0.0,0.0070329844,0.0024193912,0.0023576233,-0.015756454,-0.0019123472,0.009549299,-0.05433534,-0.020611087,-0.0,-0.00027462028,-5.3793112e-05,-0.0017101786,-0.07597983,-0.07449266
0.13037758,0.5945127,0.15817185,-0.08738948,0.7040281,0.03587413,-0.08003097,-0.11375787,0.2970298,0.12553926,0.17018816,0.005972048,0.108484104,0.07735946,0.024930837,0.05218224,-0.019330885,-0.021996811,0.00029817448,0.0044121174,0.00043854085,-0.0,-0.0,0.115924545,0.06080659,0.005942554,-0.0055597425,-0.2737784,-0.06331955,-0.0021664503,-0.005497735,0.00058852305,-0.0,0.00719098,0.0020714125,0.0074356473,0.08852416,0.028483711,0.005986826,-0.010505634,-0.031717796,-0.0,-0.00023916038,-4.8072834e-05,0.0045667114,0.0029001306,-0.02130685
0.10325974,-0.019627212,0.16777326,0.2665396,1.6659688,0.079653606,0.111779824,0.04435518,-0.012466348,0.27023467,0.13106528,-0.02228681,0.12614399,0.13609155,0.034060676,0.026874242,-0.027687144,-0.004899988,0.00023515764,0.0046037026,0.0006015257,-0.0,-0.0,0.08305368,0.06858026,0.009632349,0.041085664,0.3417913,0.10624139,0.043887693,-0.0049722493,0.00055200123,-0.0,0.009024598,0.0020605733,0.022137797,0.0007841955,-0.008537131,0.027425045,-0.07377535,-0.048018124,-0.0,-0.0003323095,-4.582916e-05,0.0037544104,0.040949136,0.021491675
0.24419881,0.015906742,0.16849332,0.23515852,1.307538,0.07230472,0.15013628,0.08067925,0.055846013,0.047615163,0.18795276,0.046059407,0.046998885,0.090992466,0.05189008,0.02621063,-0.019699508,-0.006485513,0.0006869073,0.0043162256,0.0009900541,-0.0,-0.0,0.060178284,-0.001594852,0.004188878,0.0074526947,0.44386816,-0.05767688,0.12690505,-0.0051669343,0.00063368445,-0.0,0.00998487,0.0029899888,0.022135386,-0.010815351,-0.001546701,0.008923835,0.053832114,-0.037118357,-0.0,-0.00027833306,-4.3650143e-05,0.016666196,0.03740735,-0.01100491
0.24293074,0.07591223,0.16337518,0.4636565,1.5870416,0.07498385,0.09533726,0.12171434,0.047846258,0.29648823,0.19364566,0.024828853,0.0645578,0.1433304,0.20150268,-0.09656993,-0.021819009,0.0020096782,0.00016244015,0.00437977,0.00072251115,-0.0,-0.0,0.059383985,0.026758231,0.008189203,0.051678993,0.28645706,0.11667161,0.05390117,-0.0045817075,0.0009338065,-0.0,0.011353697,0.001982216,0.025313161,-0.0054454147,0.012865283,0.028153988,-0.06346179,-0.02113915,-0.0,-0.00033701505,-4.644719e-05,0.017616503,-0.10553808,-0.004004019
-0.31550202,-0.0114661325,-0.31552726,-0.08972939,-1.3018754,0.014747407,-0.21209276,0.017637646,-0.12706052,-0.05428044,-0.06350395,-0.004906478,0.018208217,-0.048459753,-0.001733501,0.042834282,-0.015148638,-0.0045680027,0.00017966198,0.002345859,6.553011e-06,-0.0,-0.0,0.014852664,-0.031018283,0.00073404383,-0.033983838,0.20846985,0.018364333,0.05025393,-0.02672606,0.0014733898,-0.0,-0.19297636,-0.03999614,0.0038969829,0.037424397,-0.024265863,-0.0038725007,-0.080033205,-0.045683242,-0.0,-0.0027999438,-0.00025998085,-0.004100768,0.10465984,-0.049460605
