LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.20897868,-0.11861549,0.02444232,0.4183221,0.5378706,0.047369923,0.103665344,-0.21054247,-0.11695731,-0.19011849,-0.048420068,-0.08084665,-0.013308732,0.010125091,-0.033152632,0.03527139,-0.011225663,-0.016674414,5.056033e-05,0.004756436,0.00023789713,-0.0,-0.0,-0.110309094,0.012219274,0.008461483,0.011058595,-0.08677963,-0.053045034,-0.02381073,-0.009784803,0.0006534225,-0.0,0.010363533,0.0030459382,0.035619944,-0.008531696,0.018569475,-0.010848117,-0.06369352,-0.0319869,-0.0,-9.696585e-05,-5.387464e-05,-0.004663506,-0.07891343,-0.14023323
0.037035733,0.05637509,0.10687155,0.5243668,1.1937201,0.069232345,0.111783296,0.06654459,-0.038512662,0.043625362,0.050999254,0.059508506,0.06862484,0.12090937,0.22842138,0.06718234,-0.014695325,0.11639124,0.0055379244,0.0039045291,0.00046521588,-0.0,-0.0,0.056603674,0.020203391,0.008994093,0.022499587,0.36473832,0.23441596,0.026312547,-0.0044082743,0.0014680392,-0.0,0.013829522,0.003589443,0.05216936,-0.013702816,0.008390766,0.03408555,-0.07320641,-0.0132245775,-0.0,-6.571584e-05,-6.0029502e-05,0.024619719,-0.11159739,0.0020328462
-0.1493248,0.007214817,0.14141285,0.2829908,0.23194274,0.047027662,-0.07882884,0.082175575,0.01585123,0.091864236,0.0280397,0.014261269,0.14125058,-0.027366325,-0.15830302,0.044784795,0.15183745,0.08044578,9.133284e-06,0.0036021657,0.00047070798,-0.0,-0.0,0.12007539,-0.0058315364,0.013495707,0.006185474,-0.25321838,-0.08591125,-0.031820294,-0.0066334726,0.0013092284,-0.0,0.011798405,0.004047804,0.030783257,0.07884779,0.016060486,-0.023711596,0.1779059,0.09907104,-0.0,-8.512795e-05,-4.1167703e-05,0.00067466707,0.18436962,0.024529602
0.046298116,0.049539585,0.1536607,0.5961609,0.7083486,0.046550114,0.07341377,0.030764015,-0.15850075,0.09098143,0.08904381,0.01742019,0.029979592,0.19148856,0.33616787,0.051469464,-0.009038892,-0.007679924,0.00018521617,0.003801334,0.00010055656,-0.0,-0.0,-0.0141369905,0.09279912,0.016916785,-0.01327826,-0.1664321,-0.066590056,-0.007365473,-0.007219687,0.00083797047,-0.0,0.011395513,0.0032604146,0.050391108,0.006823883,0.05889712,0.048406653,-0.089148864,0.111406766,-0.0,-7.0966584e-05,-6.432514e-05,0.025760818,0.023928158,0.036717456
0.23404136,-0.0486687,0.043385006,-0.035600603,0.04488918,0.034511518,0.05590908,-0.01258296,-0.0061201504,-0.013428787,0.08933841,0.023562167,0.007082986,0.062672585,0.0799144,0.07372762,-0.010044029,0.16240594,8.156227e-05,0.0046396945,-9.053227e-05,-0.0,-0.0,-0.021783546,-0.005840908,0.009797189,0.011676555,-0.16419098,-0.04172636,-0.01977812,-0.008786789,0.0009029042,-0.0,0.012118263,0.0038610431,0.023792231,-0.009214604,0.0114233,0.012682191,-0.034295287,-0.030899765,-0.0,-0.00010099407,-6.432514e-05,0.014889031,-0.031207545,-0.086402416
0.10347333,0.51443225,0.09718781,-0.04011236,0.7805123,0.036428474,-0.050859265,-0.12978466,0.27911553,0.16119601,0.1758594,-0.014464575,0.043708205,0.07715348,0.053585254,0.0740111,-0.008948213,-0.02542386,0.0005977928,0.00417518,0.00026708172,-0.0,-0.0,0.030584509,0.08575384,0.010480452,0.0044123055,-0.1778948,-0.07281513,-0.012801027,-0.007941324,0.0014270309,-0.0,0.011112516,0.0032117097,0.020782799,0.04771759,0.041588563,0.009974916,-0.026298685,-0.032814514,-0.0,-6.680637e-05,-4.726716e-05,0.0028804278,0.033036925,0.0026119328
0.05323184,-0.047161553,0.10718849,0.46198475,1.5060354,0.08342507,0.120545134,0.033450246,-0.074950494,0.14967066,0.073074184,-0.012494338,0.0750571,0.18930815,-0.0008822349,0.035558723,-0.0144973155,-0.0014599587,0.00017646345,0.0036512925,0.00016996393,-0.0,-0.0,0.05192442,0.08247297,0.010823313,0.011378221,0.32057244,0.15388235,0.006413141,-0.0036350077,0.0016633834,-0.0,0.012235275,0.0034896196,0.040172335,-0.0047230273,-0.006118494,0.028213035,-0.10706315,-0.057487063,-0.0,-9.96131e-05,-6.432514e-05,0.0292784,0.059851773,0.016055873
0.16234678,0.009907829,0.111938916,0.41222787,1.1868793,0.07498589,0.12362279,0.043308996,0.011894844,0.014677199,0.17486252,0.05263289,0.041396506,0.12570724,0.018162103,0.043291092,-0.011906297,0.0020825816,2.2496737e-05,0.0045150216,0.0005615201,-0.0,-0.0,0.02145358,0.035323996,0.00981836,0.0097461175,0.38507652,-0.06657996,0.17997727,-0.0064815492,0.0013822765,-0.0,0.01447883,0.004374815,0.043475967,-0.0040924517,0.024973435,0.00740987,0.07901444,-0.044576548,-0.0,-9.45166e-05,-5.3422027e-05,0.016736126,0.07474679,0.0054549053
0.12724334,0.036689747,0.116458446,0.64407045,1.3397944,0.075487465,0.1148342,0.0737508,-0.024836646,0.16235381,0.121851265,0.036675837,0.04383942,0.19821785,0.19721277,-0.107925214,-0.014190702,0.0017533058,-1.0481388e-05,0.0039262343,0.00020576241,-0.0,-0.0,0.022896174,0.04274049,0.008945552,0.033953186,0.2650879,0.17160955,0.03443639,-0.004211839,0.0015772333,-0.0,0.015523908,0.0039449143,0.059673317,0.00030527182,0.012070897,0.043780237,-0.082935296,-0.030663334,-0.0,-0.00010767275,-6.432514e-05,0.033893637,-0.09288345,-0.009024687
-0.19702005,-0.0029562071,-0.23080532,-0.075465426,-1.1598439,0.010143817,-0.15767728,-0.006958638,-0.1563995,-0.055718318,-0.12278075,-0.0064558606,0.0046392656,-0.06628059,-0.006489984,0.020521313,-0.01001162,-0.006889775,2.1168647e-05,0.002470181,-0.00027220382,-0.0,-0.0,-0.009875679,-0.005114585,0.0019703635,-0.013837295,0.1569313,0.090198435,0.052286185,-0.03145519,0.0024776384,-0.0,-0.24704081,-0.07652414,-0.0032804138,0.013862428,-0.02483963,0.0154855,-0.091235526,-0.059935596,-0.0,-0.0007520262,-0.0004980235,0.0003495216,0.090637684,-0.045770843
