"'LogP': entry.get('LogP_PubChem', np.nan) 
                if not pd.isna(entry.get('LogP_PubChem', np.nan)) 
                else entry.get('LogP_RDKit', np.nan),
            'Flexibility': entry.get('Flexibility_PubChem', np.nan) 
                if not pd.isna(entry.get('Flexibility_PubChem', np.nan)) 
                else entry.get('Flexibility_RDKit', np.nan),
            'HBA': entry.get('HBA_PubChem', np.nan) 
                if not pd.isna(entry.get('HBA_PubChem', np.nan)) 
                else entry.get('HBA_RDKit', np.nan),
            'HBD': entry.get('HBD_PubChem', np.nan) 
                if not pd.isna(entry.get('HBD_PubChem', np.nan)) 
                else entry.get('HBD_RDKit', np.nan),
            'TPSA': entry.get('TPSA_PubChem', np.nan) 
                if not pd.isna(entry.get('TPSA_PubChem', np.nan)) 
                else entry.get('TPSA_RDKit', np.nan),
            'Charge': entry.get('Charge_PubChem', np.nan) 
                if not pd.isna(entry.get('Charge_PubChem', np.nan)) 
                else entry.get('Charge_RDKit', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_PubChem', np.nan) 
                if not pd.isna(entry.get('AtomStereo_PubChem', np.nan)) 
                else entry.get('AtomStereo_RDKit', np.nan),LogP",Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,"'LogP': entry.get('LogP_PubChem', np.nan),
            'Flexibility': entry.get('Flexibility_PubChem', np.nan),
            'HBA': entry.get('HBA_PubChem', np.nan),
            'HBD': entry.get('HBD_PubChem', np.nan),
            'TPSA': entry.get('TPSA_PubChem', np.nan),
            'Charge': entry.get('Charge_PubChem', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_PubChem', np.nan),
            
            # Testing: Average (RDKit and PubChem) only
            'LogP': entry.get('LogP_Avg', np.nan),
            'Flexibility': entry.get('Flexibility_Avg', np.nan),
            'HBA': entry.get('HBA_Avg', np.nan),
            'HBD': entry.get('HBD_Avg', np.nan),
            'TPSA': entry.get('TPSA_Avg', np.nan),
            'Charge': entry.get('Charge_Avg', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_Avg', np.nan),'LogP-P': entry.get('LogP_PubChem', np.nan),
            'Flexibility-P': entry.get('Flexibility_PubChem', np.nan),
            'HBA-P': entry.get('HBA_PubChem', np.nan),
            'HBD-P': entry.get('HBD_PubChem', np.nan),
            'TPSA-P': entry.get('TPSA_PubChem', np.nan),
            'Charge-P': entry.get('Charge_PubChem', np.nan),
            'Atom_Stereo-P': entry.get('AtomStereo_PubChem', np.nan),
            
            'LogP-R': entry.get('LogP_RDKit', np.nan),
            'Flexibility-R': entry.get('Flexibility_RDKit', np.nan),
            'HBA-R': entry.get('HBA_RDKit', np.nan),
            'HBD-R': entry.get('HBD_RDKit', np.nan),
            'TPSA-R': entry.get('TPSA_RDKit', np.nan),
            'Charge-R': entry.get('Charge_RDKit', np.nan),
            'Atom_Stereo-R': entry.get('AtomStereo_RDKit', np.nan),HeavyAtom",Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.0062653115,-0.22008789,0.06944883,0.6635795,0.8694202,0.05244402,0.056999166,-0.2399755,0.023320556,-0.05016518,0.17462784,-0.038107764,-0.1497518,0.11371356,-0.08882131,0.041802663,-0.0023711845,-0.0034841858,-0.0003588807,7.887003e-05,-0.00022241115,-0.0,-0.0,-0.050721724,-0.1618696,0.0057813544,-0.020123664,-0.0062261326,-0.07518575,-0.036867216,-0.0040563364,0.00019255216,-0.0,0.012226345,0.0038763909,0.06457587,-0.04266332,-0.015465237,-0.048685484,-0.06683352,-0.20372573,-0.0,-0.0,-0.0,-0.00040066964,-0.1068275,-0.113744326
0.022975748,0.08394004,0.18743719,0.90409243,2.352876,0.0650832,0.10203563,0.08591175,0.07282984,0.035647392,-0.06321095,-0.012195093,0.06521304,0.27024013,0.20324385,0.03734074,0.0046319677,-0.010365743,0.0061493614,7.887003e-05,-0.00021430544,-0.0,-0.0,0.09540445,-0.023263844,0.009661313,0.005202719,0.29987082,0.03987757,0.024795704,-0.0030498686,0.00020669002,-0.0,0.017003575,0.0060398937,0.0908666,-0.016916897,0.038701378,0.02558286,-0.06403674,-0.10689201,-0.0,-0.0,-0.0,0.009528296,-0.06491304,0.021203911
-0.12950273,-0.05008182,0.22596622,0.6561715,0.69875854,0.06559253,-0.043158196,0.21045284,0.016895283,0.27354902,0.099062435,0.21093993,0.16501147,-0.080001034,-0.09202834,0.033556145,0.055321876,0.02243579,-0.00040161313,6.6850084e-06,-0.00016326812,-0.0,-0.0,-0.011708376,-0.027373178,0.0034898836,0.060824808,-0.21839096,-0.07179484,-0.034125973,-0.003278094,0.00010861666,-0.0,0.026574755,0.0083478065,0.10767269,0.23173624,0.055460066,-0.004923865,0.16010538,0.34373063,-0.0,-0.0,-0.0,0.023910588,0.14254427,0.04828025
0.033139184,0.011544111,0.2715632,0.9994787,1.2095815,0.06576198,0.09672275,0.06499114,-0.11436595,0.013816464,-0.060211938,0.17035268,0.040757757,0.47877276,0.17269447,0.034686185,0.006754513,0.025286023,-0.0003497994,1.3892321e-05,-0.000201074,-0.0,-0.0,0.060055457,0.09019613,0.014482376,-0.0066096038,-0.15058659,-0.05171324,-0.008654804,-0.004024881,3.9016293e-05,-0.0,0.015764471,0.0049357647,0.10531359,0.030947916,0.027319014,0.07013866,-0.07599177,0.20412794,-0.0,-0.0,-0.0,-0.032404453,0.06843121,0.026929531
0.10347942,0.14648947,0.17401917,0.15156358,0.4487191,0.045618195,0.060061555,0.10154039,0.0005709256,0.015526999,0.0011312005,0.116798654,0.06497779,0.31168807,0.067094155,0.074034825,0.011016019,0.08318707,-0.0001968187,9.209758e-06,-0.00020840295,-0.0,-0.0,0.06763165,-0.10680251,0.014112408,0.0054113036,-0.07878424,-0.05495851,-0.018223958,-0.0037504688,5.0879335e-05,-0.0,0.01775204,0.004413275,0.059313603,0.014086012,0.028336067,-0.014158519,-0.08739063,-0.1502738,-0.0,-0.0,-0.0,0.011797688,-0.017785948,-0.026079284
0.23202583,0.46057123,0.17612657,-0.022170238,1.661029,0.05326774,0.03721824,-0.06557512,0.3616553,0.005117163,0.17733842,-0.097226515,0.06956109,0.50315773,0.09892023,0.07324711,0.010377511,-0.008516151,-0.00022532196,7.887003e-05,-0.00019409013,-0.0,-0.0,-0.01576074,0.048276484,0.01269271,-0.008113402,-0.08476982,-0.046211194,0.0027827593,-0.0027460188,0.00019255216,-0.0,0.014980954,0.0046171066,0.0696785,0.0540257,0.023966178,-0.04000835,-0.0069997767,-0.16375071,-0.0,-0.0,-0.0,0.00078339875,0.06860243,-0.00012747549
0.058598,0.08099263,0.20479392,0.793066,2.5242383,0.07853643,0.099015385,0.06466777,0.063693576,0.159931,0.12383492,0.010082806,0.1780188,0.30318102,-0.022523738,0.0357262,0.0036286074,0.034454186,-0.00020076412,7.977834e-05,-0.00022040674,-0.0,-0.0,0.08597273,0.10836368,0.010360958,-0.014492694,0.14695467,0.016082168,0.0041077435,-0.0027565085,6.803866e-05,-0.0,0.018970406,0.0056749834,0.07449219,-0.023897965,-0.038206648,0.03779741,-0.09106418,-0.11295021,-0.0,-0.0,-0.0,-0.0015639432,0.10118321,0.043357603
0.27193916,-0.01362161,0.153964,0.73475885,2.4144049,0.0708034,0.09303021,0.16085748,-0.057367858,0.009502548,0.3164613,0.1412289,0.09800888,0.16533908,0.059420653,0.043088824,0.0075375536,0.020900406,-0.0002555417,7.887003e-05,-0.00022722443,-0.0,-0.0,0.08152619,0.12033188,0.010298618,0.016587412,0.25349054,-0.038349956,0.15816957,-0.0024079129,0.00020669002,-0.0,0.018493697,0.0058779945,0.075226195,-0.012198079,0.026514377,-0.0029672247,-0.024664778,-0.091652595,-0.0,-0.0,-0.0,0.013868416,0.09012253,0.038448922
0.21268196,0.008828838,0.22690593,1.0581924,2.5062912,0.07199573,0.1042301,0.11123731,-0.016271943,0.18454674,0.06590201,-0.024404304,0.15025614,0.36031222,0.2670286,-0.113833934,-0.0010493539,0.021585923,-0.0003383621,7.977834e-05,-0.00025063127,-0.0,-0.0,0.0714223,-0.026681185,0.008733282,-0.0016462664,0.24527308,0.032253042,0.01988008,-0.0029525477,6.803866e-05,-0.0,0.01722708,0.007518235,0.07944731,-0.008941363,0.0049775057,0.038159866,-0.08259072,-0.113204926,-0.0,-0.0,-0.0,-0.0016575243,-0.05944142,0.030794539
-0.26002744,-0.019627284,-0.33857244,-0.0034952222,-1.9185513,0.025424626,-0.05869399,-0.13791256,-0.10986934,-0.2489847,-0.30726996,0.05972845,0.034870066,-0.02835007,-0.1098926,-0.142123,-0.0024080295,-0.003376797,-0.0008291695,6.147201e-06,-0.00069869834,-0.0,-0.0,-0.020204393,0.06168017,0.0013635131,0.008050488,0.12161594,0.13674338,0.07561659,-0.006992706,6.352476e-05,-0.0,-0.15523699,-0.07532323,0.02425449,0.15708093,0.010628479,-0.009477373,-0.061415214,-0.131226,-0.0,-0.0,-0.0,0.0038748458,0.016343059,-0.07282127
0.080579676,-0.052907046,0.20546117,0.6678454,1.10774,0.06406053,0.061096683,0.10390811,0.07812839,0.22596417,0.14334553,0.16601296,0.092408404,0.3521405,0.07725753,0.029073471,0.08311773,0.018945575,-0.0002787358,1.2322262e-05,-0.00025409006,-0.0,-0.0,0.07295926,0.012074252,0.0072188037,0.014687872,-0.089045405,-0.035993822,-0.014391095,-0.0036935047,3.9016293e-05,-0.0,0.01887443,0.005450066,0.08634162,0.01736447,-0.0027788705,0.05035161,-0.029180009,0.38959882,-0.0,-0.0,-0.0,0.0072925906,0.058581267,0.09934251
0.034040242,-0.06278193,0.27193606,0.7389318,0.39390817,0.041964293,0.13967404,0.036961824,-0.07912072,-0.05498086,0.17729266,0.036377374,-0.14508158,0.26913744,0.09727666,0.10741548,0.08896981,0.0033923737,-0.00029216678,1.3892321e-05,-0.00023013726,-0.0,-0.0,0.0378472,0.066576414,-0.100421004,-0.0162288,-0.1792861,-0.05457335,0.0010105801,-0.0037381526,4.7453348e-05,-0.0,0.019057224,0.0052595055,0.18017368,-0.014736654,0.080483444,0.008333591,-0.13972256,-0.2362328,-0.0,-0.0,-0.0,0.003073911,-0.06301322,0.0639083
