SIDECHAINS_Br,SIDECHAINS_C,SIDECHAINS_C#C,SIDECHAINS_C#N,SIDECHAINS_C=C,SIDECHAINS_C=C\C,SIDECHAINS_C=N,SIDECHAINS_C=O,SIDECHAINS_CBr,SIDECHAINS_CC,SIDECHAINS_CC(C)C,SIDECHAINS_CC(C)N,SIDECHAINS_CC(C)O,SIDECHAINS_CC(F)F,SIDECHAINS_CC=C,SIDECHAINS_CC=O,SIDECHAINS_CCC,SIDECHAINS_CCN,SIDECHAINS_CCO,SIDECHAINS_CCS,SIDECHAINS_CCl,SIDECHAINS_CF,SIDECHAINS_CN,SIDECHAINS_CNC,SIDECHAINS_CNS,SIDECHAINS_CO,SIDECHAINS_CS,SIDECHAINS_CS(=O)=O,SIDECHAINS_C_N+_,SIDECHAINS_C_N+_(C)C,SIDECHAINS_C_S+_,SIDECHAINS_C_S+__O-_,SIDECHAINS_Cl,SIDECHAINS_ClC(Cl)Cl,SIDECHAINS_ClCCl,SIDECHAINS_F,SIDECHAINS_FC(F)F,SIDECHAINS_I,SIDECHAINS_N,SIDECHAINS_N=CN,SIDECHAINS_N=O,SIDECHAINS_N=_N+_,SIDECHAINS_NC=O,SIDECHAINS_NC=S,SIDECHAINS_NCN,SIDECHAINS_NN,SIDECHAINS_NO,SIDECHAINS_NS,SIDECHAINS_NS(=O)=O,SIDECHAINS_O,SIDECHAINS_O=CO,SIDECHAINS_O=CS,SIDECHAINS_O=P(O)O,SIDECHAINS_O=S,SIDECHAINS_O=S(=O)O,SIDECHAINS_O=S=O,SIDECHAINS_O=_N+__O-_,SIDECHAINS_OP,SIDECHAINS_OS,SIDECHAINS_S,SIDECHAINS__N+_=O,SIDECHAINS__N+_O,SIDECHAINS__N-_,SIDECHAINS__N-_=_N+_,SIDECHAINS__O-_
-2.681632e-05,0.010478443,4.0781888e-05,0.0031260997,-0.00422982,-0.0,-2.8142023e-05,0.021074254,-0.0,-0.07387132,0.0034500577,-0.0,-0.0,-0.0,0.0010129233,-0.022070171,-0.25729832,-0.0008870716,-0.017524421,-0.0,0.014248426,-0.0,-0.06238257,9.811355e-05,-0.0,-0.022178866,0.0063485256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.016349802,-0.0,-0.00013130184,-0.03819191,0.00021899665,-0.0,0.009939218,-0.0,-0.0,-0.0,-0.011690707,0.00041142426,-0.0,-0.0,0.004860052,-0.0,0.00038778892,-0.15007333,0.079474576,-0.0,-0.0002478917,-0.0,-3.120367e-05,0.0128928665,0.0019625942,-0.0,-0.0,3.9108483e-05,-1.9073068e-05,-0.0,-0.0,-0.0,-0.0017098559
0.0005360451,-0.005863167,4.0781888e-05,0.003924455,-0.0032646016,-0.0,-2.0057067e-05,0.03339257,-0.0,0.06301283,0.0034813795,-0.0,-0.0,-0.0,0.0010803201,-0.016584272,0.0077498783,-0.00057521934,-0.010117329,-0.0,0.0175172,-0.0,-0.0429962,0.004688412,-0.0,-0.06590799,0.007829553,-0.0,-0.0,-0.0,-0.0,-0.0,0.041360978,-0.0,-4.4770008e-05,-0.025849514,0.0006232131,-0.0,0.018725563,-0.0,-0.0,-0.0,-0.0030771594,0.0003873876,-0.0,-0.0,0.0056210207,-0.0,0.00061261957,0.3251896,0.09082019,-0.0,-0.0002686749,-0.0,-3.120367e-05,0.021241846,0.0015540087,-0.0,-0.0,5.2094867e-05,-1.4782629e-05,-0.0,-0.0,-0.0,-0.0009889303
-1.992613e-05,-0.0022211191,0.00019144651,0.00080606935,-0.0048736567,-0.0,-3.034759e-05,0.0072007068,-0.0,0.05433035,0.0018921804,-0.0,-0.0,-0.0,0.0009310491,0.15674515,0.00744212,-0.000253185,-0.009424811,-0.0,0.009476771,-0.0,-0.0363504,0.001596849,-0.0,0.01046944,0.006847593,-0.0,-0.0,-0.0,-0.0,-0.0,0.011116701,-0.0,-3.0844712e-05,0.53272545,0.0005214169,-0.0,0.017758692,-0.0,-0.0,-0.0,-0.002156742,5.037831e-05,-0.0,-0.0,0.0015721023,-0.0,8.367221e-05,-0.05155001,0.11512561,-0.0,-0.00024330767,-0.0,-2.0407122e-05,0.0083280075,0.0016428665,-0.0,-0.0,1.9762698e-05,-8.743574e-06,-0.0,-0.0,-0.0,-0.00086827343
-2.681632e-05,-0.0010669224,0.00019144651,0.0040144194,-0.0038649673,-0.0,-2.0057067e-05,0.0503581,-0.0,0.05697052,0.003335383,-0.0,-0.0,-0.0,0.00091639976,-0.014153549,0.011626421,-0.00069134077,-0.009603918,-0.0,0.012424699,-0.0,-0.070786886,0.002576509,-0.0,0.007921286,0.010818805,-0.0,-0.0,-0.0,-0.0,-0.0,0.007056226,-0.0,-5.6207755e-05,-0.022700015,0.0005792342,-0.0,0.022385797,-0.0,-0.0,-0.0,-0.0056793797,4.4628316e-05,-0.0,-0.0,0.002964134,-0.0,0.0008616009,0.39423758,0.086716376,-0.0,-0.0002739892,-0.0,-3.120367e-05,0.01271731,0.0017301734,-0.0,-0.0,3.5357654e-05,-1.1057293e-05,-0.0,-0.0,-0.0,-0.0012782615
-2.681632e-05,-0.025183886,4.0781888e-05,0.004055672,-0.0042851674,-0.0,-2.8142023e-05,-0.08844818,-0.0,0.0073713623,0.0072638458,-0.0,-0.0,-0.0,0.0015820868,-0.02122297,0.0012850543,-0.0012366612,-0.012957101,-0.0,0.010299529,-0.0,0.17322859,0.019955274,-0.0,-0.013818646,0.011513891,-0.0,-0.0,-0.0,-0.0,-0.0,0.026604246,-0.0,-9.467684e-05,-0.034050748,0.00038285085,-0.0,-0.022550875,-0.0,-0.0,-0.0,-0.004842269,4.1792817e-05,-0.0,-0.0,0.0018438478,-0.0,0.0011164079,0.40582323,0.11268086,-0.0,-0.00029133278,-0.0,-3.120367e-05,0.013361657,0.0012982977,-0.0,-0.0,4.0429437e-05,-1.9073068e-05,-0.0,-0.0,-0.0,-0.001336398
-2.681632e-05,0.06659762,5.038613e-05,0.0030833818,-0.0035504596,-0.0,-2.8142023e-05,0.037356067,-0.0,0.0074140895,0.004725493,-0.0,-0.0,-0.0,0.0009089457,-0.012448122,0.011348486,-0.0006699838,-0.008798112,-0.0,0.016036887,-0.0,0.030542783,-7.2151524e-05,-0.0,-0.040801305,0.011999258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.008538498,-0.0,-0.00013130184,-0.017316366,0.00059621444,-0.0,-0.07600096,-0.0,-0.0,-0.0,-0.007453022,4.6927555e-05,-0.0,-0.0,0.0055716382,-0.0,0.0010234957,0.4133326,0.11198736,-0.0,-0.00024227046,-0.0,-2.0399953e-05,0.011560581,0.0012201624,-0.0,-0.0,3.4057226e-05,-1.9073068e-05,-0.0,-0.0,-0.0,-0.0012529374
-2.681632e-05,0.012603646,5.038613e-05,0.0035833013,-0.0027031861,-0.0,-2.0057067e-05,0.036036596,-0.0,-0.03684078,0.0047473214,-0.0,-0.0,-0.0,0.00099398,-0.02158145,0.010728468,-0.0007845381,-0.009160039,-0.0,0.01779542,-0.0,0.14720511,0.0016975721,-0.0,0.051951576,0.009916311,-0.0,-0.0,-0.0,-0.0,-0.0,0.0040808,-0.0,-8.268409e-05,-0.028036578,0.00044166116,-0.0,0.0156001095,-0.0,-0.0,-0.0,-0.0047236346,3.27834e-05,-0.0,-0.0,0.0056291698,-0.0,0.00053194043,0.3355009,0.10797505,-0.0,-0.00027400482,-0.0,-3.120367e-05,0.016492737,0.0019729969,-0.0,-0.0,5.5111715e-05,-1.9073068e-05,-0.0,-0.0,-0.0,-0.000963522
-2.681632e-05,0.015847879,5.038613e-05,0.0038397182,-0.0023887132,-0.0,-3.774282e-05,0.034741998,-0.0,0.008574735,0.004489502,-0.0,-0.0,-0.0,0.000925411,-0.013966876,0.016562471,-0.00039158488,-0.008284382,-0.0,0.018152118,-0.0,0.10511473,0.003534863,-0.0,-0.016443625,0.009374711,-0.0,-0.0,-0.0,-0.0,-0.0,0.00012552459,-0.0,-9.3705254e-05,-0.022718532,0.00061049906,-0.0,0.023991218,-0.0,-0.0,-0.0,-0.0029980522,3.218768e-05,-0.0,-0.0,0.005425519,-0.0,0.0006135589,0.28358594,0.102912776,-0.0,-0.00024165212,-0.0,-3.120367e-05,0.018333565,0.0030332326,-0.0,-0.0,1.9818643e-05,-1.9073068e-05,-0.0,-0.0,-0.0,-0.0009271252
-2.681632e-05,0.003710377,4.0781888e-05,0.0024931373,-0.002838518,-0.0,-2.0057067e-05,0.03387964,-0.0,0.012094377,0.0030412283,-0.0,-0.0,-0.0,0.0010803201,-0.01669302,0.007736445,-0.0009088542,-0.010582127,-0.0,0.018004352,-0.0,0.17802528,0.0013896787,-0.0,0.06217596,0.008509381,-0.0,-0.0,-0.0,-0.0,-0.0,0.011189765,-0.0,-7.058258e-05,-0.02513983,0.00061049906,-0.0,0.017724255,-0.0,-0.0,-0.0,-0.0048140134,4.4628316e-05,-0.0,-0.0,0.00562115,-0.0,0.00015140421,-0.047432795,0.110895336,-0.0,-0.00029531308,-0.0,-3.120367e-05,0.014165888,0.0019593856,-0.0,-0.0,5.5111715e-05,-1.4782629e-05,-0.0,-0.0,-0.0,-0.0011849503
-0.00013922987,-0.023492804,1.7824721e-05,0.00064919144,-0.0019536656,-0.0,-0.00016946705,0.008295609,-0.0,0.043989282,-0.00069864764,-0.0,-0.0,-0.0,0.00031040979,-0.022018624,8.4907515e-06,-0.0005875102,-0.035305634,-0.0,0.00548647,-0.0,0.06053867,-0.0011260939,-0.0,0.07118462,0.0044630477,-0.0,-0.0,-0.0,-0.0,-0.0,0.0021517426,-0.0,-2.5784424e-05,-0.027938144,0.00024628945,-0.0,-0.0077158795,-0.0,-0.0,-0.0,0.00043637684,2.0115467e-05,-0.0,-0.0,0.00074157753,-0.0,-0.001204605,-0.059109766,-0.499466,-0.0,-0.0015480113,-0.0,-0.0002357685,0.005180989,0.00022497783,-0.0,-0.0,2.7166367e-05,-1.2430034e-05,-0.0,-0.0,-0.0,-0.0007650801
