LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.26690954,-0.09292551,0.009773247,0.48188722,0.47339818,0.05368137,0.1307836,-0.3007921,-0.22695942,-0.2801069,-0.013613274,-0.10657322,0.011645941,0.05200548,-0.02358301,0.029735839,-0.02006596,-0.024558278,0.00042410966,0.0042077,-0.0009437889,-0.0,-0.0,-0.06782332,0.023870245,0.0076317675,-0.0033420222,-0.08113796,-0.04705504,-0.015544066,-0.0073812865,0.0018137676,-0.0,0.0108699715,0.0034202004,0.053111695,-0.026153719,0.002568472,-0.005930811,-0.09593953,-0.042610183,-0.0,-0.0001468989,-4.540025e-05,0.018901404,-0.08213099,-0.15941331
0.020687979,0.074028924,0.1307461,0.6409586,1.4033966,0.07526998,0.11121027,0.06771871,-0.13697025,-0.00030670202,0.068946846,0.045429718,0.073905855,0.15602769,0.1890782,0.06800381,-0.020697834,0.13845553,-0.037145983,0.0035916292,-0.00045880637,-0.0,-0.0,0.035884656,0.06017253,0.01315979,0.0707631,0.46376967,0.1527802,0.05133605,-0.0022218411,0.0038391566,-0.0,0.013637411,0.0046124626,0.07413224,-0.01870827,0.010752557,0.04921975,-0.054421052,-0.021899274,-0.0,-0.0001495549,-5.0523504e-05,0.03027334,-0.05924422,0.046976574
-0.19061609,-0.033334106,0.16732293,0.37108693,0.29833457,0.053449452,-0.09087483,0.08481263,-0.020999182,0.15256037,0.15563811,0.071122974,0.13177231,-0.052525982,-0.15449175,0.031955075,0.21073203,0.10487561,0.0003314045,0.0027387992,-0.00052511913,-0.0,-0.0,0.10722662,-0.06651912,0.015360871,0.017761117,-0.2895488,-0.08168243,-0.030456223,-0.0015764143,0.0037996494,-0.0,0.014697883,0.008185829,0.06240702,0.20583774,0.027468873,-0.026834644,0.13509104,0.14334245,-0.0,-0.000146269,-4.755779e-05,0.008621937,0.16598773,-0.02076252
0.025944497,0.06522705,0.19703434,0.6884299,0.7526753,0.04924066,0.0094651915,0.016439326,-0.29650825,0.08172278,0.04725107,0.057560794,0.031837672,0.17219202,0.23791157,0.04887217,-0.011591426,-0.01641854,0.00053763064,0.0032905154,-0.00069527933,-0.0,-0.0,0.004586131,0.0836708,0.020363644,0.05294416,-0.21851651,-0.039028514,0.0060018334,-0.0049366266,0.002889269,-0.0,0.010527907,0.005147295,0.07490763,0.042032126,0.033096224,0.035831917,-0.09974192,0.17213447,-0.0,-0.00017361288,-5.3326814e-05,-0.047447182,0.032891817,-0.007799612
0.3051939,0.01731007,0.03347123,-0.06449264,0.0015076441,0.03946111,0.016542697,0.013596764,-0.09578013,0.08102297,0.073465526,0.035350747,0.047492523,0.091121264,0.014808516,0.05268166,-0.01730007,0.17996573,0.0009042438,0.003506935,-0.0007573925,-0.0,-0.0,-0.053292893,0.012865393,0.016589543,0.015581695,-0.17271054,-0.029888794,-0.0089099575,-0.008226577,0.0019961174,-0.0,0.011898593,0.0049498626,0.03452512,-0.009359397,-0.0018803235,0.015029272,-0.04588633,-0.0348896,-0.0,-0.00021906554,-7.121349e-05,0.01954024,-0.054072537,-0.088088624
0.2682144,0.6960256,0.09135497,-0.046532255,0.78869,0.040612668,-0.08409515,-0.07276207,0.36004475,0.23673318,0.24864355,-0.049445707,0.0107134525,0.08582718,0.02328491,0.09366451,-0.012780808,-0.041289818,0.0011001194,0.003607881,-0.00083167094,-0.0,-0.0,0.11996327,0.141601,0.013849643,0.0009720315,-0.23916875,-0.038856048,0.004122663,-0.0069544776,0.0022611113,-0.0,0.012015451,0.0053612613,0.04104138,0.05870732,0.09252456,0.0031221139,-0.04054141,-0.0615014,-0.0,-0.00018984904,-5.1726878e-05,0.014288116,0.021151233,0.03466123
0.069082044,-0.0712927,0.10341656,0.54146624,1.7541286,0.090584256,0.09334337,0.0075608324,-0.11840749,0.22994696,0.15224117,-0.006205666,0.09793555,0.17960736,0.02422385,0.034772553,-0.02212562,-0.003780716,0.0009835203,0.0032574916,-0.00055721495,-0.0,-0.0,0.062421832,0.08005726,0.017429354,0.04152213,0.4010208,0.108731456,0.042400658,-0.0017959401,0.0029940621,-0.0,0.012782147,0.005435551,0.061269134,-0.0071616066,0.0037727363,0.043859728,-0.09709054,-0.07727763,-0.0,-0.00017361288,-5.3666492e-05,0.022080898,0.046682566,0.012492619
0.2602201,0.021461733,0.13839012,0.51388097,1.3169457,0.08284123,0.12765054,0.12934637,-0.045133594,0.047946732,0.18324125,0.10764131,0.08908529,0.124976136,0.053375375,0.048470445,-0.017658073,0.0007129682,0.0010013386,0.0039289487,-0.00059761456,-0.0,-0.0,0.049873084,0.020151095,0.014114594,0.020726856,0.48401552,-0.03948825,0.17061661,-0.0028673445,0.0030481718,-0.0,0.0136810625,0.005188098,0.0596819,-0.009261689,0.0054500136,0.016863754,0.07599652,-0.045340188,-0.0,-0.00016089794,-4.3745298e-05,0.037262242,0.06372954,0.06424212
0.15677342,0.028066838,0.12680782,0.7233358,1.6783367,0.0854739,0.11514374,0.10901688,0.06827929,0.21890342,0.11137636,0.029008934,0.06507414,0.24584696,0.16174808,-0.051399406,-0.01909477,0.0054757334,0.0010242494,0.0037541003,-0.00055908645,-0.0,-0.0,-0.026514957,0.039579008,0.012596973,0.058719493,0.39859295,0.11791491,0.03978466,-0.0003067486,0.004335875,-0.0,0.019959912,0.0068779904,0.04764986,0.006602492,0.02505479,0.058124866,-0.07546317,-0.03875138,-0.0,-0.00017062979,-5.3666492e-05,0.040400874,-0.036775403,0.043555014
-0.24904105,-0.064369105,-0.2628715,-0.124141365,-1.2730324,0.018890053,-0.106780894,-0.06759359,-0.17823529,-0.11256842,-0.12251784,0.029771281,0.024850078,-0.03275009,-0.043122012,-0.053131048,-0.016152484,-0.015000716,0.000265608,0.0021926218,-0.00061311485,-0.0,-0.0,-0.009477346,-0.03515405,0.0031518044,-0.040904395,0.19537117,-0.0068771886,-0.03398152,-0.055290725,0.0040435004,-0.0,-0.2868736,-0.114775695,-0.0004728306,0.072517134,-0.02133879,-0.0023952723,-0.05512983,-0.07590354,-0.0,-0.0013387038,-0.0004668371,-0.010687873,0.03161034,-0.09820732
0.06911525,-0.02816278,0.0967949,0.50060076,0.71705127,0.054428276,0.054290082,0.0752845,0.0635471,0.21092671,0.12253555,0.0892874,0.11886899,0.16517822,0.100028634,0.036370814,0.24891137,-0.0057956553,0.0004899355,0.0031389964,-0.00074398017,-0.0,-0.0,0.047963653,0.010249394,0.01996029,0.057953343,-0.13300039,-0.01751067,-0.008392602,-0.003496961,0.0030041593,-0.0,0.012353228,0.004747753,0.045902476,0.036607713,0.010891859,0.044160422,0.03929833,0.12184487,-0.0,-0.00018547858,-5.9217306e-05,0.036549363,0.040017467,0.05799981
0.02287517,-0.036825586,0.27472326,0.51606077,0.3866945,0.03520319,0.06850936,-0.004995605,-0.16501856,-0.08401524,0.042142447,0.04197431,-0.026027119,0.16686772,0.104913525,0.058979515,0.22041757,0.1934223,0.0006308362,0.004153828,-0.0008512575,-0.0,-0.0,0.014793201,0.010134626,-0.273222,0.07198177,-0.23258954,-0.04550276,-0.0031189057,-0.003504318,0.0033263771,-0.0,0.010209893,0.0040596672,0.085807785,-0.015834322,0.012088253,0.028340971,0.0411437,-0.009624935,-0.0,-0.00016192188,-5.144793e-05,0.054794796,0.01763206,0.07274343
-0.40003404,0.077609934,0.15383671,-0.12887232,-0.51568145,0.03195045,0.06711728,0.040489655,0.055527657,-0.1516114,0.15168275,-0.103945985,-0.034315746,0.08862848,-0.15071845,0.047582276,-0.014745711,-0.032542855,0.0005144458,0.0031799155,-0.0008027423,-0.0,-0.0,-0.14040597,-0.0017351699,0.009734225,-0.05939684,0.5145536,0.18322752,0.033574224,-0.008305701,0.0031733501,-0.0,0.0155180385,0.005782545,0.03757877,0.016605493,0.046680868,-0.11938854,-0.039979756,-0.097291134,-0.0,-0.00019711028,-5.5260134e-05,-0.039983906,-0.080244765,0.04590679
-0.040090468,-0.023868205,-0.12653103,-0.41785052,-0.9277182,0.015673457,0.09631585,-0.08337663,-0.081463635,0.06153812,-0.11109251,0.02138969,-0.027804082,0.054963265,0.054416765,-0.11258196,-0.012770881,-0.012241837,0.0005539899,0.0021789095,-0.00089996774,-0.0,-0.0,0.020216146,0.04330103,0.0044899024,-0.008375074,0.31487244,-0.050341494,-0.05880385,0.45946202,0.005856189,-0.0,-0.16094822,-0.0583641,0.01820665,-0.0019196467,0.019052204,-0.025865074,0.027197067,-0.0836692,-0.0,-0.0013173884,-0.00046632372,0.03987239,-0.0030156171,-0.03391444
0.07598034,0.2214079,0.13802166,0.45100427,0.97092056,0.06313072,0.049587432,0.17132951,0.17552473,0.06537951,0.20666741,0.2421833,0.06706613,-0.029281862,0.111972295,0.07750873,-0.016363796,0.16460496,0.00059117127,0.00423951,-0.0005232683,-0.0,-0.0,0.00029299268,0.109673396,0.015355745,0.012669133,0.57302123,0.120847486,0.045970578,-0.0046168393,0.0044686208,-0.0,0.018653573,0.008793866,0.06562192,0.03797268,0.025639025,0.011156586,-0.034288146,-0.06465971,-0.0,-0.00016617501,-4.9342445e-05,0.035858583,0.0011918735,-0.014125896
-0.09237461,-0.0047376365,-0.2454708,-0.3146149,-1.1327405,0.01794352,0.09185304,-0.08559101,-0.08264186,0.03647248,-0.1349535,-0.020200215,0.048076894,-0.051793255,-0.037142783,-0.11456936,-0.01181058,-0.010546197,0.00057326816,0.002399625,-0.00089691754,-0.0,-0.0,-0.015708221,-0.014574507,0.0056008375,-0.012493942,0.29854676,0.008738507,0.14397424,0.2725666,0.0044692284,-0.0,-0.21892226,-0.06927717,-0.02471493,-0.017205236,0.0043073054,-0.044264853,0.123671725,0.13301912,-0.0,-0.0011547824,-0.00046623164,0.026300056,0.07551536,-0.08545102
-0.21347712,-0.038749192,0.2013548,0.6046794,0.2478207,0.047387622,0.04645522,0.045333672,0.014707244,0.14056592,0.03405414,0.0647284,0.09010334,0.21681157,0.07756268,0.027307881,-0.019390432,0.0032275594,0.00056751433,0.0032152869,-0.00081707706,-0.0,-0.0,0.047344204,0.14141604,-0.2741477,0.0024995573,-0.19379425,-0.05238473,-0.015735118,-0.005009124,0.002075882,-0.0,0.024491372,0.01108026,0.04254085,-0.011185705,0.040621024,0.025023157,0.07296172,0.10224866,-0.0,-0.00018030629,-5.3666492e-05,-0.03480523,0.01174573,0.0126496265
0.09150341,0.005457276,0.055678714,0.53348297,1.1852342,0.060869534,0.12853229,0.099579,-0.09486967,0.010719485,-0.104593135,-0.044057168,0.037824046,0.1459386,0.051604856,0.051639725,-0.016620254,-0.008467861,0.00091878104,0.0035734843,-0.00053172425,-0.0,-0.0,0.017884139,0.107224986,0.016575783,0.0169213,0.32399717,-0.02743761,-0.06011013,-0.0021292004,0.0036363103,-0.0,0.013568158,0.004901757,0.04412419,0.062056676,-0.02260411,0.002052003,0.057825375,-0.09558924,-0.0,-0.00020876009,-6.7662986e-05,0.009363435,0.10312294,0.04944477
0.28201744,-0.036564883,0.14666854,0.66103405,1.5296931,0.08509375,0.16754347,-0.09457336,0.29070002,-0.13304679,0.22427149,-0.03470647,0.090351574,0.16947559,-0.04007018,0.053873006,-0.013252805,0.017454114,0.0019917958,0.0040053837,-0.0006290077,-0.0,-0.0,-0.012787487,0.024201663,0.013373268,0.008471686,-0.20723253,-0.039351337,-0.011057052,-0.002411834,0.0024287365,-0.0,0.0110444315,0.004188708,0.05179764,-0.00016219831,0.025782175,0.013143592,-0.07143732,-0.032058205,-0.0,-0.00013958731,-4.1931446e-05,0.031620886,-0.044801943,-0.06553677
0.07622706,-0.03176094,0.23224966,0.5174555,0.70408815,0.054322697,0.05810106,0.04378735,0.09671138,-0.034057464,-0.114514835,0.054464284,0.026946686,0.16832219,0.15960707,0.03471351,-0.015839081,-0.004993299,0.000661763,0.003696862,-0.00066692504,-0.0,-0.0,0.06255787,0.1428891,0.016365137,0.036071196,-0.11312645,-0.012478932,-0.0019504968,-0.0014138261,0.0026830586,-0.0,0.009845682,0.0045065233,0.06747976,-0.024296101,0.022581024,0.047311928,0.055986438,0.2162964,-0.0,-0.00023522055,-6.114497e-05,0.029993018,0.01882831,0.04895532
0.01170979,0.05879297,0.08074018,0.37958023,0.34208736,0.05242962,-0.027205424,0.098651364,-0.01960533,-0.09204524,-0.06120538,0.064215355,0.13720016,0.04123982,0.09161669,0.04160065,0.21318583,-0.013830744,0.00029358634,0.0027682807,-0.0005257116,-0.0,-0.0,0.1559428,0.0968581,0.0076563195,0.05379631,0.3197228,0.30728066,0.063030295,0.0032672475,0.0045059947,-0.0,0.01606182,0.008615627,0.057627514,0.066367775,0.033263396,-0.002637603,0.28742778,0.19529456,-0.0,-0.00017572977,-4.3913176e-05,0.019593708,0.27222994,0.00551701
