number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.8911651728553137,0.8911651728553137,3,0.5620296272549872,39,1.3228728314904803,0.020351993790675364,15,10,930,1.079099687069246,0.15472722896277602,3,5,0.8389881181495695,COMPLETE,0.791329579407033,0.8911651728553137
1,0.8770806658130602,0.8770806658130602,3,0.6005851814868687,31,2.6873839653313554,0.013200731491137119,8,6,380,4.984625379079773,1.7170514823415228,3,5,0.4426413894850154,COMPLETE,0.7422106029265303,0.8770806658130602
2,0.885403329065301,0.885403329065301,3,0.6156240563672216,157,2.694505958588876,0.01179599030630388,18,10,447,4.783212254642134,0.6120724573637759,3,5,0.8425672574965859,COMPLETE,0.7641404274879338,0.885403329065301
3,0.8751600512163893,0.8751600512163893,3,0.53006689542252,24,4.199128073017835,0.0016258947202837629,12,8,1148,1.156138505722164,2.261896462970778,3,5,0.9502586023363927,COMPLETE,0.7351968896039225,0.8751600512163893
4,0.8866837387964148,0.8866837387964148,3,0.4440559624055259,113,1.568715896416405,0.04542475617991603,25,11,394,1.76470748523111,0.5803461567150703,3,5,0.5433649950822734,COMPLETE,0.7838734390561556,0.8866837387964148
5,0.8962868117797695,0.8962868117797695,3,0.8093623803878244,121,0.1968334925518761,0.010534811805782968,19,5,1239,2.949742774813731,3.871499709968387,3,5,0.7648347109290082,COMPLETE,0.8014115528997164,0.8962868117797695
6,0.8796414852752881,0.8796414852752881,3,0.5865057032354776,299,2.4958444690587522,0.054813181890710216,4,4,1467,2.975961331027885,2.230395802875482,3,5,0.5088471485496889,COMPLETE,0.7777350034474833,0.8796414852752881
7,0.8783610755441741,0.8783610755441741,3,0.442538698565491,15,0.8956845731921892,0.0050109102477517466,10,5,1367,0.20343888994800108,4.512453285881893,3,5,0.8523649627738205,COMPLETE,0.7303799892744963,0.8783610755441741
8,0.8783610755441741,0.8783610755441741,3,0.7233499630037526,202,2.6664218023508,0.010093238919693036,22,13,1621,0.8636396748502134,3.499073792460446,3,5,0.4162958683060054,COMPLETE,0.7777350034474834,0.8783610755441741
9,0.882202304737516,0.882202304737516,3,0.525747730373828,158,1.4488322162146927,0.2138998279652981,5,4,541,3.697727230375217,3.9456153597284964,3,5,0.7676852073096773,COMPLETE,0.7834444189075309,0.882202304737516
