LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.24088751,-0.25364745,0.07595886,0.39483738,0.46715844,0.038197093,0.068886586,-0.11013963,-0.13533089,-0.15873289,-0.087734416,-0.10069621,0.007010023,0.049423058,-0.044161238,0.0017493482,-0.02099483,-0.008808797,0.00012189883,0.0025075953,1.6511445e-05,-0.0,-0.0,-0.1442427,-0.03918525,0.007980473,0.016461287,-0.12369921,-0.07640986,-0.028578745,-0.01039979,0.0005547229,-0.0,0.015046741,0.004777587,0.04255749,-0.03814495,0.0017138037,0.0062363967,-0.05755982,-0.06365513,-0.0,-0.00030061838,-0.00012155435,-0.0045212475,-0.13468273,-0.21578722
0.1669211,0.05842878,0.12948816,0.5008824,1.2538428,0.058136124,0.10455979,0.07912735,-0.061683577,0.054221112,0.043964036,0.05155172,0.08795739,0.18632205,0.29997557,0.020910988,-0.015573295,0.07309104,-0.0020839125,0.0024392174,1.14265695e-05,-0.0,-0.0,0.07838921,0.031118162,0.010545463,0.00837945,0.3241311,0.23368685,0.069643416,-0.0042183436,0.0023132847,-0.0,0.02100276,0.007095906,0.060512457,-0.02615481,0.010046004,0.030191686,-0.059986196,0.004995152,-0.0,-0.00027259177,-0.000115378665,0.021838328,-0.1527276,-0.007007579
0.07467045,-0.11403355,0.10178826,0.23720348,0.37634695,0.04113797,-0.038786095,0.076157026,-0.021024073,0.073666476,0.037590444,-0.0016063072,0.10481656,0.06414524,-0.14519288,0.008643866,0.22353287,0.041665114,0.00038729465,0.0016549242,-0.00015669,-0.0,-0.0,0.07852358,-0.03812004,0.011405002,0.009066232,-0.21332292,-0.08623985,-0.017095461,-0.005650796,0.0012954582,-0.0,0.021787047,0.0061998027,0.044024844,0.11953317,0.024100158,-0.012130926,0.20964658,0.115733914,-0.0,-0.00025530087,-9.564868e-05,-0.0034307793,0.2074864,0.021698859
0.22643916,-0.10654041,0.16753279,0.57867664,0.99059,0.052022856,0.07090847,0.073781334,-0.16451332,0.19333924,0.071725495,0.033992246,0.052432556,0.214772,0.24967825,0.008644572,-0.00997771,-0.015012186,0.00010315177,0.00251014,-3.30213e-05,-0.0,-0.0,-0.033670478,0.08153543,0.020107381,-0.043513574,-0.19429104,-0.072965965,0.0054451264,-0.006800731,0.0015315227,-0.0,0.015314724,0.0045444933,0.050862774,0.017573152,-0.019724807,-0.03132954,-0.12841606,0.11153881,-0.0,-0.00031049224,-0.00013237682,-0.022887427,0.018212829,0.039056774
-0.1723093,0.0077266283,0.08752654,-0.060911015,0.30264604,0.03981923,0.11725821,0.040607136,-0.06260826,-0.008020974,0.006480897,0.019651243,0.0012397934,0.06662818,0.024030928,0.010973902,-0.020662688,0.21731247,0.0001700115,0.0023148148,-4.7439253e-06,-0.0,-0.0,-0.07164348,-0.02857166,0.012364063,0.018497374,-0.14075208,-0.064822435,-0.016452588,-0.007951007,0.0012364973,-0.0,0.019025225,0.004752417,0.025719885,-0.011035012,-0.008056556,0.033347894,-0.066411875,-0.033258397,-0.0,-0.00030090634,-0.00014982981,0.007035085,-0.058588326,-0.08497517
0.085881636,0.14225912,-0.13290775,0.05844464,0.7920933,0.0400217,-0.013958447,-0.041729826,0.4094794,0.25058627,0.24756488,0.03313332,0.13621038,0.1376691,0.0826634,0.05340064,-0.011654917,-0.021451974,0.0006221422,0.0026052843,1.859101e-05,-0.0,-0.0,0.08696626,0.07058933,0.013605154,0.023201635,-0.20260784,-0.061247986,-0.004128655,-0.007912126,0.0015663122,-0.0,0.020367436,0.005618043,0.039071105,0.065411605,0.059983708,0.034544606,0.00084771466,-0.016069964,-0.0,-0.0002904579,-0.00011648905,0.0042439573,0.00803676,0.022843521
0.3864384,-0.042613443,0.0931952,0.489536,1.6011498,0.06622332,0.14174382,0.00870379,-0.04245728,0.2757149,0.13924828,0.0041763606,0.105092466,0.2501074,-0.0072200526,0.0069481716,-0.020572059,0.018462945,0.0001162781,0.0024320183,1.2836654e-05,-0.0,-0.0,0.08604224,0.060645375,0.011859666,0.0060955,0.3813492,0.20005934,0.040711213,-0.0038175604,0.0023240938,-0.0,0.02003379,0.0068779783,0.051694553,-0.015927218,-0.016420113,0.03260716,-0.10049717,-0.03389636,-0.0,-0.00032310328,-0.00013334816,0.016335549,0.059142996,-8.873916e-06
0.18743086,-0.05025563,0.16526301,0.44797635,1.228125,0.061618533,0.13657539,0.117864676,-0.017123032,0.079606354,0.10588332,0.07252012,0.09029872,0.1928697,0.08751329,0.015148582,-0.015647942,0.017210644,0.00030152203,0.0026631225,2.5581714e-05,-0.0,-0.0,0.07215746,-0.0004865504,0.012026584,0.057881117,0.47090104,-0.066932015,0.16726248,-0.005895555,0.0016756516,-0.0,0.02208228,0.0076325126,0.05438512,-0.00847622,0.014045503,0.024923706,0.07295353,-0.022137055,-0.0,-0.0002699436,-0.00012002828,0.020044247,0.06283888,0.02858612
0.18185928,-0.024245054,0.15010676,0.63384086,1.185167,0.06201401,0.1145961,0.095150575,0.039455615,0.29447427,0.093098864,0.023880744,0.0817676,0.25561845,0.3091032,-0.05985149,-0.021073345,0.0128821945,9.750724e-05,0.0023588748,-2.215572e-05,-0.0,-0.0,0.013924708,0.05310444,0.011954577,0.045291606,0.3306254,0.15289663,0.047885895,-0.004237038,0.0018895597,-0.0,0.022766024,0.007016313,0.047589716,0.012248041,0.011144828,0.03877089,-0.068606384,-0.014720408,-0.0,-0.0003415982,-0.00014377786,0.030990854,-0.07796777,0.016098233
-0.15365328,0.046280608,-0.33529553,0.0015737435,-1.3218535,0.014706424,-0.16129935,-0.009889603,-0.19293408,-0.14946617,-0.123493835,-0.0010360958,0.032833464,-0.030793542,-0.016534548,0.19135648,-0.017146084,-0.009555048,6.0017417e-05,0.0010130869,-2.1761884e-05,-0.0,-0.0,-0.021583932,-0.023807202,0.0023254007,-0.024037275,0.1979975,0.055104166,0.03522215,-0.0410562,0.002129302,-0.0,-0.32130033,-0.10965464,-0.038383145,0.046096195,-0.010330345,0.015952462,-0.07849154,-0.056614347,-0.0,-0.001689796,-0.0008535173,0.0003669049,0.07081118,-0.045188025
