number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.9517676499717034,0.9517676499717034,3,0.9380077226955729,262,2.143009280282333,0.002151080476173534,15,2,1558,0.749506009491348,0.34812238402494367,3,5,0.9931925538089087,COMPLETE,0.795263540948441,0.9517676499717034
1,0.9484560696095078,0.9484560696095078,3,0.4327450320867102,126,0.7177170966442153,0.04622312250703775,13,12,406,2.0811172836609853,2.5119883636543423,3,5,0.5804021811932477,COMPLETE,0.7891365969508926,0.9484560696095078
2,0.9426181380871533,0.9426181380871533,3,0.8327426382562672,210,0.3912674172750952,0.005645640096038153,7,11,1368,0.8005670933861048,2.066360805775612,3,5,0.556679205170685,COMPLETE,0.7711541408105417,0.9426181380871533
3,0.9255676994906622,0.9255676994906622,3,0.7047367433729542,92,1.3535457337497125,0.006549085963534948,5,9,406,4.140867344711527,4.292095418183244,3,5,0.85130323208306,COMPLETE,0.7045162031716846,0.9255676994906622
4,0.9416153791737408,0.9416153791737408,3,0.6454137770647143,243,2.164980931194149,0.0029322837481657485,25,6,1726,4.775909996499052,1.983960485681019,3,5,0.573323120785663,COMPLETE,0.7579962460736995,0.9416153791737408
5,0.9394391977928692,0.9394391977928692,3,0.7967757880381079,277,1.61916199839511,0.01249609966593589,27,4,187,2.901124340361944,1.5612412311496686,3,5,0.4399320848719699,COMPLETE,0.7514172987052785,0.9394391977928692
6,0.9475965619694398,0.9475965619694398,3,0.963203679049562,173,0.3372365508096009,0.004950307909477984,23,14,1834,2.1364487070685705,3.472627835134472,3,5,0.7257030690184731,COMPLETE,0.7843062897418218,0.9475965619694398
7,0.9402889784946237,0.9402889784946237,3,0.7173221473977313,83,2.046383333974603,0.005716125944196606,10,11,1305,2.613733485048846,3.00959354134715,3,5,0.4562629586374985,COMPLETE,0.752731172910442,0.9402889784946237
8,0.9507277518392756,0.9507277518392756,3,0.8828672505478323,232,1.3977457688510113,0.028186672666093288,13,8,510,1.24890737837746,3.395108552197893,3,5,0.928602917788636,COMPLETE,0.7948402666053781,0.9507277518392756
9,0.9458333333333333,0.9458333333333333,3,0.5437233272244242,285,1.5544757265044047,0.06568597495571213,4,14,1477,1.7178035134078395,0.4948501290084317,3,5,0.5699382707030547,COMPLETE,0.7799222400980618,0.9458333333333333
10,0.9471049094510469,0.9471049094510469,3,0.9939090822997425,29,3.8532455461754553,0.0012027012186361713,19,2,987,0.39790489303727644,0.14304071818873654,3,5,0.9843185340927063,COMPLETE,0.7799030874128554,0.9471049094510469
11,0.9490794779286927,0.9490794779286927,3,0.8733394899526152,215,3.300963273463351,0.23351791794126256,16,1,857,1.0908722076737594,4.82386444038538,3,5,0.9727313567713988,COMPLETE,0.7948230291886923,0.9490794779286927
