LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.22947913,-0.2468813,0.04573906,0.3791449,0.51370907,0.04012692,0.08484011,-0.12151219,-0.1505159,-0.24650264,-0.017064892,-0.100383654,0.02096454,-0.03763826,-0.040435128,0.00732914,-0.020218823,-0.013915788,0.0002311838,0.0041684746,0.0005627354,-0.0,-0.0,-0.15890864,-0.021778751,0.00904849,-0.005844805,-0.096033975,-0.06843281,-0.033155747,-0.0122383535,0.00077021954,-0.0,0.011137054,0.0035111108,0.058001358,-0.029923294,-0.0008234224,0.011520499,-0.06981441,-0.043952864,-0.0,-0.00034196637,-0.00012181636,0.008110415,-0.12988748,-0.23310024
0.23581167,0.114289865,0.10220936,0.52865374,1.4996887,0.068133205,0.11085108,0.104654536,-0.037845973,0.07743176,0.089615665,0.06330386,0.083318815,0.09828761,0.33810288,0.025675973,-0.013431955,0.059352424,-0.0105371345,0.0033438888,0.0005811498,-0.0,-0.0,0.09775331,0.033512898,0.017279793,0.027399193,0.3716094,0.31171235,0.06414356,-0.0068948995,0.0019149471,-0.0,0.018012235,0.0056085447,0.07065669,-0.021946292,-0.00014880407,0.021628337,-0.074504934,-0.0063465107,-0.0,-0.00027251497,-0.00010234311,0.02803513,-0.13126487,0.020702302
0.080667175,-0.13104928,0.10634063,0.2371949,0.38420466,0.04210457,-0.06220919,0.07099515,-0.09437795,0.11410795,0.057066746,0.018459246,0.12168775,0.011550528,-0.1987403,0.014769137,0.2616534,0.0155836055,0.00021396622,0.0020129087,-6.6099165e-07,-0.0,-0.0,0.15385753,-0.037747584,0.014290782,-0.0015321677,-0.25023577,-0.118439496,-0.005958441,-0.0070573287,0.0009736721,-0.0,0.017696314,0.005187059,0.050700977,0.18043448,0.06053533,-0.021865405,0.21763052,0.081494614,-0.0,-0.00023445449,-0.00010308811,-0.001146395,0.1968423,0.0073057185
0.22210756,-0.1196803,0.15588151,0.61072856,1.101446,0.05580536,0.0712437,0.09521734,-0.16331562,0.18746231,0.048767384,0.035757344,0.07518909,0.21271545,0.3346082,0.01482711,-0.01042484,-0.0046058465,-0.00019924848,0.0034392274,0.00053175894,-0.0,-0.0,-0.011359031,0.13175559,0.022766119,-0.024880009,-0.21722277,-0.07147699,0.018922253,-0.008609223,0.0009514123,-0.0,0.014218876,0.004457523,0.069574594,0.01959015,-0.015302861,-0.021922095,-0.13252763,0.118534364,-0.0,-0.0003218347,-0.00010956381,-0.014987969,0.03451064,0.028918598
-0.17947812,-0.049860716,6.33871e-05,-0.100008026,0.30848265,0.036735352,0.1575245,0.016843734,-0.13939542,-0.0064707226,0.023240978,0.04018976,-0.00639172,0.01980366,0.02735167,0.018544102,-0.02323217,0.1995513,0.0002530263,0.003378478,-0.00012543115,-0.0,-0.0,-0.076281436,-0.03313152,0.012011441,0.028991366,-0.17744125,-0.06934595,-0.016137796,-0.0102768615,0.0014657688,-0.0,0.015177105,0.0032664894,0.019293554,-0.0026037416,-0.0044680485,0.031467,-0.07557791,-0.032969598,-0.0,-0.00035936953,-0.00013725457,9.751454e-05,-0.07277651,-0.10260024
0.08567028,0.17466028,-0.24722384,0.0029468152,1.0203865,0.040224545,-0.041954584,-0.060313653,0.45064583,0.2914303,0.27152053,0.020931326,0.11307797,0.09102725,0.019753916,0.057625268,-0.008688571,-0.020478962,-8.390512e-05,0.0038278191,5.2475123e-05,-0.0,-0.0,0.094652005,0.09207833,0.010346616,0.0063819312,-0.23079252,-0.07853299,-0.001611165,-0.009573371,0.0012313529,-0.0,0.013667927,0.0039265878,0.048409928,0.07783297,0.104779065,0.0194175,0.011434575,-0.021326192,-0.0,-0.0002878504,-0.000111240115,-0.0009958298,0.016565101,0.034017347
0.4051488,-0.08263751,-0.026334114,0.48360166,1.8351144,0.07294326,0.12871039,0.00083887787,-0.05212751,0.29365358,0.15528321,0.0056109517,0.19047685,0.19021364,-0.009730189,0.005330517,-0.01958633,0.01266111,0.00015864207,0.0035889295,0.0005883955,-0.0,-0.0,0.09264984,0.09033173,0.016531548,0.024655955,0.39678586,0.14603227,0.047140315,-0.0060588354,0.0024292746,-0.0,0.017025668,0.0057194675,0.058777016,-0.040434718,-0.013430053,0.04095048,-0.12111339,-0.048742454,-0.0,-0.0003456407,-0.0001281842,0.02446057,0.07529945,0.03164223
0.1697566,-0.10323472,0.07401094,0.4595586,1.3351923,0.06707148,0.13377768,0.17186552,-0.10198258,-0.0172121,0.12713373,0.07355855,0.09621583,0.15496185,0.04563926,0.015376376,-0.014371443,0.02563659,0.0010688729,0.004210324,0.00063706754,-0.0,-0.0,0.080443256,-0.006404408,0.014903267,0.028070956,0.4629077,-0.07655416,0.22633299,-0.0075422768,0.0010584721,-0.0,0.018262103,0.005926889,0.05844905,-0.007987501,-0.0051795794,0.027585272,0.10793026,-0.035876043,-0.0,-0.00032038288,-0.00014631293,0.015268598,0.100021504,0.02541692
0.19398305,0.0011429717,0.063961715,0.62668943,1.2873687,0.067006886,0.099934906,0.1213761,0.13984244,0.3243566,0.050429374,0.023200683,0.0712313,0.23295225,0.31678376,-0.042705897,-0.017694805,0.0075597493,0.00043151883,0.0036114834,0.0005268517,-0.0,-0.0,0.042992085,0.050491165,0.016002841,0.07030355,0.31627625,0.19034913,0.05331055,-0.006213811,0.0015006047,-0.0,0.017753966,0.0055444655,0.053046536,0.009829447,0.03098292,0.046279352,-0.08526111,-0.020008385,-0.0,-0.00037253316,-0.00013903918,0.028350115,-0.086848274,0.0489366
-0.19801235,0.08040176,-0.24774185,-0.036819372,-1.5262738,0.008524882,-0.16690536,-0.036373366,-0.23435712,-0.083599165,-0.12683496,-0.025211247,0.027565632,-0.05291101,0.0035961638,0.13021056,-0.015236484,-0.011731552,7.622722e-05,0.0014620299,-5.989766e-05,-0.0,-0.0,-0.0056276037,-0.00031015827,0.002119842,-0.020685477,0.2224399,0.046803787,0.030836377,-0.03366418,0.0024755506,-0.0,-0.26541546,-0.08751526,-5.8402155e-05,0.07417472,-0.012927034,0.007040596,-0.105060786,-0.08549264,-0.0,-0.0030334678,-0.0014746962,0.005961403,0.079417996,-0.088209465
