number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.8481430390492359,0.8481430390492359,3,0.7406335050371807,117,2.9501808051812546,0.0010742754396816684,13,9,473,1.5662676643930724,4.373936082248245,3,5,0.5704917290129975,COMPLETE,0.7334425036390102,0.8481430390492359
1,0.8752246038483305,0.8752246038483305,3,0.5820799187752342,210,0.5957379342875446,0.19690896222071005,10,5,540,2.3144893240039,1.6299814139768536,3,5,0.47069567111764726,COMPLETE,0.7996418447866391,0.8752246038483305
2,0.8607243916242218,0.8607243916242218,3,0.5290696088538447,109,2.7612028048582897,0.02127787060704654,4,2,1440,3.0565447558087646,3.6631784432837904,3,5,0.6134359901547577,COMPLETE,0.7742185704435762,0.8607243916242218
3,0.8607243916242218,0.8607243916242218,3,0.5450684961357393,217,3.8152561141911256,0.037138866773966155,10,1,449,3.3233292775903074,3.732683178717507,3,5,0.6257058856344057,COMPLETE,0.7711503102735003,0.8607243916242218
4,0.8708580928126768,0.8708580928126768,3,0.7006119248037337,195,1.9663227679563966,0.0037419484334117767,27,10,1835,0.656957993623033,0.49913521683509543,3,5,0.5129609846873641,COMPLETE,0.7807994330805179,0.8708580928126768
5,0.872743350311262,0.872743350311262,3,0.6348689833825225,69,1.056230683594499,0.020771173313992322,18,9,1503,2.845862769335003,2.3662098822770266,3,5,0.902048634962538,COMPLETE,0.7908890676472841,0.872743350311262
6,0.8752440577249576,0.8752440577249576,3,0.9093890443618028,270,1.85869503523446,0.13512956643951765,29,9,1482,2.4566616610996563,4.453368794544286,3,5,0.7254021799328523,COMPLETE,0.7851930590668811,0.8752440577249576
7,0.8481430390492359,0.8481430390492359,3,0.6397468507632315,293,1.281715517130107,0.0017969393862220075,16,15,644,0.9505262623966154,2.237988127802437,3,5,0.653364361676993,COMPLETE,0.7365088485405653,0.8481430390492359
8,0.8589700056593095,0.8589700056593095,3,0.7648685460234151,78,4.74894502536844,0.04230976201228133,4,13,800,2.2163531962174488,1.9656075572852472,3,5,0.7286128793610651,COMPLETE,0.7474775913583084,0.8589700056593095
9,0.836870401810979,0.836870401810979,3,0.9964278944747064,145,1.291969520385368,0.0013116227978585073,27,13,772,4.735671425218951,0.9505587580638153,3,5,0.6692575051210188,COMPLETE,0.7312514364513903,0.836870401810979
