number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.8226691042047533,0.8226691042047533,3,0.9511766282429698,173,3.6011318213748975,0.06825011761700268,11,6,1010,3.438047107866291,4.071646368178144,3,5,0.473453741616421,COMPLETE,0.7755362751857812,0.8226691042047533
1,0.8416289592760181,0.8416289592760181,3,0.8321830207334108,90,1.8640186275844388,0.037837043770498215,11,9,1198,1.0244698969685722,3.148304451305667,3,5,0.4136092690306832,COMPLETE,0.7869397839577108,0.8416289592760181
2,0.8181818181818182,0.8181818181818182,3,0.8761497370951693,210,3.5592440515365475,0.022395605169435978,3,5,593,3.8333412576445456,2.241761208554596,3,5,0.41004321566954016,COMPLETE,0.7334463341760515,0.8181818181818182
3,0.8207985143918292,0.8207985143918292,3,0.618894165930133,80,0.4881119435687903,0.004797836304343845,12,10,457,4.949378692190524,1.61840617657257,3,5,0.7622871669864734,COMPLETE,0.7413334099440742,0.8207985143918292
4,0.8440036068530208,0.8440036068530208,3,0.831178205547306,204,0.6881062959437145,0.0844995056987728,6,3,772,0.31765141423091225,3.3041642840873138,3,5,0.6764026582182705,COMPLETE,0.8145541254883935,0.8440036068530208
5,0.8308823529411765,0.8308823529411765,3,0.7311106010132951,150,4.8703030497594915,0.0749872448603014,5,10,1750,0.8439331181099274,4.191553267656945,3,5,0.7789075993629728,COMPLETE,0.7654523864245768,0.8308823529411765
6,0.8347031963470319,0.8347031963470319,3,0.8839565056052785,84,4.794917410268836,0.00404277914948981,26,7,1539,1.7848639801718136,0.6403093504046098,3,5,0.5265905965077653,COMPLETE,0.7584348425649277,0.8347031963470319
7,0.8387681159420289,0.8387681159420289,3,0.8542174024451119,64,3.5930857720642684,0.12671508895797204,22,14,1752,4.850731349955188,1.5364421991965727,3,5,0.8433433691651562,COMPLETE,0.7602064659465257,0.8387681159420289
8,0.8426763110307414,0.8426763110307414,3,0.7580702303294747,153,1.0097929241841264,0.00505388244832713,11,5,1000,1.1982127524924069,3.475928435129357,3,5,0.6402772877364116,COMPLETE,0.7856239944840266,0.8426763110307414
9,0.8340888485947416,0.8340888485947416,3,0.6994584374372693,278,1.7865388150699435,0.003275057208603182,14,11,1965,2.5570846024147578,3.5749933663491524,3,5,0.9000681743587728,COMPLETE,0.7816785413314947,0.8340888485947416
10,0.8532608695652174,0.8532608695652174,3,0.4092810007344567,296,0.48981333613891964,0.28857858242802115,20,1,120,0.17709256926252193,4.929030979158644,3,5,0.6290422633288855,COMPLETE,0.8057879414693939,0.8532608695652174
11,0.8473351400180669,0.8473351400180669,3,0.412749738903381,298,0.0301490716743118,0.20622893402476983,20,1,206,0.0006746983868421985,4.74729911168045,3,5,0.6266966840294554,COMPLETE,0.8123611430322532,0.8473351400180669
12,0.8366247755834829,0.8366247755834829,3,0.4086212309470696,291,0.17052711413045585,0.2784018349476195,19,1,114,0.054768722559707786,4.982567935203388,3,5,0.5808529610727367,COMPLETE,0.8154274879338083,0.8366247755834829
13,0.8354430379746836,0.8354430379746836,3,0.4175674106681806,246,1.3582327564354613,0.29875789551161425,30,1,120,1.9394037559484194,4.84220875859719,3,5,0.596696388109442,COMPLETE,0.7979066115069332,0.8354430379746836
14,0.8375451263537906,0.8375451263537906,3,0.5270619374493672,10,0.11003229676816692,0.164387097933622,20,3,382,0.06441003990979373,4.259633448585447,3,5,0.699027327547502,COMPLETE,0.800091932888991,0.8375451263537906
15,0.8413284132841329,0.8413284132841329,3,0.5077673073890607,251,2.251186733712813,0.0011021704599005991,24,3,283,0.7132499203271387,2.671033447706923,3,5,0.986012954937135,COMPLETE,0.7571190530912434,0.8413284132841329
16,0.8494138863841298,0.8494138863841298,3,0.49636140630788955,297,1.090660020826075,0.014097741473758333,17,1,693,1.612545413264213,4.5646095316707,3,5,0.5636469120311354,COMPLETE,0.800536275185781,0.8494138863841298
17,0.8293577981651377,0.8293577981651377,3,0.5130925157653066,252,2.8707955012017567,0.009510905288384225,16,13,716,1.95188572237015,0.010899722559854386,3,5,0.5164304228122947,COMPLETE,0.7597506320386118,0.8293577981651377
18,0.842391304347826,0.842391304347826,3,0.6158302629534631,208,1.2291629001277546,0.019709335066508262,17,4,1232,2.644173110625418,4.311386762941125,3,5,0.7573227421345565,COMPLETE,0.79878571975791,0.842391304347826
19,0.8386508659981768,0.8386508659981768,3,0.587312913704153,267,2.659855592006253,0.009374813249507912,27,7,532,1.555767785008742,3.8477839446282447,3,5,0.5462631399185617,COMPLETE,0.7680839653719452,0.8386508659981768
20,0.8396396396396396,0.8396396396396396,3,0.47633427229919745,240,0.7473989165334812,0.03389389891976286,15,2,775,3.061557853249977,2.7495854072082424,3,5,0.463962099630511,COMPLETE,0.7965831609591666,0.8396396396396396
21,0.8491418247515808,0.8491418247515808,3,0.4435391168764838,297,0.07175003947686487,0.15540515968325222,20,1,256,0.5662594193091082,4.636662521294635,3,5,0.6297370422822273,COMPLETE,0.8079713475829312,0.8491418247515808
22,0.8494138863841298,0.8494138863841298,3,0.46728897305564754,294,1.5493352081585796,0.042870491069502255,23,2,344,0.5926432486196113,4.665886205687233,3,5,0.6805233204234952,COMPLETE,0.7992128246380144,0.8494138863841298
23,0.8473351400180669,0.8473351400180669,3,0.5550084543516893,232,1.69350944385631,0.010259365841057555,22,3,622,1.3366555273752763,4.540425006396054,3,5,0.711136306489719,COMPLETE,0.7965889067647284,0.8473351400180669
24,0.8502242152466367,0.8502242152466367,3,0.45883385057256887,265,1.3979598108466134,0.03672648056647901,24,2,372,0.6060800381496156,3.9269399920495838,3,5,0.5667531653433024,COMPLETE,0.8036026200873362,0.8502242152466367
25,0.8362627197039778,0.8362627197039778,3,0.6423214288278387,272,0.9511123441178964,0.0018076730164103638,26,5,900,2.1553288260371573,3.7850879743345716,3,5,0.5799230286009728,COMPLETE,0.7540507929211676,0.8362627197039778
