number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.8649155722326454,0.8649155722326454,3,0.9714073700691229,58,3.0194290026902153,0.0010702629012402348,23,6,1122,1.9085251864468815,2.44931998059775,3,5,0.8007816124183386,COMPLETE,0.7588734390561556,0.8649155722326454
1,0.8649155722326454,0.8649155722326454,3,0.5751222812718044,47,2.5344622144555515,0.21041082237890066,7,3,927,1.923422489360314,1.6688826922036375,3,5,0.4033606462023649,COMPLETE,0.7794989657549989,0.8649155722326454
2,0.8731343283582089,0.8731343283582089,3,0.5438594644265831,42,1.1307913159316774,0.06519207438032337,16,13,976,2.7529653869549215,2.5887309407672983,3,5,0.8969768255990447,COMPLETE,0.7913257488699916,0.8731343283582089
3,0.8677354709418837,0.8677354709418837,3,0.4383824464111899,288,4.536810955739806,0.006386012681624832,5,8,1086,2.7996012218295165,2.388018261708713,3,5,0.4044997782350302,COMPLETE,0.7220428254041217,0.8677354709418837
4,0.83203125,0.83203125,3,0.5657562961405609,38,1.5678595476774404,0.0012402344539662752,16,14,1977,3.4675360411455376,4.89348024171917,3,5,0.5286322962027453,COMPLETE,0.7124013636711867,0.83203125
5,0.8654205607476636,0.8654205607476636,3,0.9255899275218472,291,1.27692477508706,0.12343152119400017,18,4,1582,3.785978379077184,3.101774082782,3,5,0.8003566125141398,COMPLETE,0.7943978395771089,0.8654205607476636
6,0.8694817658349329,0.8694817658349329,3,0.5488716519177849,108,2.729709018837064,0.015219117808682384,6,4,719,2.8691467502105694,1.8960871624663256,3,5,0.5363569228373868,COMPLETE,0.7698364360683368,0.8694817658349329
7,0.8687258687258688,0.8687258687258688,3,0.594825669291191,233,3.502196099349236,0.018559632684885082,7,8,1055,1.1146383949988015,2.295159956506347,3,5,0.5223588128224095,COMPLETE,0.7746629127403661,0.8687258687258688
8,0.8790786948176583,0.8790786948176583,3,0.4320551524624423,89,3.9917378774372363,0.0503754566799731,8,10,1442,0.38025003361865206,2.364596270032407,3,5,0.7622593792322688,COMPLETE,0.7689669041599633,0.8790786948176583
9,0.8571428571428571,0.8571428571428571,3,0.990620493619102,267,0.49134258677395626,0.11311866924184413,28,14,495,1.5616977245355679,3.6406789117609364,3,5,0.6207695164145095,COMPLETE,0.8040373860415231,0.8571428571428571
10,0.8714555765595463,0.8714555765595463,3,0.7887271940646792,176,4.997935675015981,0.03655936017095007,13,11,113,0.0012519555886670308,0.3838001131825761,3,5,0.9925246635775342,COMPLETE,0.7816689649888915,0.8714555765595463
11,0.8714011516314779,0.8714011516314779,3,0.40409389972617415,115,3.9390266287229188,0.04819337333752213,11,11,1452,4.858187960099584,0.7216935705229632,3,5,0.9282492304066555,COMPLETE,0.7566804566000153,0.8714011516314779
12,0.856353591160221,0.856353591160221,3,0.6961376225132628,12,1.656359156217925,0.05545535398120652,19,11,1465,0.00631180260574693,3.5287694826737273,3,5,0.8107813997320277,COMPLETE,0.7983452079981614,0.856353591160221
13,0.8726591760299626,0.8726591760299626,3,0.4800151188403284,103,0.220755361544811,0.00647234692678677,11,12,1852,0.816167340846639,1.3743129014353022,3,5,0.880101172112509,COMPLETE,0.7926434536121963,0.8726591760299626
14,0.8672897196261682,0.8672897196261682,3,0.652769200389722,172,0.9492313616474618,0.021751885599734438,24,15,1295,4.361727773299984,4.3903753960256235,3,5,0.7058816304489065,COMPLETE,0.7851911437983605,0.8672897196261682
15,0.8674463937621832,0.8674463937621832,3,0.48537389412151694,79,2.04134853065938,0.24965625985037748,3,1,728,2.5828206384319397,3.02006226591525,3,5,0.760027803172228,COMPLETE,0.7729085267754539,0.8674463937621832
16,0.8558052434456929,0.8558052434456929,3,0.7835478330923201,134,3.8908637078489883,0.09908077308165111,15,9,1656,3.2781674072778775,1.1576321075361324,3,5,0.8839575124736103,COMPLETE,0.7777407492530453,0.8558052434456929
17,0.8715953307392996,0.8715953307392996,3,0.4975852905248091,14,3.1155766865023176,0.00606599719903109,21,13,485,0.7341901988791157,3.001698368735438,3,5,0.6796369935451099,COMPLETE,0.725986363288133,0.8715953307392996
18,0.8716981132075472,0.8716981132075472,3,0.40115376055003726,76,1.9754971452375296,0.06659945081624466,10,9,1282,2.093417623934008,3.7970586131195243,3,5,0.9682696069705476,COMPLETE,0.7772964069562551,0.8716981132075472
19,0.8656716417910447,0.8656716417910447,3,0.6409936451794411,208,0.7875459822554003,0.032085079198674885,30,10,829,3.9939990645646892,2.001230319226793,3,5,0.8748898109828588,COMPLETE,0.7886980004596644,0.8656716417910447
20,0.8783269961977186,0.8783269961977186,3,0.761130011344381,81,4.5966732072494185,0.00878581593166445,14,6,1755,1.2289328608986052,0.9938241917712125,3,5,0.722924228446641,COMPLETE,0.779043131847085,0.8783269961977186
21,0.8806818181818182,0.8806818181818182,3,0.7947792591082129,79,4.354278671319342,0.011567343253461386,14,6,1753,0.5309008405668824,0.20188588925399698,3,5,0.723484390685552,COMPLETE,0.7803627518578106,0.8806818181818182
22,0.8726235741444867,0.8726235741444867,3,0.8020797399888584,144,4.470830065666146,0.009536129818041358,13,6,1791,0.4695000557870027,0.3082814932880943,3,5,0.6874468171481298,COMPLETE,0.7838676932505937,0.8726235741444867
23,0.8754716981132076,0.8754716981132076,3,0.8568272609011635,83,4.87976798257769,0.0032230635881384637,9,6,1762,1.2435981564246128,0.05533127866999843,3,5,0.7423377453759346,COMPLETE,0.761066421512296,0.8754716981132076
24,0.8773946360153256,0.8773946360153256,3,0.7371009469170015,127,4.173751391661177,0.002366462264263976,13,7,1544,0.5671807488431568,1.0086912581118028,3,5,0.6244270847012965,COMPLETE,0.7641346816823719,0.8773946360153256
25,0.8761904761904762,0.8761904761904762,3,0.8485753203332586,91,3.5730214739652384,0.010879804217294486,9,5,1981,1.3221990548152225,0.7518991547782623,3,5,0.6282616075971162,COMPLETE,0.7834310120278862,0.8761904761904762
26,0.8796992481203008,0.8796992481203008,3,0.7247401520903246,73,4.5058690995273105,0.02732154030495859,14,2,1352,0.36991184131821053,1.476010336116552,3,5,0.7493932258119392,COMPLETE,0.785183482724278,0.8796992481203008
27,0.8823529411764706,0.8823529411764706,3,0.7147210670608891,61,4.215732891240087,0.03320664643800223,18,1,1298,0.3213079369542693,1.6031504031124029,3,5,0.8204251747022595,COMPLETE,0.7913257488699916,0.8823529411764706
28,0.8863636363636364,0.8863636363636364,3,0.7061042366450295,30,3.444429525689021,0.02834868158518139,19,1,1294,0.2597231360856526,1.493071481189036,3,5,0.8507698624744907,COMPLETE,0.7926415383436758,0.8863636363636364
29,0.888015717092338,0.888015717092338,3,0.6638738556867897,25,3.1020834200390905,0.013871111080598417,24,1,1210,1.666322782883324,0.4780581595273011,3,5,0.826093360887437,COMPLETE,0.7737838044893894,0.888015717092338
30,0.8759398496240601,0.8759398496240601,3,0.6761801996504294,32,3.0845027692308875,0.01508873113032159,24,1,1195,2.21295718802059,0.5509257257235113,3,5,0.8108492168834567,COMPLETE,0.7843101202788632,0.8759398496240601
31,0.8886756238003839,0.8886756238003839,3,0.6176181980217521,28,3.421855410195176,0.022834939168496944,21,2,1200,0.8439776445822681,0.324382404298192,3,5,0.8568447247623773,COMPLETE,0.7878188922086877,0.8886756238003839
32,0.8811320754716981,0.8811320754716981,3,0.629483910702304,56,3.4781436999307553,0.02490225677387233,22,2,1214,1.6187640166895865,1.7023889227304247,3,5,0.8453110494510085,COMPLETE,0.7851892285298399,0.8811320754716981
33,0.8770949720670391,0.8770949720670391,3,0.6901978224952434,28,2.7208490437014157,0.03643006527745047,26,2,954,0.8489979251492835,1.2162260121805952,3,5,0.8376495451772024,COMPLETE,0.7913200030644296,0.8770949720670391
34,0.8809073724007561,0.8809073724007561,3,0.6039921451020686,54,3.335733693900049,0.017174383546095857,20,1,1126,1.5585283743089056,0.7100068654310742,3,5,0.9359062974783451,COMPLETE,0.783871523787635,0.8809073724007561
35,0.875,0.875,3,0.7350457362737399,10,2.2344739631809367,0.004546102874977629,23,3,1164,0.15167301517954077,1.672470656776673,3,5,0.922161271624612,COMPLETE,0.777286830613652,0.875
36,0.8681732580037664,0.8681732580037664,3,0.6570292241857068,43,3.791018464969177,0.07157385729855886,17,3,1005,0.9769574100745735,2.1148453043635924,3,5,0.8410256546250017,COMPLETE,0.786066421512296,0.8681732580037664
