number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
0,0.8210526315789474,0.8210526315789474,3,0.6072623636755058,105,0.4523375984677802,0.09720451256887602,11,9,1781,3.537721190347497,2.200181893458188,3,5,0.8623214233238246,COMPLETE,0.798347123266682,0.8210526315789474
1,0.8070175438596491,0.8070175438596491,3,0.7392332752579274,198,4.208863324070254,0.0031032769628146738,30,12,1733,1.026964282574666,1.6813572369108076,3,5,0.7728555038092977,COMPLETE,0.7680897111775071,0.8070175438596491
2,0.8228070175438597,0.8228070175438597,3,0.8259263041732035,60,0.3022449666405935,0.18882285633241816,29,14,1540,0.32647898543508524,0.19246003478979923,3,5,0.8720770506334794,COMPLETE,0.8079828391940549,0.8228070175438597
3,0.8105263157894737,0.8105263157894737,3,0.8981089945873306,84,3.282156454799706,0.06512450686509343,19,7,1777,1.373395093621414,4.614917422995627,3,5,0.931628556444778,COMPLETE,0.7886941699226231,0.8105263157894737
4,0.7859649122807018,0.7859649122807018,3,0.6718598587430815,196,2.5447404180785926,0.08707789898660839,4,5,1650,4.641179746700956,1.5034851878426747,3,5,0.5958324689149269,COMPLETE,0.7729085267754539,0.7859649122807018
5,0.8263157894736842,0.8263157894736842,3,0.9570529939880706,120,2.4033192481519823,0.06167156257823916,18,3,327,2.114119834074903,1.5425098253447722,3,5,0.8651803286877846,COMPLETE,0.7943920937715468,0.8263157894736842
6,0.7894736842105263,0.7894736842105263,3,0.8769245901950056,212,3.801519283220543,0.10961794522696532,5,9,989,4.494660465580633,4.917681127673354,3,5,0.46579108873989367,COMPLETE,0.7566804566000154,0.7894736842105263
7,0.8017543859649123,0.8017543859649123,3,0.54343481948923,168,3.704230136469158,0.08509115422856944,11,15,810,0.4179539030800655,1.0373507594326385,3,5,0.9255733384480025,COMPLETE,0.7803684976633724,0.8017543859649123
8,0.7964912280701755,0.7964912280701755,3,0.5004060580599151,167,0.53793596708607,0.09422242541183412,10,11,290,4.342935528071009,4.3070010253488675,3,5,0.4055365718537004,COMPLETE,0.7729104420439745,0.7964912280701755
9,0.7947368421052632,0.7947368421052632,3,0.7884013764347656,206,2.5804549815206697,0.04192482328274024,23,7,1725,3.42264812042703,3.0211363188103753,3,5,0.48935322228588235,COMPLETE,0.7764192139737991,0.7947368421052632
10,0.7771929824561403,0.7771929824561403,3,0.4191844735683435,300,1.6600578782082283,0.010075606645398518,19,1,157,2.3679410901585807,3.241091817072673,3,5,0.719990921613775,COMPLETE,0.752742664521566,0.7771929824561403
11,0.8105263157894737,0.8105263157894737,3,0.9754958990724563,14,4.901712583837858,0.018940139153713325,30,2,1322,2.295078284192585,0.12315833905750684,3,5,0.8218045242910412,COMPLETE,0.7715927373017697,0.8105263157894737
12,0.8192982456140351,0.8192982456140351,3,0.9865718894446489,79,1.4099632977039462,0.28708949472428924,26,15,540,0.011590746682491382,0.2268630936451731,3,5,0.9986454462910102,COMPLETE,0.7939554125488393,0.8192982456140351
13,0.8210526315789474,0.8210526315789474,3,0.8395914272238977,23,1.648038838007991,0.23177249645649184,24,4,1346,1.4710946481203346,0.7436905264098899,3,5,0.6576531576351928,COMPLETE,0.7965889067647285,0.8210526315789474
14,0.8210526315789474,0.8210526315789474,3,0.9168107963387659,131,1.0235260517577704,0.023586792979670586,15,12,1377,3.1223487373534176,0.961239041574526,3,5,0.8578713221132721,COMPLETE,0.7926453688807171,0.8210526315789474
15,0.8175438596491228,0.8175438596491228,3,0.7672157303303305,68,2.9541559244209425,0.0060984904806837435,16,4,651,2.129888205798938,2.1910368026730462,3,5,0.9970500442627086,COMPLETE,0.7803665823948519,0.8175438596491228
16,0.7842105263157895,0.7842105263157895,3,0.8130245491348909,56,1.9640709195728496,0.0011736285544248959,27,13,1118,0.7202623419801581,0.011060683153253453,3,5,0.7683977687731948,COMPLETE,0.7343216118899869,0.7842105263157895
17,0.8333333333333334,0.8333333333333334,3,0.6680268513788564,119,0.012364164266932931,0.032457156622402714,21,6,1986,1.6242619367033666,1.600303494903058,3,5,0.9093624183469652,COMPLETE,0.8027177660307976,0.8333333333333334
18,0.8228070175438597,0.8228070175438597,3,0.6218738893785024,130,0.8539885539251064,0.02806716348912025,22,5,393,1.5372327621023039,2.7226710391127877,3,5,0.6481995744185781,COMPLETE,0.7987799739523481,0.8228070175438597
19,0.8368421052631579,0.8368421052631579,3,0.695187679086217,239,0.03190799734834693,0.008670823170420597,14,3,853,2.8695834847204424,1.7133108416497336,3,5,0.9402615545960611,COMPLETE,0.8009691258714472,0.8368421052631579
20,0.8192982456140351,0.8192982456140351,3,0.691703399593955,256,1.0314444881819174,0.009856576838279531,14,6,949,2.965598048628251,3.6411802646491696,3,5,0.9364967646611346,COMPLETE,0.7926415383436758,0.8192982456140351
21,0.8298245614035088,0.8298245614035088,3,0.619189029483691,132,0.03367595321216508,0.04185117353449707,19,3,746,1.845860404662719,1.6498585979500617,3,5,0.9167956558751974,COMPLETE,0.8092928828621773,0.8298245614035088
22,0.8456140350877193,0.8456140350877193,3,0.6198738018201473,245,0.015549365257404597,0.011777584357401671,22,1,727,1.7798637630361673,1.9960963028784562,3,5,0.9504452377736223,COMPLETE,0.8097353098904467,0.8456140350877193
23,0.8385964912280702,0.8385964912280702,3,0.5483919735110926,254,0.0008455153508350813,0.0035355517394522733,21,1,1930,2.786671782637338,1.9997729431808844,3,5,0.9713358236637697,COMPLETE,0.8092967133992186,0.8385964912280702
24,0.787719298245614,0.787719298245614,3,0.5353261055036114,254,0.7722649646440767,0.0027756577348566273,8,1,1215,2.8357478049619567,2.212477658629113,3,5,0.9780551517672604,COMPLETE,0.7549299011721443,0.787719298245614
25,0.7947368421052632,0.7947368421052632,3,0.41373827152510223,250,0.01253653446811039,0.003964667792253142,13,1,813,3.829719507224523,2.4987308312715384,3,5,0.8070319743245454,COMPLETE,0.7689611583544014,0.7947368421052632
26,0.8263157894736842,0.8263157894736842,3,0.4905996066231985,291,1.2377039989460228,0.011351310374941661,26,2,501,2.680491322730572,1.9844102038528812,3,5,0.9576022126183191,COMPLETE,0.796152225542021,0.8263157894736842
27,0.7947368421052632,0.7947368421052632,3,0.5706922150332111,231,0.5821804171202061,0.0016923577304944254,21,3,926,4.06579333579983,1.1152103592264655,3,5,0.8088408665192764,COMPLETE,0.7544874741438751,0.7947368421052632
28,0.8228070175438597,0.8228070175438597,3,0.7214889200282582,264,0.3241694827136613,0.005236092809156549,17,2,653,3.185675162018729,2.67559713845922,3,5,0.8970968717277126,COMPLETE,0.7865011874664828,0.8228070175438597
29,0.8280701754385965,0.8280701754385965,3,0.5871947635996836,273,0.4639830886123062,0.013261886842471874,24,1,1928,3.634138878692413,2.045935355266402,3,5,0.9593901745295438,COMPLETE,0.8035987895502948,0.8280701754385965
30,0.8175438596491228,0.8175438596491228,3,0.6363307187641587,229,2.014792839352145,0.0069275586240348805,12,4,1108,2.6180705418717882,3.6999205149152,3,5,0.840333933673516,COMPLETE,0.7886960851911438,0.8175438596491228
31,0.8157894736842105,0.8157894736842105,3,0.6521859579796568,236,0.01571476199188755,0.002040842058454504,21,9,1955,1.8205961244440638,1.4246001154551808,3,5,0.8989963493245684,COMPLETE,0.7777330881789626,0.8157894736842105
32,0.8333333333333334,0.8333333333333334,3,0.7154993146515038,182,0.4064127996513567,0.0157271122639846,21,5,1567,0.9966185823121826,0.6556622034105795,3,5,0.9553990085238128,COMPLETE,0.8018424883168619,0.8333333333333334
33,0.8385964912280702,0.8385964912280702,3,0.748359765665967,102,0.1755872624695054,0.006713791352387702,16,2,1950,1.813880688180923,1.864978295173042,3,5,0.8996022573788218,COMPLETE,0.8049088332184171,0.8385964912280702
34,0.8350877192982457,0.8350877192982457,3,0.7603273658900107,279,0.7488237200201572,0.0036619592678391725,16,3,1489,1.2222733308319036,1.8701457734839562,3,5,0.8815753745423371,COMPLETE,0.7992128246380144,0.8350877192982457
35,0.8350877192982457,0.8350877192982457,3,0.46420683293213455,216,0.27113939858279046,0.00828158051336669,14,2,1839,2.444608303985568,2.426791248103241,3,5,0.7470127488992951,COMPLETE,0.8057898567379146,0.8350877192982457
36,0.8192982456140351,0.8192982456140351,3,0.585593712583928,104,0.257056303299925,0.004889375887826409,9,2,1822,2.0916243624531674,1.2070840498747883,3,5,0.9664757706000321,COMPLETE,0.7979046962384126,0.8192982456140351
37,0.8105263157894737,0.8105263157894737,3,0.5447656231859803,186,1.2223566785184943,0.002724276568199469,18,1,1606,3.310333527306908,1.842717802881751,3,5,0.8684314203632117,COMPLETE,0.7834310120278862,0.8105263157894737
38,0.8385964912280702,0.8385964912280702,3,0.7018569165680897,242,0.7058495029776811,0.007204037365301196,18,3,1703,1.832185336954405,2.9194110806182816,3,5,0.9322238561651958,COMPLETE,0.7996533363977629,0.8385964912280702
39,0.8403508771929824,0.8403508771929824,3,0.7392647743470147,154,0.6593049319543143,0.004345794205099937,19,4,1695,1.0516250916797287,3.048661618035579,3,5,0.9983307684672248,COMPLETE,0.7943920937715467,0.8403508771929824
40,0.8245614035087719,0.8245614035087719,3,0.76176028482419,147,0.9034792205729472,0.0018771186829254396,20,4,1875,0.9524111188280937,3.5606482994750133,3,5,0.9858929866422006,COMPLETE,0.7829924155366582,0.8245614035087719
41,0.8421052631578947,0.8421052631578947,3,0.6800392223896962,100,0.6683594690840222,0.004301167738600374,17,2,1755,1.8615919730762047,3.027335129451316,3,5,0.931727633384649,COMPLETE,0.7952635409484409,0.8421052631578947
42,0.8210526315789474,0.8210526315789474,3,0.6635847109916776,99,0.5122152569400098,0.004396497583188807,23,2,1756,1.2600873168285822,3.413658653257711,3,5,0.9992212266992708,COMPLETE,0.7957002221711484,0.8210526315789474
43,0.8298245614035088,0.8298245614035088,3,0.7425973196064035,158,0.30096820789645656,0.0032509216756821412,17,1,1478,0.6413303341600614,3.891300040421136,3,5,0.5551812586658588,COMPLETE,0.8079847544625757,0.8298245614035088
44,0.8122807017543859,0.8122807017543859,3,0.8570028737054259,84,1.1598367841947759,0.0024284902617819357,19,2,1705,1.931875502815143,3.114068260964396,3,5,0.8924257070724065,COMPLETE,0.7825480732398683,0.8122807017543859
45,0.8105263157894737,0.8105263157894737,3,0.7987848219885029,38,1.4976346251831156,0.0013560805972798768,23,1,1874,1.1736848027723743,2.31565176571286,3,5,0.8321307236477219,COMPLETE,0.7689554125488394,0.8105263157894737
46,0.8315789473684211,0.8315789473684211,3,0.6449535237898801,192,0.6119256044215968,0.005199003244587695,28,5,1609,2.2015406251697898,2.8321385936361096,3,5,0.9301627558172643,COMPLETE,0.7987780586838275,0.8315789473684211
47,0.8105263157894737,0.8105263157894737,3,0.6856026861052349,94,4.226016229312103,0.01718871786972366,25,8,1983,1.4739001142665549,3.229978797108048,3,5,0.9706427660765584,COMPLETE,0.7781716846701908,0.8105263157894737
48,0.8280701754385965,0.8280701754385965,3,0.5951930654376024,116,0.24039253626104465,0.005828378123780144,20,10,1781,0.808740122744445,4.096293792717036,3,5,0.8525941377471882,COMPLETE,0.7983452079981613,0.8280701754385965
49,0.8350877192982457,0.8350877192982457,3,0.7366005894035119,174,0.9582877864055623,0.01191894535873757,16,4,1672,0.307894712780693,2.6011803552682746,3,5,0.7915319602947296,COMPLETE,0.8022810848080899,0.8350877192982457
50,0.8017543859649123,0.8017543859649123,3,0.5608193395687258,58,3.0369870385015316,0.003390890679095652,18,3,1456,1.6584654650978043,1.4034973074583204,3,5,0.9098333793916833,COMPLETE,0.765450471156056,0.8017543859649123
51,0.8403508771929824,0.8403508771929824,3,0.7084480483231812,212,0.7072494613394852,0.007543416793453121,18,3,1710,1.7574754380029223,3.0262564817261386,3,5,0.9503745859286749,COMPLETE,0.7974622692101433,0.8403508771929824
52,0.8403508771929824,0.8403508771929824,3,0.7763299891804878,217,0.233509166664315,0.007245668754747131,15,2,1791,1.9878848240348175,3.373557464718272,3,5,0.9471353913587289,COMPLETE,0.8049145790239791,0.8403508771929824
53,0.8228070175438597,0.8228070175438597,3,0.8166682403799129,215,0.5722182610426503,0.008216192673721581,20,6,1818,2.3450550917683204,3.392196760316989,3,5,0.9499301062567038,COMPLETE,0.8005305293802192,0.8228070175438597
54,0.8157894736842105,0.8157894736842105,3,0.7844068075179873,206,1.8040994197623665,0.004260830575646093,22,4,1290,4.860440183382731,4.540771492876109,3,5,0.9776403869088578,COMPLETE,0.7869436144947521,0.8157894736842105
55,0.8333333333333334,0.8333333333333334,3,0.631800862256894,223,0.4425544429714754,0.021726023571451616,15,3,1663,2.6025167732740124,3.100915577863368,3,5,0.9264808335270407,COMPLETE,0.8031640235961082,0.8333333333333334
56,0.8280701754385965,0.8280701754385965,3,0.8978559830289913,200,1.3474375355398096,0.01494945517950532,17,2,123,2.0431290846468526,2.8190745634876144,3,5,0.8709056915900084,COMPLETE,0.7838753543246763,0.8280701754385965
