RINGS_C1=CCC1,RINGS_C1=CCC=CC1,RINGS_C1=CCCC1,RINGS_C1=CCCC=C1,RINGS_C1=CCCCC1,RINGS_C1=CCCNC1,RINGS_C1=CCCcc1,RINGS_C1=CCN=C1,RINGS_C1=CCNCC1,RINGS_C1=CCOcc1,RINGS_C1=CCcc1,RINGS_C1=CNC=CC1,RINGS_C1=CNCC1,RINGS_C1=CNCOC1,RINGS_C1=CNCSC1,RINGS_C1=CNC_S+_C1,RINGS_C1=COCCC1,RINGS_C1=CSCN1,RINGS_C1=NCCCN1,RINGS_C1=NCCN1,RINGS_C1=NCCNcc1,RINGS_C1=NCCO1,RINGS_C1=NCNN1,RINGS_C1=NCccN1,RINGS_C1=NCcn-cc1,RINGS_C1C=CC=CC1,RINGS_C1C=CCC1,RINGS_C1C=CCC=C1,RINGS_C1C=CCCC1,RINGS_C1C=CCO1,RINGS_C1C=CCcc1,RINGS_C1C=COCC1,RINGS_C1CC1,RINGS_C1CC=CCC1,RINGS_C1CCC1,RINGS_C1CCCC1,RINGS_C1CCCCC1,RINGS_C1CCCCCC1,RINGS_C1CCCCCCC1,RINGS_C1CCCCCCCC/C=C/C=C/CCO1,RINGS_C1CCCCCCCCC=CC=CCCO1,RINGS_C1CCCCCCCCCCCCO1,RINGS_C1CCCCCCCCCCCCOCCCC=CC=CC=CC=CC=CC=CC=CCCCCO1,RINGS_C1CCCCCCCCNCCCCO1,RINGS_C1CCCCCCCCOCCCC1,RINGS_C1CCCCN1,RINGS_C1CCCCO1,RINGS_C1CCCN1,RINGS_C1CCCNC1,RINGS_C1CCCNCC1,RINGS_C1CCCO1,RINGS_C1CCCOC1,RINGS_C1CCCS1,RINGS_C1CCCcc1,RINGS_C1CCN1,RINGS_C1CCNC1,RINGS_C1CCNCC1,RINGS_C1CCNCN1,RINGS_C1CCNN1,RINGS_C1CCNccN1,RINGS_C1CCO1,RINGS_C1CCOC1,RINGS_C1CCOCC1,RINGS_C1CCOCCNCCNCCNCCNCCN1,RINGS_C1CCOCO1,RINGS_C1CC_N+_C1,RINGS_C1CC_N+_CC1,RINGS_C1CCccN1,RINGS_C1CCccO1,RINGS_C1CCccccOcccCNCCN1,RINGS_C1CN1,RINGS_C1CN=CccN1,RINGS_C1CNC1,RINGS_C1CNCC1,RINGS_C1CNCCC1,RINGS_C1CNCCN1,RINGS_C1CNCCNC1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCccc-ccCN1,RINGS_C1CNCN1,RINGS_C1CNCS1,RINGS_C1CNCccN1,RINGS_C1CO1,RINGS_C1COCC1,RINGS_C1COCCC1,RINGS_C1COCCN1,RINGS_C1COCCO1,RINGS_C1COCN1,RINGS_C1COCO1,RINGS_C1COCOC1,RINGS_C1COcc1,RINGS_C1CSCN1,RINGS_C1CccN1,RINGS_C1Cccc-ccCNCCN1,RINGS_C1CcccOccccCCNCCN1,RINGS_C1NCCN1,RINGS_C1NCCO1,RINGS_C1OCCO1,RINGS_C1SCS1,RINGS_C1cc-ncCN1,RINGS_C1ccC=CC1,RINGS_C1ccC=Ccc1,RINGS_C1ccCCC1,RINGS_C1ccCCN1,RINGS_C1ccCCcc1,RINGS_C1ccCN1,RINGS_C1ccCO1,RINGS_C1ccCOcc1,RINGS_C1ccCcc1,RINGS_C1ccNCN1,RINGS_C1ccOC1,RINGS_C1ccSN1,RINGS_C1ccScc1,RINGS_C1cccCC1,RINGS_C1cccccNCC=CC=CCCCCCCCCC=COC1,RINGS_C1cccccNC\C=C/C=C/CCCCCCCC/C=C/OC1,RINGS_C1cccccNC\C=C/C=C\CCCCCCCC/C=C/OC1,RINGS_c1cCCC1,RINGS_c1cCCCC1,RINGS_c1cCCCCNCC1,RINGS_c1cCCNC1,RINGS_c1cCCNCC1,RINGS_c1cCCNCCCC1,RINGS_c1cCCccC1,RINGS_c1cCNCC1,RINGS_c1cCNccC1,RINGS_c1cC_N+_CC1,RINGS_c1cCccC1,RINGS_c1cCccCC1,RINGS_c1cNCC1,RINGS_c1cNCCC1,RINGS_c1cNccCC1,RINGS_c1cOCC1,RINGS_c1cOCCC1,RINGS_c1cOCCO1,RINGS_c1cOCO1,RINGS_c1cOccC1,RINGS_c1cOccCC1,RINGS_c1cSNCN1,RINGS_c1cSccC1,RINGS_c1cSccN1,RINGS_c1c_nH_cn1,RINGS_c1c_nH_cnc1,RINGS_c1c_nH_ncn1,RINGS_c1ccCCC1,RINGS_c1cc_n+_cc1,RINGS_c1cc_nH_c1,RINGS_c1cc_nH_cc1,RINGS_c1ccccc-1,RINGS_c1ccccc1,RINGS_c1cccccc1,RINGS_c1ccnc1,RINGS_c1ccncc1,RINGS_c1ccnnc1,RINGS_c1ccoc1,RINGS_c1ccocc1,RINGS_c1ccsc1,RINGS_c1cn_nH_c1,RINGS_c1cnc_nH_1,RINGS_c1cnc_nH_c1,RINGS_c1cnccn1,RINGS_c1cncn1,RINGS_c1cncnc1,RINGS_c1cnnc1,RINGS_c1cnnn1,RINGS_c1cnoc1,RINGS_c1cnsc1,RINGS_c1cocn1,RINGS_c1coco1,RINGS_c1cscn1,RINGS_c1nCCC1,RINGS_c1nCCCC1,RINGS_c1nCCNC1,RINGS_c1ncnn1,RINGS_c1ncon1,RINGS_c1ncsn1,RINGS_c1nn_nH_n1,RINGS_c1nncn1,RINGS_c1nncs1,RINGS_c1nnnn1
-0.0,-0.0,-0.0,-0.0,-0.005916502,-0.0,-0.00019209294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,0.0031539463,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.035752796,0.007979945,-0.0,-0.0,-0.0,0.0034935446,-0.0,0.00030443378,-0.0043062894,0.036520798,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016134422,-0.0052247834,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.12791497,0.0011063551,-0.03592456,-0.0068062632,-0.0,-0.0,-0.0,0.0023725987,0.007523431,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0005127843,-0.0030754702,-0.0067686895,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010476498,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00070084946,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002481714,-0.0,-0.0,-0.0,-0.0,-0.0,0.0012160569,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.0052833455,-0.0,-0.0,0.0007285867,-0.0,-0.0,-0.0,-0.0,-0.0,0.006475428,-0.0,-0.0,-0.0,-0.0,-0.0065906355,-0.0,-0.0,0.004617287,-0.0,-0.0,0.041412767,-0.0,-0.0,0.003724435,0.00016419329,-0.0,-0.0,-0.0003049002,-0.0,0.004470109,-0.0020348525,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.006566132,-0.0,-0.00019209294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019938423,-0.0,-0.0,-0.0,-0.0,0.0032994917,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.017656168,0.021434318,-0.0,-0.0,-0.0,0.00065612927,-0.0,0.0015527522,0.022182437,0.04470587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0072275857,-0.0031186917,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.17225066,5.317854e-05,-0.026033243,-0.005094424,-0.0,-0.0,-0.0,0.003506731,0.01254922,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.003504487,-0.0018276637,-0.0055833003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.325073e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00070084946,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016428793,-0.0,-0.0,-0.0,-0.0,-0.0,0.002108359,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.0030302333,-0.0,-0.0,0.004658847,-0.0,-0.0,-0.0,-0.0,-0.0,0.009595885,-0.0,-0.0,-0.0,-0.0,-0.0049264953,-0.0,-0.0,-0.024088701,-0.0,-0.0,0.044681545,-0.0,-0.0,0.0056018885,0.0004404598,-0.0,-0.0,-0.0003770984,-0.0,0.0113898385,-0.0021193237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0066724154,-0.0,-0.00019142804,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00014262844,-0.0,-0.0,-0.0,-0.0,0.00032711608,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1437036,0.044755362,-0.0,-0.0,-0.0,0.0009709011,-0.0,0.00059700094,0.2162296,-0.23823331,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004188264,-0.0024095695,-0.0,-0.0,-0.0,-6.5795444e-05,-0.0,-0.0,0.16813517,0.0056545446,-0.05721156,-0.0056580273,-0.0,-0.0,-0.0,0.0015353406,0.008087402,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0008179605,-0.0018891068,-0.012831697,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000106183405,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00053584244,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00064268196,-0.0,-0.0,-0.0,-0.0,-0.0,0.007454198,-0.0,-0.0,-0.0,-0.0,-0.00018230137,-0.0,-0.0,-0.0028125397,-0.0,-0.0,0.0010323679,-0.0,-0.0,-0.0,-0.0,-0.0,0.008349672,-0.0,-0.0,-0.0,-0.0,-0.004630043,-0.0,-0.0,0.06466777,-0.0,-0.0,0.06391253,-0.0,-0.0,0.0064486736,0.00016326139,-0.0,-0.0,-0.00030439894,-0.0,0.0036981525,-0.0028059091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.008081644,-0.0,-0.00019209294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,0.0032395758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.022784276,0.032385338,-0.0,-0.0,-0.0,-0.0012348453,-0.0,0.0005787596,0.004401634,0.056157894,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004590912,-0.0045485203,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.15968251,-0.00021297306,-0.059280843,-0.007033281,-0.0,-0.0,-0.0,0.0013148005,0.010458871,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00086082047,-0.0024975284,-0.01517691,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010649342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00081926974,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002069088,-0.0,-0.0,-0.0,-0.0,-0.0,0.0055111605,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.0041929455,-0.0,-0.0,0.00087669,-0.0,-0.0,-0.0,-0.0,-0.0,0.009575643,-0.0,-0.0,-0.0,-0.0,-0.008242594,-0.0,-0.0,0.08457685,-0.0,-0.0,-0.17655043,-0.0,-0.0,0.00778694,0.0004246482,-0.0,-0.0,-0.00049805635,-0.0,0.022340832,-0.0029415037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0047217957,-0.0,-0.00031628532,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,0.0006353167,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.039200746,0.008794385,-0.0,-0.0,-0.0,0.0019299525,-0.0,0.00041249982,-0.0078318,0.038003884,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001577953,-0.004704472,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.14242706,0.0005855676,-0.041945945,-0.00958726,-0.0,-0.0,-0.0,0.0009277762,0.008447391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006708773,-0.0027058478,-0.004966545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010580275,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00070084946,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0011318172,-0.0,-0.0,-0.0,-0.0,-0.0,0.00179452,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.004462178,-0.0,-0.0,0.00085401314,-0.0,-0.0,-0.0,-0.0,-0.0,0.00773374,-0.0,-0.0,-0.0,-0.0,-0.0049106525,-0.0,-0.0,-0.011899902,-0.0,-0.0,0.040614586,-0.0,-0.0,0.0036831885,0.00043895416,-0.0,-0.0,-0.0003770984,-0.0,0.00643921,-0.005750634,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.004589814,-0.0,-0.00013317751,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,-0.15728414,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023973417,0.009469391,-0.0,-0.0,-0.0,0.0023076283,-0.0,0.00047342532,-2.6430993e-05,0.04277003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0021794394,-0.0042917393,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.15371293,0.00058775407,-0.031159354,-0.006224408,-0.0,-0.0,-0.0,0.0021000302,0.0075136246,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00071200344,-0.0022937239,-0.0062833996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00014583225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00081926974,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0023144525,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016723839,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.004624983,-0.0,-0.0,0.0010323679,-0.0,-0.0,-0.0,-0.0,-0.0,0.008419527,-0.0,-0.0,-0.0,-0.0,-0.006022655,-0.0,-0.0,-0.0034679137,-0.0,-0.0,0.06973987,-0.0,-0.0,0.0049695517,0.0012747035,-0.0,-0.0,-0.00042866432,-0.0,0.012510478,-0.0010165389,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0075331405,-0.0,-0.00031628532,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,0.0032377616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01784327,0.030911777,-0.0,-0.0,-0.0,0.0011674094,-0.0,0.0023704038,0.031648465,0.029523922,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0067553367,-0.00402596,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.1745425,5.6942306e-05,-0.042652484,-0.0053133904,-0.0,-0.0,-0.0,0.0038554945,0.0115106,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0035120756,-0.00262427,-0.006982249,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010649342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00081926974,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.010835735,-0.0,-0.0,-0.0,-0.0,-0.0,0.0038716996,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.003036998,-0.0,-0.0,0.004658847,-0.0,-0.0,-0.0,-0.0,-0.0,0.009402027,-0.0,-0.0,-0.0,-0.0,-0.007979757,-0.0,-0.0,-8.26607e-05,-0.0,-0.0,0.039227944,-0.0,-0.0,0.006379358,0.0012747035,-0.0,-0.0,-0.00049805635,-0.0,0.011232618,-0.0022542258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.005407203,-0.0,-0.00019209294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,0.0032974556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.016622664,0.029106745,-0.0,-0.0,-0.0,0.0012406518,-0.0,0.0023562675,0.03823075,0.03763503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.008776362,-0.0038833318,-0.0,-0.0,-0.0,-0.00014189332,-0.0,-0.0,0.18510433,0.0024300588,-0.023604471,-0.0051290705,-0.0,-0.0,-0.0,0.0041096234,0.011145527,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0035172766,-0.0022831867,-0.0034321942,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010649342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00070084946,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.007711403,-0.0,-0.0,-0.0,-0.0,-0.0,0.005487361,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.0024687848,-0.0,-0.0,0.0032497349,-0.0,-0.0,-0.0,-0.0,-0.0,0.010421383,-0.0,-0.0,-0.0,-0.0,-0.006440147,-0.0,-0.0,0.017208336,-0.0,-0.0,0.06741821,-0.0,-0.0,0.0065392046,0.0012747035,-0.0,-0.0,-0.00042352205,-0.0,0.0104109505,-0.0013898679,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.004878089,-0.0,-0.00031628532,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003472266,-0.0,-0.0,-0.0,-0.0,0.0032395758,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.020440014,0.029607613,-0.0,-0.0,-0.0,-0.0011156825,-0.0,0.0015527522,0.013573435,0.044564176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0073446,-0.0041896077,-0.0,-0.0,-0.0,-6.8265916e-05,-0.0,-0.0,0.17781454,0.0001779732,-0.030787462,-0.0045466158,-0.0,-0.0,-0.0,0.0032385872,0.012300954,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.003504487,-0.0018283898,-0.011782508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010476498,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0004418351,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0039781434,-0.0,-0.0,-0.0,-0.0,-0.0,0.0038278922,-0.0,-0.0,-0.0,-0.0,-0.0002786007,-0.0,-0.0,-0.0036436564,-0.0,-0.0,0.004658847,-0.0,-0.0,-0.0,-0.0,-0.0,0.010458434,-0.0,-0.0,-0.0,-0.0,-0.006650722,-0.0,-0.0,0.017246379,-0.0,-0.0,0.035792693,-0.0,-0.0,0.0063716713,0.0002760242,-0.0,-0.0,-0.0003770984,-0.0,0.00918667,-0.00452954,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0077995462,-0.0,-0.00019369934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0060164463,-0.0,-0.0,-0.0,-0.0,0.0004984036,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.034560435,0.0053371014,-0.0,-0.0,-0.0,0.0010109532,-0.0,0.0004651785,-0.066103235,-0.008019667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0015643379,-0.0030825173,-0.0,-0.0,-0.0,-0.0012503152,-0.0,-0.0,-2.3147113,0.0036882656,-0.026074791,-0.004556541,-0.0,-0.0,-0.0,-0.0036409867,0.009169683,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00051026384,-0.0019883143,-0.006922464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010227174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00020281947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01233833,-0.0,-0.0,-0.0,-0.0,-0.0,0.00090210314,-0.0,-0.0,-0.0,-0.0,-0.0013759051,-0.0,-0.0,-0.003971508,-0.0,-0.0,0.0014223565,-0.0,-0.0,-0.0,-0.0,-0.0,0.0032697164,-0.0,-0.0,-0.0,-0.0,-0.0063764644,-0.0,-0.0,-0.039458763,-0.0,-0.0,0.007758591,-0.0,-0.0,0.002533305,7.614095e-05,-0.0,-0.0,-0.0024629105,-0.0,1.9552972e-05,-0.021974336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00027207038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
