LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.29228237,-0.15396756,0.013659617,0.2631431,0.8199175,0.04367656,0.042961154,-0.47345215,-0.06250652,-0.09242899,0.048144024,0.06763252,0.033826295,0.047297146,-0.004428825,0.011028724,-0.012304772,0.0006603859,-0.00011369042,0.009496171,0.00044132763,-0.0,-0.0,-0.12009666,0.0055085616,0.012967594,0.014051636,-0.15369739,-0.048443653,-0.023460003,-0.0074463068,0.0005774627,-0.0,0.0035884164,-0.0,0.037752803,-0.01792764,0.0013127164,0.042124685,-0.064438395,-0.0228671,-0.0,-0.00027027845,-0.0,0.00997058,-0.044506762,-0.21216404
0.30175337,-0.0130192535,0.027743673,0.411812,1.4515378,0.06910257,0.06269499,0.069335036,-0.0938916,0.04727343,0.063629076,0.049011834,0.045716073,0.09735609,0.20856355,0.03417066,-0.015096258,0.09620622,0.00064028346,0.008781226,0.0002874093,-0.0,-0.0,0.056188278,0.026222209,0.01812065,0.0439506,0.43694496,0.14792895,0.058479138,-0.006406781,0.0021965045,-0.0,0.004936033,-0.0,0.057334993,-0.03153248,0.0073657003,0.022445917,-0.058772262,0.001965849,-0.0,-0.00027027845,-0.0,0.015084406,-0.1023845,-0.03715669
0.16711466,-0.075686246,0.035865445,0.3019224,0.3665511,0.039139226,-0.0052632247,0.062076,-0.06689082,0.07809244,0.0061542485,0.052747257,0.16890593,-0.07088082,-0.23923126,0.0012546473,0.19009608,-0.050076924,-6.87748e-05,0.007913164,9.6143296e-05,-0.0,-0.0,0.012866798,0.012861757,0.010769642,0.029102996,-0.27175513,-0.0983585,0.0007472679,-0.003514573,-0.0012369306,-0.0,0.006093236,-0.0,0.029443221,0.17572992,0.0043480336,-0.015087263,0.22568479,0.08295671,-0.0,-0.00027030468,-0.0,-0.007869432,0.11020552,-0.06653373
0.17891774,-0.060017414,0.05638915,0.59783316,1.2316397,0.052812252,0.028894031,0.06650216,-0.23622203,0.019709686,0.046364345,0.019791635,0.008440045,0.18223363,0.3196971,0.01894435,-0.008887736,-0.032561366,-8.2583734e-05,0.007933007,0.000527107,-0.0,-0.0,0.0010193391,0.039016217,0.02424832,-0.054257344,-0.23950489,-0.06849196,0.026010908,-0.006685924,0.0033316414,-0.0,0.0039019627,-0.0,0.03427517,0.02316213,0.006103003,-0.07922887,-0.16631973,0.038545698,-0.0,-0.00027027845,-0.0,-0.024661208,0.060430765,-0.0062431465
-0.29980567,-0.029831855,0.041431382,-0.11953222,0.5130996,0.035290666,0.059228424,0.019658985,-0.14399363,0.037978254,-0.0171201,0.03746979,-0.0067934706,0.025825199,0.038951155,0.03054051,-0.016393928,0.16146217,-5.6297846e-05,0.009816305,-7.3636445e-05,-0.0,-0.0,-0.04731628,-0.010630261,0.014645047,0.02554702,-0.1811335,-0.033547275,-0.0016331316,-0.006781793,0.0010634952,-0.0,0.0028876185,-0.0,0.021988263,-0.023252219,-0.006375577,0.08979608,-0.15898928,-0.031243108,-0.0,-0.00030885392,-0.0,0.021787269,-0.01249879,-0.08885419
0.00012284145,0.056075305,-0.25309092,-0.14303815,1.0445932,0.038493484,0.0004741093,-0.20101008,0.3390004,0.36934462,0.20409612,0.042576723,0.009347023,0.09191585,0.04259126,0.022387456,-0.008901687,-0.014522247,-0.0009075368,0.0080063455,0.0013206452,-0.0,-0.0,0.14468467,0.026027746,0.011669194,0.032234732,-0.33240873,-0.037929457,0.0017597263,-0.008280547,0.0026971672,-0.0,0.0028108018,-0.0,0.021624314,0.018606137,0.11639921,0.037732918,-0.052991144,-0.010819419,-0.0,-0.00029939157,-0.0,0.015976168,0.058820575,-0.045251552
0.32388183,-0.048348285,-0.013750229,0.31788257,1.928638,0.0700493,0.098915406,0.07834328,-0.047120582,0.24129988,0.07824762,-0.053064946,0.06499357,0.11200513,-0.03390686,0.0015095826,-0.021286458,-0.0068239486,-8.258372e-05,0.008942472,0.0002211114,-0.0,-0.0,0.019398961,0.06319021,0.010612761,-0.0021451013,0.44363603,0.117919296,0.04339375,-0.005022024,0.00296453,-0.0,0.0048571303,-0.0,0.035928704,0.012416922,0.0006905117,0.027268797,-0.13392754,-0.020852752,-0.0,-0.00027027845,-0.0,0.00540297,0.09865612,0.049049467
0.21815011,-0.014391359,0.016038373,0.23980832,1.4837044,0.0691024,0.08927662,0.07504414,-0.056575034,0.03518289,0.112652145,0.10534749,0.07393458,0.11239087,0.08149717,0.0049655787,-0.010230877,0.0049082288,-0.0029244344,0.010064038,0.0004184582,-0.0,-0.0,0.002395771,0.059625484,0.011630101,0.018016268,0.52721083,-0.04987422,0.13286452,-0.005562359,0.0037259448,-0.0,0.004015699,-0.0,0.040164065,-0.016624723,-0.003023859,0.034957346,0.08074923,-0.009708526,-0.0,-0.00027027845,-0.0,0.020043762,0.11395853,-0.010693056
0.13237037,-0.022703812,-0.007364598,0.55215776,1.2766501,0.063436024,0.077501714,0.05299434,0.035412043,0.22780259,0.074279055,-0.06423027,0.038853064,0.13241881,0.19759922,-0.015020024,-0.016140511,0.0015990621,-8.2583734e-05,0.010265755,8.274263e-05,-0.0,-0.0,0.034281187,0.041825686,0.010934467,0.043768074,0.31523326,0.12799206,0.03452067,-0.00692867,0.0035829989,-0.0,0.004993452,-0.0,0.035937957,-0.014211621,0.005356407,0.024934806,-0.084182695,-0.019036295,-0.0,-0.00027027845,-0.0,0.010487191,-0.06992663,0.016458431
-0.23657204,0.123627946,-0.10308845,-0.12040374,-1.5407147,0.018299852,-0.15400566,-0.030881591,-0.22338058,-0.121847704,-0.04976205,-0.042765252,0.051041752,-0.017149132,-0.022963261,0.1967794,-0.0144709125,-0.0024219183,-0.00011369042,0.0063914037,-0.00016504213,-0.0,-0.0,-0.025594328,-0.07855738,0.003953306,-0.011907631,0.25678706,-0.08950193,0.0865954,-0.036603037,0.0077241273,-0.0,-0.06371749,-0.0,0.0015963672,0.10292584,-0.014785733,0.037344866,-0.13636197,-0.042930465,-0.0,-0.0026055716,-0.0,-0.0006452566,0.0796984,-0.14423259
