RINGS_C1=CCC1,RINGS_C1=CCC=CC1,RINGS_C1=CCCC1,RINGS_C1=CCCC=C1,RINGS_C1=CCCCC1,RINGS_C1=CCCNC1,RINGS_C1=CCCcc1,RINGS_C1=CCN=C1,RINGS_C1=CCNCC1,RINGS_C1=CCOcc1,RINGS_C1=CCcc1,RINGS_C1=CNC=CC1,RINGS_C1=CNCC1,RINGS_C1=CNCOC1,RINGS_C1=CNCSC1,RINGS_C1=CNC_S+_C1,RINGS_C1=COCCC1,RINGS_C1=CSCN1,RINGS_C1=NCCCN1,RINGS_C1=NCCN1,RINGS_C1=NCCNcc1,RINGS_C1=NCCO1,RINGS_C1=NCNN1,RINGS_C1=NCccN1,RINGS_C1=NCcn-cc1,RINGS_C1C=CC=CC1,RINGS_C1C=CCC1,RINGS_C1C=CCC=C1,RINGS_C1C=CCCC1,RINGS_C1C=CCO1,RINGS_C1C=CCcc1,RINGS_C1C=COCC1,RINGS_C1CC1,RINGS_C1CC=CCC1,RINGS_C1CCC1,RINGS_C1CCCC1,RINGS_C1CCCCC1,RINGS_C1CCCCCC1,RINGS_C1CCCCCCC1,RINGS_C1CCCCCCCC/C=C/C=C/CCO1,RINGS_C1CCCCCCCCC=CC=CCCO1,RINGS_C1CCCCCCCCCCCCO1,RINGS_C1CCCCCCCCCCCCOCCCC=CC=CC=CC=CC=CC=CC=CCCCCO1,RINGS_C1CCCCCCCCNCCCCO1,RINGS_C1CCCCCCCCOCCCC1,RINGS_C1CCCCN1,RINGS_C1CCCCO1,RINGS_C1CCCN1,RINGS_C1CCCNC1,RINGS_C1CCCNCC1,RINGS_C1CCCO1,RINGS_C1CCCOC1,RINGS_C1CCCS1,RINGS_C1CCCcc1,RINGS_C1CCN1,RINGS_C1CCNC1,RINGS_C1CCNCC1,RINGS_C1CCNCN1,RINGS_C1CCNN1,RINGS_C1CCNccN1,RINGS_C1CCO1,RINGS_C1CCOC1,RINGS_C1CCOCC1,RINGS_C1CCOCCNCCNCCNCCNCCN1,RINGS_C1CCOCO1,RINGS_C1CC_N+_C1,RINGS_C1CC_N+_CC1,RINGS_C1CCccN1,RINGS_C1CCccO1,RINGS_C1CCccccOcccCNCCN1,RINGS_C1CN1,RINGS_C1CN=CccN1,RINGS_C1CNC1,RINGS_C1CNCC1,RINGS_C1CNCCC1,RINGS_C1CNCCN1,RINGS_C1CNCCNC1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCccc-ccCN1,RINGS_C1CNCN1,RINGS_C1CNCS1,RINGS_C1CNCccN1,RINGS_C1CO1,RINGS_C1COCC1,RINGS_C1COCCC1,RINGS_C1COCCN1,RINGS_C1COCCO1,RINGS_C1COCN1,RINGS_C1COCO1,RINGS_C1COCOC1,RINGS_C1COcc1,RINGS_C1CSCN1,RINGS_C1CccN1,RINGS_C1Cccc-ccCNCCN1,RINGS_C1CcccOccccCCNCCN1,RINGS_C1NCCN1,RINGS_C1NCCO1,RINGS_C1OCCO1,RINGS_C1SCS1,RINGS_C1cc-ncCN1,RINGS_C1ccC=CC1,RINGS_C1ccC=Ccc1,RINGS_C1ccCCC1,RINGS_C1ccCCN1,RINGS_C1ccCCcc1,RINGS_C1ccCN1,RINGS_C1ccCO1,RINGS_C1ccCOcc1,RINGS_C1ccCcc1,RINGS_C1ccNCN1,RINGS_C1ccOC1,RINGS_C1ccSN1,RINGS_C1ccScc1,RINGS_C1cccCC1,RINGS_C1cccccNCC=CC=CCCCCCCCCC=COC1,RINGS_C1cccccNC\C=C/C=C/CCCCCCCC/C=C/OC1,RINGS_C1cccccNC\C=C/C=C\CCCCCCCC/C=C/OC1,RINGS_c1cCCC1,RINGS_c1cCCCC1,RINGS_c1cCCCCNCC1,RINGS_c1cCCNC1,RINGS_c1cCCNCC1,RINGS_c1cCCNCCCC1,RINGS_c1cCCccC1,RINGS_c1cCNCC1,RINGS_c1cCNccC1,RINGS_c1cC_N+_CC1,RINGS_c1cCccC1,RINGS_c1cCccCC1,RINGS_c1cNCC1,RINGS_c1cNCCC1,RINGS_c1cNccCC1,RINGS_c1cOCC1,RINGS_c1cOCCC1,RINGS_c1cOCCO1,RINGS_c1cOCO1,RINGS_c1cOccC1,RINGS_c1cOccCC1,RINGS_c1cSNCN1,RINGS_c1cSccC1,RINGS_c1cSccN1,RINGS_c1c_nH_cn1,RINGS_c1c_nH_cnc1,RINGS_c1c_nH_ncn1,RINGS_c1ccCCC1,RINGS_c1cc_n+_cc1,RINGS_c1cc_nH_c1,RINGS_c1cc_nH_cc1,RINGS_c1ccccc-1,RINGS_c1ccccc1,RINGS_c1cccccc1,RINGS_c1ccnc1,RINGS_c1ccncc1,RINGS_c1ccnnc1,RINGS_c1ccoc1,RINGS_c1ccocc1,RINGS_c1ccsc1,RINGS_c1cn_nH_c1,RINGS_c1cnc_nH_1,RINGS_c1cnc_nH_c1,RINGS_c1cnccn1,RINGS_c1cncn1,RINGS_c1cncnc1,RINGS_c1cnnc1,RINGS_c1cnnn1,RINGS_c1cnoc1,RINGS_c1cnsc1,RINGS_c1cocn1,RINGS_c1coco1,RINGS_c1cscn1,RINGS_c1nCCC1,RINGS_c1nCCCC1,RINGS_c1nCCNC1,RINGS_c1ncnn1,RINGS_c1ncon1,RINGS_c1ncsn1,RINGS_c1nn_nH_n1,RINGS_c1nncn1,RINGS_c1nncs1,RINGS_c1nnnn1
-0.0,-0.0,-0.0,-0.0,-0.009065336,-0.0,-0.00011110535,-0.0,-0.0003010702,-0.0,-0.0,-0.0,-0.0,-0.0,-9.7155964e-05,-0.0,-0.0,-0.0,-0.0,0.003686836,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.025719227,0.0074450583,-0.0,-0.0,-0.0,0.00013763398,-8.520107e-05,3.638824e-05,0.0049517313,0.05816681,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021724749,0.0010815613,-0.01448906,-0.0027335284,-0.0,0.00068979606,-2.6600526e-05,-0.0,-0.0,0.11597271,0.0014498258,-0.0415339,-0.017085273,-0.0,-0.0,-0.0,0.0060929423,0.005354966,-0.0,-0.0,-0.0,0.0007671047,-0.0,0.0012778154,-0.0,-0.0,-0.009845304,-0.0,-7.51512e-05,-0.008374448,-0.01979148,-0.0,-0.0,-0.0016804684,-0.0,-0.0004094207,0.0009065153,-0.0,-0.0,-5.254622e-05,-0.0,-0.0007141626,-0.0,-0.0005425827,-2.878347e-05,-0.0,-0.0,0.0010285295,-0.0,-0.0,-0.0,-0.0,-0.002694029,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019636526,-0.0,-0.0,-6.697863e-05,-0.0,-0.0,0.0002775229,-0.0,0.0001665964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0032150354,-0.0,-0.0,-0.0,-0.0,-0.0,0.005570048,-0.0,-0.0,-0.0,-0.0,-0.00028857784,-0.0,-0.0,-0.011080104,-0.003975756,-0.00016199615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0030725927,0.0113756955,8.253267e-05,-0.0,-0.0,-0.0,-0.011731949,0.003336604,-0.0,-0.022409128,-0.0,-0.0,0.07472139,-0.0,0.00023361313,0.009412237,-0.0003474187,-0.0,-0.0,-0.0012499753,-0.0,0.007911863,-0.0038962015,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.0013539239,-0.0,0.0014347909,-0.0,0.0005304728,-0.0,-0.0,-0.0,0.0018947197,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.009351115,-0.0,-0.00011110535,-0.0,-0.00032818853,-0.0,-0.0,-0.0,-0.0,-0.0,-9.7155964e-05,-0.0,-0.0,-0.0,-0.0,0.009693995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.015881075,0.011334822,-0.0,-0.0,-0.0,0.00028790394,-8.520107e-05,8.225477e-05,0.027787045,0.060490955,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021689905,0.003403503,-0.013560085,-0.0028908062,-0.0,0.00069908076,-2.6600526e-05,-0.0,-0.0,0.13681434,-0.0008043918,-0.029576952,-0.012719811,-0.0,-0.0,-0.0,0.006337448,0.008531852,-0.0,-0.0,-0.0,0.0019469885,-0.0,0.0019392557,-0.0,-0.0,-0.008388851,-0.0,-7.51512e-05,-0.007914147,-0.021088738,-0.0,-0.0,-0.0014949183,-0.0,-0.00015879053,0.00086826936,-0.0,-0.0,-5.254622e-05,-0.0,-0.0011743986,-0.0,-0.00053685904,-2.878347e-05,-0.0,-0.0,0.0010231851,-0.0,-0.0,-0.0,-0.0,-8.108013e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00015299895,-0.0,-0.0,-4.4298475e-05,-0.0,-0.0,0.0002775229,-0.0,0.0013484433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0027999522,-0.0,-0.0,-0.0,-0.0,-0.0,0.008588209,-0.0,-0.0,-0.0,-0.0,-0.00028857784,-0.0,-0.0,-0.010466525,-0.0038543022,-0.00014477663,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0027763753,0.014537697,8.253267e-05,-0.0,-0.0,-0.0,-0.011973239,0.0036010721,-0.0,-0.0038381412,-0.0,-0.0,0.039888263,-0.0,0.0022006002,0.011268233,-0.00032090675,-0.0,-0.0,-0.0008258432,-0.0,0.007318038,-0.0032322926,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.0014533871,-0.0,0.0016435245,-0.0,0.0006129127,-0.0,-0.0,-0.0,0.0016170845,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.011745531,-0.0,-7.4918484e-05,-0.0,-0.00019582505,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000113468275,-0.0,-0.0,-0.0,-0.0,0.0035580425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4783845,0.014969898,-0.0,-0.0,-0.0,0.00022430393,-9.9364675e-05,0.00014680461,0.17145774,-0.19513874,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021689905,0.0035297791,-0.010587833,-0.0021463824,-0.0,0.00077118457,-6.955568e-05,-0.0,-0.0,0.1345516,0.009523202,-0.0665039,-0.013658266,-0.0,-0.0,-0.0,0.0061697243,0.009584235,-0.0,-0.0,-0.0,0.0007337829,-0.0,0.0019794342,-0.0,-0.0,-0.008548937,-0.0,-7.51512e-05,-0.006987427,-0.02607879,-0.0,-0.0,-0.0011278288,-0.0,-0.00010231498,0.000975969,-0.0,-0.0,-5.254622e-05,-0.0,-0.0011262223,-0.0,-0.00024719094,0.006624045,-0.0,-0.0,0.00096919504,-0.0,-0.0,-0.0,-0.0,-0.0001474572,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0001610411,-0.0,-0.0,-0.00047861598,-0.0,-0.0,0.00014448541,-0.0,0.0013484433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00084946223,-0.0,-0.0,-0.0,-0.0,-0.0,0.0072714933,-0.0,-0.0,-0.0,-0.0,-0.00024676372,-0.0,-0.0,-0.011252263,-0.0038526908,-0.00012000309,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0023717047,0.015246241,0.0011096931,-0.0,-0.0,-0.0,-0.009109917,0.003987751,-0.0,0.006133391,-0.0,-0.0,0.0683316,-0.0,0.0008456331,0.015835445,-0.00029889122,-0.0,-0.0,-0.00081618386,-0.0,0.0052213958,-0.0036964659,-0.0,-3.093051e-05,-0.0,-0.0,-0.0,-0.0,-0.001319666,-0.0,0.0016037563,-0.0,0.0007068997,-0.0,-0.0,-0.0,0.0015690292,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.013073405,-0.0,-0.00011110535,-0.0,-0.00035618222,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000113468275,-0.0,-0.0,-0.0,-0.0,0.0101498775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026043732,0.011202563,-0.0,-0.0,-0.0,0.0003809412,-8.520107e-05,3.638824e-05,0.008398402,0.062440794,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021689905,0.00097283704,-0.01392367,-0.0029802271,-0.0,0.00069908076,-5.7859335e-05,-0.0,-0.0,0.12235374,0.00015937266,-0.062116124,-0.015023437,-0.0,-0.0,-0.0,0.008286228,0.0075370646,-0.0,-0.0,-0.0,0.00075505883,-0.0,0.001442261,-0.0,-0.0,-0.009339884,-0.0,-7.51512e-05,-0.008022248,-0.031412624,-0.0,-0.0,-0.001772482,-0.0,-0.0004094207,0.0009671772,-0.0,-0.0,-5.254622e-05,-0.0,-0.0009409946,-0.0,-0.00054333906,-2.878347e-05,-0.0,-0.0,0.0010234502,-0.0,-0.0,-0.0,-0.0,-5.41446e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0001966355,-0.0,-0.0,-0.00015041791,-0.0,-0.0,0.0002775229,-0.0,0.00020246557,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0032773986,-0.0,-0.0,-0.0,-0.0,-0.0,0.008684666,-0.0,-0.0,-0.0,-0.0,-0.0003500256,-0.0,-0.0,-0.011588929,-0.0038837676,-0.00016289628,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0028873866,0.009920272,3.7491096e-05,-0.0,-0.0,-0.0,-0.013270801,0.0037648077,-0.0,-0.014529703,-0.0,-0.0,-0.077880874,-0.0,0.0001452658,0.012943152,-0.00032090675,-0.0,-0.0,-0.0009779019,-0.0,0.0084060505,-0.006344793,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.0014423543,-0.0,0.0016544093,-0.0,0.0005304728,-0.0,-0.0,-0.0,0.0014199162,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.011731124,-0.0,-0.00011110535,-0.0,-0.0003009995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000113468275,-0.0,-0.0,-0.0,-0.0,0.004712619,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.032663643,0.01093524,-0.0,-0.0,-0.0,0.00012294968,-3.910446e-05,3.587238e-05,0.00085352256,0.04470644,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021724749,0.0007749128,-0.015518986,-0.002646844,-0.0,0.00069908076,-2.6600526e-05,-0.0,-0.0,0.12545714,0.00067414297,-0.03398534,-0.021227596,-0.0,-0.0,-0.0,0.0040871133,0.0057819504,-0.0,-0.0,-0.0,0.0011325203,-0.0,0.001363907,-0.0,-0.0,-0.009228403,-0.0,-7.51512e-05,-0.0077142557,-0.010678974,-0.0,-0.0,-0.0018340605,-0.0,-0.00036049227,0.0009052885,-0.0,-0.0,-5.254622e-05,-0.0,-0.00046664648,-0.0,-0.0005425827,-2.878347e-05,-0.0,-0.0,0.0010262141,-0.0,-0.0,-0.0,-0.0,-4.55485e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00020432175,-0.0,-0.0,-6.544907e-05,-0.0,-0.0,0.0002775229,-0.0,0.0001665964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0037132432,-0.0,-0.0,-0.0,-0.0,-0.0,0.008443923,-0.0,-0.0,-0.0,-0.0,-0.00028857784,-0.0,-0.0,-0.010520025,-0.0036021855,-0.00015985021,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0029372042,0.012747533,8.253267e-05,-0.0,-0.0,-0.0,-0.009706009,0.003426191,-0.0,-0.026066292,-0.0,-0.0,0.053965166,-0.0,-0.0017521316,0.008175321,-0.00032090675,-0.0,-0.0,-0.0008514446,-0.0,0.001869435,-0.0073993444,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.001433146,-0.0,0.0014942489,-0.0,0.0005299116,-0.0,-0.0,-0.0,0.0014277516,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.007691404,-0.0,-0.00011110535,-0.0,-0.00048514293,-0.0,-0.0,-0.0,-0.0,-0.0,-9.7155964e-05,-0.0,-0.0,-0.0,-0.0,-0.19322662,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01394197,0.008595525,-0.0,-0.0,-0.0,0.00010048176,-8.520107e-05,3.638824e-05,0.0034713014,0.05954683,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021802734,0.0008941677,-0.012792648,-0.0028900097,-0.0,0.00069908076,8.394643e-06,-0.0,-0.0,0.118048154,0.0014547041,-0.05009329,-0.022477288,-0.0,-0.0,-0.0,0.008213138,0.0057446603,-0.0,-0.0,-0.0,0.0008876511,-0.0,0.0014265315,-0.0,-0.0,-0.009246003,-0.0,-7.51512e-05,-0.0077622114,-0.016687645,-0.0,-0.0,-0.0016922834,-0.0,-0.0004094207,0.0008385635,-0.0,-0.0,-5.254622e-05,-0.0,-0.0010444415,-0.0,-0.0005780392,-2.878347e-05,-0.0,-0.0,0.0010709049,-0.0,-0.0,-0.0,-0.0,-4.55485e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00020405151,-0.0,-0.0,-4.4298475e-05,-0.0,-0.0,0.0002775229,-0.0,0.00020246557,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0035754482,-0.0,-0.0,-0.0,-0.0,-0.0,0.0069187665,-0.0,-0.0,-0.0,-0.0,-0.0003500256,-0.0,-0.0,-0.010208346,-0.003508589,-0.00012852775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0027720584,0.0140857715,8.253267e-05,-0.0,-0.0,-0.0,-0.012618346,0.0036321643,-0.0,-0.002825005,-0.0,-0.0,0.07846286,-0.0,-9.850603e-05,0.009252898,-0.00032090675,-0.0,-0.0,-0.0012030146,-0.0,0.0046233633,-0.0060342285,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.00074416865,-0.0,0.0015926608,-0.0,0.0005304728,-0.0,-0.0,-0.0,0.0013391322,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0092039285,-0.0,-0.00011110535,-0.0,-0.00024778908,-0.0,-0.0,-0.0,-0.0,-0.0,-9.7155964e-05,-0.0,-0.0,-0.0,-0.0,0.009346184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.033665866,0.011270253,-0.0,-0.0,-0.0,0.00021194032,-8.520107e-05,8.225477e-05,0.04110534,0.048759326,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021689905,0.0027966658,-0.013328614,-0.002949892,-0.0,0.00069908076,-5.7859335e-05,-0.0,-0.0,0.13677877,-0.00082275283,-0.058587644,-0.013556561,-0.0,-0.0,-0.0,0.008823537,0.011481832,-0.0,-0.0,-0.0,0.0019196579,-0.0,0.0019861031,-0.0,-0.0,-0.0076281596,-0.0,-7.51512e-05,-0.008094371,-0.021823857,-0.0,-0.0,-0.0017892411,-0.0,-0.00017381119,0.00096922956,-0.0,-0.0,-5.254622e-05,-0.0,-0.00067544874,-0.0,-0.0005425827,-2.878347e-05,-0.0,-0.0,0.0010272218,-0.0,-0.0,-0.0,-0.0,-8.108013e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0001966355,-0.0,-0.0,-7.965167e-05,-0.0,-0.0,0.0002775229,-0.0,0.0001665964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0013588421,-0.0,-0.0,-0.0,-0.0,-0.0,0.00848027,-0.0,-0.0,-0.0,-0.0,-0.0003500256,-0.0,-0.0,-0.009746644,-0.004147933,-0.00016289628,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0026700161,0.014123038,8.253267e-05,-0.0,-0.0,-0.0,-0.011229765,0.0036565508,-0.0,7.042283e-05,-0.0,-0.0,0.028074715,-0.0,0.00040921953,0.012763301,-0.00032090675,-0.0,-0.0,-0.00073988596,-0.0,0.0062038894,-0.004303261,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.0015091968,-0.0,0.0017406829,-0.0,0.0006129127,-0.0,-0.0,-0.0,0.0015092131,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.011289066,-0.0,-0.00011110535,-0.0,-0.00025094266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00025536335,-0.0,-0.0,-0.0,-0.0,0.00578975,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0061668716,0.014727292,-0.0,-0.0,-0.0,0.00021194032,-8.520107e-05,8.225477e-05,0.046636075,0.056308795,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021689905,0.0023941742,-0.013011867,-0.0030541634,-0.0,0.0007273073,-5.7859335e-05,-0.0,-0.0,0.14107876,0.00093612535,-0.032021154,-0.012814097,-0.0,-0.0,-0.0,0.007439664,0.00917589,-0.0,-0.0,-0.0,0.0012099791,-0.0,0.0023498372,-0.0,-0.0,-0.0075677717,-0.0,-7.51512e-05,-0.007900438,-0.01672543,-0.0,-0.0,-0.0014468029,-0.0,-0.00017381119,0.00091925915,-0.0,-0.0,-5.254622e-05,-0.0,-0.00061995815,-0.0,-0.0005425827,-2.878347e-05,-0.0,-0.0,0.0010210268,-0.0,-0.0,-0.0,-0.0,-0.0001474572,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0001493882,-0.0,-0.0,-4.4298475e-05,-0.0,-0.0,0.0002775229,-0.0,0.0001665964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0015196607,-0.0,-0.0,-0.0,-0.0,-0.0,0.010475539,-0.0,-0.0,-0.0,-0.0,-0.0003500256,-0.0,-0.0,-0.008948513,-0.003784667,0.04434647,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0026712357,0.0145137515,8.253267e-05,-0.0,-0.0,-0.0,-0.01065259,0.0035952511,-0.0,-0.012009642,-0.0,-0.0,0.057916585,-0.0,0.0007382085,0.012562699,-0.00032090675,-0.0,-0.0,-0.0009848642,-0.0,0.0050772144,-0.003877564,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.0015091968,-0.0,0.0017126931,-0.0,0.0006129127,-0.0,-0.0,-0.0,0.0015017178,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.012605332,-0.0,-0.00011110535,-0.0,-0.00016862052,-0.0,-0.0,-0.0,-0.0,-0.0,-9.7155964e-05,-0.0,-0.0,-0.0,-0.0,0.008002881,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.024906252,0.010715278,-0.0,-0.0,-0.0,0.00046993184,-8.520107e-05,8.225477e-05,0.014933999,0.06687549,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019201882,0.00431923,-0.014220423,-0.0023880336,-0.0,0.00069908076,-2.6600526e-05,-0.0,-0.0,0.13502474,-3.0458352e-05,-0.022732083,-0.0151770245,-0.0,-0.0,-0.0,0.006759095,0.012158517,-0.0,-0.0,-0.0,0.0016070429,-0.0,0.0019946485,-0.0,-0.0,-0.009074008,-0.0,-7.51512e-05,-0.0079684025,-0.01942394,-0.0,-0.0,-0.001914347,-0.0,-0.0004094207,0.000985078,-0.0,-0.0,-5.254622e-05,-0.0,-0.00062698295,-0.0,-0.00050140254,-2.878347e-05,-0.0,-0.0,0.0012042657,-0.0,-0.0,-0.0,-0.0,-8.108013e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0001966355,-0.0,-0.0,-0.000119959106,-0.0,-0.0,0.0002775229,-0.0,0.0001665964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002568243,-0.0,-0.0,-0.0,-0.0,-0.0,0.009922769,-0.0,-0.0,-0.0,-0.0,-0.00028857784,-0.0,-0.0,-0.012941465,-0.0040453305,-0.0001664688,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002800958,0.014993264,8.253267e-05,-0.0,-0.0,-0.0,-0.011820465,0.0036301478,-0.0,-0.0044363257,-0.0,-0.0,0.028624833,-0.0,0.00031285023,0.012439053,-0.0003474187,-0.0,-0.0,-0.0006781584,-0.0,0.004337963,-0.0049428344,-0.0,-4.7044294e-05,-0.0,-0.0,-0.0,-0.0,-0.0013732325,-0.0,0.0016382455,-0.0,0.0006129127,-0.0,-0.0,-0.0,0.001517948,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0085776495,-0.0,-0.00016911775,-0.0,-0.00064873224,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00032788876,-0.0,-0.0,-0.0,-0.0,0.0033566626,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.042377267,0.0026777037,-0.0,-0.0,-0.0,-0.00025770464,-3.0663658e-05,4.7649646e-05,-0.054474037,0.016140712,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019314713,0.000743318,-0.010514645,-0.0017957411,-0.0,0.0004859693,-0.0005512729,-0.0,-0.0,-2.1589537,0.009662792,-0.036033142,-0.017333861,-0.0,-0.0,-0.0,0.004554061,0.016837632,-0.0,-0.0,-0.0,0.0014482002,-0.0,0.0014410799,-0.0,-0.0,-0.0072391815,-0.0,-7.51512e-05,-0.0069904737,-0.008642727,-0.0,-0.0,-0.0049409303,-0.0,-0.00015124341,-0.15509292,-0.0,-0.0,-0.0002723677,-0.0,-0.00046572374,-0.0,-0.0002591866,-0.00020968937,-0.0,-0.0,0.00082632736,-0.0,-0.0,-0.0,-0.0,-3.5829158e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00074635854,-0.0,-0.0,-6.915291e-05,-0.0,-0.0,0.0002775229,-0.0,0.0004886397,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00091617764,-0.0,-0.0,-0.0,-0.0,-0.0,0.004338882,-0.0,-0.0,-0.0,-0.0,-0.0013125346,-0.0,-0.0,-0.00879823,-0.004301579,-0.00012384949,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0024819754,0.010101818,4.247424e-05,-0.0,-0.0,-0.0,-0.009628788,0.0027011603,-0.0,-0.029998196,-0.0,-0.0,0.02715911,-0.0,0.00017408552,0.009042012,-0.0047530895,-0.0,-0.0,-0.0016578669,-0.0,-0.0010455027,-0.01277347,-0.0,-0.00022895547,-0.0,-0.0,-0.0,-0.0,-0.00061850133,-0.0,0.0016744405,-0.0,0.0004918719,-0.0,-0.0,-0.0,0.0009738582,-0.0,-0.0
