LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.010208145,-0.019813286,0.07097933,0.21646124,0.414094,0.019464059,0.022597196,-0.001923493,0.014221418,-0.0022228037,0.025677131,0.0030988965,0.005194816,0.13738053,0.008739601,0.0077537457,-0.00275157,0.00030229095,-0.0,0.00091726205,-0.0,-0.0,-0.0,-0.020777497,0.034831062,0.0017780523,0.002297868,-0.05881613,-0.006939421,-0.009791224,4.203955e-05,6.058701e-05,-0.0,0.01653743,0.0069420133,0.017727368,-0.0068736034,0.0013253839,0.0022389188,-0.017555173,-0.00844368,-0.0,-4.619236e-05,-2.5792495e-05,0.003975212,-0.050767787,-0.049452648
0.049440093,0.013725081,0.07373404,0.23615807,0.4855311,0.021955878,0.021578006,-0.0049072844,0.013538142,0.023704821,0.022485131,0.009368364,0.0057359207,0.18463066,0.05600832,0.010778245,-0.0025328007,0.004744875,-0.0,0.0005211829,-0.0,-0.0,-0.0,0.010847848,0.031185366,0.0023564517,0.0011925737,0.09468476,0.025132306,-0.00022907046,0.00033963053,0.00033112545,-0.0,0.023338819,0.008955027,0.016364021,-0.010370694,-0.0024959967,0.0010745389,-0.020947525,-0.007510028,-0.0,-4.619236e-05,-1.9964362e-05,0.004423302,-0.0212067,-0.0020056157
0.012919697,-0.0028908101,0.038689226,0.123376206,0.25589386,0.01731675,-0.011804656,0.0063700154,-0.009203951,0.010886396,0.024328751,-0.0061217225,0.011343359,0.03557713,-0.010583344,0.009239078,0.030556716,-0.004148807,-0.0,0.0006653695,-0.0,-0.0,-0.0,0.006058278,0.011196262,0.0025220425,0.0031636602,-0.08679318,-0.011352109,-0.0107019935,0.0006410413,0.00024056784,-0.0,0.028630778,0.00799709,0.017127803,0.03867119,0.012156597,-0.0032344093,0.10352381,0.07177832,-0.0,-3.3380544e-05,-1.6921562e-05,0.0008794379,0.17537701,0.0641073
0.03676135,0.0073828083,0.06928727,0.24663447,0.4771022,0.0217149,0.007445355,-0.004154404,0.010084935,0.029248137,0.033174973,0.006328638,0.008408845,0.22298324,0.041770656,0.0067444677,-0.0015406446,0.0006780705,-0.0,0.0005428058,-0.0,-0.0,-0.0,0.0033345264,0.024083605,0.004274407,-0.02751327,-0.06275915,-0.005583486,-0.004719979,0.00015110937,8.236904e-05,-0.0,0.020659095,0.0065085194,0.019162068,0.012228535,0.0052208924,0.005320126,-0.034358505,0.025117943,-0.0,-4.619236e-05,-1.9964362e-05,-0.02714712,-0.0036326018,0.015364123
0.0116564585,0.003724789,0.08169686,0.06649687,0.19088699,0.015845707,0.017406084,0.007802255,-0.006572832,0.020667749,-0.00022549991,0.0005564749,0.012205505,0.1719393,0.016861612,0.0057504503,-0.0016319953,0.010087041,-0.0,0.0007015844,-0.0,-0.0,-0.0,0.0008222176,0.016942333,0.0053320746,0.004361316,-0.07183023,-0.0089565255,-0.0063552265,2.6753294e-05,8.1094986e-05,-0.0,0.018068288,0.00857684,0.009610355,-0.00607797,-0.006103388,0.00497376,-0.036089215,-0.015814852,-0.0,-4.9567738e-05,-2.5792495e-05,0.0021474664,-0.03917532,-0.022085398
0.015540145,0.006938816,0.066335775,0.086468756,0.45438272,0.01992504,-0.0075191506,0.004645208,0.02221362,0.045295518,0.04631877,-0.006481165,-0.0017053706,0.19132663,0.031386655,0.01128551,-0.0014370565,-0.0006763696,-0.0,0.0007239389,-0.0,-0.0,-0.0,0.005190912,0.022730822,0.0050236895,0.0028632476,-0.08115135,-0.0070294836,-0.004742866,0.0001614639,8.047565e-05,-0.0,0.02076966,0.0063369186,0.017718889,0.0136585,0.011384861,0.0049059526,-0.021405837,-0.005876231,-0.0,-4.619236e-05,-1.9964362e-05,0.0031100078,0.0041229757,-0.005853316
0.033483334,-0.0017601241,0.08177181,0.2307424,0.5523586,0.022248393,0.020514667,0.0074176732,0.0008168777,0.02354177,0.02156669,0.0016418602,0.0104984455,0.22294435,0.026609395,0.007926512,-0.0020088481,0.0005266378,-0.0,0.0005378033,-0.0,-0.0,-0.0,0.013843359,0.020300522,0.0024161597,5.3598866e-05,0.09920082,0.020956676,-0.0018538053,0.0004195889,0.00031555252,-0.0,0.024029166,0.008022111,0.014733289,0.019052526,0.0029323504,-0.0011572031,-0.023129076,-0.011122873,-0.0,-4.9567738e-05,-2.5792495e-05,0.0017637942,0.0032196257,-0.0043942444
0.038554322,-0.001494383,0.0818089,0.2235441,0.5034558,0.02238953,0.018963464,0.021364521,0.0135404365,0.026656173,0.024222719,0.0070147645,0.008344887,0.20210159,0.030956658,0.009742832,-0.0014600642,0.00056580134,-0.0,0.0005372309,-0.0,-0.0,-0.0,0.008150553,0.027131792,0.0022633309,0.0062723337,0.11258242,-0.005680585,0.019956123,0.0004133337,0.0001556707,-0.0,0.02363001,0.008479473,0.011477514,-0.0050959433,-0.0040987697,0.0069096126,0.01271079,-0.014731271,-0.0,-4.619236e-05,-2.5792495e-05,0.0039053725,0.0058323643,-0.003992804
0.045908134,0.0053233127,0.08201233,0.24750699,0.5170051,0.021655641,0.022663658,0.0004336089,-0.012308436,0.026161956,0.018102268,0.002402665,0.006713527,0.223121,0.06056562,-0.018653873,-0.0029551617,-0.00061148574,-0.0,0.0005716956,-0.0,-0.0,-0.0,0.015199264,0.026115462,0.0026171508,0.0006825839,0.109639496,0.030196318,0.0011366003,0.0011581087,0.00031555252,-0.0,0.021626743,0.009280509,0.013368259,-0.011403064,-0.0014453526,0.0011709408,-0.020976063,-0.008943928,-0.0,-4.9567738e-05,-2.5792495e-05,0.0014901689,-0.026179116,-0.008190006
-0.018310705,-0.005326063,-0.10263046,0.031669766,-0.57817966,0.0064678267,-0.025169458,-0.020947112,-0.009411474,-0.056288633,-0.08416089,-0.0065440955,0.0013659737,-0.13591683,-0.016859775,-0.009936168,-0.002387271,6.6218796e-05,-0.0,0.00016803437,-0.0,-0.0,-0.0,0.0010713314,-0.03127669,0.00065912935,0.00034250919,0.04548847,0.021126743,0.007631309,0.00013129336,5.7399866e-05,-0.0,-0.24357522,-0.06203476,0.0053736935,0.009761597,0.00043190172,0.0015434502,-0.023026494,-0.020261891,-0.0,-0.00027334294,-0.0001514499,-0.0003145939,0.0778508,0.013544452
0.04223632,0.0063072,0.074996576,0.22681543,0.32657364,0.019877547,0.02472394,-0.00045123723,-0.009817069,0.024419706,0.01162296,0.016385322,0.009505958,0.24665913,0.046087045,0.009152269,0.023351274,0.00058346527,-0.0,0.0007741856,-0.0,-0.0,-0.0,0.015534017,-0.007203526,0.0051180855,0.004257693,-0.034943286,-0.0026697163,-0.005050686,0.00034066496,0.000101959435,-0.0,0.022617055,0.0076135425,0.0176515,0.012544621,0.0072970507,-0.00062195456,0.011794137,0.046730705,-0.0,-4.9567738e-05,-1.9964362e-05,0.008831782,0.010982476,0.04111771
0.05505416,0.0055709193,0.06395143,0.23432273,0.23089212,0.018210422,0.02480883,-0.005532915,-0.013317471,0.018046578,0.025617126,0.0122390585,0.0022507645,0.23810431,0.048560973,0.010115733,0.043024242,0.011471954,-0.0,0.00090857025,-0.0,-0.0,-0.0,0.0053272126,-0.0019275174,-0.058441367,0.0051393355,-0.059614953,-0.010033651,-0.004837659,0.00012995448,9.7804776e-05,-0.0,0.020961428,0.007913186,0.015425379,-0.00443418,0.00095461705,0.00017131033,-0.020505488,-0.011369435,-0.0,-4.9567738e-05,-1.9964362e-05,0.008973321,-0.030480457,-0.00825963
