RINGS_C1=CCC1,RINGS_C1=CCC=CC1,RINGS_C1=CCCC1,RINGS_C1=CCCC=C1,RINGS_C1=CCCCC1,RINGS_C1=CCCNC1,RINGS_C1=CCCcc1,RINGS_C1=CCN=C1,RINGS_C1=CCNCC1,RINGS_C1=CCOcc1,RINGS_C1=CCcc1,RINGS_C1=CNC=CC1,RINGS_C1=CNCC1,RINGS_C1=CNCOC1,RINGS_C1=CNCSC1,RINGS_C1=CNC_S+_C1,RINGS_C1=COCCC1,RINGS_C1=CSCN1,RINGS_C1=NCCCN1,RINGS_C1=NCCN1,RINGS_C1=NCCNcc1,RINGS_C1=NCCO1,RINGS_C1=NCNN1,RINGS_C1=NCccN1,RINGS_C1=NCcn-cc1,RINGS_C1C=CC=CC1,RINGS_C1C=CCC1,RINGS_C1C=CCC=C1,RINGS_C1C=CCCC1,RINGS_C1C=CCO1,RINGS_C1C=CCcc1,RINGS_C1C=COCC1,RINGS_C1CC1,RINGS_C1CC=CCC1,RINGS_C1CCC1,RINGS_C1CCCC1,RINGS_C1CCCCC1,RINGS_C1CCCCCC1,RINGS_C1CCCCCCC1,RINGS_C1CCCCCCCC/C=C/C=C/CCO1,RINGS_C1CCCCCCCCC=CC=CCCO1,RINGS_C1CCCCCCCCCCCCO1,RINGS_C1CCCCCCCCCCCCOCCCC=CC=CC=CC=CC=CC=CC=CCCCCO1,RINGS_C1CCCCCCCCNCCCCO1,RINGS_C1CCCCCCCCOCCCC1,RINGS_C1CCCCN1,RINGS_C1CCCCO1,RINGS_C1CCCN1,RINGS_C1CCCNC1,RINGS_C1CCCNCC1,RINGS_C1CCCO1,RINGS_C1CCCOC1,RINGS_C1CCCS1,RINGS_C1CCCcc1,RINGS_C1CCN1,RINGS_C1CCNC1,RINGS_C1CCNCC1,RINGS_C1CCNCN1,RINGS_C1CCNN1,RINGS_C1CCNccN1,RINGS_C1CCO1,RINGS_C1CCOC1,RINGS_C1CCOCC1,RINGS_C1CCOCCNCCNCCNCCNCCN1,RINGS_C1CCOCO1,RINGS_C1CC_N+_C1,RINGS_C1CC_N+_CC1,RINGS_C1CCccN1,RINGS_C1CCccO1,RINGS_C1CCccccOcccCNCCN1,RINGS_C1CN1,RINGS_C1CN=CccN1,RINGS_C1CNC1,RINGS_C1CNCC1,RINGS_C1CNCCC1,RINGS_C1CNCCN1,RINGS_C1CNCCNC1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCccc-ccCN1,RINGS_C1CNCN1,RINGS_C1CNCS1,RINGS_C1CNCccN1,RINGS_C1CO1,RINGS_C1COCC1,RINGS_C1COCCC1,RINGS_C1COCCN1,RINGS_C1COCCO1,RINGS_C1COCN1,RINGS_C1COCO1,RINGS_C1COCOC1,RINGS_C1COcc1,RINGS_C1CSCN1,RINGS_C1CccN1,RINGS_C1Cccc-ccCNCCN1,RINGS_C1CcccOccccCCNCCN1,RINGS_C1NCCN1,RINGS_C1NCCO1,RINGS_C1OCCO1,RINGS_C1SCS1,RINGS_C1cc-ncCN1,RINGS_C1ccC=CC1,RINGS_C1ccC=Ccc1,RINGS_C1ccCCC1,RINGS_C1ccCCN1,RINGS_C1ccCCcc1,RINGS_C1ccCN1,RINGS_C1ccCO1,RINGS_C1ccCOcc1,RINGS_C1ccCcc1,RINGS_C1ccNCN1,RINGS_C1ccOC1,RINGS_C1ccSN1,RINGS_C1ccScc1,RINGS_C1cccCC1,RINGS_C1cccccNCC=CC=CCCCCCCCCC=COC1,RINGS_C1cccccNC\C=C/C=C/CCCCCCCC/C=C/OC1,RINGS_C1cccccNC\C=C/C=C\CCCCCCCC/C=C/OC1,RINGS_c1cCCC1,RINGS_c1cCCCC1,RINGS_c1cCCCCNCC1,RINGS_c1cCCNC1,RINGS_c1cCCNCC1,RINGS_c1cCCNCCCC1,RINGS_c1cCCccC1,RINGS_c1cCNCC1,RINGS_c1cCNccC1,RINGS_c1cC_N+_CC1,RINGS_c1cCccC1,RINGS_c1cCccCC1,RINGS_c1cNCC1,RINGS_c1cNCCC1,RINGS_c1cNccCC1,RINGS_c1cOCC1,RINGS_c1cOCCC1,RINGS_c1cOCCO1,RINGS_c1cOCO1,RINGS_c1cOccC1,RINGS_c1cOccCC1,RINGS_c1cSNCN1,RINGS_c1cSccC1,RINGS_c1cSccN1,RINGS_c1c_nH_cn1,RINGS_c1c_nH_cnc1,RINGS_c1c_nH_ncn1,RINGS_c1ccCCC1,RINGS_c1cc_n+_cc1,RINGS_c1cc_nH_c1,RINGS_c1cc_nH_cc1,RINGS_c1ccccc-1,RINGS_c1ccccc1,RINGS_c1cccccc1,RINGS_c1ccnc1,RINGS_c1ccncc1,RINGS_c1ccnnc1,RINGS_c1ccoc1,RINGS_c1ccocc1,RINGS_c1ccsc1,RINGS_c1cn_nH_c1,RINGS_c1cnc_nH_1,RINGS_c1cnc_nH_c1,RINGS_c1cnccn1,RINGS_c1cncn1,RINGS_c1cncnc1,RINGS_c1cnnc1,RINGS_c1cnnn1,RINGS_c1cnoc1,RINGS_c1cnsc1,RINGS_c1cocn1,RINGS_c1coco1,RINGS_c1cscn1,RINGS_c1nCCC1,RINGS_c1nCCCC1,RINGS_c1nCCNC1,RINGS_c1ncnn1,RINGS_c1ncon1,RINGS_c1ncsn1,RINGS_c1nn_nH_n1,RINGS_c1nncn1,RINGS_c1nncs1,RINGS_c1nnnn1
-0.0,-0.0,-1.7856994e-05,-0.0,-0.00029196552,-0.0,0.00016121371,-0.0,4.0365594e-05,-0.0,-0.0,-0.0,5.1824558e-05,-0.0,3.8982147e-05,-0.0,-0.0,-0.0,-0.0,0.0015085688,-0.0,-0.0,-0.0,-0.0,0.00011154512,-0.0,-0.0,-0.011261547,0.006794498,-0.0,-0.0,-2.7385879e-05,0.00030200905,-0.0,-0.00040990923,-0.0011545741,0.0067401403,-0.0,-7.848627e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00075138116,-0.00057869457,-6.62317e-05,-0.0,1.6344084e-05,-7.734159e-06,-0.0,-0.0,0.055250403,0.0002859423,-0.0112764,-0.0024413909,-0.0,-0.0,-0.0,-0.00025721485,0.0018599831,-0.0,1.1483186e-05,4.290132e-05,0.0015689997,-0.0,0.00015469399,-0.0,-0.0,-0.00058394996,-2.1116877e-05,0.00029697927,-0.00020460975,-0.0012627672,-0.0,-0.0,-0.0003036493,-0.0,-0.0,8.1341204e-05,-0.0,-5.896562e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,2.0291187e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010815573,-0.0,-0.0,-0.0,-0.0,-0.0,0.00040663543,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00017034284,-0.0,-0.0,-0.0,-0.0,-0.0,-9.133014e-05,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0017484752,-0.0,-0.0,4.0409155e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0022112913,-0.0,-0.0,-0.0,-0.0,-0.0003298947,7.58504e-05,-0.0,0.0088162925,-0.0,-0.0,0.0072184512,-0.0,0.00018298294,0.000721988,-0.0,-0.0,-0.0,-3.645647e-05,-0.0,0.004859448,-0.00047222277,-0.0,-0.0,2.3267261e-05,-0.0,2.7294771e-05,-0.0,-0.0,-0.0,-0.0,-0.0,5.6909248e-05,-0.0,-0.0,-0.0,0.00020455384,-0.0,-0.0
-0.0,-0.0,-3.0462765e-05,-0.0,-0.00037364743,-0.0,0.000535402,-0.0,1.9768575e-05,-0.0,-0.0,-0.0,5.1824558e-05,-0.0,9.385413e-05,-0.0,-0.0,-0.0,-0.0,0.0022451691,-0.0,-0.0,-0.0,-0.0,0.00011154512,-0.0,-0.0,-0.0071752896,0.013086032,-0.0,-0.0,-1.5046233e-05,0.00090295094,-0.0,-0.0004633289,0.0019097994,0.004800497,-0.0,-1.0676183e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0018751724,-0.00029001423,-6.0933922e-05,-0.0,1.687687e-05,-2.4421184e-05,-0.0,-0.0,0.06486877,-0.00014953408,-0.004666446,-0.0023436346,-0.0,-0.0,-0.0,0.00038784323,0.003679556,-0.0,1.1483186e-05,0.00012975046,0.0030345789,-0.0,0.00026059477,-0.0,-0.0,-0.0006227199,-2.1116877e-05,0.0008295806,-0.00020156076,-0.00073268724,-0.0,-0.0,-0.00030334276,-0.0,-0.0,0.00020784675,-0.0,-4.6910784e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,3.110522e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010309821,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007051268,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010766638,-0.0,-0.0,-0.0,-0.0,-0.0,-5.014067e-05,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0012706326,-0.0,-0.0,0.00040177646,-0.0,-0.0,-0.0,-0.0,-0.0,0.002484315,-0.0,-0.0,-0.0,-0.0,-0.00041531344,3.4386947e-05,-0.0,0.0029780555,-0.0,-0.0,0.005064444,-0.0,0.00024231317,0.0007795818,-0.0,-0.0,-0.0,-4.8761278e-05,-0.0,0.004315258,-0.000436848,-0.0,-0.0,0.000111652094,-0.0,0.00010224627,-0.0,-0.0,-0.0,-0.0,-0.0,0.00025423922,-0.0,-0.0,-0.0,0.00023769606,-0.0,-0.0
-0.0,-0.0,-2.9633818e-05,-0.0,-0.0004953986,-0.0,0.00015572183,-0.0,4.5023637e-05,-0.0,-0.0,-0.0,2.5184698e-05,-0.0,3.9740193e-05,-0.0,-0.0,-0.0,-0.0,0.0003916471,-0.0,-0.0,-0.0,-0.0,3.1912383e-05,-0.0,-0.0,0.41126573,0.019081641,-0.0,-0.0,-1.2663024e-05,-1.5266443e-05,-0.0,-0.00039785873,0.107595235,-0.039693244,-0.0,-7.841155e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0011208837,-0.00042902274,-5.2971314e-05,-0.0,0.00023259706,-2.4077852e-05,-0.0,-0.0,0.06377524,0.00034178115,-0.011476723,-0.003225681,-0.0,-0.0,-0.0,5.015324e-05,0.0031556464,-0.0,6.673089e-05,0.00011028649,0.0015579555,-0.0,0.00015272695,-0.0,-0.0,-0.0008253311,-2.1116877e-05,0.00032222221,-0.00021801247,-0.0020008467,-0.0,-0.0,-0.00025846995,-0.0,-0.0,8.144874e-05,-0.0,-3.957098e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0013470661,-0.0,-0.0,1.4197734e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00010327796,-0.0,-0.0,-0.0,-0.0,-0.0,0.0004730749,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0005505189,-0.0,-0.0,-0.0,-0.0,-0.0,0.00030836527,-0.0,-0.0,-0.0,-0.0,-0.00011511601,-0.0,-0.0,-0.0026068925,-0.0,-0.0,2.6312715e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0014562777,-0.0,-0.0,-0.0,-0.0,-0.0002710209,4.7569796e-05,-0.0,-0.004561073,-0.0,-0.0,0.004280305,-0.0,9.3169794e-05,0.0018000137,-0.0,-0.0,-0.0,-4.4493325e-05,-0.0,0.0013627978,-0.00070319895,-0.0,-0.0,1.36023045e-05,-0.0,2.7294771e-05,-0.0,-0.0,-0.0,-0.0,-0.0,6.9126654e-05,-0.0,-0.0,-0.0,9.5411335e-05,-0.0,-0.0
-0.0,-0.0,-2.9728097e-05,-0.0,-0.0004006909,-0.0,0.00013448515,-0.0,1.9768575e-05,-0.0,-0.0,-0.0,0.00019118281,-0.0,9.385413e-05,-0.0,-0.0,-0.0,-0.0,0.0030614263,-0.0,-0.0,-0.0,-0.0,0.00011154512,-0.0,-0.0,-0.014729225,0.011958127,-0.0,-0.0,-2.2604549e-05,0.00017769581,-0.0,-0.0004180547,0.0022660424,0.008385054,-0.0,-1.0676183e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007683437,-0.00033289214,-7.065135e-05,-0.0,1.8222354e-05,-7.734159e-06,-0.0,-0.0,0.060688067,8.054175e-05,-0.011246208,-0.002257137,-0.0,-0.0,-0.0,-7.164164e-05,0.0026323956,-0.0,1.714117e-05,4.15456e-05,0.0018822729,-0.0,9.668241e-05,-0.0,-0.0,-0.00041043127,-2.1116877e-05,0.0003430919,-0.00023288882,-0.0033535478,-0.0,-0.0,-0.00032375887,-0.0,-0.0,4.7603397e-05,-0.0,-5.933521e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,4.2140775e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000117450356,-0.0,-0.0,-0.0,-0.0,-0.0,0.00044416235,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0002653942,-0.0,-0.0,-0.0,-0.0,-0.0,3.1915108e-05,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0021001399,-0.0,-0.0,5.7094734e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0029578817,-0.0,-0.0,-0.0,-0.0,-0.000418646,7.172693e-05,-0.0,-0.047408372,-0.0,-0.0,-0.034780648,-0.0,0.00030206458,0.000695264,-0.0,-0.0,-0.0,-4.8761278e-05,-0.0,0.008601466,-0.0017937378,-0.0,-0.0,3.635164e-05,-0.0,2.7294771e-05,-0.0,-0.0,-0.0,-0.0,-0.0,6.5750835e-05,-0.0,-0.0,-0.0,0.0003478412,-0.0,-0.0
-0.0,-0.0,-1.7856994e-05,-0.0,-0.00020048514,-0.0,0.00016793079,-0.0,1.3508024e-05,-0.0,-0.0,-0.0,5.1824558e-05,-0.0,9.385413e-05,-0.0,-0.0,-0.0,-0.0,0.00092464476,-0.0,-0.0,-0.0,-0.0,3.169664e-05,-0.0,-0.0,-0.016903466,0.005382182,-0.0,-0.0,-2.2655011e-05,0.00028948372,-0.0,-0.00040990923,-0.0038290722,0.008133267,-0.0,-1.0676183e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00046538995,-0.0005854409,-7.0382914e-05,-0.0,1.6344084e-05,-7.734159e-06,-0.0,-0.0,0.056991454,2.6420323e-05,-0.011438789,-0.006792078,-0.0,-0.0,-0.0,3.9839884e-05,0.0025006968,-0.0,2.2197471e-05,5.393171e-05,0.001268329,-0.0,8.64942e-05,-0.0,-0.0,-0.0010408373,-2.1116877e-05,0.0005431977,-0.00020099757,-0.0024097797,-0.0,-0.0,-0.00031846043,-0.0,-0.0,8.1341204e-05,-0.0,-5.896562e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,2.1466043e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00011134411,-0.0,-0.0,-0.0,-0.0,-0.0,0.00024334167,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0009267216,-0.0,-0.0,-0.0,-0.0,-0.0,9.895598e-05,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0019837676,-0.0,-0.0,5.7094734e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0023052883,-0.0,-0.0,-0.0,-0.0,-0.00040078815,0.00025756736,-0.0,0.0024058688,-0.0,-0.0,0.006193415,-0.0,0.0001735061,0.0006851842,-0.0,-0.0,-0.0,-3.0268593e-05,-0.0,0.003846234,-0.000571418,-0.0,-0.0,3.6668887e-05,-0.0,2.7294771e-05,-0.0,-0.0,-0.0,-0.0,-0.0,6.9047965e-05,-0.0,-0.0,-0.0,0.000119000135,-0.0,-0.0
-0.0,-0.0,-5.5835113e-05,-0.0,-0.00029804962,-0.0,0.00016925446,-0.0,1.3508024e-05,-0.0,-0.0,-0.0,0.00019118281,-0.0,3.8982147e-05,-0.0,-0.0,-0.0,-0.0,-0.07542532,-0.0,-0.0,-0.0,-0.0,3.169664e-05,-0.0,-0.0,-0.008831761,0.007261112,-0.0,-0.0,-2.2604549e-05,0.000121401434,-0.0,-0.00040990923,-0.001521483,0.0068916283,-0.0,-7.848627e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007597087,-0.0003306705,-6.639526e-05,-0.0,1.6344084e-05,-7.734159e-06,-0.0,-0.0,0.059645507,-2.580271e-05,-0.008685476,-0.0028426766,-0.0,-0.0,-0.0,-0.00011272615,0.002604022,-0.0,2.2197471e-05,5.393171e-05,0.0015842234,-0.0,8.64942e-05,-0.0,-0.0,-0.000383732,-2.1116877e-05,0.00038610102,-0.00020460975,-0.0014691361,-0.0,-0.0,-0.000304027,-0.0,-0.0,8.1341204e-05,-0.0,-5.896562e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,0.00016266158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000112358495,-0.0,-0.0,-0.0,-0.0,-0.0,0.00040663543,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0006660802,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4600386e-05,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0014824782,-0.0,-0.0,5.8892863e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0018753585,-0.0,-0.0,-0.0,-0.0,-0.00038133975,6.766363e-05,-0.0,0.013941646,-0.0,-0.0,0.0077589797,-0.0,0.00031905563,0.00070769596,-0.0,-0.0,-0.0,-4.8761278e-05,-0.0,0.0043948125,-0.00044043388,-0.0,-0.0,3.6668887e-05,-0.0,2.7294771e-05,-0.0,-0.0,-0.0,-0.0,-0.0,6.9047965e-05,-0.0,-0.0,-0.0,0.00019440826,-0.0,-0.0
-0.0,-0.0,-2.3955448e-05,-0.0,-0.00039143008,-0.0,0.00052885554,-0.0,1.9768575e-05,-0.0,-0.0,-0.0,0.00019118281,-0.0,7.046729e-05,-0.0,-0.0,-0.0,-0.0,0.0029677358,-0.0,-0.0,-0.0,-0.0,0.00011154512,-0.0,-0.0,-0.010579094,0.011521514,-0.0,-0.0,-2.2655011e-05,0.0008179515,-0.0,-0.0004542679,0.002290311,0.005513832,-0.0,-1.0676183e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0017056642,-0.00030584514,-6.508513e-05,-0.0,1.687687e-05,-7.734159e-06,-0.0,-0.0,0.065222606,-0.00010643956,-0.004884832,-0.0021187968,-0.0,-0.0,-0.0,0.00025826148,0.004079503,-0.0,1.1483186e-05,0.00012975046,0.0029810895,-0.0,0.00031950232,-0.0,-0.0,-0.0003919054,-2.1116877e-05,0.0007632502,-0.0002495859,-0.0006510135,-0.0,-0.0,-0.00032087776,-0.0,-0.0,0.00020784675,-0.0,-4.6910784e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,0.00016266158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00011554688,-0.0,-0.0,-0.0,-0.0,-0.0,0.000695337,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00011818421,-0.0,-0.0,-0.0,-0.0,-0.0,3.9227962e-07,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0014650767,-0.0,-0.0,0.00040177646,-0.0,-0.0,-0.0,-0.0,-0.0,0.0026275706,-0.0,-0.0,-0.0,-0.0,-0.00043736643,5.6231547e-05,-0.0,0.005218284,-0.0,-0.0,0.0039385986,-0.0,0.0002136498,0.00078694144,-0.0,-0.0,-0.0,-3.476578e-05,-0.0,0.004088202,-0.00048048,-0.0,-0.0,0.000111652094,-0.0,0.00010224627,-0.0,-0.0,-0.0,-0.0,-0.0,0.00025423922,-0.0,-0.0,-0.0,0.00031762704,-0.0,-0.0
-0.0,-0.0,-1.5822183e-05,-0.0,-0.00034458633,-0.0,0.0005732278,-0.0,1.9768575e-05,-0.0,-0.0,-0.0,5.1824558e-05,-0.0,9.385413e-05,-0.0,-0.0,-0.0,-0.0,0.0026296468,-0.0,-0.0,-0.0,-0.0,0.00011154512,-0.0,-0.0,-0.006388715,0.011734323,-0.0,-0.0,-2.2655011e-05,0.0005737804,-0.0,-0.00045518344,0.0034572529,0.005839503,-0.0,-1.0676183e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0018998035,-0.00029939247,-5.7110807e-05,-0.0,1.687687e-05,-7.734159e-06,-0.0,-0.0,0.06571603,-0.00013798886,-0.0045982134,-0.0023032431,-0.0,-0.0,-0.0,0.00036860164,0.0039444184,-0.0,1.1483186e-05,0.00018604292,0.0031661356,-0.0,0.00026047433,-0.0,-0.0,-0.0004705906,-2.1116877e-05,0.0008536156,-0.00020767872,-0.00057135546,-0.0,-0.0,-0.0002927862,-0.0,-0.0,0.00020784675,-0.0,-4.6910784e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,3.110522e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000103666156,-0.0,-0.0,-0.0,-0.0,-0.0,0.00072253426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.0144135e-05,-0.0,-0.0,-0.0,-0.0,-0.0,5.6636054e-05,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0013289399,-0.0,-0.0,0.00021674129,-0.0,-0.0,-0.0,-0.0,-0.0,0.0026382771,-0.0,-0.0,-0.0,-0.0,-0.00032364356,5.7132827e-05,-0.0,0.005539208,-0.0,-0.0,0.0065943305,-0.0,0.00021339653,0.0011003417,-0.0,-0.0,-0.0,-4.8761278e-05,-0.0,0.0042006765,-0.00021956397,-0.0,-0.0,0.000111652094,-0.0,0.00010224627,-0.0,-0.0,-0.0,-0.0,-0.0,0.00025423922,-0.0,-0.0,-0.0,0.0003467426,-0.0,-0.0
-0.0,-0.0,-1.7856994e-05,-0.0,-0.00035658482,-0.0,0.00052885554,-0.0,4.0365594e-05,-0.0,-0.0,-0.0,1.7080176e-05,-0.0,7.046729e-05,-0.0,-0.0,-0.0,-0.0,0.0022460227,-0.0,-0.0,-0.0,-0.0,0.00011154512,-0.0,-0.0,-0.008270194,0.009530438,-0.0,-0.0,-2.7385879e-05,0.00090295094,-0.0,-0.0004633289,0.0024672614,0.005502376,-0.0,-1.0676183e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016234706,-0.00041403767,-6.508513e-05,-0.0,1.687687e-05,-7.734159e-06,-0.0,-0.0,0.06353172,-2.8239032e-05,-0.004856449,-0.0022153007,-0.0,-0.0,-0.0,0.00036875426,0.0037810537,-0.0,1.1483186e-05,0.00012975046,0.0029526774,-0.0,0.00025548408,-0.0,-0.0,-0.00067460997,-2.1116877e-05,0.00053805014,-0.00016919602,-0.0006542099,-0.0,-0.0,-0.0003358709,-0.0,-0.0,0.00020784675,-0.0,-4.6910784e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8103852e-05,-0.0,-0.0,3.110522e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00012266329,-0.0,-0.0,-0.0,-0.0,-0.0,0.00066281925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.9611284e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-1.269691e-06,-0.0,-0.0,-0.0,-0.0,-0.00013110862,-0.0,-0.0,-0.0015369885,-0.0,-0.0,0.00039500953,-0.0,-0.0,-0.0,-0.0,-0.0,0.0023011873,-0.0,-0.0,-0.0,-0.0,-0.00042655307,5.93746e-05,-0.0,0.0027752123,-0.0,-0.0,0.003954022,-0.0,0.00018692408,0.0007706975,-0.0,-0.0,-0.0,-3.476578e-05,-0.0,0.0036056924,-0.0005030763,-0.0,-0.0,2.3267261e-05,-0.0,3.5983645e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016435845,-0.0,-0.0,-0.0,0.00021965317,-0.0,-0.0
-0.0,-0.0,-9.792391e-05,-0.0,-0.00033036887,-0.0,0.00012349531,-0.0,9.792576e-05,-0.0,-0.0,-0.0,3.6701742e-05,-0.0,2.2216042e-05,-0.0,-0.0,-0.0,-0.0,0.00039641917,-0.0,-0.0,-0.0,-0.0,8.842039e-06,-0.0,-0.0,-0.024934027,0.0021173533,-0.0,-0.0,-0.0001340366,8.578688e-05,-0.0,-0.0032000865,-0.029357802,0.00062157935,-0.0,-1.7798578e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00039278448,-0.00022137885,-0.00032913563,-0.0,6.9998e-05,-2.263188e-05,-0.0,-0.0,-0.4669779,-5.1359275e-05,-0.0037072864,-0.002620365,-0.0,-0.0,-0.0,-0.0002499438,0.0016094851,-0.0,0.00010306971,3.2129647e-05,0.00069284806,-0.0,5.6101002e-05,-0.0,-0.0,-0.0003055388,-0.00017254548,0.00028898934,-0.0002863449,-0.00042015445,-0.0,-0.0,-0.0014676611,-0.0,-0.0,-0.0010599608,-0.0,-5.7870737e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-7.818524e-05,-0.0,-0.0,1.8798195e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00032684617,-0.0,-0.0,-0.0,-0.0,-0.0,0.00019379897,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00024297008,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0002515295,-0.0,-0.0,-0.0,-0.0,-0.0006978733,-0.0,-0.0,-0.0017059066,-0.0,-0.0,2.0752354e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.00054643163,-0.0,-0.0,-0.0,-0.0,-0.00087856327,1.8135921e-05,-0.0,-0.00072755455,-0.0,-0.0,0.0009021979,-0.0,0.000103949635,0.00026505103,-0.0,-0.0,-0.0,-0.00013096718,-0.0,-0.00019720019,-0.0016685204,-0.0,-0.0,1.365949e-05,-0.0,2.0547875e-05,-0.0,-0.0,-0.0,-0.0,-0.0,5.2413045e-05,-0.0,-0.0,-0.0,4.9167793e-05,-0.0,-0.0
