RINGS_C1=CCC1,RINGS_C1=CCC=CC1,RINGS_C1=CCCC1,RINGS_C1=CCCC=C1,RINGS_C1=CCCCC1,RINGS_C1=CCCNC1,RINGS_C1=CCCcc1,RINGS_C1=CCN=C1,RINGS_C1=CCNCC1,RINGS_C1=CCOcc1,RINGS_C1=CCcc1,RINGS_C1=CNC=CC1,RINGS_C1=CNCC1,RINGS_C1=CNCOC1,RINGS_C1=CNCSC1,RINGS_C1=CNC_S+_C1,RINGS_C1=COCCC1,RINGS_C1=CSCN1,RINGS_C1=NCCCN1,RINGS_C1=NCCN1,RINGS_C1=NCCNcc1,RINGS_C1=NCCO1,RINGS_C1=NCNN1,RINGS_C1=NCccN1,RINGS_C1=NCcn-cc1,RINGS_C1C=CC=CC1,RINGS_C1C=CCC1,RINGS_C1C=CCC=C1,RINGS_C1C=CCCC1,RINGS_C1C=CCO1,RINGS_C1C=CCcc1,RINGS_C1C=COCC1,RINGS_C1CC1,RINGS_C1CC=CCC1,RINGS_C1CCC1,RINGS_C1CCCC1,RINGS_C1CCCCC1,RINGS_C1CCCCCC1,RINGS_C1CCCCCCC1,RINGS_C1CCCCCCCC/C=C/C=C/CCO1,RINGS_C1CCCCCCCCC=CC=CCCO1,RINGS_C1CCCCCCCCCCCCO1,RINGS_C1CCCCCCCCCCCCOCCCC=CC=CC=CC=CC=CC=CC=CCCCCO1,RINGS_C1CCCCCCCCNCCCCO1,RINGS_C1CCCCCCCCOCCCC1,RINGS_C1CCCCN1,RINGS_C1CCCCO1,RINGS_C1CCCN1,RINGS_C1CCCNC1,RINGS_C1CCCNCC1,RINGS_C1CCCO1,RINGS_C1CCCOC1,RINGS_C1CCCS1,RINGS_C1CCCcc1,RINGS_C1CCN1,RINGS_C1CCNC1,RINGS_C1CCNCC1,RINGS_C1CCNCN1,RINGS_C1CCNN1,RINGS_C1CCNccN1,RINGS_C1CCO1,RINGS_C1CCOC1,RINGS_C1CCOCC1,RINGS_C1CCOCCNCCNCCNCCNCCN1,RINGS_C1CCOCO1,RINGS_C1CC_N+_C1,RINGS_C1CC_N+_CC1,RINGS_C1CCccN1,RINGS_C1CCccO1,RINGS_C1CCccccOcccCNCCN1,RINGS_C1CN1,RINGS_C1CN=CccN1,RINGS_C1CNC1,RINGS_C1CNCC1,RINGS_C1CNCCC1,RINGS_C1CNCCN1,RINGS_C1CNCCNC1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,RINGS_C1CNCCccc-ccCN1,RINGS_C1CNCN1,RINGS_C1CNCS1,RINGS_C1CNCccN1,RINGS_C1CO1,RINGS_C1COCC1,RINGS_C1COCCC1,RINGS_C1COCCN1,RINGS_C1COCCO1,RINGS_C1COCN1,RINGS_C1COCO1,RINGS_C1COCOC1,RINGS_C1COcc1,RINGS_C1CSCN1,RINGS_C1CccN1,RINGS_C1Cccc-ccCNCCN1,RINGS_C1CcccOccccCCNCCN1,RINGS_C1NCCN1,RINGS_C1NCCO1,RINGS_C1OCCO1,RINGS_C1SCS1,RINGS_C1cc-ncCN1,RINGS_C1ccC=CC1,RINGS_C1ccC=Ccc1,RINGS_C1ccCCC1,RINGS_C1ccCCN1,RINGS_C1ccCCcc1,RINGS_C1ccCN1,RINGS_C1ccCO1,RINGS_C1ccCOcc1,RINGS_C1ccCcc1,RINGS_C1ccNCN1,RINGS_C1ccOC1,RINGS_C1ccSN1,RINGS_C1ccScc1,RINGS_C1cccCC1,RINGS_C1cccccNCC=CC=CCCCCCCCCC=COC1,RINGS_C1cccccNC\C=C/C=C/CCCCCCCC/C=C/OC1,RINGS_C1cccccNC\C=C/C=C\CCCCCCCC/C=C/OC1,RINGS_c1cCCC1,RINGS_c1cCCCC1,RINGS_c1cCCCCNCC1,RINGS_c1cCCNC1,RINGS_c1cCCNCC1,RINGS_c1cCCNCCCC1,RINGS_c1cCCccC1,RINGS_c1cCNCC1,RINGS_c1cCNccC1,RINGS_c1cC_N+_CC1,RINGS_c1cCccC1,RINGS_c1cCccCC1,RINGS_c1cNCC1,RINGS_c1cNCCC1,RINGS_c1cNccCC1,RINGS_c1cOCC1,RINGS_c1cOCCC1,RINGS_c1cOCCO1,RINGS_c1cOCO1,RINGS_c1cOccC1,RINGS_c1cOccCC1,RINGS_c1cSNCN1,RINGS_c1cSccC1,RINGS_c1cSccN1,RINGS_c1c_nH_cn1,RINGS_c1c_nH_cnc1,RINGS_c1c_nH_ncn1,RINGS_c1ccCCC1,RINGS_c1cc_n+_cc1,RINGS_c1cc_nH_c1,RINGS_c1cc_nH_cc1,RINGS_c1ccccc-1,RINGS_c1ccccc1,RINGS_c1cccccc1,RINGS_c1ccnc1,RINGS_c1ccncc1,RINGS_c1ccnnc1,RINGS_c1ccoc1,RINGS_c1ccocc1,RINGS_c1ccsc1,RINGS_c1cn_nH_c1,RINGS_c1cnc_nH_1,RINGS_c1cnc_nH_c1,RINGS_c1cnccn1,RINGS_c1cncn1,RINGS_c1cncnc1,RINGS_c1cnnc1,RINGS_c1cnnn1,RINGS_c1cnoc1,RINGS_c1cnsc1,RINGS_c1cocn1,RINGS_c1coco1,RINGS_c1cscn1,RINGS_c1nCCC1,RINGS_c1nCCCC1,RINGS_c1nCCNC1,RINGS_c1ncnn1,RINGS_c1ncon1,RINGS_c1ncsn1,RINGS_c1nn_nH_n1,RINGS_c1nncn1,RINGS_c1nncs1,RINGS_c1nnnn1
-0.0,-0.0,-0.0,-0.0,-0.004962496,-0.0,-0.0010101016,-0.0,-0.0,-0.0,-0.0,-0.0,0.00022170233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0034810212,-0.0,-0.0,-0.0,-0.0,0.00020478568,-0.0,-0.0,-0.010128528,0.022842484,-0.0,-0.0,-0.0,-0.0044802045,-6.133945e-05,-0.0,-0.008005241,0.07859867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0026289541,-0.00914298,-0.0004365808,-0.0,0.00045602286,-0.0013354224,-0.0,-0.0,0.11268402,-0.0009871037,-0.057959046,-0.0097396895,-0.0,-0.0,-0.0,-0.00193793,0.0039612846,-0.0,-0.0,-0.0,0.0006708998,-0.0,-0.0,-0.0,-0.0,-0.0022038533,-0.0,0.0008168726,-0.007439827,-0.01120608,-0.0,-0.0,-0.00051326765,-0.0,-0.0,2.0705322e-05,-0.0,-0.00012502351,-0.00039953156,-0.0,-0.0,-0.0,-0.00039567144,-0.000177773,-0.0,-0.0,-9.136778e-05,-0.0,-0.0,-0.0,-0.0,-0.0021078931,-0.0,-0.0,-0.00047494294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00012289544,-0.0,-0.0,-0.0,-0.0,-0.00012726395,-0.0,-0.0,-0.0,-0.0,-0.010012309,-0.0,-0.0,-0.0,-0.0,-0.0,0.005081568,-0.0,-0.0,-0.0,-0.0,-0.0003490632,-0.0,-0.0,-0.0058825454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.013264387,0.00024197694,-0.0,-0.0,-0.0,-0.008284314,-0.0,-0.0,0.042001016,-0.0,-0.00033952328,0.08645777,-0.0,0.0032139928,0.00804347,-0.0014966279,-0.0,-0.0,0.00026279356,-0.0,0.010138947,-0.0060881297,-0.00022455861,-0.0,-0.00023579477,-0.0,-0.0,-0.0,-0.00019541802,-0.0,-0.0,-0.0,0.00055483275,-0.0,-0.0,-0.0,0.00024530504,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0042347065,-0.0,-0.0007253729,-0.0,-0.0,-0.0,-0.0,-0.0,0.00022170233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0022199922,-0.0,-0.0,-0.0,-0.0,0.00095141015,-0.0,-0.0,-0.0078100185,0.029697206,-0.0,-0.0,-0.0,-0.0035854303,-9.080081e-05,-0.0,0.002072158,0.047611732,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0027046236,-0.0050172363,-0.0027422565,-0.0,0.0019657055,-0.0012714954,-0.0,-0.0,0.13120095,-0.002194495,-0.03762087,-0.011004006,-0.0,-0.0,-0.0,0.0005275774,0.004806208,-0.0,-0.0,-0.0,0.0036787966,-0.0,-0.0,-0.0,-0.0,-0.002394382,-0.0,0.002424175,-0.006568184,-0.009618371,-0.0,-0.0,-0.0004371233,-0.0,-0.0,2.0705322e-05,-0.0,-0.00012502351,-0.0003363122,-0.0,-0.0,-0.0,-0.0002736077,-0.00027330787,-0.0,-0.0,-0.00012520552,-0.0,-0.0,-0.0,-0.0,-0.00061225065,-0.0,-0.0,-0.0002780669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00034457768,-0.0,-0.0,-0.0,-0.0,-7.1069095e-05,-0.0,-0.0,-0.0,-0.0,-0.018847946,-0.0,-0.0,-0.0,-0.0,-0.0,0.005402521,-0.0,-0.0,-0.0,-0.0,-0.0003672071,-0.0,-0.0,-0.003770472,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.016023625,0.00024197694,-0.0,-0.0,-0.0,-0.012020953,-0.0,-0.0,0.010806303,-0.0,-0.0006358397,0.055113584,-0.0,0.002662949,0.0077672545,-0.0014784217,-0.0,-0.0,-0.00043001137,-0.0,0.009537559,0.0011263625,-0.0017086436,-0.0,-0.00023579477,-0.0,-0.0,-0.0,-0.00014346022,-0.0,-0.0,-0.0,0.0012292434,-0.0,-0.0,-0.0,0.0006458996,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0044158464,-0.0,-0.0012368311,-0.0,-0.0,-0.0,-0.0,-0.0,0.0006174868,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0018346786,-0.0,-0.0,-0.0,-0.0,0.00078234967,-0.0,-0.0,0.65344816,0.12568282,-0.0,-0.0,-0.0,0.0031346958,-0.0004987876,-0.0,0.40067387,-0.29902646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0054109343,-0.0066568083,-0.002672572,-0.0,0.0014654257,-0.0007557367,-0.0,-0.0,0.12468787,0.012976451,-0.08114627,-0.010825438,-0.0,-0.0,-0.0,0.00061148184,0.010597911,-0.0,-0.0,-0.0,0.000554731,-0.0,-0.0,-0.0,-0.0,-0.0008075028,-0.0,0.00079182815,-0.009929988,-0.013800451,-0.0,-0.0,-0.0003621545,-0.0,-0.0,2.0705322e-05,-0.0,-9.265139e-05,-0.00036902964,-0.0,-0.0,-0.0,-0.0005036403,0.009946532,-0.0,-0.0,-9.136778e-05,-0.0,-0.0,-0.0,-0.0,-0.0004833213,-0.0,-0.0,-0.00047494294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00013267508,-0.0,-0.0,-0.0,-0.0,-0.00016363792,-0.0,-0.0,-0.0,-0.0,-0.0041467794,-0.0,-0.0,-0.0,-0.0,-0.0,0.0053421874,-0.0,-0.0,-0.0,-0.0,-0.00043975902,-0.0,-0.0,-0.0067436453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.013620568,0.0024941054,-0.0,-0.0,-0.0,-0.008926573,-0.0,-0.0,-0.015110547,-0.0,-0.00033609572,0.059915148,-0.0,0.0041779857,0.012109569,-0.0015793927,-0.0,-0.0,1.5320256e-06,-0.0,0.009658648,-0.0007562473,-0.0004265879,-0.0,-0.00023579477,-0.0,-0.0,-0.0,-0.00033339785,-0.0,-0.0,-0.0,0.0016167017,-0.0,-0.0,-0.0,0.00011566948,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0070224362,-0.0,-0.0008761813,-0.0,-0.0,-0.0,-0.0,-0.0,0.00022170233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0022229657,-0.0,-0.0,-0.0,-0.0,0.0004109327,-0.0,-0.0,-0.00952138,0.037501868,-0.0,-0.0,-0.0,-0.0073696915,-0.00019634585,-0.0,-0.0026703207,0.090345204,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.007210819,-0.0064730085,-0.0006125149,-0.0,0.00027816324,-0.0012398832,-0.0,-0.0,0.113630034,0.0019798982,-0.07008903,-0.01110104,-0.0,-0.0,-0.0,0.00026073662,0.0047626304,-0.0,-0.0,-0.0,0.00060474256,-0.0,-0.0,-0.0,-0.0,-0.002394382,-0.0,0.00079182815,-0.007264821,-0.013695495,-0.0,-0.0,-0.0005320502,-0.0,-0.0,2.0705322e-05,-0.0,-0.00012502351,-0.00039953156,-0.0,-0.0,-0.0,-0.001071124,-0.00048508417,-0.0,-0.0,-9.136778e-05,-0.0,-0.0,-0.0,-0.0,-0.00025454632,-0.0,-0.0,-0.00028777454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.3261967e-05,-0.0,-0.0,-0.0,-0.0,-0.00038087412,-0.0,-0.0,-0.0,-0.0,-0.015613234,-0.0,-0.0,-0.0,-0.0,-0.0,0.009149788,-0.0,-0.0,-0.0,-0.0,-0.00089295546,-0.0,-0.0,-0.0041676657,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.014249992,0.00024197694,-0.0,-0.0,-0.0,-0.012997,-0.0,-0.0,-0.110251464,-0.0,-0.0006358397,-0.50645256,-0.0,0.007984162,0.012359074,-0.0015707971,-0.0,-0.0,-0.0006071914,-0.0,0.021995539,0.011997659,-0.00050992536,-0.0,-0.00023579477,-0.0,-0.0,-0.0,6.362656e-05,-0.0,-0.0,-0.0,0.0036828695,-0.0,-0.0,-0.0,0.00032857934,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0076000895,-0.0,-0.001262262,-0.0,-0.0,-0.0,-0.0,-0.0,0.00015449508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0030420998,-0.0,-0.0,-0.0,-0.0,0.004042063,-0.0,-0.0,-0.028430345,0.021422625,-0.0,-0.0,-0.0,-0.0047014,-4.2624866e-05,-0.0,-0.028272597,0.04937333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0017148275,-0.006938043,-0.00044912077,-0.0,0.00018840452,-0.0013802575,-0.0,-0.0,0.1113673,-0.0041011027,-0.057622086,-0.013660176,-0.0,-0.0,-0.0,-0.0024745627,0.005147128,-0.0,-0.0,-0.0,0.00043877173,-0.0,-0.0,-0.0,-0.0,-0.0008075028,-0.0,0.0010056284,-0.007822694,-0.01670358,-0.0,-0.0,-0.00056388584,-0.0,-0.0,2.0705322e-05,-0.0,-0.00023118874,-0.00063000084,-0.0,-0.0,-0.0,-0.001071124,-0.00025488265,-0.0,-0.0,-9.136778e-05,-0.0,-0.0,-0.0,-0.0,-0.00018136532,-0.0,-0.0,-0.00014839202,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.3261967e-05,-0.0,-0.0,-0.0,-0.0,-0.00020589538,-0.0,-0.0,-0.0,-0.0,-0.011532284,-0.0,-0.0,-0.0,-0.0,-0.0,0.0032423814,-0.0,-0.0,-0.0,-0.0,-0.00051397725,-0.0,-0.0,-0.0033971006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.01318708,0.00024197694,-0.0,-0.0,-0.0,-0.0106414985,-0.0,-0.0,-0.0038370413,-0.0,-0.00022501765,0.07328102,-0.0,0.0052459203,0.0068171117,-0.0016054707,-0.0,-0.0,-0.00049288175,-0.0,0.0034659435,0.0016576769,-0.0004265879,-0.0,-0.00023579477,-0.0,-0.0,-0.0,0.001132081,-0.0,-0.0,-0.0,-0.001090924,-0.0,-0.0,-0.0,0.0006458996,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0046007773,-0.0,-0.0011342053,-0.0,-0.0,-0.0,-0.0,-0.0,0.00022170233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08539079,-0.0,-0.0,-0.0,-0.0,0.00020478568,-0.0,-0.0,-0.01781196,0.024974924,-0.0,-0.0,-0.0,0.000306568,-0.00036541777,-0.0,0.0023722567,0.055783454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0026289541,-0.0068609286,-0.00058228406,-0.0,0.00022014687,-0.0016134803,-0.0,-0.0,0.114124484,0.0027696886,-0.05283784,-0.017288998,-0.0,-0.0,-0.0,-0.00085549813,0.00503863,-0.0,-0.0,-0.0,0.00030953376,-0.0,-0.0,-0.0,-0.0,-0.0019846186,-0.0,0.0010056284,-0.0077515,-0.010679255,-0.0,-0.0,-0.000531984,-0.0,-0.0,2.0705322e-05,-0.0,-0.00012502351,-0.00057163404,-0.0,-0.0,-0.0,-0.00056316465,-0.000177773,-0.0,-0.0,-9.136778e-05,-0.0,-0.0,-0.0,-0.0,-0.00025454632,-0.0,-0.0,-0.0002878471,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.3261967e-05,-0.0,-0.0,-0.0,-0.0,-0.00038087412,-0.0,-0.0,-0.0,-0.0,-0.0061182827,-0.0,-0.0,-0.0,-0.0,-0.0,0.004601539,-0.0,-0.0,-0.0,-0.0,-0.0005334121,-0.0,-0.0,-0.004444645,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.0120293,0.00024197694,-0.0,-0.0,-0.0,-0.009238363,-0.0,-0.0,-0.06598647,-0.0,-0.00034857568,0.087671585,-0.0,0.0029442126,0.0067591933,-0.0013830451,-0.0,-0.0,0.00026279356,-0.0,0.008069279,-0.0026427438,-0.00022455861,-0.0,-0.00023579477,-0.0,-0.0,-0.0,-0.00019541802,-0.0,-0.0,-0.0,-0.0009970234,-0.0,-0.0,-0.0,0.0006458996,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.007056231,-0.0,-0.0009014817,-0.0,-0.0,-0.0,-0.0,-0.0,0.00022170233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0022484525,-0.0,-0.0,-0.0,-0.0,0.00020478568,-0.0,-0.0,-0.009964279,0.041241076,-0.0,-0.0,-0.0,-0.0078787785,-0.00088350766,-0.0,0.0041621653,0.048140183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0028252222,-0.0055154096,-0.00060603546,-0.0,0.0022685793,-0.0013192204,-0.0,-0.0,0.12878118,-0.004298522,-0.05959162,-0.009714421,-0.0,-0.0,-0.0,0.0026144513,0.011139438,-0.0,-0.0,-0.0,0.0036787966,-0.0,-0.0,-0.0,-0.0,-0.002394382,-0.0,0.002424175,-0.007285012,-0.014648069,-0.0,-0.0,-0.0005320502,-0.0,-0.0,2.0705322e-05,-0.0,-0.00023118874,-0.00039953156,-0.0,-0.0,-0.0,-0.00039567144,-0.00027330787,-0.0,-0.0,-0.00012520552,-0.0,-0.0,-0.0,-0.0,-0.00025454632,-0.0,-0.0,-0.0002780669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.829983e-05,-0.0,-0.0,-0.0,-0.0,-9.201785e-05,-0.0,-0.0,-0.0,-0.0,-0.009492844,-0.0,-0.0,-0.0,-0.0,-0.0,0.0069244704,-0.0,-0.0,-0.0,-0.0,-0.00054907525,-0.0,-0.0,-0.0037361092,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.015662363,0.00024197694,-0.0,-0.0,-0.0,-0.014864578,-0.0,-0.0,-0.007471622,-0.0,-0.00033952328,0.07989495,-0.0,0.004963942,0.008955244,-0.0016257386,-0.0,-0.0,-0.0006071914,-0.0,0.015898345,0.0032009832,-0.0017086436,-0.0,-0.00023579477,-0.0,-0.0,-0.0,-0.0001777407,-0.0,-0.0,-0.0,0.0012271592,-0.0,-0.0,-0.0,0.0006458996,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0066020302,-0.0,-0.0007322958,-0.0,-0.0,-0.0,-0.0,-0.0,0.00015449508,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0034769052,-0.0,-0.0,-0.0,-0.0,0.00011683069,-0.0,-0.0,-0.005437731,0.040653437,-0.0,-0.0,-0.0,0.0019125957,-5.6669905e-05,-0.0,0.0012537353,0.07177073,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0028252222,-0.00642178,-0.0004365808,-0.0,0.00045602286,-0.001341963,-0.0,-0.0,0.13997535,-0.003483675,-0.033195637,-0.009412338,-0.0,-0.0,-0.0,-0.0013094534,0.008318293,-0.0,-0.0,-0.0,0.0014533555,-0.0,-0.0,-0.0,-0.0,-0.0008075028,-0.0,0.002424175,-0.007076308,-0.017944755,-0.0,-0.0,-0.0004371233,-0.0,-0.0,2.0705322e-05,-0.0,-0.00023118874,-0.00027794542,-0.0,-0.0,-0.0,-0.00039567144,-0.00020357268,-0.0,-0.0,-0.00012520552,-0.0,-0.0,-0.0,-0.0,-0.00025454632,-0.0,-0.0,-0.00026159183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.829983e-05,-0.0,-0.0,-0.0,-0.0,-9.201785e-05,-0.0,-0.0,-0.0,-0.0,-0.0002951827,-0.0,-0.0,-0.0,-0.0,-0.0,0.00483692,-0.0,-0.0,-0.0,-0.0,-0.00039483147,-0.0,-0.0,-0.00316545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.016860485,0.00024197694,-0.0,-0.0,-0.0,-0.0098703895,-0.0,-0.0,0.016255846,-0.0,-0.00033952328,0.10073956,-0.0,0.0051232167,0.009551044,-0.001368275,-0.0,-0.0,-0.00013543491,-0.0,0.013662291,-0.00020375429,-0.00022455861,-0.0,-0.00023579477,-0.0,-0.0,-0.0,0.00014762883,-0.0,-0.0,-0.0,9.4966264e-05,-0.0,-0.0,-0.0,0.00024530504,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.007379554,-0.0,-0.0009219728,-0.0,-0.0,-0.0,-0.0,-0.0,0.00022170233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002245479,-0.0,-0.0,-0.0,-0.0,0.0004109327,-0.0,-0.0,-0.01174639,0.045903355,-0.0,-0.0,-0.0,-0.0072445883,-5.6669905e-05,-0.0,-0.0010156438,0.05489011,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00241444,-0.0064139166,-0.00060603546,-0.0,0.002029821,-0.0014196454,-0.0,-0.0,0.14629497,0.001878496,-0.048707347,-0.009790885,-0.0,-0.0,-0.0,0.00035208487,0.007593449,-0.0,-0.0,-0.0,0.0036787966,-0.0,-0.0,-0.0,-0.0,-0.000804603,-0.0,0.002424175,-0.00702306,-0.026553093,-0.0,-0.0,-0.0005320502,-0.0,-0.0,2.0705322e-05,-0.0,-0.00023118874,-0.00039953156,-0.0,-0.0,-0.0,-0.00039567144,-0.00048508417,-0.0,-0.0,-0.00019496163,-0.0,-0.0,-0.0,-0.0,-0.0004833213,-0.0,-0.0,-0.0002780669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.829983e-05,-0.0,-0.0,-0.0,-0.0,-9.201052e-05,-0.0,-0.0,-0.0,-0.0,-0.008173057,-0.0,-0.0,-0.0,-0.0,-0.0,0.0103514325,-0.0,-0.0,-0.0,-0.0,-0.0003672071,-0.0,-0.0,-0.0037723184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019274422,-0.0,-0.0,0.015042123,0.00024197694,-0.0,-0.0,-0.0,-0.013611434,-0.0,-0.0,0.01780306,-0.0,-0.00033952328,0.06154052,-0.0,0.003698515,0.0074357423,-0.0014966279,-0.0,-0.0,-0.0006071914,-0.0,0.008047974,-0.0031567605,-0.0017086436,-0.0,-0.00023579477,-0.0,-0.0,-0.0,9.408526e-05,-0.0,-0.0,-0.0,0.0015565499,-0.0,-0.0,-0.0,0.0006458996,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0070545436,-0.0,-0.011001183,-0.0,-0.0,-0.0,-0.0,-0.0,0.0005888404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.000994638,-0.0,-0.0,-0.0,-0.0,0.00022306565,-0.0,-0.0,-0.035156358,0.038118176,-0.0,-0.0,-0.0,-0.009012472,-0.00020063401,-0.0,-0.060677946,-0.021194473,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0009383391,-0.005462418,-0.001092153,-0.0,0.004655203,-0.017056093,-0.0,-0.0,-1.831798,0.0038832556,-0.051458932,-0.01565561,-0.0,-0.0,-0.0,-0.003219669,0.019568775,-0.0,-0.0,-0.0,0.00048180454,-0.0,-0.0,-0.0,-0.0,-0.00041489265,-0.0,0.00059342984,-0.008755256,-0.018547893,-0.0,-0.0,-0.0029455042,-0.0,-0.0,-6.749036e-05,-0.0,-0.00012502354,-0.0023803755,-0.0,-0.0,-0.0,-0.005231525,-0.00060499733,-0.0,-0.0,-0.0045148525,-0.0,-0.0,-0.0,-0.0,-0.0003405113,-0.0,-0.0,-0.00018391642,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037916616,-0.0,-0.0,-0.0,-0.0,-0.0018165134,-0.0,-0.0,-0.0,-0.0,-0.008023311,-0.0,-0.0,-0.0,-0.0,-0.0,0.0010675844,-0.0,-0.0,-0.0,-0.0,-0.0016574204,-0.0,-0.0,-0.011308389,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0009904043,-0.0,-0.0,0.007813872,0.000106897474,-0.0,-0.0,-0.0,-0.00473335,-0.0,-0.0,-0.04321952,-0.0,-0.00016399281,0.029513996,-0.0,0.004735811,0.0055628484,-0.017128393,-0.0,-0.0,-0.004958624,-0.0,0.0092465505,-0.024233809,-0.0004265879,-0.0,-0.00325416,-0.0,-0.0,-0.0,0.00017491763,-0.0,-0.0,-0.0,0.00030453605,-0.0,-0.0,-0.0,0.00011566948,-0.0,-0.0
