LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.2420744,-0.2409707,-0.075616986,0.4246081,0.6751381,0.037298154,0.09081557,-0.08823334,0.014168426,-0.1492978,0.10180812,-0.010813455,-0.0242963,-0.003835922,-0.02977876,0.003920452,-0.013885131,-0.010416708,0.0007516927,0.004517125,2.2049619e-05,-0.0,-0.0,-0.1313644,-0.052997194,0.011193216,-0.008190573,-0.1619345,-0.0521953,-0.02702141,-0.008740603,8.8857516e-05,-0.0,0.009972528,0.00026668818,0.04987109,-0.041806974,-0.039152566,0.041107636,-0.068767734,-0.034540806,-0.0,-6.336078e-05,-0.0,-0.026007654,-0.04889764,-0.21157594
0.21270569,0.09563181,-0.028009197,0.4529614,1.1709186,0.05133287,0.09802388,0.06770674,-0.07457483,0.010866249,0.030606352,0.04839332,0.051176127,0.059049234,0.26234025,0.022932127,-0.016802868,0.103241645,-0.00984776,0.00449662,2.348833e-05,-0.0,-0.0,0.031158015,0.02238995,0.012441428,0.021050267,0.39500478,0.2542479,0.028940387,-0.005967211,0.00028285274,-0.0,0.011784316,0.00050188747,0.09180807,-0.04414564,0.008024465,0.019440504,-0.09109481,-0.03870894,-0.0,-4.722293e-05,-0.0,0.06751136,-0.07597808,0.012914177
0.015943374,-0.15874329,0.078251414,0.13676225,0.38946757,0.03799279,-0.13409376,0.04661088,-0.072984405,0.11603404,0.044786505,-0.002064433,0.11783355,-0.03393169,-0.13074481,-0.007789239,0.15080069,0.073531665,0.00055213016,0.00364191,2.348833e-05,-0.0,-0.0,0.12887208,-0.037199907,0.009829518,0.06553706,-0.29096973,-0.09414356,0.009770414,-0.0062599983,0.00017184061,-0.0,0.017974958,0.0001859093,0.051302038,0.1737376,0.046003614,-0.06742123,0.22184849,0.06363926,-0.0,-6.673573e-05,-0.0,0.002198798,0.06278662,-0.046467066
0.25535858,-0.17794842,0.10840165,0.7398929,0.9422646,0.044861816,0.10625898,0.054796662,-0.18189086,0.06661244,0.07429768,-0.038940225,0.024278197,0.18425274,0.35846797,-0.0017242518,-0.016455282,-0.015229617,0.0011464492,0.0035123809,2.348833e-05,-0.0,-0.0,-0.013635649,0.023633905,0.017830798,-0.046418726,-0.15811083,-0.073554404,0.021179693,-0.00609478,0.00010292414,-0.0,0.010670288,0.00026668818,0.068397984,0.070136584,0.010266374,0.055493373,-0.16308811,0.078394786,-0.0,-4.722293e-05,-0.0,-0.01063245,0.042717062,-0.045210805
-0.36519387,-0.112690054,-0.043744776,-0.16117784,0.34455517,0.033433847,0.23895901,0.0058776806,-0.16310537,0.0016048593,0.0022725074,0.06519684,-0.05515612,-0.036993384,0.017421266,0.028691588,-0.018607488,0.2664131,0.000835018,0.00433777,2.2049619e-05,-0.0,-0.0,-0.07570548,-0.05822521,0.0107267825,-0.01059773,-0.20342834,-0.076062046,-0.023605283,-0.0078033903,8.8857516e-05,-0.0,0.010323489,0.0003438957,0.034998942,-0.010352487,-0.018064883,0.10059489,-0.11932693,-0.04601309,-0.0,-4.722293e-05,-0.0,-0.005402345,-0.058454394,-0.05877794
-0.015796335,0.11833433,-0.17858872,-0.17322578,0.8338038,0.032509465,0.010566367,-0.12167605,0.45040596,0.18990639,0.24602851,0.01908827,0.018163692,0.0696735,0.03191537,0.052933257,-0.011302483,-0.03125096,0.00036310707,0.003770605,0.00024066665,-0.0,-0.0,0.0761351,0.046873163,0.0060952674,-0.018793605,-0.26743925,-0.07935348,-0.012552435,-0.007735446,0.00010785024,-0.0,0.011231405,0.00026668818,0.029937925,0.09367994,0.09349824,0.045579456,-0.045590967,-0.054498248,-0.0,-4.722293e-05,-0.0,-0.043958075,0.013633716,0.052234706
0.3845956,-0.10876747,-0.10216284,0.4440907,1.5589224,0.054279547,0.16368568,-0.053820483,-0.052529473,0.3407056,0.12317097,-0.07349909,0.09232391,0.11584731,0.00986742,0.0022945881,-0.023251494,0.019782659,0.00046280326,0.0043005166,1.5991216e-05,-0.0,-0.0,-0.016439179,0.02088314,0.01614543,0.045847267,0.37378764,0.20201914,0.026842928,-0.0053981193,0.0008401304,-0.0,0.0113929715,0.0007636388,0.0788375,0.040867154,-0.014861546,0.02582705,-0.12170388,-0.08979964,-0.0,-4.722293e-05,-0.0,0.053873714,0.05085928,0.0421828
0.27288026,-0.10743681,-0.036174625,0.38943335,1.1169965,0.051794965,0.12726165,0.08487784,0.107583426,0.082853004,0.24486604,0.20033106,0.08245334,0.14407581,0.12204153,0.018589966,-0.01445267,0.019853843,0.0006188169,0.005058854,2.2049619e-05,-0.0,-0.0,0.049002104,-0.005960868,0.013078861,-0.00185714,0.44112042,-0.06899088,0.18500169,-0.008030942,8.9241e-05,-0.0,0.012018899,0.0005565706,0.06572615,-0.020704035,0.0036536893,0.06953332,0.060055505,-0.075951606,-0.0,-4.722293e-05,-0.0,0.00975881,0.075076126,0.048624787
0.13277414,-0.10659455,-0.008792197,0.72328377,1.1388063,0.051124487,0.11773595,0.10132075,0.018635849,0.32955107,0.07369009,0.026978664,0.030471018,0.14960258,0.26963544,-0.00064360845,-0.026632715,0.005395797,0.0008168395,0.0052003916,1.2249294e-05,-0.0,-0.0,-0.019868594,0.042552363,0.02020746,0.03575183,0.3521023,0.20451671,0.029216329,-0.0052219676,0.00010773698,-0.0,0.013140625,0.00050188747,0.06660552,-0.019807195,0.053319234,0.046726055,-0.08514765,-0.058922675,-0.0,-6.336078e-05,-0.0,0.065796256,-0.051764704,0.038348813
-0.108074196,0.09130717,-0.12236978,-0.11456228,-1.3335121,0.015037387,-0.18131283,-0.12668942,-0.1877991,-0.2040317,-0.20587894,-0.0532907,0.055395808,0.09087735,0.048737302,0.18875365,-0.012014454,-0.012801152,0.0022336093,0.002643362,1.0019694e-05,-0.0,-0.0,0.03051771,0.054254513,0.0032592064,-0.004368424,0.22000219,0.054971375,0.09213745,-0.022999518,0.00028937316,-0.0,-0.20189781,-0.0033470772,0.016241955,0.07219826,-0.008150668,0.058511205,-0.067579016,-0.0903771,-0.0,-0.00047887684,-0.0,-0.017811673,0.029371683,-0.08671351
