LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.27906072,-0.2960414,0.056701686,0.38826,0.78068143,0.03324807,0.0989157,-0.12595356,-0.1019435,-0.18736163,-0.00644687,-0.045344766,0.04416472,0.0064755357,-0.06151165,0.01479181,-0.015735673,-0.017541287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16017047,-0.07075666,0.008439212,-0.0059857527,-0.14533791,-0.08269241,-0.029711746,-0.009758192,-0.0,-0.0,0.006048952,0.0002079619,0.05390602,-0.06965836,-0.026448024,0.03857748,-0.09978642,-0.07011522,-0.0,-0.0,-0.0,-0.016088743,-0.08425494,-0.25968102
0.20473608,0.13410506,0.004488864,0.44227973,1.183245,0.038356144,0.11781967,0.070344,-0.18248048,0.042274464,0.081860356,0.04575921,0.06753281,-0.00061960577,0.26753977,0.024412384,-0.013892005,0.019667659,-0.0,-0.0,-0.0,-0.0,-0.0,0.10754767,-0.027819224,0.0064389473,0.027386561,0.31725943,0.3373086,0.07647168,-0.007584037,-0.0,-0.0,0.007886162,0.0005984065,0.0929872,-0.045075536,0.012660609,0.019066341,-0.11247847,-0.041386697,-0.0,-0.0,-0.0,0.08095196,-0.09973551,0.06852669
0.008643378,-0.1714396,0.15064712,0.12861177,0.36445504,0.03207042,-0.2433355,0.18279813,-0.11508571,0.16437203,0.025880972,0.106788404,0.06729152,-0.023642633,-0.13240132,0.013821712,0.15262227,0.019773211,-0.0,-0.0,-0.0,-0.0,-0.0,0.08380509,-0.07088921,0.007012332,0.011587354,-0.24731322,-0.12143594,-0.01288048,-0.0073035355,-0.0,-0.0,0.010472871,6.727709e-05,0.06601618,0.20884365,0.10845756,-0.07402435,0.30328596,0.14053543,-0.0,-0.0,-0.0,-0.05500853,0.18310016,-0.08458791
0.24302396,-0.22496666,0.18195213,0.58806765,0.9644329,0.03425721,0.15212749,0.08595994,-0.27499938,0.14982153,0.059467275,0.066375285,0.046696756,0.022978732,0.3343851,0.0017890994,-0.015494352,0.0043505654,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07014015,0.0036851547,0.008818413,0.008259203,-0.174211,-0.10247956,0.026939034,-0.009281634,-0.0,-0.0,0.008186759,8.144016e-05,0.10312182,0.11112583,-0.015507102,0.052834082,-0.21794496,0.104394525,-0.0,-0.0,-0.0,0.002403822,0.049344935,-0.043404795
-0.39537966,-0.07428355,-0.023618598,-0.17230543,0.31335035,0.027545748,0.21921659,-0.0009656243,-0.17777623,0.027993832,0.035934377,0.08130728,0.013771364,-0.08516518,-0.03037799,0.00591415,-0.01867914,0.11209145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07195068,-0.105807796,0.0039967373,-0.0025943448,-0.14663005,-0.08545351,-0.018176265,-0.009505669,-0.0,-0.0,0.0071796095,0.0002079619,0.04217435,-0.014541767,0.009964611,0.06773342,-0.15117654,-0.032633014,-0.0,-0.0,-0.0,-0.013041396,-0.002672109,-0.13942975
0.007825337,0.1370864,-0.22154889,-0.17609566,0.92596585,0.030329091,0.021824893,-0.16182116,0.3902882,0.17374267,0.24888729,-0.04976599,0.0070704883,-0.067105986,-0.014117762,0.07211464,-0.0101615805,-0.013247488,-0.0,-0.0,-0.0,-0.0,-0.0,0.1385878,0.04413661,0.005558919,-0.020416832,-0.24248976,-0.06946665,-0.00067834544,-0.007957276,-0.0,-0.0,0.006385546,0.0002079619,0.060979195,0.09691086,0.08135962,0.0658397,-0.06986075,-0.046532314,-0.0,-0.0,-0.0,-0.033818033,0.032279782,0.10903342
0.38093477,-0.12140788,-0.13449699,0.43640724,1.6341401,0.039478444,0.19210152,-0.02986453,-0.13406084,0.30556756,0.12814493,-0.028212454,0.179959,0.10427081,-0.008723926,0.011904872,-0.022309467,0.026332669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005642976,0.04240643,0.0059493612,0.008630273,0.41223618,0.2870202,0.03928604,-0.008315898,-0.0,-0.0,0.00958496,0.0005984065,0.08734848,-0.022546127,-0.066590264,0.01556608,-0.2275674,-0.08889968,-0.0,-0.0,-0.0,0.082864866,0.07701988,0.0195715
0.27276427,-0.1494703,0.05476819,0.4174383,1.2542696,0.04000063,0.15399355,0.08795778,0.034282673,0.075135574,0.29666826,0.10946964,0.09771577,0.15822515,0.100690365,0.032288224,-0.013039067,0.032358516,-0.0,-0.0,-0.0,-0.0,-0.0,0.048607867,0.029710025,0.0074074324,0.01123632,0.4448607,-0.057918005,0.22103675,-0.009168928,-0.0,-0.0,0.009026801,0.0010791346,0.0771552,-0.0030302186,0.0061481227,0.073479734,0.084449865,-0.050716385,-0.0,-0.0,-0.0,0.008673291,0.088384114,0.11854832
0.20658861,-0.09808345,-0.03266143,0.65810496,1.1236163,0.03894555,0.14927313,0.10468599,-0.027515212,0.3289424,0.029994814,-0.012039356,0.050670497,0.13907975,0.3365952,-0.06766895,-0.019146306,0.017768975,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013995603,-0.0030708413,0.005827988,0.06705287,0.30174503,0.26293087,0.042101324,-0.007653638,-0.0,-0.0,0.009161266,0.0005984065,0.063828886,0.02612423,0.045509916,0.073710985,-0.14469315,-0.026226828,-0.0,-0.0,-0.0,0.10597189,-0.057750214,0.117734484
-0.15481448,0.13646413,-0.14294583,-0.13538344,-1.3386338,0.012851867,-0.1792617,-0.047349766,-0.23235187,-0.14913483,-0.4025619,0.05303421,0.0038508195,0.01687825,-0.020848539,0.03667429,-0.013288988,-0.00828457,-0.0,-0.0,-0.0,-0.0,-0.0,0.05078409,0.051599145,0.001397801,-0.022603158,0.20958799,0.15590562,0.045630753,-0.010267595,-0.0,-0.0,-0.13111001,-0.001597301,-0.0007180554,0.055331506,-0.0046503125,0.062824,-0.11907246,-0.086643875,-0.0,-0.0,-0.0,0.015404959,0.051498063,-0.21999186
0.21898924,-0.10358784,0.10427862,0.37639654,0.988526,0.03560528,0.22547226,0.07431674,-0.2414157,0.1051046,-0.04147078,0.07207163,0.109603725,0.19634898,0.183303,-0.0026030415,0.18450154,0.0015229117,-0.0,-0.0,-0.0,-0.0,-0.0,0.024281818,0.060892303,0.010576466,0.036688752,-0.096541636,-0.0494316,0.014597582,-0.009262206,-0.0,-0.0,0.010038991,5.7023914e-05,0.07101628,0.16078167,0.011727076,-0.013883376,0.05696491,0.10269591,-0.0,-0.0,-0.0,0.08486567,0.019242248,-0.0058396626
0.23168342,0.14877413,0.1468438,0.3700843,0.5323385,0.0335667,0.04946886,0.072258405,-0.23505981,0.04603179,0.20353173,0.07743055,-0.05728275,0.123915635,0.25213912,0.008355948,0.17115432,0.13653453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.048195247,0.0455889,-0.15045612,0.05917464,-0.1924093,-0.09794322,0.054385938,-0.008370051,-0.0,-0.0,0.008749624,0.00014731495,0.10264186,-0.025567506,0.044546112,-0.007597708,-0.067793325,-0.026461888,-0.0,-0.0,-0.0,0.14084804,0.017790923,0.20465402
-0.90514475,-0.11032526,0.119833946,-0.14520389,0.12435186,0.025874568,0.12373536,0.011105489,0.1877764,-0.0512468,0.26325175,-0.05282007,-0.06445032,0.07512482,-0.21838056,0.025990264,-0.013850379,-0.022077115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16943079,-0.05131491,0.0041652774,-0.0236821,0.36193642,0.32004303,-0.0052704895,-0.010880882,-0.0,-0.0,0.008768344,0.00043512374,0.025401026,0.04621336,0.051993813,-0.15451539,-0.051573787,-0.124849804,-0.0,-0.0,-0.0,-0.10203183,-0.011313151,0.1443803
-0.22105889,0.088608034,-0.21075687,-0.19491275,-1.1774938,0.011226745,0.10650332,-0.06912947,-0.17557076,0.10885615,-0.14110723,0.002244829,-0.071788974,0.06006616,0.08992966,0.0021971338,-0.013890538,-0.0053503485,-0.0,-0.0,-0.0,-0.0,-0.0,0.0018307546,0.1687554,0.0016842035,-0.02044038,0.17923267,0.0946606,-0.09191324,0.24870478,-0.0,-0.0,-0.10988707,-0.0011077087,0.045110893,-0.027616525,0.029706622,-0.10368545,0.06497414,-0.0833542,-0.0,-0.0,-0.0,0.021516988,-0.06616096,-0.09443515
-0.006417451,-0.05249348,-0.042770687,0.3038219,1.0820682,0.03700407,0.008562792,0.029562652,0.31084898,0.12637013,0.36961776,0.22944905,0.11382337,-0.12423576,0.052646484,0.05036336,-0.019661251,0.16889665,-0.0,-0.0,-0.0,-0.0,-0.0,-0.036068477,0.04803671,0.007930072,-0.002999338,0.45209417,0.23383361,-0.029235791,-0.008640175,-0.0,-0.0,0.009719646,0.0010680711,0.08314867,0.0579888,0.01613808,0.09349369,0.0136818625,-0.09823545,-0.0,-0.0,-0.0,-0.00812061,0.002064329,-0.03811567
-0.104665,0.15048909,-0.1573183,-0.0054656365,-1.4866452,0.012486742,-0.016772244,-0.11179431,-0.30190805,0.09374835,-0.30849728,0.037858486,0.15279801,0.029350657,-0.022761995,0.023948073,-0.014684531,-0.0045334594,-0.0,-0.0,-0.0,-0.0,-0.0,0.03525096,0.17336635,0.0020625298,-0.023808498,0.19693497,0.16164309,0.22214392,0.20089597,-0.0,-0.0,-0.08183365,-0.00092254946,0.022630777,-0.045774877,-0.009371945,-0.08046614,0.21717046,0.060241602,-0.0,-0.0,-0.0,0.018040512,0.03416632,-0.18648095
0.073923565,-0.038055155,0.05524654,0.31360385,0.58173186,0.028080238,0.25180283,0.07767385,-0.20339437,0.039000392,-0.024382552,0.057661094,0.004712733,0.18626697,0.11326955,-0.007923716,-0.018203627,0.0043734293,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023007909,0.02153503,-0.122579105,-0.05390608,-0.11363591,-0.09761991,-0.004440672,-0.010028676,-0.0,-0.0,0.013866812,5.7023914e-05,0.042262934,-0.059485693,-0.009006082,-0.008332191,0.035598412,0.06459506,-0.0,-0.0,-0.0,-0.031156253,-0.038427155,-0.022466406
0.069327764,-0.10420266,-0.1671378,0.35923207,1.4279375,0.03800134,0.15742995,0.12974942,-0.112372935,0.0056623016,-0.19090924,-0.069969855,0.08168422,0.14034146,0.11331755,0.020983804,-0.02002305,-0.0053716535,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12144192,0.0256718,0.0072349105,-0.03742875,0.20267582,-0.067928106,-0.03211351,-0.00868713,-0.0,-0.0,0.008757662,0.00030013005,0.056007724,-0.016921889,0.074045196,0.093416005,0.02064851,-0.08720157,-0.0,-0.0,-0.0,-0.036336664,0.07039996,0.040263213
0.2618059,-0.016703308,-0.0984007,0.53276044,1.1196463,0.039300483,0.17230998,-0.07554699,0.36397266,-0.1393259,0.13255233,-0.016600156,0.107794605,0.058223914,-0.03343357,0.043977432,-0.011479215,0.020142801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23538205,-0.014643222,0.009550122,-0.0038417971,-0.18550606,-0.0687362,-0.010829311,-0.008305686,-0.0,-0.0,0.0076233973,0.0002079619,0.094398186,-0.0008284253,0.031839646,0.054947965,-0.15391184,0.002021086,-0.0,-0.0,-0.0,-0.028323853,-0.022161705,-0.10345874
0.3962401,-0.12599258,0.08980897,0.39609048,0.8161834,0.038170252,0.25058332,0.010051738,-0.0047183763,-0.13127548,-0.3490817,0.04386104,-0.0036886819,0.12356155,0.26852107,-0.024615454,-0.021253195,0.007922248,-0.0,-0.0,-0.0,-0.0,-0.0,0.08080938,0.08869471,0.011053825,0.020312546,-0.08826394,-0.044036962,0.026359256,-0.008868153,-0.0,-0.0,0.007108449,5.7023914e-05,0.06154944,-0.04941081,0.0675931,0.033325892,0.18924125,0.111884005,-0.0,-0.0,-0.0,0.097023435,0.07357418,-0.0066787344
0.113090195,0.36625138,0.07448421,0.27251226,0.3228311,0.033277333,-0.19109781,0.099858575,-0.23574628,-0.13092938,-0.4757466,0.0754141,-0.013950678,0.062855005,0.08557581,0.015649801,0.12564468,-0.0030620338,-0.0,-0.0,-0.0,-0.0,-0.0,0.16939989,0.16592142,0.0054422794,0.05916983,0.11848191,0.2919757,0.02378171,-0.0067571285,-0.0,-0.0,0.0100129135,0.00013522056,0.051246732,0.12520269,-0.002527098,0.014382093,0.39621097,0.13400051,-0.0,-0.0,-0.0,-0.010197432,0.19889961,-0.030926773
0.11727218,-0.16937572,-0.08790356,0.36905697,1.3153577,0.039361075,0.17975691,0.055032652,0.20639727,0.070094526,0.36301625,0.11260281,0.04649176,-0.023573643,0.06277691,0.045570765,-0.013873531,0.019639941,-0.0,-0.0,-0.0,-0.0,-0.0,-0.057577886,0.013510183,0.0061301673,-0.004157723,0.377648,0.25358242,0.21191424,-0.0077173575,-0.0,-0.0,0.009684283,0.0010680711,0.08381326,-0.05330044,-0.040607248,0.06351041,-0.18631525,-0.04610642,-0.0,-0.0,-0.0,-0.010992779,0.07890716,0.09304072
-0.25434062,-0.029436428,0.054330185,0.011118905,-0.5743197,0.011688925,-0.24074139,-0.033837765,-0.21408607,0.0826891,-0.14641377,-0.10041795,0.12524413,0.032977432,-0.11698427,-0.05043379,-0.01665417,-0.0055799386,-0.0,-0.0,-0.0,-0.0,-0.0,0.0047812667,-0.09351217,0.0022307434,-0.04672767,0.16081083,-0.087700434,0.011955958,-0.008295451,-0.0,-0.0,-0.13740104,-0.0014368382,-0.021947041,0.0973067,0.01916577,-0.15254916,0.20070083,0.10159082,-0.0,-0.0,-0.0,-0.11943525,0.08339874,0.11017657
0.2864156,0.41924477,0.11265118,0.08725165,0.38657898,0.026416402,-0.14411871,0.11482751,-0.10668558,0.2660927,-0.057354566,0.15154274,0.06840699,0.028486673,0.10501808,0.029783912,0.14833921,-0.006619894,-0.0,-0.0,-0.0,-0.0,-0.0,0.21837053,0.11882627,0.005263547,0.044775665,0.30467644,0.29728648,0.13909617,-0.007244535,-0.0,-0.0,0.02297838,0.00013522056,0.046998113,0.13644671,0.04044859,-0.022887029,0.45720062,0.19884454,-0.0,-0.0,-0.0,-0.032185774,0.2005092,-0.00763606
0.05197384,-0.24250877,0.01494312,0.12531258,0.68525493,0.030334972,-0.29605293,-0.01527049,0.047466073,0.20385611,-0.096864864,0.017459262,-0.02191304,0.064403564,-0.012877635,0.026971482,-0.020706315,-0.016740268,-0.0,-0.0,-0.0,-0.0,-0.0,0.14962228,0.03530366,0.0075262897,0.031970307,0.37435213,0.24694163,-0.016346928,-0.008101212,-0.0,-0.0,0.012730289,0.00013522056,0.05089445,0.061644994,-0.0021839854,-0.078534886,0.46099642,0.15197663,-0.0,-0.0,-0.0,-0.0613073,0.23287433,-0.021387331
-0.082152225,0.057872683,-0.19746853,-0.06398929,-1.2193159,0.011504218,0.08213809,-0.019235404,-0.16518025,0.018593954,-0.18539773,-0.09404784,-0.08652947,-0.0030490078,0.053333815,-0.018853316,-0.014576665,-0.007896043,-0.0,-0.0,-0.0,-0.0,-0.0,-0.043771483,0.15427974,0.0018408706,-0.01431927,0.18483691,0.17710882,-0.08225223,-0.016300818,-0.0,-0.0,-0.11259582,-0.001597301,0.0014937157,-0.050566755,0.019550608,-0.11158465,-0.026952574,-0.042690694,-0.0,-0.0,-0.0,0.047994,-0.11870662,-0.12313524
0.23768927,-0.18076508,-0.032817747,0.40789568,0.845422,0.03823385,0.13414654,-0.024931202,-0.14543898,0.054724634,-0.018791651,0.08521151,0.04818529,0.0756519,0.121473886,0.028072564,-0.015173676,0.010938344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05456084,-0.047759976,-0.19233164,-0.003774034,-0.24464226,-0.088339366,-0.019885981,0.18326722,-0.0,-0.0,0.008034933,0.0002079619,0.046969865,-0.027760305,-0.00032142154,0.08084137,0.09225095,-0.0774521,-0.0,-0.0,-0.0,-0.0157751,-0.007758151,0.033581164
0.10134542,-0.23416564,0.117333174,0.102661416,0.34538794,0.02951216,-0.22676711,0.059737463,-0.02079106,0.20058423,-0.12896706,0.14506513,0.09040227,0.047248106,0.011829364,-0.08158849,0.18213737,-0.017919844,-0.0,-0.0,-0.0,-0.0,-0.0,0.09432951,-0.046575036,0.0058976514,0.015983429,0.28114146,0.39312828,-0.14659862,-0.007716643,-0.0,-0.0,0.012010811,0.00013522056,0.05218645,0.115019545,0.005989551,-0.078093015,0.47066736,0.17114043,-0.0,-0.0,-0.0,-0.061439443,0.19651608,-0.031250503
-0.11309767,0.15634696,-0.054398727,0.43672043,1.0856837,0.038348176,0.22603634,-0.13144895,0.3526067,0.08390154,0.25521645,0.04659641,0.058469906,-0.03675925,0.22168979,0.05655436,-0.011858201,0.0024224562,-0.0,-0.0,-0.0,-0.0,-0.0,0.110228695,-0.08163854,-0.12733969,-0.0147907995,0.422266,-0.06903845,0.13119268,-0.0082149785,-0.0,-0.0,0.009509033,0.0010791346,0.08854702,0.0651573,0.026606154,0.052929677,-0.05588413,-0.035449006,-0.0,-0.0,-0.0,-0.022872461,0.0990231,0.1343909
-0.19776079,0.27743262,0.10081045,0.057647552,0.16238764,0.02482368,-0.21608047,0.033698548,0.0077785617,0.24111465,-0.1647614,0.03625987,0.10806372,0.021852983,0.072384365,0.010284103,0.18671139,-0.014150904,-0.0,-0.0,-0.0,-0.0,-0.0,0.062243626,-0.104403175,0.006666273,0.028311776,0.50881183,0.5810294,0.11009175,-0.007927503,-0.0,-0.0,0.010023972,0.00013522056,0.02396802,0.052443776,0.05174924,-0.07449004,0.48029423,0.15082088,-0.0,-0.0,-0.0,-0.037591763,0.17968892,-0.008673302
0.23552546,-0.07236144,0.17482407,0.6068544,0.5993314,0.038106255,-0.25486445,0.027664876,-0.09559679,0.12627748,-0.19403179,0.07288226,0.17084686,-0.013429905,0.011727059,0.026443252,-0.022861246,0.004667391,-0.0,-0.0,-0.0,-0.0,-0.0,0.007210083,-0.113156155,0.0087405415,0.024454303,0.4144354,-0.07130402,0.09143246,-0.007474592,-0.0,-0.0,0.011579551,0.00013522056,0.064041145,0.1772565,0.08586328,0.1302189,0.4233187,0.20181668,-0.0,-0.0,-0.0,0.020727014,0.2622552,-0.11196857
