LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.0153059345,-0.016830765,0.054690417,0.32990083,0.7350075,0.038374074,0.038299263,-0.00551265,0.032208376,0.011992544,0.042236738,0.012835956,0.0034921088,0.11645272,-0.01020377,0.010822116,-0.003977974,0.00066695316,3.3014953e-06,0.00191865,7.875632e-05,-0.0,-0.0,-0.017823638,0.016537197,0.0027361715,0.0007741948,-0.117184654,-0.024577001,-0.015372317,0.00012730797,-0.0,-0.0,0.010878542,0.0039146827,0.033022963,-0.007919142,-0.0022328119,0.0027744342,-0.023760248,0.0028116552,-0.0,-0.0,-3.7670827e-06,0.006905792,-0.040327054,-0.01751742
0.060495455,0.013489866,0.056741737,0.36972424,0.86654913,0.04372041,0.03958204,-0.0075860824,0.0066179372,0.03053098,0.01756046,0.0021483602,0.007608131,0.11161865,0.099809974,0.017909018,-0.0049171755,0.008259783,-0.00050239207,0.0016127286,6.968645e-05,-0.0,-0.0,0.0024520599,0.01609442,0.003152726,0.0011614899,0.18146501,0.114663675,0.0077992347,0.00059234997,-0.0,-0.0,0.013260026,0.005188687,0.042792015,-0.0033238886,0.0029328594,0.0019972022,-0.04331365,-0.01137515,-0.0,-0.0,-2.7834246e-06,0.00750549,-0.07542885,0.0029238893
0.010313671,-0.010393025,0.03209154,0.19282876,0.3879776,0.029910017,-0.014621622,-0.0011441578,-0.012270361,0.027672675,0.00516861,-0.0049827164,0.04014817,-0.0053004683,-0.023395643,0.007167894,0.042093497,-0.012483916,4.6324344e-06,0.0009926117,1.9523815e-05,-0.0,-0.0,0.017087925,0.029403944,0.0028841244,0.014135601,-0.19835456,-0.031932935,-0.017621538,0.0003074273,-0.0,-0.0,0.017278032,0.0062231263,0.032779925,0.016781777,0.0036605834,-0.0057780966,0.14603066,0.06437994,-0.0,-0.0,-6.4578117e-06,0.011273408,0.100803375,-0.0029243142
0.086951576,-0.004455413,0.05994522,0.44629675,0.7063169,0.038307123,0.0002998726,0.0038467804,0.011128399,0.035363294,0.023207314,-0.009296711,0.0072049364,0.18388402,0.11987558,0.008625834,-0.002845962,0.0013059712,1.5453417e-05,0.002097729,0.00010049208,-0.0,-0.0,-0.0093623,0.0051607,0.0037128462,-0.016447078,-0.12762997,-0.032811537,-0.010100166,0.00019093728,-0.0,-0.0,0.011005772,0.0045719324,0.037896793,0.005805492,-0.0076225507,-0.0012702026,-0.066878155,0.026203847,-0.0,-0.0,-3.7670827e-06,-0.041417208,0.044005007,-0.0066389632
0.04242427,-0.0010877021,0.065823555,-0.059327487,0.4744765,0.025141345,0.011655002,0.020898422,0.011881075,0.021546392,0.007982585,0.026582625,0.00609008,0.13565427,0.027149722,0.015940733,-0.003571665,0.016111031,4.742901e-06,0.0014781965,2.1339461e-05,-0.0,-0.0,0.0075492114,0.006725053,0.005188183,0.0013306085,-0.11490671,-0.02816343,-0.012084936,0.00021841614,-0.0,-0.0,0.013482793,0.0052398276,0.023787966,-0.0050710808,0.0058180857,0.003920017,-0.057953753,-0.022566266,-0.0,-0.0,-3.7670827e-06,0.008280656,-0.026140595,-0.010985388
0.026936391,0.0077330275,0.06588712,-0.07967188,0.8060801,0.032150865,-0.024476163,0.0009983509,0.07590814,0.012158359,0.050479196,0.008983819,-0.036059104,0.13793816,0.05176151,0.015877716,-0.0025578663,-0.00096250896,4.3750297e-06,0.0015431944,7.1264425e-05,-0.0,-0.0,-0.01206723,0.02396349,0.004698202,0.0013952671,-0.16975518,-0.026819877,-0.011983517,0.0001618646,-0.0,-0.0,0.013125924,0.004467583,0.025594356,0.009212407,-0.0045881383,0.0060002464,-0.034691818,-0.0075574503,-0.0,-0.0,-3.7670827e-06,0.004041632,0.048728053,0.004170848
0.080893986,-0.010594464,0.055138756,0.37642735,1.0044384,0.04420151,0.04344865,0.0004359357,0.01341119,0.035821285,0.018199846,-0.020348098,0.017426178,0.16755088,0.024374338,0.011952886,-0.0059952014,0.002063308,1.8270965e-05,0.001565501,6.968645e-05,-0.0,-0.0,0.0040035946,0.012242979,0.003300833,-9.689198e-05,0.19234319,0.10724418,0.004179794,0.0004871836,-0.0,-0.0,0.012259473,0.005148881,0.040900953,0.004009771,-0.0009135551,0.0056538205,-0.049258083,-0.02897526,-0.0,-0.0,-3.7670827e-06,0.005668374,0.059430473,-0.0038628706
0.088991284,-0.009041775,0.059212103,0.33697668,0.8944542,0.045333434,0.04517822,0.023299651,0.021982918,0.037624724,0.06973005,0.02826339,0.012339769,0.14630124,0.038083363,0.011356348,-0.0035474303,0.003408089,8.4925805e-06,0.0018081856,7.490194e-05,-0.0,-0.0,0.0029569252,0.015419777,0.0035863686,0.003521602,0.2129783,-0.014997901,0.05325247,0.0005476256,-0.0,-0.0,0.013020194,0.005164233,0.0369175,-0.003587001,0.00031334203,0.00825473,0.051904414,-0.023290442,-0.0,-0.0,-2.7834246e-06,0.009678388,0.061745487,0.005235461
0.09051688,-0.008475409,0.05552938,0.47794172,0.8360118,0.0418817,0.050671443,-0.008066465,-0.03585709,0.03983734,0.017809913,-0.017330939,0.011771085,0.1644506,0.11753141,-0.019249754,-0.0054718102,0.0011676019,1.8270965e-05,0.0015964946,6.968645e-05,-0.0,-0.0,0.0032511607,0.013069888,0.0036502765,0.0018761754,0.17881347,0.10142662,0.009524428,0.00051144604,-0.0,-0.0,0.013518204,0.005384485,0.039807044,-0.003105993,-0.0024495895,0.0041847425,-0.038163204,-0.013748484,-0.0,-0.0,-6.4578117e-06,0.007522229,-0.039179083,0.0028818734
-0.023529256,0.002644474,-0.09245624,-0.088431835,-0.9937154,0.010803254,-0.03951229,-0.023587707,-0.029901678,-0.085035294,-0.07951295,-0.020085312,0.003677617,-0.06469683,-0.021188013,-0.02160154,-0.0028460263,-0.0004254974,9.302585e-06,0.00037116033,7.99223e-06,-0.0,-0.0,0.0046491786,0.005379352,0.00073154725,-7.023726e-05,0.10009948,0.06021377,0.018415777,-7.391929e-05,-0.0,-0.0,-0.1530469,-0.07823041,0.012282835,0.0037334398,0.0047168806,0.0029298163,-0.026532467,-0.023373216,-0.0,-0.0,-6.4578117e-06,0.0006017801,0.01611903,-0.011625849
0.08585989,-0.0016947343,0.06260024,0.4023716,0.62053764,0.03764195,0.015556493,-0.0032539724,-0.047145296,0.03322594,-0.0060023633,-3.8137543e-05,0.032188218,0.19837727,0.08279463,0.0057406053,0.024937289,0.0033803144,7.923344e-06,0.0018647971,4.535162e-05,-0.0,-0.0,0.004785833,-0.0002819578,0.0045500747,0.013294417,-0.07006545,-0.010758012,-0.005268474,0.00017195575,-0.0,-0.0,0.013127172,0.0049377657,0.039573718,0.006275668,-0.0010048607,0.002248651,0.030439118,0.051455937,-0.0,-0.0,-6.4578117e-06,0.014233804,0.016626876,0.0020577037
0.10131559,0.014742578,0.059505608,0.3893597,0.43953103,0.034940924,0.031766824,-0.0036564774,-0.00448664,0.030704739,0.0402825,0.010003514,-0.039874274,0.1656419,0.091124974,0.011726497,0.0254088,0.020279948,3.2315077e-06,0.002109304,4.535162e-05,-0.0,-0.0,-0.008558954,0.0053614452,-0.053116363,0.012534671,-0.10690434,-0.028164446,-0.0062327203,0.00025203885,-0.0,-0.0,0.012558718,0.0051838644,0.047070924,-0.0032454329,0.004440275,-0.003602589,-0.040596932,-0.016288629,-0.0,-0.0,-3.7670827e-06,0.016502965,-0.025347482,0.009116562
-0.35248452,-0.015269846,0.061416768,-0.056335665,0.23968431,0.022687024,0.027668748,0.02272436,0.061807886,0.037274852,0.068458945,0.008638976,0.0056684692,0.09363661,-0.040066496,0.013381418,-0.0043980363,-0.0014370056,8.4925805e-06,0.0008575371,9.519803e-06,-0.0,-0.0,0.006509672,0.0019185304,0.0022775875,-0.0030490058,0.2470543,0.14938645,-0.008840091,0.00038960364,-0.0,-0.0,0.013766906,0.005051003,0.018604703,0.0074216602,0.017859822,-0.019998552,0.006528546,-0.04188421,-0.0,-0.0,-3.7670827e-06,-0.0031165117,-0.0062080887,0.0014445836
-0.094780974,0.0043997364,-0.09567601,-0.30373594,-1.0083847,0.009530262,0.0019508526,-0.023943992,-0.03859991,0.009138155,-0.032751508,-0.0055325776,0.00053163717,-0.06095522,-0.012435623,-0.018364377,-0.0028812783,-0.00016187131,5.802924e-06,0.00041224516,9.2488153e-07,-0.0,-0.0,0.0018964302,0.0057334583,0.000651461,-0.0035697748,0.08532142,0.05904952,-0.0047476296,-0.0027269614,-0.0,-0.0,-0.12335897,-0.04576612,-0.0054501784,-0.0023953645,0.007101052,-0.006771633,0.02344491,-0.026497805,-0.0,-0.0,-3.1422227e-05,0.0007763123,-0.039818626,-0.010549829
