trial_number,value_for_optimization,fold_metrics
0,0.9053980855210362,"[0.9155107187894073, 0.9104665825977302, 0.9104665825977302, 0.8890290037831021, 0.9155107187894073, 0.9066834804539723, 0.89281210592686, 0.9066834804539723, 0.9015151515151515, 0.9053030303030303]"
1,0.8959382602825225,"[0.89281210592686, 0.8877679697351829, 0.9104665825977302, 0.8865069356872636, 0.8991172761664565, 0.9029003783102144, 0.8940731399747793, 0.8953341740226987, 0.8914141414141414, 0.898989898989899]"
2,0.8920288955125022,"[0.89281210592686, 0.8751576292559899, 0.905422446406053, 0.8839848675914249, 0.9003783102143758, 0.8877679697351829, 0.8902900378310215, 0.8953341740226987, 0.8914141414141414, 0.8977272727272727]"
3,0.9066602341192503,"[0.9167717528373266, 0.9092055485498108, 0.9155107187894073, 0.89281210592686, 0.9079445145018915, 0.9092055485498108, 0.8915510718789408, 0.9079445145018915, 0.9090909090909091, 0.9065656565656566]"
4,0.903505738341804,"[0.9104665825977302, 0.8991172761664565, 0.9117276166456494, 0.8915510718789408, 0.9129886506935687, 0.9016393442622951, 0.89281210592686, 0.914249684741488, 0.9002525252525253, 0.9002525252525253]"
5,0.9051460379329231,"[0.914249684741488, 0.9016393442622951, 0.9066834804539723, 0.8940731399747793, 0.914249684741488, 0.9092055485498108, 0.8915510718789408, 0.9117276166456494, 0.9015151515151515, 0.9065656565656566]"
6,0.908803673557772,"[0.9218158890290038, 0.9092055485498108, 0.9180327868852459, 0.8902900378310215, 0.914249684741488, 0.9079445145018915, 0.8991172761664565, 0.914249684741488, 0.9053030303030303, 0.9078282828282829]"
7,0.9042641102067333,"[0.914249684741488, 0.9029003783102144, 0.914249684741488, 0.8877679697351829, 0.9104665825977302, 0.9041614123581336, 0.8865069356872636, 0.9079445145018915, 0.9065656565656566, 0.9078282828282829]"
8,0.8835764645190874,"[0.8965952080706179, 0.8524590163934426, 0.9104665825977302, 0.8814627994955864, 0.8486759142496847, 0.8953341740226987, 0.8852459016393442, 0.9041614123581336, 0.8674242424242424, 0.8939393939393939]"
9,0.893541817927064,"[0.8940731399747793, 0.8827238335435057, 0.905422446406053, 0.880201765447667, 0.9041614123581336, 0.8940731399747793, 0.8915510718789408, 0.8965952080706179, 0.8926767676767676, 0.8939393939393939]"
10,0.9024980256537635,"[0.914249684741488, 0.8915510718789408, 0.9079445145018915, 0.89281210592686, 0.9016393442622951, 0.8953341740226987, 0.8991172761664565, 0.9129886506935687, 0.9040404040404041, 0.9053030303030303]"
11,0.9083003744888989,"[0.9230769230769231, 0.9079445145018915, 0.9180327868852459, 0.8953341740226987, 0.905422446406053, 0.9079445145018915, 0.8890290037831021, 0.914249684741488, 0.9103535353535354, 0.9116161616161617]"
12,0.9077953239838485,"[0.9180327868852459, 0.9117276166456494, 0.9180327868852459, 0.8915510718789408, 0.9092055485498108, 0.9117276166456494, 0.8915510718789408, 0.9092055485498108, 0.9090909090909091, 0.9078282828282829]"
13,0.9009835110244948,"[0.8991172761664565, 0.9041614123581336, 0.9104665825977302, 0.8877679697351829, 0.9092055485498108, 0.9029003783102144, 0.8890290037831021, 0.9079445145018915, 0.9015151515151515, 0.8977272727272727]"
14,0.8998484211598967,"[0.9029003783102144, 0.8902900378310215, 0.9129886506935687, 0.8877679697351829, 0.9066834804539723, 0.8965952080706179, 0.8953341740226987, 0.9079445145018915, 0.8964646464646465, 0.9015151515151515]"
15,0.8895061905307807,"[0.89281210592686, 0.8738965952080706, 0.8965952080706179, 0.8827238335435057, 0.89281210592686, 0.8839848675914249, 0.8852459016393442, 0.9029003783102144, 0.8926767676767676, 0.8914141414141414]"
16,0.9122100577018608,"[0.9230769230769231, 0.9155107187894073, 0.9344262295081968, 0.8965952080706179, 0.9092055485498108, 0.9155107187894073, 0.8902900378310215, 0.9117276166456494, 0.9090909090909091, 0.9166666666666666]"
