LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.27343845,-0.23171172,0.064536996,0.43908942,0.42130023,0.042050652,0.07373782,-0.16602974,-0.18585458,-0.21234111,-0.04506314,-0.06872363,0.019962855,0.055874933,-0.07058576,0.0032564106,-0.020380778,-0.006006674,0.000459164,0.003786946,-0.00010106658,-0.0,-0.0,-0.2100066,-0.004241691,0.008549338,0.012287709,-0.11042057,-0.07570918,-0.026396133,-0.014213803,0.00025602648,-0.0,0.012613205,0.006055311,0.048024606,-0.03774305,-0.018264882,0.018449701,-0.11865884,-0.054404177,-0.0,-0.00031446543,-9.060427e-05,-0.011621672,-0.14114594,-0.14193787
0.23834649,0.10875979,0.13090406,0.52989346,1.1825513,0.05850573,0.14154,0.064414725,-0.077743836,0.0435811,0.039743107,0.048043758,0.05732623,0.22182098,0.2941933,0.02787498,-0.01572158,0.06806087,-0.0141643975,0.004059607,-5.4906843e-05,-0.0,-0.0,0.124041736,0.019588362,0.015172101,0.0212081,0.34837893,0.3233311,0.05880018,-0.005837004,0.0004277099,-0.0,0.019363975,0.008923229,0.04737421,-0.024576116,0.018099586,0.033071574,-0.060383715,0.006079293,-0.0,-0.00028738446,-6.378479e-05,0.04413627,-0.15418024,0.021613061
0.07321068,-0.10575076,0.10525615,0.18055017,0.28204426,0.03925753,-0.08763986,0.08970516,-0.01754639,0.09724639,0.080296546,0.009676592,0.080405846,0.04015913,-0.14780775,0.0026960287,0.26986223,-0.017681843,0.00015674178,0.0022361258,-5.6233544e-05,-0.0,-0.0,0.10426916,-0.055479426,0.012878782,0.036857862,-0.2268546,-0.09669351,-0.025254393,-0.0057224734,0.00021292048,-0.0,0.02573306,0.014736184,0.03984806,0.16355538,0.08045679,-0.031574752,0.15369037,0.115259215,-0.0,-0.00026024156,-5.301796e-05,-0.018291313,0.24903315,-0.04098173
0.22616968,-0.0759985,0.16135137,0.5888674,0.9072851,0.049940318,0.060599957,0.067314565,-0.14121272,0.13835269,0.072538495,0.048750445,0.06552472,0.27971986,0.25406477,-0.0001182474,-0.014156274,-0.0039000474,0.0003520882,0.0035186552,-5.558354e-05,-0.0,-0.0,0.029246598,0.09221133,0.018133465,-0.015961902,-0.1591439,-0.07834691,0.0034799676,-0.0061878604,0.0001783777,-0.0,0.01329494,0.006288317,0.05370044,0.018612025,-0.006023223,-0.0038753378,-0.1556917,0.1395909,-0.0,-0.0003492069,-6.86687e-05,-0.063192785,0.00820659,0.018679257
-0.09875208,-0.01283675,0.039895274,-0.08709011,0.32338262,0.039684236,0.14335802,-0.011710275,-0.06271123,0.029498892,0.004832983,0.07146935,0.010972605,0.18305913,0.048707753,0.014340231,-0.025243565,0.1583722,0.00038392917,0.0032013739,-5.558354e-05,-0.0,-0.0,-0.045007754,-0.012742751,0.010537608,0.015318067,-0.16028084,-0.07056938,-0.01839741,-0.011339813,0.00039481407,-0.0,0.013834345,0.006777925,0.02141299,-0.0013506652,0.0099136485,0.049415804,-0.084775485,-0.020162804,-0.0,-0.00033344576,-9.060427e-05,0.009191943,-0.06855804,-0.026514718
0.04726218,0.1521102,-0.06907898,-0.07483465,0.82048434,0.04245668,-0.0071714884,-0.023833873,0.42167294,0.30376536,0.33602682,0.020925203,0.16464567,0.17906265,0.03496011,0.04661205,-0.011842223,-0.019658893,0.0013197324,0.0034481836,-5.558354e-05,-0.0,-0.0,0.080954075,0.08924062,0.012099554,0.021746041,-0.21756373,-0.06574454,0.003727306,-0.0076459055,0.00016795674,-0.0,0.016266286,0.0077353106,0.027576877,0.06532858,0.07449316,0.019956253,-0.00982243,-0.044525515,-0.0,-0.0003009751,-6.054998e-05,0.001438104,0.018889116,0.02345007
0.41103724,-0.053281993,0.059553638,0.4884895,1.5208226,0.06719504,0.14774539,0.00470748,-0.035637688,0.28564155,0.15187724,0.0059442623,0.14637734,0.3351199,-0.012561281,0.011407473,-0.01894991,0.019970082,0.00045674865,0.0036376046,-5.4906843e-05,-0.0,-0.0,0.11768816,0.07630509,0.01779873,0.006705272,0.3620366,0.23276052,0.05190105,-0.004246772,0.00024062219,-0.0,0.020174483,0.007743748,0.049262494,-0.024942689,-0.009283763,0.057523366,-0.12875475,-0.0077197836,-0.0,-0.0003658872,-9.068307e-05,0.024515603,0.063159704,0.024958467
0.20195046,-0.064028144,0.1328922,0.45254666,1.1982248,0.061663434,0.1554685,0.11075397,-0.06070663,0.0880482,0.15903848,0.10888342,0.07442018,0.22842754,0.07509006,0.013164505,-0.015484475,0.029313598,0.0011883616,0.004141647,-5.4906843e-05,-0.0,-0.0,0.110886894,0.033821993,0.014188592,0.046598166,0.42825487,-0.06553336,0.24855803,-0.008128435,0.0004164566,-0.0,0.019785661,0.009657007,0.040803887,0.0029312023,0.0049014916,0.035666306,0.12730236,-0.015816782,-0.0,-0.00029772267,-9.060427e-05,0.022677593,0.068536565,0.025423646
0.2222865,-0.004283333,0.11853144,0.6262457,1.0847329,0.06055255,0.14029343,0.091792785,0.02031176,0.28157225,0.06638233,0.037193418,0.08562934,0.35866904,0.3145355,-0.07508591,-0.02244875,0.0011167865,0.00047674016,0.003713768,-5.4906843e-05,-0.0,-0.0,0.05480404,0.052021746,0.013350752,0.04012289,0.3066061,0.20200966,0.05506447,-0.0045960634,0.0003716151,-0.0,0.018792048,0.008793553,0.060678285,0.015702873,0.018110309,0.05106073,-0.0767615,-0.005937486,-0.0,-0.00036321685,-9.060427e-05,0.05305365,-0.12721631,0.034926064
-0.16616438,0.090956055,-0.3221311,-0.05486762,-1.3617649,0.015283307,-0.17083909,0.034265775,-0.19671197,-0.13498162,-0.1731828,-0.008857541,0.019791376,-0.07633849,0.00041596327,0.12897596,-0.018757595,-0.00492166,0.00015529702,0.0012068537,-4.2672866e-05,-0.0,-0.0,-0.04329842,0.029651966,0.0029283725,-0.017521199,0.19537385,0.09936498,0.016392408,-0.029092161,0.0011394364,-0.0,-0.30283624,-0.1533964,-0.016267188,0.055377893,0.018032994,0.013289978,-0.09024215,-0.06022435,-0.0,-0.002262451,-0.0006584133,-0.001119339,0.10592592,-0.10236628
0.21590957,-0.006458209,0.13523985,0.44543904,0.85330486,0.053998,0.14532025,0.04762702,-0.14825188,0.20961523,0.0888087,0.09762621,0.14018168,0.34454942,0.23614688,0.0033729053,0.23083222,0.014745844,0.00048093902,0.0032341883,-4.9937393e-05,-0.0,-0.0,0.09157506,0.016533323,0.020350171,0.06697147,-0.074894205,-0.031186812,0.00048536033,-0.006759445,0.00038022522,-0.0,0.020376904,0.007920927,0.057618238,0.07192612,0.00805585,0.02883282,0.10501785,0.11428661,-0.0,-0.0003114599,-6.86687e-05,0.071341686,0.10140754,0.09625705
0.20747615,0.0819895,0.19977497,0.42422974,0.52929497,0.040720515,0.044558357,0.068302676,-0.0892214,0.049853094,0.14022787,0.095105276,0.03171846,0.22460002,0.3048727,0.009924215,0.19023207,0.17352371,0.0007552882,0.0038982108,-4.995909e-05,-0.0,-0.0,0.08105151,0.077186406,-0.20951572,0.08701695,-0.1562466,-0.063636325,0.0014077751,-0.009234483,0.0002703795,-0.0,0.016923448,0.009217087,0.0605276,0.0059476425,0.030201903,0.030537697,0.016383296,0.004857894,-0.0,-0.0003053869,-6.378479e-05,0.07952277,-0.029264625,0.07299242
-0.79266244,-0.086776055,0.13884671,-0.108253345,-0.019378223,0.032316156,0.05788956,0.017859098,0.032740887,-0.04770979,0.10949176,-0.049443092,-0.096749805,0.14051712,-0.1690412,0.011387247,-0.017252231,-0.016196186,0.00039429642,0.0024866143,-3.986078e-05,-0.0,-0.0,-0.09898149,-0.03269164,0.007086215,-0.050171927,0.41126612,0.42802325,-0.007843515,-0.013839863,0.00030022388,-0.0,0.017924655,0.008360871,0.014886571,0.00691302,0.036658444,-0.0781551,0.025939854,-0.11042708,-0.0,-0.0003704906,-7.51509e-05,-0.066195,-0.028593976,0.017371295
-0.16392832,0.060082667,-0.29099467,-0.32755718,-1.0324259,0.012049772,0.12277731,-0.06094699,-0.15498896,0.07899793,-0.08514558,0.00065659324,-0.035736173,0.023783531,0.02164996,0.0657237,-0.012855366,-0.004727003,0.00012690315,0.0013389284,-0.00017312655,-0.0,-0.0,0.034909494,0.09800415,0.0027240186,0.0163634,0.22515437,-0.043266337,-0.08412418,0.5190682,0.0042690714,-0.0,-0.23429823,-0.10852747,0.036186308,-0.010398943,0.006247806,-0.03733565,0.076821916,-0.051933974,-0.0,-0.002022162,-0.00029517186,0.03260825,-0.016024182,-0.020777967
0.09283255,0.042059366,0.12146493,0.3543449,1.0003524,0.05285992,-0.016319698,0.0699066,0.30655757,0.110332586,0.27194548,0.20798163,0.10129549,-0.080886886,0.065477185,0.030462837,-0.026683724,0.11471373,0.00032664143,0.0027778333,-5.4906843e-05,-0.0,-0.0,0.02893318,0.08645143,0.012261527,0.046106912,0.4004683,0.28604516,0.019044073,-0.0048520435,0.00028278393,-0.0,0.029756527,0.01626429,0.048612565,0.037831437,0.015223364,0.02792337,0.00055715325,-0.0331505,-0.0,-0.0003512051,-5.2156458e-05,0.0024366046,0.05304639,-0.05315836
-0.14558327,0.074892655,-0.30155227,-0.1823511,-1.3339354,0.0148021085,-0.112540044,-0.07504178,-0.23399195,0.026062116,-0.16771036,-0.029948102,0.033808865,-0.11416055,-0.05860353,0.12320183,-0.015274558,-0.002844904,0.00025973452,0.0011102471,-0.00017099439,-0.0,-0.0,0.001707897,0.103767104,0.0024096535,0.027671846,0.20202778,0.1384222,0.15830109,0.2798857,0.0035937882,-0.0,-0.2297997,-0.12121147,0.013087305,-0.032872085,-0.005524663,-0.041392338,0.17550296,0.05511378,-0.0,-0.001981167,-0.00029404878,0.023169838,0.074601375,-0.10829207
0.07770369,0.030513974,0.10614901,0.406966,0.53127533,0.041993737,0.12582621,0.011903266,-0.10958328,0.13993165,0.055305004,-0.05826915,0.04772398,0.26763207,0.111092605,-0.00045299478,-0.017607091,0.012258829,0.00049750006,0.003081726,-0.00010662635,-0.0,-0.0,0.049140755,0.10504648,-0.19428968,-0.074321166,-0.1437495,-0.081333905,-0.01918925,-0.010809868,0.00040715322,-0.0,0.033545725,0.011489008,0.023994943,-0.017352013,0.025793867,-0.054418944,0.11015819,0.08723179,-0.0,-0.0003182917,-6.858989e-05,-0.048561703,0.024759633,0.05182089
0.12637807,-0.02038744,0.01405271,0.41791,1.1839199,0.057475895,0.13428222,0.05854471,-0.0804857,0.005088896,-0.16339661,0.01304438,0.03179005,0.3108303,0.14719023,0.018471612,-0.020127853,0.00092101295,0.0004888373,0.003400694,-3.49642e-05,-0.0,-0.0,0.045333702,0.06867888,0.019642763,0.00591734,0.27247337,-0.03936615,-0.00083749555,-0.004530647,0.00019848051,-0.0,0.019659624,0.0075452067,0.016821489,0.03614206,0.080348894,0.024793308,0.06531084,-0.08801098,-0.0,-0.00033823258,-6.721671e-05,-0.01855116,0.09397998,0.053813376
0.2463065,-0.02632207,-0.0021090393,0.5994762,1.1145064,0.06189637,0.18771581,0.0019289176,0.34734985,-0.021074122,0.2398885,0.03016063,0.08180844,0.32569176,0.003882027,0.029397484,-0.010185472,0.030530835,0.0011458537,0.0044862297,-0.000106659354,-0.0,-0.0,-0.17408791,-0.00600641,0.010370733,0.012182749,-0.15945174,-0.056908783,-0.013569289,-0.0075351535,0.00021782373,-0.0,0.01449881,0.007281486,0.07161308,-0.002827155,0.014510962,0.03457596,-0.08036607,0.010208279,-0.0,-0.0002709961,-6.0471182e-05,0.016036583,-0.079528786,-0.069663465
0.300718,-0.020173311,0.15784767,0.39070982,0.74735326,0.052351754,0.12596938,-0.019613978,0.07494049,-0.12062274,-0.23431392,-0.041472305,-0.020143105,0.34987408,0.23857638,-0.00048358954,-0.02129823,0.012662448,0.00032197539,0.003445173,-5.555054e-05,-0.0,-0.0,-0.008310277,0.1288713,0.017300973,0.07652271,-0.07733893,-0.02406494,0.009147221,-0.006899099,0.00030741573,-0.0,0.014809034,0.0050371755,0.055320445,-0.028999645,0.016735606,0.030786894,0.14318183,0.15409932,-0.0,-0.00036730425,-9.060427e-05,0.05593494,0.076750465,0.08843001
0.21281722,0.29630393,0.08628874,0.34532678,0.3143338,0.041087583,-0.07763595,0.086729154,-0.096777976,-0.0657899,-0.16829883,0.028753253,0.05902115,0.03836594,0.08089043,0.013066092,0.19931754,-0.0067554126,0.0002188234,0.0020301242,-3.3178087e-05,-0.0,-0.0,0.20135067,0.16704366,0.0063422644,0.08581608,0.23807946,0.36158127,0.22909662,-0.002734379,0.0015401978,-0.0,0.031193756,0.016675064,0.042499557,0.074445836,0.019565303,0.015557146,0.27628675,0.12602782,-0.0,-0.00026776013,-6.183448e-05,0.03584409,0.30443946,0.019903531
0.09562896,-0.062907115,0.052326914,0.39885572,1.2105079,0.0629254,0.14603673,0.10885054,0.19048145,0.116481006,0.25708994,0.101761036,0.03772916,0.15286648,0.044549424,0.03809798,-0.016410455,0.018167874,0.00077110005,0.0035600397,-4.9210437e-05,-0.0,-0.0,0.018655961,0.026084946,0.011721429,0.048622847,0.45164472,0.28395113,0.24114262,-0.005043539,0.00042123557,-0.0,0.022046497,0.008995129,0.032007005,-0.048455838,0.00045905422,0.02779763,-0.11128767,-0.038909107,-0.0,-0.0003365921,-7.8975936e-05,0.010112165,0.06742626,0.020342663
-0.16498287,0.014531514,0.03710404,-0.13758002,-0.58484167,0.015784586,-0.13717398,-0.070321575,-0.20642419,0.025554128,-0.14401087,-0.03871778,0.048237253,-0.06505564,-0.06915481,-0.078565314,-0.025273243,-0.0052735955,0.00021638341,0.0013536203,-0.00018038221,-0.0,-0.0,0.025188413,-0.109596334,0.0047633736,-0.032790896,0.14852352,-0.08884639,-0.007046071,-0.023851627,0.00074571837,-0.0,-0.3417667,-0.16168818,-0.034159426,0.042883698,0.010914051,-0.04408892,0.119438045,0.120912194,-0.0,-0.0009824582,-9.061832e-05,-0.035313625,0.09880014,0.20726584
0.35149634,0.33033568,0.12227649,0.14706638,0.38322243,0.0345034,-0.04336253,0.14417358,-0.015261322,0.27839014,0.06463695,0.058152657,0.09020988,0.009584618,0.098795004,0.021870857,0.2232916,-0.0067729447,0.0002179364,0.002132465,-3.690787e-05,-0.0,-0.0,0.2516206,0.11681001,0.0076554404,0.08226261,0.33809242,0.2689899,0.13866228,-0.003139535,0.00160324,-0.0,0.055511717,0.030324027,0.03295823,0.09464374,0.03468291,0.009168394,0.29250434,0.15057948,-0.0,-0.0003101042,-6.0348197e-05,0.026125345,0.3372382,0.02137204
0.10807956,-0.14567624,0.1251601,0.14282757,0.65678376,0.03848509,-0.019520707,-0.052942816,0.08442588,0.12710732,-0.030434463,0.045476772,0.0032548998,0.07442719,-0.021271424,0.012769519,-0.03345379,-0.014037072,0.00028325178,0.0021454368,-3.642996e-05,-0.0,-0.0,0.14150585,-0.0121870525,0.010751007,0.05238992,0.29081213,0.20091483,0.02709141,-0.0022902412,0.00033090328,-0.0,0.028042024,0.014799732,0.03975526,0.05361956,0.03358068,-0.0001853914,0.23436105,0.12838568,-0.0,-0.00032494485,-5.5543096e-05,0.0006235831,0.31690875,0.011731327
-0.13720518,0.032889023,-0.33121294,-0.25065413,-1.316425,0.012203309,0.055988636,-0.09906957,-0.10601702,-0.012160934,-0.13387841,-0.043063447,-0.077587694,-0.15861183,-0.05182214,0.02100119,-0.016434966,-0.0056051225,0.00014373299,0.0012519844,-0.00017312655,-0.0,-0.0,-0.044813856,0.068299025,0.001959694,-0.03930202,0.2288557,0.070826285,-0.09846566,-0.05867373,-0.024933456,-0.0,-0.28717542,-0.14782359,-0.031302884,-0.0344971,0.021870362,-0.057484213,-0.008436632,-0.061679106,-0.0,-0.0021215528,-0.00029517186,0.01889516,-0.054278206,-0.04328332
0.218637,-0.07606079,0.061422206,0.48048007,0.7375377,0.057125684,0.072756335,-0.04710883,-0.050247908,0.03577907,-0.012841199,0.07270064,0.06320026,0.24577968,0.14260316,0.019553803,-0.021463579,0.0033436052,0.0006268591,-0.22906554,-0.000106659354,-0.0,-0.0,0.012084598,0.0041230386,-0.22894125,0.009682509,-0.21130492,-0.10380707,-0.024037026,0.154376,0.00042932515,-0.0,0.015745243,0.005029705,0.02154295,-0.0033616717,0.001250758,0.026248317,0.1308421,-0.0721213,-0.0,-0.00026120536,-6.858989e-05,0.007869365,0.008200031,-0.19559047
0.119706035,-0.1443666,0.088152006,0.107206754,0.28411275,0.035653617,-0.048861865,0.012013493,-0.03955338,0.15652268,-0.12072242,0.1166968,0.0926492,0.07150402,0.012930894,-0.03514352,0.26152757,-0.009063373,0.00019714561,0.0018479014,-3.6930192e-05,-0.0,-0.0,0.10340522,0.021001883,0.0077021336,0.053609032,0.3483772,0.25827813,0.045218505,-0.0046593416,0.00027418786,-0.0,0.034634206,0.019425405,0.04313931,0.060079817,0.022922758,-0.019630287,0.24215584,0.14091411,-0.0,-0.00029362098,-6.7520414e-05,-0.005118562,0.33354914,-0.005537088
-0.07259942,0.17019652,0.106099494,0.5168153,0.92831427,0.05319451,0.21046694,-0.04433919,0.29550865,0.16696362,0.2645765,0.021049,0.124685965,0.17093158,0.24605863,0.0378521,-0.0074872933,0.005914249,0.001778099,0.0038323838,-5.4906843e-05,-0.0,-0.0,0.09636797,-0.03425399,-0.15436971,0.036998667,0.39418918,-0.06040183,0.2092895,-0.0063375663,0.00010313565,-0.0,0.01949829,0.008254066,0.060049463,0.05250437,0.03643266,0.02940157,-0.023970518,-0.0015362768,-0.0,-0.00031469387,-7.183729e-05,0.012241307,0.07334936,0.062103428
-0.20196049,0.25217718,0.15721305,-0.082276285,0.11176654,0.032063864,-0.054532737,0.04547217,0.11650072,0.16460563,-0.11790269,0.00037097768,0.09252798,-0.036355764,0.0758093,0.007020668,0.25212055,-0.01267392,0.00018827541,0.0017934827,-7.803417e-05,-0.0,-0.0,0.07426569,-0.07828891,0.0064393682,0.07209122,0.5295082,0.6856549,0.15818943,-0.005088062,0.0008418602,-0.0,0.031668227,0.018025558,0.014093556,0.044916105,0.042423878,-0.0024512226,0.25145105,0.09773511,-0.0,-0.00033299346,-6.0348197e-05,0.021844186,0.3261505,-0.025228117
0.22420932,0.010703634,0.13070236,0.52861017,0.53328216,0.050138984,-0.18541478,-0.0292851,-0.061835032,-0.0030989978,-0.15282899,0.01570641,0.13093889,-0.04258307,0.002773202,0.01661631,-0.025826028,0.0039249193,0.00027322798,0.0026881937,-5.5579258e-05,-0.0,-0.0,0.06582912,-0.042079303,0.013385663,0.05013168,0.4395583,-0.046537105,0.12857433,-0.003964051,0.00053342344,-0.0,0.027907468,0.01487883,0.040780067,0.09062345,0.062342275,0.036036417,0.22471173,0.18999763,-0.0,-0.00040104988,-8.004042e-05,0.0068479446,0.3751268,-0.028495671
-0.56377715,0.10524806,-0.16650064,-0.11702855,-1.7868696,0.0214591,0.045430016,0.02488085,-0.20475042,0.027402326,-0.024957182,0.01887572,-0.054516017,-0.23015739,-0.0839743,0.016949812,-0.022155028,-0.00564876,0.00026859058,0.0025443342,-3.339428e-05,-0.0,-0.0,-0.072389945,-0.00089313905,0.0053344346,0.008419393,-0.23157795,-0.08999821,-0.1091307,-0.030645914,0.001499537,-0.0,0.019673988,0.014620861,-0.04104241,-0.04719477,0.02307322,-0.065095164,0.00015006692,-0.051694445,-0.0,-0.0016427701,-0.0002445154,0.019093806,0.09129484,0.03851773
-0.15199792,0.22254276,0.15839845,-0.045347005,0.1773385,0.032785986,-0.04391849,-0.13026674,0.1347891,-0.08355317,-0.035752162,-0.0014220938,0.073120795,-0.018589051,0.035864588,0.011842816,-0.02663432,-0.012011406,0.0001728569,0.0018554163,-8.836598e-05,-0.0,-0.0,0.064743266,0.1030648,0.007418776,0.05797828,0.39286345,0.37504044,0.054384213,-0.004747727,0.0007061777,-0.0,0.031600755,0.017700104,0.016624212,0.07071433,0.04771588,-0.01882984,0.23713595,0.08147652,-0.0,-0.00034767872,-6.0348197e-05,0.01749612,0.31786764,-0.009778129
-0.0119720595,0.0041326787,-0.47894737,-0.92257684,-1.5996069,0.01726537,-0.12050792,-0.18560115,-0.07453618,-0.29211202,-0.31141475,-0.16600063,-0.33081147,-0.16115737,0.3760592,-0.0047918865,-0.021290082,-0.009368672,0.00021014918,0.0015723271,-8.135797e-05,-0.0,-0.0,-0.11968665,0.013459647,0.0024928697,-0.009240166,-0.1077228,0.13536851,-0.19222169,-0.009130841,0.000641668,-0.0,0.010421676,0.004576951,-0.009080395,0.05807194,0.05470643,-0.038785834,0.088099964,0.01863706,-0.0,-0.0014010745,-0.00045678034,-0.034077656,0.131169,0.21723019
