number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9053980855210362,0.9053980855210362,0.6787452894374417,261,0.9277778677306464,0.011305017667828316,11,2,2033,2.9155438542805734,2.925503423004189,0.4689712433196482,COMPLETE
1,0.8959382602825225,0.8959382602825225,0.8474751208753154,315,4.826120408846332,0.04716242567835625,27,5,969,1.8161339293799694,3.012387204080153,0.6590780440706387,COMPLETE
2,0.8920288955125022,0.8920288955125022,0.9217232945360314,187,4.967781192488245,0.012516237959203293,29,2,1495,4.079944520367589,3.6852998389786897,0.7074908078186518,COMPLETE
3,0.9066602341192503,0.9066602341192503,0.830775569534993,297,0.2868428067728912,0.009213291793751953,22,8,2702,1.3806855240986005,4.75889325777174,0.803427420231857,COMPLETE
4,0.903505738341804,0.903505738341804,0.8873360932021275,385,0.8280242593831527,0.0249423054523292,14,4,581,4.5220733278657725,3.2973672235337803,0.7638080045575593,COMPLETE
5,0.9051460379329231,0.9051460379329231,0.883855806840476,193,2.03240035655236,0.0287648532477397,13,3,230,0.8570836342438731,0.6475395805693118,0.8112326882328634,COMPLETE
6,0.908803673557772,0.908803673557772,0.8737621670873192,375,0.5456219515016225,0.05239522915655839,17,1,343,1.7752789984230044,3.840695620685789,0.9420518943352966,COMPLETE
7,0.9042641102067333,0.9042641102067333,0.7324647066382248,378,1.3016079141061492,0.08067969357979474,19,10,2406,2.3488870335152017,1.520475285130996,0.7470619215133163,COMPLETE
8,0.8835764645190874,0.8835764645190874,0.5976820313416074,24,0.7836530746063697,0.006759502980610799,27,9,3307,3.6094838419115725,2.568406107623591,0.5330392806809868,COMPLETE
9,0.893541817927064,0.893541817927064,0.9043927707438413,333,4.165857103281017,0.015002152330863917,9,5,3215,3.5892423590728058,4.1037424354823475,0.7317194349337279,COMPLETE
10,0.9024980256537635,0.9024980256537635,0.5008167498747322,102,2.958784848087659,0.09294691887111416,6,1,1278,0.03134799900468721,1.5417454661401684,0.9956554899631794,COMPLETE
11,0.9083003744888989,0.9083003744888989,0.7894474372671096,277,0.16066125681776702,0.006180603827691574,21,8,2622,1.313233256602516,4.858289578017509,0.9279842701622627,COMPLETE
12,0.9077953239838485,0.9077953239838485,0.9923153143998129,244,0.05013282998060156,0.00528798621893065,21,7,1966,0.822931122657977,4.939461763939568,0.9937192218085389,COMPLETE
13,0.9009835110244948,0.9009835110244948,0.7929474670429997,398,1.900782181791307,0.04429527019408088,16,7,2611,2.3886279960092174,4.287088587806247,0.8981422439319772,COMPLETE
14,0.8998484211598967,0.8998484211598967,0.7335795394671106,137,3.1398012309836774,0.050312584427261914,23,7,793,1.5727376875068633,4.071566115887929,0.8978995425132633,COMPLETE
15,0.8895061905307807,0.8895061905307807,0.9997538435166342,338,1.5610728660736102,0.01854818440230416,18,10,104,0.03364297765473889,4.9354285121242825,0.9421961486227788,COMPLETE
16,0.9122100577018608,0.9122100577018608,0.6729646628754193,268,0.08972073060189426,0.032123125175196714,24,6,2934,0.87477391083954,3.6211849738184503,0.5997578188405769,COMPLETE
17,0.9041362553657637,0.9041362553657637,0.6353875807022701,233,2.8896702943207986,0.03306022536713397,24,4,1674,0.7265734068224353,1.9196307393048189,0.5820085808617252,COMPLETE
18,0.8993432114333755,0.8993432114333755,0.5499290976268656,343,2.3442552375595467,0.0650809545194021,25,6,3128,2.0612962627374545,3.5869260684646935,0.6151386448995516,COMPLETE
19,0.8934155553008013,0.8934155553008013,0.6845351658784492,146,3.687042145296943,0.040530913322378403,18,1,1235,2.93554674464713,2.2396135374354644,0.4174550749175323,COMPLETE
20,0.9103177105226283,0.9103177105226283,0.6904325788748116,216,0.5539751680596869,0.07354601144143602,15,4,2308,0.5621606766169625,0.41959048340144234,0.5298467925084148,COMPLETE
21,0.9108208503700308,0.9108208503700308,0.6791809961604002,218,0.558305447785411,0.06399319526110933,15,3,2238,0.6682495528605252,0.4722251538300173,0.5287860349060534,COMPLETE
22,0.9096873527201396,0.9096873527201396,0.6608139510207947,209,1.5054322886369569,0.06694343295514159,15,4,2383,0.38746631151172506,0.057742802658618086,0.5230612256238056,COMPLETE
23,0.9101927216681313,0.9101927216681313,0.6012627766319573,231,1.1666916499495863,0.0690326283770482,12,3,2254,1.0905993366233817,0.8169946422431095,0.5389825838720875,COMPLETE
24,0.9100656629345154,0.9100656629345154,0.7101634480322663,151,0.4928280539440286,0.09737453555784799,9,6,2890,0.47909463233376126,0.03535933319620632,0.6428672291272155,COMPLETE
25,0.9101908110104834,0.9101908110104834,0.6274609548065011,92,0.07108457696672932,0.036080012924964454,20,3,3484,0.44734426761217566,0.8544510619172287,0.4701245571564488,COMPLETE
26,0.908804151222184,0.908804151222184,0.7673831718069877,278,0.6650872282854238,0.05808522250840194,15,5,2943,1.0776356469944661,0.44702398198981963,0.5892171084008813,COMPLETE
27,0.9108218056988548,0.9108218056988548,0.5583992231282786,185,1.1154278152832868,0.021687519311288157,11,4,2137,0.0007570336232991526,1.2855327322709416,0.48549318309486583,COMPLETE
28,0.9070375890048024,0.9070375890048024,0.5445882105218798,169,1.7408292385129642,0.01974949485950549,10,2,1898,0.06943498386898342,1.420964372567249,0.43719460858749903,COMPLETE
29,0.9052729374450685,0.9052729374450685,0.5674943318598209,269,1.2827469129173785,0.022298219592994637,6,6,2161,1.0962659434654887,1.2003722270110244,0.47871852777915763,COMPLETE
30,0.909056198810297,0.909056198810297,0.5169160862168122,100,1.0625302935660645,0.0311990176922605,11,3,1672,0.2682981018710143,2.6559965565897947,0.49137192733562585,COMPLETE
31,0.9098136153464023,0.9098136153464023,0.6852251898381996,210,0.9524368578151765,0.026463539716823976,14,4,2062,0.6387269318616144,0.4009097674841059,0.5602194874540214,COMPLETE
32,0.9053980855210366,0.9053980855210366,0.6514846399470758,233,0.48084038177659527,0.0397727110080719,8,5,2441,2.847110942543625,0.9684397797031148,0.5038362832354308,COMPLETE
33,0.9129660412447297,0.9129660412447297,0.5997024889713714,169,0.4194545425909879,0.014846047424721717,12,2,2914,0.33548088515487273,1.915072255213031,0.6593685804829202,COMPLETE
34,0.9105692804463297,0.9105692804463297,0.5967022845828971,177,0.4081535490747834,0.010837581483443033,30,2,2857,0.2895582090888953,1.9489738986555096,0.6604925516420758,COMPLETE
35,0.9123356834422409,0.9123356834422409,0.5740425441519821,125,0.0012839047876606058,0.014414085929866143,11,2,3039,1.3716693070068366,1.9893827436529603,0.6698563281955353,COMPLETE
36,0.9113255824321399,0.9113255824321399,0.5614384704543167,73,0.057821297081321,0.014778223570830787,12,2,3384,1.4097007325668116,2.943712404980528,0.6763403509025181,COMPLETE
37,0.9101904925675417,0.9101904925675417,0.6192606087432995,48,0.029107715645582122,0.015882364276757873,13,2,3403,1.9087186656316946,3.0441159639154702,0.6917824112279151,COMPLETE
