trial_number,value_for_optimization,fold_metrics
0,0.9578537358162957,"[np.float64(0.9637750298959367), np.float64(0.9548984810319823), np.float64(0.9619621911813347), np.float64(0.9482227819759305), np.float64(0.9598122280741928), np.float64(0.9567494847721548), np.float64(0.953508638017454), np.float64(0.9578530900949037), np.float64(0.9607565554535251), np.float64(0.9609988776655443)]"
1,0.9626147392300741,"[np.float64(0.9685901839554233), np.float64(0.9623565631122306), np.float64(0.9671971605220976), np.float64(0.9534831946670738), np.float64(0.9629290384957891), np.float64(0.9622706918046968), np.float64(0.9592015876650637), np.float64(0.962382006462611), np.float64(0.9624400571370268), np.float64(0.9652969084787266)]"
2,0.958605315360048,"[np.float64(0.9641057934508817), np.float64(0.9573855685316643), np.float64(0.9634601684349795), np.float64(0.9480955652240287), np.float64(0.9605182810472483), np.float64(0.9563042261404981), np.float64(0.9557285703381421), np.float64(0.9572519909421673), np.float64(0.9608522089582696), np.float64(0.9623507805325987)]"
3,0.958608839521079,"[np.float64(0.9652761875683791), np.float64(0.9566508917894309), np.float64(0.9629735643589548), np.float64(0.9473513472254026), np.float64(0.9585400605551739), np.float64(0.9581933949062413), np.float64(0.9552769508688904), np.float64(0.9585209780423887), np.float64(0.9613751147842057), np.float64(0.9619299051117234)]"
4,0.9675907935678183,"[np.float64(0.9737679057578302), np.float64(0.9686029056306134), np.float64(0.9722413047350076), np.float64(0.9581329669490877), np.float64(0.9668091494287968), np.float64(0.9666914739332876), np.float64(0.9643284227667099), np.float64(0.9676106149657786), np.float64(0.966884756657484), np.float64(0.9708384348535863)]"
5,0.970631603224058,"[np.float64(0.9764712617357454), np.float64(0.9734498638780753), np.float64(0.9758606213266162), np.float64(0.9610207872172608), np.float64(0.9704157443452154), np.float64(0.9691912831081597), np.float64(0.9686537923313742), np.float64(0.9696969696969697), np.float64(0.9686320273441485), np.float64(0.9729236812570147)]"
6,0.969870824559875,"[np.float64(0.974836526473806), np.float64(0.9722858305981732), np.float64(0.9755871053100272), np.float64(0.9593669694425362), np.float64(0.969448897030761), np.float64(0.9696715263465893), np.float64(0.967228964710073), np.float64(0.9700786199526754), np.float64(0.9676499846954393), np.float64(0.9725538210386695)]"
7,0.9571007411468063,"[np.float64(0.9637623082207465), np.float64(0.9548126097244485), np.float64(0.962585553265654), np.float64(0.9476630282675623), np.float64(0.9573315014121059), np.float64(0.9558271633208661), np.float64(0.9507798386891585), np.float64(0.9572424496857747), np.float64(0.9597171207019691), np.float64(0.9612858381797775)]"
8,0.9682611246551976,"[np.float64(0.9738124316209958), np.float64(0.9696715263465894), np.float64(0.972273108922983), np.float64(0.9591125359387324), np.float64(0.9667964277536066), np.float64(0.9683770958959875), np.float64(0.9662366740452384), np.float64(0.9690099992366995), np.float64(0.9665148964391388), np.float64(0.9708065503520049)]"
9,0.9670372304322002,"[np.float64(0.9712490140701728), np.float64(0.9694107320051905), np.float64(0.9700690786962827), np.float64(0.9582601837009896), np.float64(0.9669172836679134), np.float64(0.9675629086838154), np.float64(0.9648118464239371), np.float64(0.9663066432587842), np.float64(0.9656858993980206), np.float64(0.9700987144168961)]"
10,0.9707631440605067,"[np.float64(0.9781505228608502), np.float64(0.9708228379513015), np.float64(0.9780869144848994), np.float64(0.963596926443274), np.float64(0.9693916494924052), np.float64(0.9700245528331171), np.float64(0.9646528254840597), np.float64(0.9693344019540493), np.float64(0.9685937659422508), np.float64(0.9749770431588612)]"
11,0.9709674040483712,"[np.float64(0.9787102765692187), np.float64(0.9721140879831056), np.float64(0.9780996361600894), np.float64(0.9630371727349056), np.float64(0.9694870620563315), np.float64(0.9703298730376817), np.float64(0.9657532503880112), np.float64(0.9682657812380734), np.float64(0.969052902765024), np.float64(0.9748239975512702)]"
12,0.9701133652249025,"[np.float64(0.9777434292547642), np.float64(0.9711790448566266), np.float64(0.9776416558532428), np.float64(0.9623947281378012), np.float64(0.9675851716153983), np.float64(0.9692739739968959), np.float64(0.9643220619291148), np.float64(0.9687619265704909), np.float64(0.9680644832159984), np.float64(0.974167176818692)]"
13,0.9713476696975094,"[np.float64(0.9788438541587156), np.float64(0.9719169020176577), np.float64(0.9782332137495865), np.float64(0.9629608426837646), np.float64(0.9716370251634735), np.float64(0.971163142762639), np.float64(0.9653143525939495), np.float64(0.9699768465511538), np.float64(0.9685299969390879), np.float64(0.9749005203550658)]"
14,0.970833047416896,"[np.float64(0.9779469760578072), np.float64(0.9729664402208483), np.float64(0.9761341373432053), np.float64(0.9617968094038625), np.float64(0.9688764216472024), np.float64(0.9710168434979518), np.float64(0.9657850545759866), np.float64(0.9704984352339516), np.float64(0.9690720334659728), np.float64(0.9742373227221712)]"
15,0.969653875022263,"[np.float64(0.9763313233086532), np.float64(0.9712808182581483), np.float64(0.974556649619622), np.float64(0.959551433732794), np.float64(0.9671208304709564), np.float64(0.9707560491565529), np.float64(0.9666628501641097), np.float64(0.9689909167239142), np.float64(0.9681282522191613), np.float64(0.9731596265687175)]"
16,0.9704443038635084,"[np.float64(0.9775907691524819), np.float64(0.9718342111289215), np.float64(0.9769483245553774), np.float64(0.9614533241737273), np.float64(0.9690608859374602), np.float64(0.9697637584917183), np.float64(0.9654542910210416), np.float64(0.9694107320051903), np.float64(0.9683769513314968), np.float64(0.9745497908376697)]"
17,0.9459057191832839,"[np.float64(0.9538743861791721), np.float64(0.9403385237768109), np.float64(0.9513427728163245), np.float64(0.9398137546752157), np.float64(0.9450041981528128), np.float64(0.9397215225300868), np.float64(0.9466007683891815), np.float64(0.9426157036358548), np.float64(0.9479262320171412), np.float64(0.9518193296602387)]"
18,0.9672780668425085,"[np.float64(0.9744866804060759), np.float64(0.9686665140065643), np.float64(0.9723557998117193), np.float64(0.9574459964888177), np.float64(0.9645128870569676), np.float64(0.9683707350583924), np.float64(0.9623883673002062), np.float64(0.9659313538406739), np.float64(0.966757218651158), np.float64(0.9718651158045097)]"
19,0.9609066808584021,"[np.float64(0.9681385644861715), np.float64(0.957872172607689), np.float64(0.9666056026257538), np.float64(0.9503218583823119), np.float64(0.9607218278502914), np.float64(0.9610684934992241), np.float64(0.955989364679541), np.float64(0.9613006640714449), np.float64(0.9620255586164678), np.float64(0.965022701765126)]"
20,0.972207357780024,"[np.float64(0.9790283184489734), np.float64(0.9744357937053152), np.float64(0.9784749255782001), np.float64(0.9639404116734092), np.float64(0.9713698699844795), np.float64(0.9706860799430069), np.float64(0.9668409536167722), np.float64(0.9725211815891917), np.float64(0.9696204468931742), np.float64(0.9751555963677175)]"
21,0.9710142686437434,"[np.float64(0.9782268529119915), np.float64(0.9718405719665165), np.float64(0.9782968221255375), np.float64(0.9622293463603288), np.float64(0.9700531766022951), np.float64(0.9701962954481846), np.float64(0.965816858763962), np.float64(0.9704221051828105), np.float64(0.9689700030609122), np.float64(0.9740906540148965)]"
22,0.9725355127490461,"[np.float64(0.9790346792865685), np.float64(0.9738378749713762), np.float64(0.9795499071317711), np.float64(0.9639849375365748), np.float64(0.9722603872477928), np.float64(0.9715575146935347), np.float64(0.9683421112892145), np.float64(0.9722667480853879), np.float64(0.9691039179675544), np.float64(0.9754170492806856)]"
