LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.21523952,-0.22438397,0.07364957,0.38832408,0.45333335,0.036976565,0.06697526,-0.16052152,-0.12852056,-0.18722405,-0.013662969,-0.085646205,0.018469566,0.055056036,-0.070369676,-0.0020795711,-0.015659869,-0.015409057,0.0007350723,0.0036024342,-0.00016485763,-0.0,-0.0,-0.11523107,-0.010934266,0.00981127,-0.00718204,-0.111676514,-0.06266712,-0.039418787,-0.010068513,0.0002591673,-0.0,0.010250569,0.0063183,0.050271645,-0.027811155,-0.02647554,0.009028071,-0.082074046,-0.0670332,-0.0,-0.0004443496,-0.00017216797,0.00427004,-0.12377139,-0.16684191
0.19879861,0.087506406,0.102994405,0.5040282,1.2371712,0.059896305,0.10680662,0.061617386,-0.09439963,0.044866104,0.08729677,0.058643267,0.059953626,0.20044649,0.29122406,0.020009842,-0.016709603,0.071354255,-0.017108232,0.004276605,-5.2662108e-05,-0.0,-0.0,0.069599465,0.033632647,0.013360931,0.030334707,0.34674165,0.29421505,0.08883504,-0.004084378,0.00074915,-0.0,0.015811795,0.0092108315,0.060767666,-0.022828164,-0.0104033295,0.02857417,-0.10816616,0.005863482,-0.0,-0.00039116113,-0.00016303387,0.037882447,-0.13787228,0.018175188
0.07338864,-0.09023371,0.10910413,0.2257303,0.2662206,0.0382154,-0.026846789,0.109236374,-0.033782743,0.0998288,0.06283882,0.007223202,0.10729203,0.020616468,-0.11980431,0.002528461,0.17155515,-0.02124118,0.00024590918,0.0021043785,-9.008412e-05,-0.0,-0.0,0.0650863,-0.051419485,0.009721145,0.024384711,-0.2585652,-0.08684615,-0.008959188,-0.0034116774,0.00035828116,-0.0,0.016608464,0.013244086,0.033934478,0.16379134,0.046212453,-0.021671588,0.16504605,0.074794225,-0.0,-0.00029421868,-0.0001284102,0.014841291,0.25328633,-0.018286215
0.20207427,-0.085496314,0.16880348,0.63533974,0.92348635,0.053013857,0.04487236,0.05640524,-0.15907434,0.12726675,0.07047515,0.03293057,0.05605543,0.31014973,0.27911246,0.0020638225,-0.011811457,-0.0018547513,9.001848e-05,0.0043759723,-6.3989544e-05,-0.0,-0.0,0.008290643,0.10672349,0.016528444,-0.035634033,-0.1456485,-0.0716352,0.003696567,-0.006036527,0.00044487164,-0.0,0.012332136,0.007460378,0.048342098,0.031654965,-0.00094556605,-0.015231973,-0.16618964,0.08419546,-0.0,-0.00042058527,-0.00016893994,-0.04056868,0.032068096,-0.006516711
-0.122425124,0.019735053,0.03413172,-0.08348317,0.37688723,0.037118744,0.086218245,0.017402245,-0.060263902,-0.0038224552,0.031631988,-0.00035877794,0.014211507,0.113537334,0.03566954,0.0013707156,-0.020804854,0.1970751,0.00068536424,0.0033141274,-0.00020530004,-0.0,-0.0,-0.04129417,0.005729571,0.010855937,0.018987935,-0.13864289,-0.057026695,-0.022127163,-0.009405711,0.00021411943,-0.0,0.013081338,0.005856345,0.01839112,0.00075132947,-0.011559605,0.03455858,-0.06754312,-0.028143128,-0.0,-0.0005007506,-0.00017883987,0.008286399,-0.04579286,-0.05130358
0.09477773,0.10493312,-0.12975198,-0.06495568,0.84478176,0.037765063,-0.019558528,-0.053854305,0.366303,0.2594881,0.2381683,0.02066488,0.083031975,0.18554491,0.011895652,0.058776155,-0.009943141,-0.02199016,0.0009284188,0.0033485563,-0.00012535295,-0.0,-0.0,0.12629393,0.06653477,0.010018754,0.0016218994,-0.20806357,-0.068915606,0.00041813447,-0.0059799203,0.0004567225,-0.0,0.013452743,0.007000486,0.034920383,0.08197112,0.08748699,0.023580933,0.017654784,-0.006847692,-0.0,-0.0004498084,-0.00015688379,0.0073359143,0.017817618,0.03844257
0.35871488,-0.029497057,0.05354875,0.46969342,1.5172701,0.06379564,0.14706011,0.036760084,-0.018132972,0.21621048,0.11747321,0.010834999,0.12550963,0.2933518,0.006401443,0.006479594,-0.01998778,0.021987153,0.0007217917,0.0038355836,-4.4015585e-05,-0.0,-0.0,0.051390786,0.07009007,0.018806323,0.030324915,0.37226358,0.24757576,0.06999421,-0.0037575746,0.0008538558,-0.0,0.015475978,0.009201379,0.05537404,-0.020454599,-0.0012260459,0.03424375,-0.13433744,-0.017060675,-0.0,-0.00047470484,-0.00017752322,0.017778361,0.09523083,0.009496009
0.15056278,-0.03817045,0.11948762,0.46274388,1.1950753,0.060313247,0.14120921,0.069982484,-0.026074635,0.052757442,0.19102654,0.090206265,0.07891107,0.25298354,0.11112135,0.011441849,-0.013882831,0.034686837,0.0007533418,0.0042680106,-5.8780955e-05,-0.0,-0.0,0.0513418,0.009574255,0.014014406,0.025857413,0.42488423,-0.05949579,0.23953487,-0.0047704033,0.000571826,-0.0,0.01627093,0.0094962865,0.057485845,-0.002573709,0.0024637883,0.028111495,0.14250705,-0.011739035,-0.0,-0.00044211323,-0.00018282224,0.03688597,0.13316043,0.04473837
0.15799178,-0.0074139154,0.098809026,0.7071507,1.07172,0.061757762,0.11778317,0.07771336,0.03086674,0.26727748,0.09742826,0.020937562,0.07046894,0.31755358,0.29255986,-0.041969858,-0.021010004,0.014218875,0.0007772495,0.0043116263,-4.058619e-05,-0.0,-0.0,0.040306337,0.026912356,0.015222514,0.047579028,0.25277242,0.21750331,0.0657475,-0.0042409343,0.00093894027,-0.0,0.015727712,0.009648405,0.057526477,0.019421624,-0.0015028748,0.03381102,-0.08208505,-0.0034181555,-0.0,-0.00046242363,-0.00019505707,0.04331736,-0.06878071,0.038091294
-0.13580815,0.0373769,-0.33818454,-0.061677303,-1.3872403,0.012931016,-0.14129473,0.02096522,-0.1572811,-0.12867555,-0.17383571,-0.0062853135,0.00314247,-0.057980154,-0.024691468,0.13259143,-0.011899583,-0.0061512077,8.062328e-05,0.0013172167,-5.080012e-05,-0.0,-0.0,-0.006377165,0.014497606,0.0028309792,-0.020983094,0.18971154,0.08001555,0.03153628,-0.036971167,8.839584e-05,-0.0,-0.23207597,-0.1436914,-0.017883208,0.05495827,0.021757443,0.012769802,-0.07725964,-0.04018814,-0.0,-0.0028636374,-0.001424642,-0.0035304548,0.04858962,-0.08095641
