number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9578537358162957,0.9578537358162957,0.8285596222993961,253,4.076210232891473,0.010374496670533114,6,3,2147,3.5091992741403844,4.412816801198199,0.9347337361980944,COMPLETE
1,0.9626147392300741,0.9626147392300741,0.9020147308702753,261,4.695022951179658,0.035548211178925926,7,6,1588,0.6356251238810956,3.0625739965902046,0.6806725203837676,COMPLETE
2,0.958605315360048,0.958605315360048,0.8194132520513615,331,4.809995181023823,0.08850118280716657,18,4,364,4.03789453224909,3.9349245084797566,0.954626318627536,COMPLETE
3,0.958608839521079,0.958608839521079,0.9825721323214177,53,3.8015639814395428,0.0051155609736849164,17,7,830,0.37703929443151873,3.8675130464857554,0.5269759093210451,COMPLETE
4,0.9675907935678183,0.9675907935678183,0.5359130933859388,258,1.7162755579886346,0.04308372647975031,24,6,1949,2.4303834954231247,2.711141785556171,0.8638669154619105,COMPLETE
5,0.970631603224058,0.970631603224058,0.875681845154357,33,2.1771067601570775,0.04501996604745483,16,1,1421,0.8444714435389794,1.412947896731867,0.5780715754637905,COMPLETE
6,0.969870824559875,0.969870824559875,0.5147619787355847,367,1.0300784200321274,0.05274777405246993,23,1,2561,3.743820567801843,2.997550897453969,0.6854906349472931,COMPLETE
7,0.9571007411468063,0.9571007411468063,0.734775778521695,355,3.303831714914895,0.06248655347528961,21,4,994,4.624477829264938,1.4575114418167445,0.4052599523206664,COMPLETE
8,0.9682611246551976,0.9682611246551976,0.9011035803835843,148,2.4653691157926465,0.027349508068806722,16,5,964,0.8595111858753096,2.2461815917956267,0.832908916848692,COMPLETE
9,0.9670372304322002,0.9670372304322002,0.7030459340498121,56,1.7322495689735251,0.0689242759472074,28,3,1372,2.914389081969026,3.5920510414297526,0.8534201178202067,COMPLETE
10,0.9707631440605067,0.9707631440605067,0.6448220812702332,115,0.20374875696435213,0.016139210129143666,12,10,3311,1.5379213209071412,0.4786902333636611,0.5559486339440959,COMPLETE
11,0.9709674040483712,0.9709674040483712,0.625218029498761,119,0.015156824196581903,0.016124840702179146,12,10,3374,1.3912011222152585,0.12023122519537455,0.564347183715167,COMPLETE
12,0.9701133652249025,0.9701133652249025,0.6294282794023333,144,0.14967651945937935,0.015136020205058205,11,10,3427,1.857018391150413,0.09627061147212404,0.49252354020235806,COMPLETE
13,0.9713476696975094,0.9713476696975094,0.5988600879062896,128,0.15276372550447906,0.015352713038107533,12,10,3462,1.52853534220446,0.21462181810019088,0.6040302485132748,COMPLETE
14,0.970833047416896,0.970833047416896,0.5856944671005754,190,0.9213156097112566,0.009078958104725605,11,8,2825,1.5979619788537704,1.021148187263248,0.6273970728004208,COMPLETE
15,0.969653875022263,0.969653875022263,0.6809444930254063,96,1.0840634681670596,0.019618466780071894,13,9,2945,2.316969145429638,0.7640823752702854,0.7784284999603202,COMPLETE
16,0.9704443038635084,0.9704443038635084,0.5819428280483506,194,0.03582172112540505,0.011319472053456668,9,8,2373,1.2119881919176136,0.04699824479412837,0.44425018141595124,COMPLETE
17,0.9459057191832839,0.9459057191832839,0.5901230216315855,12,0.6303185984991407,0.007182208578134946,14,9,3118,0.04274363981991591,1.977896135393567,0.6133794489176271,COMPLETE
18,0.9672780668425085,0.9672780668425085,0.6542320541013826,94,1.5592307709112216,0.025994065735949663,8,10,2684,2.087285356160989,1.4769240524643241,0.7188564221644386,COMPLETE
19,0.9609066808584021,0.9609066808584021,0.7522749655073916,146,3.1100940436058417,0.01466221019640561,21,8,3484,2.9787322401287897,0.5656576725084641,0.4869110805990249,COMPLETE
20,0.972207357780024,0.972207357780024,0.5440457029507588,220,0.5616581936880993,0.019398191262779172,10,7,3105,1.3275722452372842,2.0624959381431944,0.6452162212026876,COMPLETE
21,0.9710142686437434,0.9710142686437434,0.5411487859203734,238,0.7199162375527163,0.02080937742440418,10,9,3060,1.2489417806848413,4.891978942507008,0.6382851089506106,COMPLETE
22,0.9725355127490461,0.9725355127490461,0.5049908535038391,304,0.46924769129807276,0.021297538277788537,10,7,3078,1.1344392595068162,4.718484046737945,0.7495101812773084,COMPLETE
23,0.9719301376999262,0.9719301376999262,0.5076713664118065,306,0.6169594442783374,0.030703594154205257,14,7,2463,1.8967542704339493,1.896757617603136,0.7465924599874049,COMPLETE
24,0.9712568093087709,0.9712568093087709,0.5108136425838657,304,0.5615158432783244,0.03313840177609289,9,7,2354,2.746991833258316,1.9759395383732787,0.7336693802871121,COMPLETE
25,0.9693543984356708,0.9693543984356708,0.558426117695669,302,1.4388569286473214,0.02546454027796444,14,7,2515,1.96102742869652,2.562194838017601,0.7794946281196619,COMPLETE
26,0.9712446096720198,0.9712446096720198,0.5118886605673766,296,1.2377010928391856,0.033299682852738946,15,6,2784,1.0247882436268423,3.3180306257828662,0.7885254861835358,COMPLETE
27,0.9682440274947528,0.9682440274947528,0.5553050045557336,384,2.0166599477806653,0.021535096615702822,7,7,2035,0.47717333305266907,1.845021136241395,0.8993321654675687,COMPLETE
28,0.9739209867034078,0.9739209867034078,0.5084125025352968,221,0.47948904188371627,0.012043616105254774,19,5,3111,0.037362089170059454,4.942444449036074,0.7441265011759352,COMPLETE
29,0.9686704156415438,0.9686704156415438,0.7874277713470169,223,2.7090033540278284,0.011800651141159694,20,5,3142,0.046546823619455314,4.754381095037621,0.6643789664526228,COMPLETE
30,0.9722599117912454,0.9722599117912454,0.550801431496833,174,0.3806911125399914,0.00818929211144407,6,4,3187,0.2665611795177665,4.318609946986843,0.8138386437728127,COMPLETE
31,0.9719799979928023,0.9719799979928023,0.5614784558810201,179,0.5737062442108715,0.008165282464413483,6,4,3153,0.411806665285785,4.395031231920084,0.8122563579640792,COMPLETE
32,0.971546082854857,0.971546082854857,0.6089571714201165,219,0.41957112534059426,0.007338958003248223,6,3,2867,0.6788156603133584,4.40086650856626,0.7486732538188453,COMPLETE
33,0.9725633076818101,0.9725633076818101,0.5398610983290376,270,0.9339669706744687,0.005358323594786125,19,5,2186,0.30940981763501363,4.109607337474913,0.9047928821938441,COMPLETE
34,0.9717088367711412,0.9717088367711412,0.5020212866709102,284,1.2506017595646626,0.005805931823246152,19,5,1817,0.26012561720342864,4.099096766276722,0.9094647131152931,COMPLETE
35,0.9649112666368028,0.9649112666368028,0.9784538883197518,269,4.244024449034179,0.006144137590551325,18,2,2674,0.6289567293583521,4.685132047785096,0.9446947932741458,COMPLETE
36,0.9705132675507073,0.9705132675507073,0.5715621176515273,336,0.9056168789661183,0.009861502476345934,26,4,527,0.021414100852099438,4.132965532761163,0.8874407523065224,COMPLETE
37,0.9577288047896207,0.9577288047896207,0.5341912527265857,239,0.3054044044230678,0.01235152385921387,22,6,104,0.9543706406686575,3.5936065257022496,0.9994158328095827,COMPLETE
38,0.9722823642629382,0.9722823642629382,0.6711136641933932,174,0.8854400407705811,0.005876671438341037,19,5,2206,0.29852460590007523,4.953696102750396,0.9781374168375233,COMPLETE
39,0.9688813255959848,0.9688813255959848,0.678050860452527,324,1.8940701225620495,0.005039471564471895,24,5,2193,0.6660551739896444,4.9846369181708035,0.9817827258986386,COMPLETE
40,0.9680458922224819,0.9680458922224819,0.8423991519240731,271,2.3638486530697245,0.00614045000519532,17,6,1536,0.29876340843580007,4.627984938708391,0.9650021998662633,COMPLETE
41,0.9735629020659742,0.9735629020659742,0.5307271506246093,169,0.8582027619904127,0.007321577615745952,19,4,2202,0.23234206961276074,4.26018184121389,0.8675254927607381,COMPLETE
42,0.9730049216820265,0.9730049216820265,0.5294000225568527,247,0.8574718450432581,0.006939269574256348,20,5,2168,0.528242938921269,3.8516455145856616,0.8604976341026644,COMPLETE
43,0.9718761364375249,0.9718761364375249,0.5232007271949957,254,1.320181379447647,0.007360084979919189,17,3,1804,0.6070660500807733,3.79996229846932,0.9157074686814797,COMPLETE
44,0.9644324690432813,0.9644324690432813,0.5001510897579837,242,1.6283028124509846,0.09876851376936148,20,4,1981,4.981979135533795,3.0240443324838173,0.8431840559392917,COMPLETE
45,0.9714962691438724,0.9714962691438724,0.5419834813404755,205,1.0642509652216279,0.009698296175024018,23,6,1673,0.9560561503136926,4.0548096890659515,0.8695094456816602,COMPLETE
46,0.9688554324894108,0.9688554324894108,0.6034641446676456,344,0.8013002090189798,0.006701846145377726,16,2,1317,3.3511077501759434,3.699709110866124,0.6993420720484329,COMPLETE
47,0.9732536272194505,0.9732536272194505,0.5287950946153184,270,0.3290478120067799,0.013399855897041842,30,5,1146,0.7790348407422397,4.597849720004052,0.8234706530115654,COMPLETE
48,0.9737075035010309,0.9737075035010309,0.6134215630967883,278,0.28215285532575346,0.01293498335664569,30,5,1015,0.7219374215664628,3.2961858007499627,0.9328027272651693,COMPLETE
49,0.9743684507466852,0.9743684507466852,0.574075449244279,160,0.22485424780734126,0.013274444056744978,30,3,1161,0.8207815026182794,3.3212039160837623,0.8605515453741144,COMPLETE
50,0.9714046762950472,0.9714046762950472,0.6168886951495021,156,0.22216976433001462,0.01288579623204653,30,3,1184,4.055624173691479,3.267475244333955,0.9335191651370971,COMPLETE
51,0.974644613899728,0.974644613899728,0.5765640113847105,207,0.0330424338588855,0.0173088350398512,29,2,801,0.6969329875035424,3.3407480047550404,0.8673662295307548,COMPLETE
52,0.974407513678371,0.974407513678371,0.5768153487456953,202,0.015526493921722007,0.01779318433665789,30,2,750,0.9466896280677002,2.6985188964732942,0.821243096592309,COMPLETE
53,0.97461684627359,0.97461684627359,0.6372724996255075,198,0.03052306199176069,0.017273871743195262,28,2,735,0.7811922849192086,2.8600356434682133,0.875616821429179,COMPLETE
54,0.9745020058483724,0.9745020058483724,0.6426332920896454,202,0.078876630174876,0.01760806911850061,27,2,753,0.8223908858696309,2.792709316243209,0.8014102191308924,COMPLETE
55,0.9740900179311369,0.9740900179311369,0.6438452707308793,200,0.002154986838068104,0.017941019778251382,28,2,746,1.664311091161718,2.7613443748221305,0.7939473843728837,COMPLETE
56,0.9739600432100051,0.9739600432100051,0.6463072079270781,201,0.01348538294854749,0.018285538885478028,27,2,674,1.5305279684958413,2.734919192107768,0.8018264602405026,COMPLETE
57,0.9743528490255841,0.9743528490255841,0.7252552992063492,159,0.021407293525818327,0.017669677321325246,28,1,707,1.719712576358389,2.8197446403621655,0.8374795305168194,COMPLETE
58,0.9740143978522727,0.9740143978522727,0.7082511417023957,125,0.13618827420824736,0.016827644413916924,29,1,439,1.0994184998917012,2.346177165194357,0.8458381340242176,COMPLETE
