trial_number,value_for_optimization,fold_metrics
0,0.8874844159478921,"[np.float64(0.8915636210976261), np.float64(0.8726910159529806), np.float64(0.9004083657736051), np.float64(0.875203546803043), np.float64(0.8965473373533827), np.float64(0.8788737500954126), np.float64(0.8852155051777219), np.float64(0.8978258657099967), np.float64(0.8851010101010102), np.float64(0.8914141414141414)]"
1,0.9066597969620641,"[np.float64(0.9155089942243595), np.float64(0.9130282675622725), np.float64(0.9142559092181259), np.float64(0.8890606315039564), np.float64(0.9129678396051193), np.float64(0.9066515278731904), np.float64(0.8902850927410122), np.float64(0.9117083937612905), np.float64(0.9090909090909092), np.float64(0.904040404040404)]"
2,0.8993432435183066,"[np.float64(0.9079523191613872), np.float64(0.8890828944355392), np.float64(0.9079523191613872), np.float64(0.887820268172913), np.float64(0.9066388061980002), np.float64(0.9003288553036664), np.float64(0.8864940335343359), np.float64(0.9079205149734118), np.float64(0.8952020202020202), np.float64(0.9040404040404041)]"
3,0.8709656387553114,"[np.float64(0.886541739816299), np.float64(0.8575681245706435), np.float64(0.8676341500648805), np.float64(0.8613528229397247), np.float64(0.8738391471388953), np.float64(0.8586876319873802), np.float64(0.8751303971706994), np.float64(0.8814276263898431), np.float64(0.8724747474747475), np.float64(0.875)]"
4,0.9062800549576367,"[np.float64(0.9180374271684095), np.float64(0.9117529196244561), np.float64(0.9117306566928733), np.float64(0.8890606315039564), np.float64(0.910439406661069), np.float64(0.9079077932982216), np.float64(0.8940729715288909), np.float64(0.9066674299671781), np.float64(0.9040404040404041), np.float64(0.9090909090909091)]"
5,0.9027466096735619,"[np.float64(0.910468030430247), np.float64(0.8978862936671501), np.float64(0.9079523191613872), np.float64(0.8941174973920566), np.float64(0.910439406661069), np.float64(0.900332035722464), np.float64(0.8953133348599344), np.float64(0.9104521283362593), np.float64(0.9002525252525253), np.float64(0.9002525252525253)]"
6,0.9032526143042517,"[np.float64(0.9117274762740758), np.float64(0.9016646311986363), np.float64(0.9104807521054372), np.float64(0.8865481006538941), np.float64(0.9079205149734118), np.float64(0.9078982520418288), np.float64(0.8915349973284482), np.float64(0.9054079841233493), np.float64(0.9027777777777777), np.float64(0.9065656565656566)]"
7,0.9007273617789991,"[np.float64(0.9041644403735084), np.float64(0.9016741724550289), np.float64(0.915505813805562), np.float64(0.8827538610284202), np.float64(0.9028700099229067), np.float64(0.9003256748848688), np.float64(0.8915477190036384), np.float64(0.9079268758110068), np.float64(0.9015151515151515), np.float64(0.898989898989899)]"
8,0.8997204411876958,"[np.float64(0.9029113553672747), np.float64(0.8915954252856015), np.float64(0.9117338371116708), np.float64(0.889070172760349), np.float64(0.9091672391420502), np.float64(0.8990725898786351), np.float64(0.8927976235910744), np.float64(0.9054016232857542), np.float64(0.8964646464646464), np.float64(0.898989898989899)]"
9,0.9031244434267105,"[np.float64(0.9029081749484772), np.float64(0.9092340279367987), np.float64(0.9117370175304684), np.float64(0.8915890644480065), np.float64(0.9066547082919879), np.float64(0.9041071928351525), np.float64(0.8940602498537007), np.float64(0.9104489479174618), np.float64(0.9002525252525253), np.float64(0.9002525252525253)]"
10,0.9052680456962575,"[np.float64(0.9129932829554996), np.float64(0.91049029336183), np.float64(0.912990102536702), np.float64(0.889057451085159), np.float64(0.9129614787675241), np.float64(0.9053857211917665), np.float64(0.8915413581660433), np.float64(0.9129678396051193), np.float64(0.9027777777777778), np.float64(0.9015151515151516)]"
11,0.9093046332341043,"[np.float64(0.9192968730122382), np.float64(0.911740197949266), np.float64(0.9268599089128057), np.float64(0.8953610411418975), np.float64(0.9129710200239167), np.float64(0.9104298654046765), np.float64(0.8890256468971834), np.float64(0.9129678396051193), np.float64(0.9065656565656566), np.float64(0.9078282828282829)]"
12,0.9060288018726304,"[np.float64(0.9155185354807521), np.float64(0.9079714016741725), np.float64(0.9180406075872071), np.float64(0.887791644403735), np.float64(0.9079205149734118), np.float64(0.9091735999796453), np.float64(0.8902819123222145), np.float64(0.904145357860723), np.float64(0.9090909090909091), np.float64(0.9103535353535354)]"
13,0.9065332162939217,"[np.float64(0.9142527287993283), np.float64(0.9079777625117675), np.float64(0.9117370175304684), np.float64(0.8928389690354426), np.float64(0.9091863216548355), np.float64(0.9104235045670814), np.float64(0.8928103452662647), np.float64(0.9117115741800881), np.float64(0.9078282828282829), np.float64(0.9065656565656566)]"
14,0.8982049716306644,"[np.float64(0.9066737908047732), np.float64(0.9041930641426863), np.float64(0.9092085845864184), np.float64(0.8827538610284202), np.float64(0.9066578887107855), np.float64(0.892765819403099), np.float64(0.8827188764216471), np.float64(0.9003606594916418), np.float64(0.8952020202020201), np.float64(0.9015151515151515)]"
15,0.9066578887107852,"[np.float64(0.9167716204869857), np.float64(0.9041867033050912), np.float64(0.9167811617433783), np.float64(0.8890606315039564), np.float64(0.910439406661069), np.float64(0.9053793603541714), np.float64(0.8940697911100934), np.float64(0.9104457674986642), np.float64(0.9103535353535354), np.float64(0.9090909090909092)]"
16,0.9093074956110222,"[np.float64(0.9180278859120169), np.float64(0.9117592804620512), np.float64(0.9180374271684095), np.float64(0.8978958349235427), np.float64(0.9142304658677455), np.float64(0.9091704195608478), np.float64(0.8940634302724983), np.float64(0.9129710200239167), np.float64(0.9090909090909092), np.float64(0.9078282828282829)]"
17,0.9074148283846017,"[np.float64(0.9192936925934407), np.float64(0.9079714016741725), np.float64(0.9192968730122382), np.float64(0.8928485102918352), np.float64(0.9104489479174618), np.float64(0.9066515278731904), np.float64(0.8965855023789533), np.float64(0.9117083937612905), np.float64(0.9053030303030303), np.float64(0.904040404040404)]"
18,0.8993410172251484,"[np.float64(0.9003861028420223), np.float64(0.9004083657736051), np.float64(0.9079491387425896), np.float64(0.8840228481286416), np.float64(0.9053889016105641), np.float64(0.8990694094598377), np.float64(0.8915413581660433), np.float64(0.9066642495483805), np.float64(0.8977272727272727), np.float64(0.9002525252525253)]"
19,0.9012317762002902,"[np.float64(0.9129869221179046), np.float64(0.9029272574612625), np.float64(0.9104712108490446), np.float64(0.8877980052413301), np.float64(0.9053984428669567), np.float64(0.8978067831972114), np.float64(0.8877630206345573), np.float64(0.9079236953922092), np.float64(0.9027777777777778), np.float64(0.8964646464646464)]"
20,0.9094324860697658,"[np.float64(0.920556318856067), np.float64(0.9067024145739511), np.float64(0.9167779813245809), np.float64(0.896636389079714), np.float64(0.9142241050301503), np.float64(0.907910973717019), np.float64(0.8965791415413582), np.float64(0.916755718392998), np.float64(0.9090909090909091), np.float64(0.9090909090909092)]"
