number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8874844159478921,0.8874844159478921,0.5313193559103297,229,1.873914676886141,0.005218009426393012,19,7,663,2.9491106795408815,3.321717160218779,0.637678488700782,COMPLETE
1,0.9066597969620641,0.9066597969620641,0.990338091551353,298,1.0683191478523972,0.038133343294560695,23,4,1942,3.7651191048283463,1.620153439104467,0.6658478702082872,COMPLETE
2,0.8993432435183066,0.8993432435183066,0.8432608121584482,95,4.432698598955867,0.06669334202070405,9,1,3456,0.13070888980226902,3.2084245441215664,0.8741911724004503,COMPLETE
3,0.8709656387553114,0.8709656387553114,0.6545199326149818,362,3.8488677772119297,0.013875685570580281,11,5,102,1.532202993833292,4.31431454078785,0.5667410892799495,COMPLETE
4,0.9062800549576367,0.9062800549576367,0.9834870625702596,40,1.7701105626369555,0.028334495297283317,21,9,2020,0.5373352372949364,2.399043679348731,0.7016567102337693,COMPLETE
5,0.9027466096735619,0.9027466096735619,0.9879229881213676,245,3.374023144825599,0.022409560946762632,21,2,3269,1.924726827810474,2.636234163276312,0.8899470299770778,COMPLETE
6,0.9032526143042517,0.9032526143042517,0.8909896704852878,194,1.3650471996726121,0.05332685226502365,21,9,934,1.1445528464089594,2.556352030552527,0.9614236532553179,COMPLETE
7,0.9007273617789991,0.9007273617789991,0.5843629101291519,79,1.2981214850197915,0.09560429481459722,23,7,1846,4.184414499553958,1.088266670249423,0.5781917276696487,COMPLETE
8,0.8997204411876958,0.8997204411876958,0.6998302316004023,156,2.5101576501805374,0.05075491856474868,17,1,3448,4.8597820968065495,2.887918374391032,0.8883561088263223,COMPLETE
9,0.9031244434267105,0.9031244434267105,0.656639208505879,221,2.475536904215405,0.016411871249044776,17,4,915,1.4822323940515036,0.000584859313677577,0.6396146058511761,COMPLETE
10,0.9052680456962575,0.9052680456962575,0.8242535405610125,353,0.07138299814427862,0.00513152848509032,30,3,2521,3.3340147819008887,1.4688694439964776,0.45357637614785673,COMPLETE
11,0.9093046332341043,0.9093046332341043,0.9945922840958371,31,0.2826883682417387,0.03139231057781344,27,9,1907,0.1297791609935035,1.3931685092024575,0.7594099297934412,COMPLETE
12,0.9060288018726304,0.9060288018726304,0.9141190783939822,288,0.20761605163778962,0.03673274461046196,28,7,2595,3.7406112950548907,1.3833524639949781,0.758805578240647,COMPLETE
13,0.9065332162939217,0.9065332162939217,0.7694833086107453,301,0.6082218639935792,0.01290181797478559,26,10,1515,2.3648187967988408,0.4084919050011533,0.780332484497062,COMPLETE
14,0.8982049716306644,0.8982049716306644,0.9252179405789348,15,0.8186525714758426,0.03433905645258796,25,5,2351,4.406025683818058,1.88970018010734,0.4369752206483171,COMPLETE
15,0.9066578887107852,0.9066578887107852,0.999560327942481,144,0.8853134662332889,0.020090088293619524,13,6,1452,2.7150565726436686,0.8050567524678074,0.7842082556416796,COMPLETE
16,0.9093074956110222,0.9093074956110222,0.841504513699146,391,0.0074095103493406755,0.010232905856790547,26,3,1432,3.655424884919254,1.9119192484879273,0.7146357394111007,COMPLETE
17,0.9074148283846017,0.9074148283846017,0.7812221639892994,383,0.16819641529077223,0.008817305183385981,30,3,1370,2.1755621589586367,3.9501367042038216,0.7287829601275533,COMPLETE
18,0.8993410172251484,0.8993410172251484,0.8522790734078907,106,2.699999426434924,0.006904437436730444,27,10,2744,0.9682135388990509,1.867560772363859,0.8199540403049806,COMPLETE
19,0.9012317762002902,0.9012317762002902,0.7252402298372633,166,1.9094376055850868,0.009479384030611267,14,8,1144,0.005620200881162329,2.145602198848965,0.5417720761429481,COMPLETE
20,0.9094324860697658,0.9094324860697658,0.9411589701272614,333,0.4852642784728901,0.02251237033360757,25,3,390,3.1063917131601664,0.9547796410841534,0.9890303410841498,COMPLETE
21,0.9080435971808768,0.9080435971808768,0.9425351737963281,398,0.4894532235146735,0.027936522648384685,24,3,241,3.358288987837735,0.8542267685278514,0.98954430645986,COMPLETE
22,0.9105688497061293,0.9105688497061293,0.8993241183375914,327,0.029066650429590446,0.02054674665085993,28,2,640,2.8992514415591693,0.48164871595495296,0.8354071692959609,COMPLETE
23,0.907161667048317,0.907161667048317,0.8648422150251004,340,0.05034652249071868,0.010387791024922287,28,2,440,3.179846347417057,0.43694184204674874,0.9475660265416022,COMPLETE
24,0.907414510342722,0.907414510342722,0.8032324094663181,336,0.6727838740156606,0.0201383776483802,30,2,624,2.700006947070497,0.37249624633604195,0.8492795860252055,COMPLETE
25,0.8958097982342317,0.8958097982342317,0.8753775045630157,277,4.990964064443404,0.016049514294151312,25,4,473,3.626214988733696,0.035960119076690056,0.9265272143537855,COMPLETE
26,0.9007279978627587,0.9007279978627587,0.9489442868962946,326,1.5001140441005716,0.012938469605640053,7,1,898,4.186649155103583,4.93431334997517,0.8135634728238551,COMPLETE
27,0.9081692237233799,0.9081692237233799,0.8927550186573758,267,0.45879978195047255,0.007156494317355182,28,3,1311,2.9404990920670286,0.9807560208269497,0.9926547787810782,COMPLETE
28,0.9090533801490981,0.9090533801490981,0.8152054698131376,377,1.0384758754836132,0.025951754783241614,23,2,1142,2.012219835523117,0.637410157127154,0.9133080230711198,COMPLETE
29,0.8964411113655448,0.8964411113655448,0.5326604656471201,316,2.0831616130125057,0.007439549679621998,19,6,712,2.9518800568480885,1.2093376299769238,0.6789430266297822,COMPLETE
30,0.8966920464086712,0.8966920464086712,0.9428634913794707,400,2.9431920450791775,0.016889621271106502,26,4,367,4.856592559570929,1.840737017090282,0.8422171603757095,COMPLETE
31,0.9064069536676591,0.9064069536676591,0.9081505352779987,255,0.40490575966344444,0.024668711878185635,28,5,2157,2.432711776860161,1.3119378727276165,0.7330019308941934,COMPLETE
32,0.9095571584866295,0.9095571584866295,0.9612117905347438,363,0.0242379407246378,0.043926094488797654,26,3,1616,3.9322726774734864,1.6433601211576394,0.6181615954507749,COMPLETE
33,0.9085486476859274,0.9085486476859274,0.9542501488017849,361,0.007463043212889913,0.056041790299636414,22,3,1622,4.025098257266807,1.6930122238170255,0.6275446720779458,COMPLETE
34,0.9056461974912857,0.9056461974912857,0.8339960351273661,318,1.1827567936539403,0.044673662250356336,19,1,721,4.557361348680142,2.2241793191670753,0.5040615920266223,COMPLETE
35,0.9096866015316898,0.9096866015316898,0.8721043138391752,373,0.7041965655676495,0.07337735387695576,25,2,1726,3.498080722811854,3.542807556766461,0.6109405778498109,COMPLETE
36,0.9029984988423276,0.9029984988423276,0.9649838668909507,366,0.7833235398426251,0.07916468522223027,24,2,109,3.9248532632256836,3.619466921603867,0.5820771645830565,COMPLETE
37,0.9023681398366538,0.9023681398366538,0.9171653291652256,351,1.678502180948379,0.07833284910526456,21,4,1667,3.062685830471797,3.1708091202798445,0.6400244060441749,COMPLETE
38,0.9067822430857696,0.9067822430857696,0.8851326634187284,312,1.0882030371448042,0.06600932742666935,24,1,2902,3.528396618322138,4.222548810736346,0.6187581468459827,COMPLETE
39,0.8951807113960767,0.8951807113960767,0.9722777303983962,233,3.495649946633092,0.09986029727512964,29,2,2047,3.421970039573052,2.9654738431444443,0.5106300760391383,COMPLETE
40,0.9098119100323132,0.9098119100323132,0.8655135128691612,293,0.4289672364864887,0.042208454176372236,23,2,1725,2.7223822523319847,3.690747260017013,0.6631925242783856,COMPLETE
41,0.9095590667379081,0.9095590667379081,0.9319408053372611,293,0.41982336612715554,0.04229464988539786,22,2,1743,2.732847466820902,3.756935440385329,0.6782975225950933,COMPLETE
42,0.9113241991705469,0.9113241991705469,0.8935530483827834,299,0.28554152748217826,0.04354786466343577,22,1,1765,2.7552936721601466,3.544728783129672,0.6647422208520622,COMPLETE
43,0.9089283896903544,0.9089283896903544,0.8656381259678592,284,0.894019181088958,0.042258907367176836,20,1,1778,2.684777886601599,3.5118017281544733,0.6811138959180374,COMPLETE
44,0.9123343001806477,0.9123343001806477,0.8945314067315343,215,0.32571354217883397,0.06438744775910311,17,2,2152,1.6851292115860652,3.826107557512455,0.6631207307218245,COMPLETE
45,0.9101884716179425,0.9101884716179425,0.7903357341231428,202,0.36607706350595404,0.06246973308428234,17,1,2148,1.4025768368643776,4.100338994487042,0.5982019528563871,COMPLETE
46,0.9128387146019387,0.9128387146019387,0.7976156981827106,213,0.2648911093460718,0.05961347368940922,16,1,2332,1.6385271737243876,4.618307011660028,0.6528354905381286,COMPLETE
47,0.911071037834262,0.911071037834262,0.7399983372381774,195,0.280879275686928,0.06333921709615753,15,1,2208,1.7016175483290807,4.682427531764411,0.5790529408342043,COMPLETE
48,0.906151566038216,0.906151566038216,0.752880153366051,181,1.4096273967669533,0.054295637412008976,15,1,2381,1.7371476615455552,4.672277549865631,0.5586076783408884,COMPLETE
49,0.909683739154772,0.909683739154772,0.6759360630756925,226,0.9746323755150579,0.0854023690988745,11,1,2945,0.7309966366548775,4.55232262571421,0.6539758056525028,COMPLETE
50,0.9120801847187237,0.9120801847187237,0.722431689320756,244,0.27830845187572,0.03171303057164012,16,1,2354,1.7041115572319627,4.566014659503288,0.6986096723763309,COMPLETE
51,0.9124592906393915,0.9124592906393915,0.7085064695466043,211,0.26390889143070234,0.03223546292277142,16,1,2359,1.2835696837530954,4.4966972570394965,0.702470824795586,COMPLETE
52,0.9127121339337962,0.9127121339337962,0.7214218183750009,212,0.25650760923608934,0.03291587737160802,16,1,2328,1.2867050982592116,4.485329205679993,0.7060436884117869,COMPLETE
53,0.9110716739180216,0.9110716739180216,0.6287875469412416,213,0.6265926283205389,0.032525675641982846,16,1,2480,1.2218421475659746,4.433549588804238,0.7034926858993813,COMPLETE
54,0.9125855532656539,0.9125855532656539,0.7017168881814714,242,0.24849906972474606,0.036876583441539636,12,1,1930,0.4989700367126011,4.974034526127631,0.745866945919703,COMPLETE
55,0.9147294735770805,0.9147294735770805,0.7023299723209694,243,0.22309635807094794,0.03579463279566263,13,1,2679,0.5119578512852926,4.9131498163058795,0.7515106491404766,COMPLETE
56,0.912079866676844,0.912079866676844,0.6954081701379573,131,0.6667060517607251,0.03731870001553664,12,1,2661,0.3543190300312067,4.783365432709279,0.7500204648976515,COMPLETE
57,0.9051433732793935,0.9051433732793935,0.6354882081315804,181,1.2586307492470554,0.04917454644582275,9,2,2828,0.7955936329733289,4.9444660162675245,0.7778132239954141,COMPLETE
58,0.9009798870315244,0.9009798870315244,0.6984368524107879,240,4.132928314237163,0.029386949008795668,13,1,3093,0.38765026869822916,4.329861452402232,0.7367941324251005,COMPLETE
59,0.9106922499554742,0.9106922499554742,0.6769657487313888,263,0.201635694764503,0.03723504272461926,18,2,1969,1.198057384685048,4.012011811701393,0.714023407896265,COMPLETE
60,0.9108181945398568,0.9108181945398568,0.7637816897649945,215,0.5670261318134381,0.05868705552048204,14,1,2266,0.8511522371003822,4.824338855521881,0.7757645927853679,COMPLETE
61,0.9133412207719511,0.9133412207719511,0.7235102476368744,248,0.1951784209224321,0.03160041630122018,17,1,2428,1.3781159345602143,4.426407219243691,0.6960566978749844,COMPLETE
62,0.9135934279825966,0.9135934279825966,0.7195706741324734,179,0.1371915638454807,0.05022851054662776,18,2,2543,0.589057858275809,4.420474749319669,0.799669535370952,COMPLETE
63,0.9129630689769229,0.9129630689769229,0.7254875082938357,180,0.14675580811450958,0.049988895280223385,18,1,2539,0.5745133081126483,4.200686936464959,0.8097502796215381,COMPLETE
64,0.9128361702669008,0.9128361702669008,0.7323751505001981,161,0.13292014136178765,0.04803250223973763,18,1,2517,0.5604274266334851,4.2210454349839335,0.8029086211962264,COMPLETE
65,0.9094328041116453,0.9094328041116453,0.7371335250217609,153,0.8014656244040994,0.047953783843424184,18,2,2539,1.0148076178922834,4.182637301999407,0.8008251339286073,COMPLETE
66,0.9138459532351219,0.9138459532351219,0.7734835552330264,126,0.12063999747721593,0.051439195742594486,19,2,2694,0.19018819008195492,4.311951360734016,0.8596559681778045,COMPLETE
67,0.9098106378647939,0.9098106378647939,0.7755288209680586,123,0.08312773659590861,0.05084040433246197,20,8,2705,0.20812233182948747,4.3953103623623235,0.8708967230314544,COMPLETE
68,0.9114498257130499,0.9114498257130499,0.7551029803412247,96,0.5275769533434636,0.04713154362247902,20,2,3129,0.6233684779008111,3.9123439573483725,0.8047561650104724,COMPLETE
69,0.9124586545556317,0.9124586545556317,0.7923892275341176,62,0.1429543549318341,0.07210162336505842,19,3,2485,0.08344930428928454,4.216870064134931,0.8842978225321391,COMPLETE
