trial_number,value_for_optimization,fold_metrics
0,0.9009137801165743,"[0.9077117572692794, 0.896640826873385, 0.9141414141414141, 0.890625, 0.904639175257732, 0.9002624671916011, 0.8934531450577664, 0.9020618556701031, 0.9002557544757033, 0.8993464052287582]"
1,0.8946064198301051,"[0.8934010152284264, 0.9003880983182406, 0.910941475826972, 0.8764629388816645, 0.9001297016861219, 0.89501312335958, 0.8883248730964467, 0.8946015424164524, 0.8908857509627728, 0.8959156785243741]"
2,0.9024590555006542,"[0.9139240506329114, 0.8997429305912596, 0.9242424242424242, 0.8888888888888888, 0.9074550128534704, 0.9050715214564369, 0.883248730964467, 0.9070063694267516, 0.8951406649616368, 0.8998699609882965]"
3,0.8833680361773963,"[0.8857509627727856, 0.872870249017038, 0.8954081632653061, 0.865359477124183, 0.8941176470588236, 0.8785046728971962, 0.8814432989690721, 0.8914728682170543, 0.883419689119171, 0.8853333333333333]"
4,0.9026213394358307,"[0.9150823827629911, 0.8985879332477535, 0.9086294416243654, 0.8880208333333334, 0.9083870967741936, 0.9060052219321149, 0.8920308483290489, 0.9088575096277278, 0.9019108280254777, 0.8987012987012987]"
5,0.8989193665027763,"[0.9040404040404041, 0.8994845360824743, 0.9102402022756005, 0.8865710560625815, 0.9053177691309987, 0.9002624671916011, 0.8905852417302799, 0.9037227214377407, 0.8954081632653061, 0.8935611038107752]"
6,0.9027462253059815,"[0.9129886506935687, 0.9055627425614489, 0.9065656565656566, 0.8897535667963683, 0.9074550128534704, 0.9010416666666666, 0.8894536213468869, 0.910025706940874, 0.9030612244897959, 0.9015544041450777]"
7,0.8943795065892461,"[0.8967254408060453, 0.8957528957528957, 0.9065656565656566, 0.8788659793814433, 0.8975356679636836, 0.8903566710700133, 0.8866242038216561, 0.8997429305912596, 0.8980645161290323, 0.8935611038107752]"
8,0.8958726889627945,"[0.9049429657794676, 0.8851174934725848, 0.9060913705583756, 0.8824306472919419, 0.9012987012987013, 0.8885976408912188, 0.8908857509627728, 0.9043927648578811, 0.9014084507042254, 0.8935611038107752]"
9,0.8917403219787843,"[0.8988476312419974, 0.8821989528795812, 0.9086294416243654, 0.8772845953002611, 0.8952879581151832, 0.8897742363877822, 0.8894601542416453, 0.8975356679636836, 0.8883183568677792, 0.8900662251655629]"
10,0.8936246781603145,"[0.9150823827629911, 0.8983268983268984, 0.9164556962025316, 0.8897535667963683, 0.8833551769331586, 0.8629032258064516, 0.8931297709923665, 0.8937823834196891, 0.8807339449541285, 0.9027237354085603]"
11,0.8982995018751225,"[0.9049429657794676, 0.8935064935064935, 0.9104665825977302, 0.8885976408912188, 0.9055627425614489, 0.8938401048492791, 0.8925831202046036, 0.9067688378033205, 0.8911651728553137, 0.8955613577023499]"
