number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9009137801165743,0.9009137801165743,0.7365140196998659,359,3.345774219759645,0.02890022252628312,10,5,423,0.2886223623578721,1.5726433182763877,0.6369087953954209,COMPLETE
1,0.8946064198301051,0.8946064198301051,0.6578018365729028,131,3.298873096936922,0.09386826453270125,25,4,2625,3.026282597730895,4.682620813659931,0.7324689447086615,COMPLETE
2,0.9024590555006542,0.9024590555006542,0.815994835343544,393,1.2322868945381078,0.07770616639376317,28,6,2875,1.8464697969360815,3.6106361904684148,0.6102555876041044,COMPLETE
3,0.8833680361773963,0.8833680361773963,0.9517073444604556,99,4.8280299064098635,0.00718951222016114,6,8,3203,2.8729956715501204,0.4694703068788991,0.5072831858889604,COMPLETE
4,0.9026213394358307,0.9026213394358307,0.7771337519831447,189,2.6146072286032886,0.03626555147700933,15,4,3485,0.5534787433396365,1.9504600591564754,0.8244608519851122,COMPLETE
5,0.8989193665027763,0.8989193665027763,0.8458012028876188,229,2.851498073084766,0.006530826776702844,16,5,1153,0.4925575939247301,2.1533737688211314,0.5429245789835476,COMPLETE
6,0.9027462253059815,0.9027462253059815,0.7652929599976421,100,0.630654811876642,0.030628588900594035,8,3,1457,4.783318192596266,3.6004541426024446,0.8174526670466837,COMPLETE
7,0.8943795065892461,0.8943795065892461,0.9626809411830898,279,1.1294448226226979,0.010968371973865581,24,8,988,3.479476452559619,4.421336255896825,0.47548276985114346,COMPLETE
8,0.8958726889627945,0.8958726889627945,0.6924989952393962,247,2.1050938116165643,0.009654821893224743,18,4,323,1.18435664704022,4.388531310628397,0.868060670127547,COMPLETE
9,0.8917403219787843,0.8917403219787843,0.8621413602277325,197,4.4378603089061786,0.005058419529856155,6,4,2574,1.2852182587417778,4.357028450621406,0.7793176603547135,COMPLETE
10,0.8936246781603145,0.8936246781603145,0.5090044605555867,14,0.24888859350239123,0.016295674426132396,12,1,1917,4.932070740165118,2.90154606982604,0.973262824267485,COMPLETE
11,0.8982995018751225,0.8982995018751225,0.6302906129435745,130,1.8743221841062268,0.04068115044095563,13,1,1718,4.581384673026746,1.2953648049007085,0.8594145751949712,COMPLETE
12,0.907657270072041,0.907657270072041,0.7813041366363626,57,0.2140086035486295,0.0408856263788464,22,2,3493,3.9001837762468496,3.223103782828868,0.8375740581603961,COMPLETE
13,0.9048924627463185,0.9048924627463185,0.5523761439532203,27,0.3274761005854932,0.05080310530556767,23,2,2028,4.035423586312868,3.140742187683516,0.9821468073554928,COMPLETE
14,0.9070548218432968,0.9070548218432968,0.5592743442819123,15,0.08446829014575094,0.05100740243299034,21,2,2186,3.9006582520086055,2.8782838743234245,0.9704076311908005,COMPLETE
15,0.8983392893767516,0.8983392893767516,0.5954167849720202,57,1.1764344303468928,0.058141706193245705,21,10,2244,3.916468622036468,2.501309281237777,0.9344315696878058,COMPLETE
16,0.909332059250292,0.909332059250292,0.6951697887027903,63,0.0028005044299064252,0.019862983372285318,30,2,3023,2.1575918804849588,3.609265353473141,0.9023643980206747,COMPLETE
17,0.9086400852053347,0.9086400852053347,0.8935377681797649,74,0.830053551205144,0.01871947870061783,30,2,3417,1.9484305224322152,3.7130942890498773,0.8944402896908021,COMPLETE
18,0.9021111681807301,0.9021111681807301,0.9065227281694351,154,1.709045022212488,0.018396021718076305,30,7,3013,2.1527134378120234,3.8204378289809884,0.9038057644499468,COMPLETE
19,0.9055871712926866,0.9055871712926866,0.712731086364421,74,0.8280575429237562,0.014135152057037742,28,3,2584,1.7098141657821602,4.987687104769564,0.7288270998560723,COMPLETE
20,0.9032129775430949,0.9032129775430949,0.9988210484625467,154,1.4514314299333977,0.0217778560892717,30,1,3150,2.494711874259419,3.9696213509926728,0.4083954780515227,COMPLETE
21,0.9104045909957577,0.9104045909957577,0.8068917136338039,62,0.014617301432067891,0.023750237902023078,26,2,3498,2.581481929438592,3.1838008246369816,0.9009717648671896,COMPLETE
22,0.9062618387889853,0.9062618387889853,0.8815238023941039,86,0.6808896478983897,0.023801195221086965,27,3,3284,2.52569067057504,2.580152713501506,0.9125864034771024,COMPLETE
23,0.9097474125847367,0.9097474125847367,0.803531529748778,46,0.004139338339786924,0.012630582063385765,26,2,2745,1.2183520815468611,3.339095566259906,0.7700177975373289,COMPLETE
24,0.9073903694063159,0.9073903694063159,0.8130265489867687,43,0.022790222150754415,0.012374123847652718,25,3,2820,1.2006921133757578,3.2995214652857765,0.7786261486510446,COMPLETE
25,0.9099258955070489,0.9099258955070489,0.6904796148557857,115,0.5688393537909848,0.009162370844754858,27,1,2331,0.9268998689314635,4.041408685785382,0.7717399215156975,COMPLETE
