trial_number,value_for_optimization,fold_metrics
0,0.9172272056164952,"[0.9166666666666666, 0.9164490861618799, 0.9213197969543148, 0.9078947368421053, 0.922077922077922, 0.9333333333333333, 0.9025641025641026, 0.9270833333333334, 0.9056122448979592, 0.9192708333333334]"
1,0.9223603807458834,"[0.9189873417721519, 0.9287598944591029, 0.9185750636132316, 0.9168900804289544, 0.9268929503916449, 0.9376693766937669, 0.9060052219321149, 0.9272727272727272, 0.9104859335038363, 0.9320652173913043]"
2,0.9175594195039309,"[0.9033078880407125, 0.9115281501340483, 0.916243654822335, 0.9180327868852459, 0.9306666666666666, 0.9305555555555556, 0.9109947643979057, 0.9238845144356955, 0.9018087855297158, 0.9285714285714286]"
3,0.9200563514205532,"[0.9213197969543148, 0.9310344827586207, 0.9289340101522843, 0.9052631578947369, 0.9267015706806283, 0.9351351351351351, 0.8951406649616368, 0.9147286821705426, 0.9139240506329114, 0.9283819628647215]"
4,0.9184254109466915,"[0.9045226130653267, 0.9242819843342036, 0.916030534351145, 0.9050131926121372, 0.9313984168865436, 0.9376693766937669, 0.9121447028423773, 0.9166666666666666, 0.9051282051282051, 0.9313984168865436]"
5,0.9204896135043595,"[0.9083969465648855, 0.9184782608695652, 0.916030534351145, 0.9234972677595629, 0.9329758713136729, 0.9418282548476454, 0.9083769633507853, 0.9214659685863874, 0.9048843187660668, 0.9289617486338798]"
6,0.9146941398548906,"[0.9028132992327366, 0.9093333333333333, 0.9141414141414141, 0.9090909090909091, 0.928, 0.9289617486338798, 0.8987012987012987, 0.9157894736842105, 0.9036458333333334, 0.93646408839779]"
7,0.9192875410809279,"[0.9083969465648855, 0.9197860962566845, 0.9093198992443325, 0.9234972677595629, 0.93048128342246, 0.9395604395604396, 0.9064935064935065, 0.9214659685863874, 0.9018087855297158, 0.9320652173913043]"
8,0.9158168339889612,"[0.9116161616161617, 0.9238845144356955, 0.9137055837563451, 0.9047619047619048, 0.9310344827586207, 0.9295392953929539, 0.8956743002544529, 0.9192708333333334, 0.9093264248704663, 0.9193548387096774]"
9,0.913146976535258,"[0.90625, 0.9128065395095368, 0.907928388746803, 0.904, 0.9206349206349206, 0.9329608938547486, 0.8994845360824743, 0.9114583333333334, 0.9020618556701031, 0.9338842975206612]"
10,0.9233025597138147,"[0.9179487179487179, 0.9230769230769231, 0.9207161125319693, 0.9195710455764075, 0.9278074866310161, 0.9447513812154696, 0.9064935064935065, 0.9310344827586207, 0.9095607235142119, 0.9320652173913043]"
11,0.9231779163442434,"[0.9201030927835051, 0.9245283018867925, 0.9211195928753181, 0.9184782608695652, 0.9302949061662198, 0.9368131868131868, 0.9133858267716536, 0.9287598944591029, 0.9083769633507853, 0.9299191374663073]"
12,0.9240360005298767,"[0.9142857142857143, 0.925414364640884, 0.9177377892030848, 0.9224376731301939, 0.9316939890710383, 0.9410112359550562, 0.9078947368421053, 0.9276139410187667, 0.9081364829396326, 0.9441340782122905]"
