number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9172272056164952,0.9172272056164952,0.70427786965423,118,1.213022419759067,0.05536855169393099,30,3,1419,1.0580944916181512,1.7272863914951986,0.652926585345817,COMPLETE
1,0.9223603807458834,0.9223603807458834,0.9479713262627634,289,1.466146251526922,0.005156904700373042,10,6,2783,0.4276303236928003,1.6670781208085268,0.9026922285236549,COMPLETE
2,0.9175594195039309,0.9175594195039309,0.6492634405507736,98,2.172454130163561,0.006780515243273703,20,6,714,3.4749889341073725,2.274735991879981,0.8952520767084724,COMPLETE
3,0.9200563514205532,0.9200563514205532,0.9311527895287948,216,0.7121529849130981,0.03388146279188025,30,4,2366,2.0074249997329954,2.5375179541168675,0.4995221967749728,COMPLETE
4,0.9184254109466915,0.9184254109466915,0.6898603532490792,273,0.6168299458222715,0.08464361653005062,16,7,373,0.9920202141913442,4.155610938266995,0.44584826959088836,COMPLETE
5,0.9204896135043595,0.9204896135043595,0.7384965812969633,209,4.653812680280148,0.006067465972804508,18,3,3098,1.2176344504216847,3.5792902152818282,0.8942632895796959,COMPLETE
6,0.9146941398548906,0.9146941398548906,0.7454560481125974,168,2.3575287269029204,0.00659746939987124,29,3,1874,3.9004033850603568,4.434176698466592,0.4889008232317882,COMPLETE
7,0.9192875410809279,0.9192875410809279,0.7519487322004892,54,3.2927015856798425,0.014765819750833815,10,6,818,1.3550316655625294,0.6210150691199656,0.706358664904254,COMPLETE
8,0.9158168339889612,0.9158168339889612,0.9875833582933504,160,0.5919163418920004,0.011944808431682611,18,9,2924,4.802268041328897,3.743809116018743,0.8450145678362819,COMPLETE
9,0.913146976535258,0.913146976535258,0.9541136004220949,234,4.439131103383755,0.054330134279741975,27,1,1101,3.792591805038303,3.90292274848721,0.5612106402862375,COMPLETE
10,0.9233025597138147,0.9233025597138147,0.5002513547000772,394,1.6564009879456534,0.01837584134013233,7,10,2400,0.048489820803916395,0.011390693169443855,0.9658613334549836,COMPLETE
11,0.9231779163442434,0.9231779163442434,0.5170930979233554,397,1.5830616097804593,0.020713432586065075,6,10,2408,0.01743091373797505,0.06594488590087277,0.9970827760037874,COMPLETE
12,0.9240360005298767,0.9240360005298767,0.5020513956286977,397,3.4422385410693037,0.02237417040585267,6,10,2020,0.08755786861961769,0.07261876290215702,0.9926453912164885,COMPLETE
13,0.92187993547481,0.92187993547481,0.5164821462434954,376,3.5090341548912334,0.026509060545407484,6,8,1961,2.3913195049897054,0.8237106047480123,0.9949655335199398,COMPLETE
14,0.9208020764941564,0.9208020764941564,0.5907001050529546,339,3.3599375273986096,0.012899253284764612,11,10,2391,0.16672554132501058,0.30050895226615415,0.7461059137983689,COMPLETE
15,0.9206572616248488,0.9206572616248488,0.5947055664414564,338,3.931690575576252,0.01916813396065781,12,8,3498,1.8750571301154157,0.9268546302629846,0.7935723013629136,COMPLETE
16,0.919325782817977,0.919325782817977,0.8570232718010034,330,2.9047032776066515,0.0351116421308159,8,9,1518,0.7146974189074813,1.2864186161576172,0.9531528066364692,COMPLETE
17,0.9164443026749467,0.9164443026749467,0.5688056178531715,398,2.1445099076414227,0.010306704295979425,15,10,2172,3.0081307440747738,3.0045793480187726,0.8286378541800523,COMPLETE
18,0.9163168228616583,0.9163168228616583,0.8173676584408824,282,2.869691958881029,0.02988366460152426,24,8,1567,1.7187669429643693,0.07662461130357308,0.6324388071264264,COMPLETE
19,0.9191816274254367,0.9191816274254367,0.6373329372691147,359,4.286763477785777,0.008509379244462115,13,9,2652,0.5531938989227058,1.3716497487058663,0.9434363322736147,COMPLETE
20,0.9200633362493347,0.9200633362493347,0.5055205388107207,303,0.03191126044999959,0.01756685474253662,8,7,3250,2.7697559421679885,4.87951461394345,0.7862456981381386,COMPLETE
21,0.9241678939423663,0.9241678939423663,0.5377786103838068,398,1.6286609936021037,0.02209660189449786,6,10,2525,0.03938991227546898,0.02786587124959053,0.9773801587852103,COMPLETE
22,0.9211642490285398,0.9211642490285398,0.5548717176734939,370,1.8279216938772644,0.044398921702323665,8,10,2072,0.16424020833047825,0.509757461119542,0.9454267435109663,COMPLETE
23,0.9248789863934068,0.9248789863934068,0.5478393341976397,323,2.8076650471671853,0.025299522185381226,6,9,2705,0.7743139726635891,1.0453467836688557,0.8568628185456815,COMPLETE
24,0.9233862612006618,0.9233862612006618,0.6269155395909709,320,2.721127243034224,0.022513368638592934,9,9,2796,0.729731597071953,0.9649565306559231,0.8493216603105955,COMPLETE
25,0.9191013198022944,0.9191013198022944,0.5481340617074348,246,3.8424066024407972,0.025850434751697966,13,8,1715,1.433389305664571,0.41181493503884614,0.8752663952908419,COMPLETE
26,0.9229836682725747,0.9229836682725747,0.6026408698329084,352,3.1077516498321405,0.040013045452325556,6,9,2601,0.5046893246576405,1.3096892206910091,0.9195886927945591,COMPLETE
27,0.9179679378986701,0.9179679378986701,0.5406291670939171,370,3.6607265892984335,0.015074643900340913,21,7,3119,0.8378527501867545,2.1012622008059445,0.7929705491247891,COMPLETE
28,0.9215494258039495,0.9215494258039495,0.6761150923562973,258,1.1259359034367247,0.08093621907842626,15,5,2170,0.3630782723478472,0.6803737284854233,0.9908343800014838,COMPLETE
29,0.919445572683256,0.919445572683256,0.5662075536158371,321,2.6202813440917643,0.0545779809290491,11,1,1252,1.0336437846145214,1.712338091698291,0.6358191322263953,COMPLETE
30,0.9205944846060902,0.9205944846060902,0.8011943974638236,305,2.0247760252586557,0.025743804805638624,9,10,1759,1.5629118806454818,1.1115126247621332,0.9365540110048617,COMPLETE
31,0.9216703644011875,0.9216703644011875,0.6299151654071173,319,2.580213986461503,0.021636992081760526,6,9,2762,0.8469508405644969,0.9398803332892087,0.8514206951121939,COMPLETE
32,0.9201535106966015,0.9201535106966015,0.615133192934526,377,4.981949064079609,0.023585500670697354,9,9,2922,0.45132498200584953,0.3510978522595948,0.7408581283489268,COMPLETE
33,0.9226883701569198,0.9226883701569198,0.658307184873309,352,2.817373069869975,0.03140750116073766,8,8,2577,0.6941668810957813,1.6081601041294458,0.8768974821416027,COMPLETE
34,0.920389603940208,0.920389603940208,0.5321766102826676,294,1.340175896801536,0.01636547568568134,10,9,3399,0.3652228341861603,1.9396235100894093,0.8171844788402592,COMPLETE
35,0.9214013053200242,0.9214013053200242,0.569835721646227,182,3.103196301302318,0.04199682074761344,7,7,2885,1.2524122807544407,2.4377069549079766,0.9000677510582674,COMPLETE
36,0.918236787754475,0.918236787754475,0.5764064689159213,272,2.36527343336798,0.029571797394408746,9,10,2218,2.2662119058199854,0.33720925280808944,0.6787657262348423,COMPLETE
37,0.9248581466128067,0.9248581466128067,0.5345195046371997,91,0.992384805334282,0.022586299065137955,7,5,3095,1.0724752673414288,1.0230037376725243,0.9150218812847292,COMPLETE
38,0.9226393466602835,0.9226393466602835,0.7173081064209639,89,0.8229361728229645,0.0369429381920781,7,5,152,0.9825549554207891,2.7084096084911518,0.9704329832712904,COMPLETE
39,0.9213674696713768,0.9213674696713768,0.5342090911492899,37,1.0668825368505392,0.012744196721283853,11,4,3115,2.056628137799394,0.6360035899864297,0.9175565072381761,COMPLETE
40,0.9212938032510862,0.9212938032510862,0.6613200175803816,132,0.2878147726967525,0.010784878995180264,13,4,2530,1.1420916368779541,3.2538240492241126,0.8741235923324547,COMPLETE
41,0.9254571132981291,0.9254571132981291,0.621072218492771,12,1.8413913494532521,0.022293540711755537,6,6,2788,0.25309102620438073,1.1029162359507871,0.9180751361706739,COMPLETE
42,0.9230588486290061,0.9230588486290061,0.5327548258165493,13,1.880442193545263,0.019868293955700698,6,6,2989,0.25763517252874013,1.5666820374465535,0.9131157446158708,COMPLETE
43,0.9259967718678839,0.9259967718678839,0.5950921775838381,94,0.9262167828515064,0.027044963372310323,7,2,3288,0.06201212796328007,1.998332164791562,0.9801154463556874,COMPLETE
44,0.9250848786597239,0.9250848786597239,0.5905469905017215,86,1.4027735089387803,0.029619149200266728,20,2,3312,0.007161541311057576,2.0113420334216228,0.9672167964467863,COMPLETE
45,0.9152399814007468,0.9152399814007468,0.6010342868993536,83,1.349891814374466,0.028301542699569388,21,2,3242,4.853538125057362,1.9426034105044168,0.42250797081481944,COMPLETE
46,0.9254988162612754,0.9254988162612754,0.7004527634788084,117,0.8927326953664638,0.016052539880120956,24,2,3313,0.49053040201958137,2.1915469519636286,0.9313548849118787,COMPLETE
47,0.9253432399650153,0.9253432399650153,0.7021356642440526,120,0.6032299981853915,0.04604617452711452,24,2,3330,0.5584820225772201,2.726320223201521,0.9622892287922892,COMPLETE
48,0.919892221857034,0.919892221857034,0.7087444879565162,122,0.4873434460480831,0.06929904494130233,24,2,3343,4.329789429988931,2.6717518663018653,0.9442851730519561,COMPLETE
49,0.9255424147061287,0.9255424147061287,0.6924803829533404,69,0.8504969274886609,0.0336401122992381,24,2,3446,0.5504831933723896,2.2112570601883466,0.9632708390435502,COMPLETE
50,0.9218230640427449,0.9218230640427449,0.775693499845588,59,0.80596901683964,0.06294842530660413,25,3,3495,0.5703099393091511,2.3274729599010264,0.5799718998303238,COMPLETE
51,0.9258087348862686,0.9258087348862686,0.6919349972402854,146,0.28627001091160376,0.04548450237413921,26,2,3282,0.2614508297715117,3.006727409063558,0.980593018125975,COMPLETE
52,0.9246778523536794,0.9246778523536794,0.6894011229668735,147,0.27672384508844317,0.0474101036466087,27,1,3195,0.27624376984861176,3.0678781119317597,0.9642179399050765,COMPLETE
53,0.9224089714649754,0.9224089714649754,0.735057261343936,109,0.5342870419809478,0.0503334596375088,27,2,3422,0.4987479032015252,3.374025750724886,0.9296314440518301,COMPLETE
54,0.9242396548145984,0.9242396548145984,0.6849728989689196,69,0.03875565466164568,0.03499247309388904,23,3,3022,0.3284014703151448,2.804053559938252,0.9920253501450216,COMPLETE
55,0.9194299454234175,0.9194299454234175,0.7636742683947164,42,0.9120595967595186,0.060506422873597296,30,2,3290,3.4317814765789807,2.2041195882085187,0.8911514403196362,COMPLETE
56,0.9247959587493966,0.9247959587493966,0.723362898783617,173,0.33854253711562987,0.03772017473778744,28,1,3477,0.18112430556489612,2.594752858948465,0.9530704672747339,COMPLETE
57,0.921692264087633,0.921692264087633,0.6654423633596984,108,0.682276884666299,0.03307112371488157,25,3,2843,0.6402589230689278,2.937153999130768,0.9741360997933136,COMPLETE
58,0.9213807770443314,0.9213807770443314,0.6445533545232675,195,1.220337977743418,0.09604278561183208,22,2,3207,0.2159570240227916,3.6093178755979998,0.8872089652017381,COMPLETE
59,0.9213836367351724,0.9213836367351724,0.6931742505959406,141,0.4778310582657095,0.016800327300363672,19,4,3007,0.8710662132102744,2.406754706890818,0.9291014965258511,COMPLETE
60,0.9239966872389503,0.9239966872389503,0.734805578503905,23,0.1959918373674172,0.03961919846930901,26,3,3345,1.3370048071481473,4.064894875845533,0.9996747046809894,COMPLETE
61,0.9269426284758252,0.9269426284758252,0.6156412051459237,75,1.3310701499612287,0.04756570068199357,23,2,3351,0.025474035122621926,1.9314962627799308,0.9639753161370402,COMPLETE
62,0.9220907936749014,0.9220907936749014,0.6991692963464959,64,1.5933674057128382,0.04534115959038722,23,1,3147,0.031679759590196754,1.7918325482427413,0.9557930277779871,COMPLETE
63,0.9247302582379296,0.9247302582379296,0.6745603817963913,72,1.1976234760587998,0.05041790028556265,25,2,3374,0.4563722857657192,3.216533200972485,0.9790819262442101,COMPLETE
64,0.9223824762529622,0.9223824762529622,0.6229707007954085,154,0.696483448649948,0.07551889432590915,17,3,3036,0.20661231483704462,2.188457466464275,0.9395253299683386,COMPLETE
65,0.9261174330975429,0.9261174330975429,0.6452044603520761,127,0.9071496571543534,0.03263175432439469,26,1,3208,0.6330139471418978,2.8810126043285327,0.8992739224325267,COMPLETE
66,0.9273288559938424,0.9273288559938424,0.6460522033678774,102,0.9891454024285261,0.014965961283308737,28,1,3212,0.3742979727180227,1.423935089660665,0.9058618268184978,COMPLETE
67,0.925132288841042,0.925132288841042,0.644685258669933,100,0.9291678172328499,0.014781778360536983,29,1,880,0.882295076257265,1.3995687489372566,0.903506222110476,COMPLETE
68,0.926693197442132,0.926693197442132,0.6478878068721395,48,0.8545938095801027,0.013712065616442599,26,1,3217,0.62445875701928,1.530271282527765,0.8229069795570533,COMPLETE
69,0.9211752398294871,0.9211752398294871,0.8808432672651868,46,1.221377696166354,0.008719618932738512,28,1,3197,0.6536824057285515,1.8197847563067253,0.7680999162792566,COMPLETE
70,0.9253401715571666,0.9253401715571666,0.6409526876215069,78,1.4981918366612992,0.013482236396686442,26,1,2916,0.38433457572522756,1.480303151900612,0.8234217994080103,COMPLETE
71,0.9258741169240583,0.9258741169240583,0.6562745044824999,131,0.7782754520865754,0.011136555042464743,26,1,3425,0.10078555287033264,2.5061730264418784,0.8677197425330911,COMPLETE
72,0.9264974374166821,0.9264974374166821,0.6121762240153339,133,0.7511302518041811,0.008633836161539525,26,1,3404,0.0036009474907304773,2.516401326004235,0.8638580459365887,COMPLETE
73,0.9261786133414678,0.9261786133414678,0.6098029695326954,131,1.053331733290733,0.005772234577028732,26,1,3115,0.2044898757094447,2.906106011444738,0.8362093423420147,COMPLETE
74,0.9258066682860171,0.9258066682860171,0.6123161302750788,132,1.0471082336961028,0.005352196983732263,28,1,3099,0.005748931447066119,2.5773413548307085,0.8637139766499375,COMPLETE
