trial_number,value_for_optimization,fold_metrics
0,0.8746132610742181,"[0.8916876574307305, 0.871536523929471, 0.9093198992443325, 0.8589420654911839, 0.8712121212121212, 0.8661616161616161, 0.8737373737373737, 0.8737373737373737, 0.8737373737373737, 0.8560606060606061]"
1,0.8872306185278477,"[0.9042821158690176, 0.8816120906801007, 0.9118387909319899, 0.8690176322418136, 0.8939393939393939, 0.8661616161616161, 0.8914141414141414, 0.8888888888888888, 0.8914141414141414, 0.8737373737373737]"
2,0.878908098618426,"[0.8967254408060453, 0.8564231738035264, 0.9143576826196473, 0.8564231738035264, 0.8888888888888888, 0.8535353535353535, 0.8787878787878788, 0.8914141414141414, 0.8863636363636364, 0.8661616161616161]"
3,0.8688140854387706,"[0.8916876574307305, 0.853904282115869, 0.8967254408060453, 0.853904282115869, 0.8737373737373737, 0.8585858585858586, 0.8636363636363636, 0.8712121212121212, 0.8762626262626263, 0.8484848484848485]"
4,0.8635193242246139,"[0.8816120906801007, 0.8463476070528967, 0.8942065491183879, 0.8413098236775819, 0.8611111111111112, 0.8358585858585859, 0.8737373737373737, 0.8762626262626263, 0.8686868686868687, 0.8560606060606061]"
5,0.890006488054347,"[0.9168765743073047, 0.8816120906801007, 0.9118387909319899, 0.8639798488664987, 0.8914141414141414, 0.8813131313131313, 0.8914141414141414, 0.8939393939393939, 0.8838383838383839, 0.8838383838383839]"
6,0.8819339490624125,"[0.8967254408060453, 0.8765743073047859, 0.9143576826196473, 0.853904282115869, 0.8838383838383839, 0.8661616161616161, 0.8838383838383839, 0.8964646464646465, 0.8813131313131313, 0.8661616161616161]"
7,0.8892495483805309,"[0.9143576826196473, 0.8790931989924433, 0.9093198992443325, 0.8690176322418136, 0.8888888888888888, 0.8813131313131313, 0.8787878787878788, 0.8939393939393939, 0.8939393939393939, 0.8838383838383839]"
8,0.8690704271938529,"[0.8841309823677582, 0.8513853904282116, 0.8992443324937027, 0.8463476070528967, 0.8813131313131313, 0.8459595959595959, 0.8787878787878788, 0.8712121212121212, 0.8712121212121212, 0.8611111111111112]"
9,0.8728563977304532,"[0.8916876574307305, 0.853904282115869, 0.8967254408060453, 0.8463476070528967, 0.8737373737373737, 0.851010101010101, 0.8737373737373737, 0.8813131313131313, 0.8863636363636364, 0.8737373737373737]"
10,0.8890002035468031,"[0.9143576826196473, 0.8790931989924433, 0.906801007556675, 0.8589420654911839, 0.8939393939393939, 0.8661616161616161, 0.8914141414141414, 0.8964646464646465, 0.8939393939393939, 0.8888888888888888]"
11,0.8882438999567462,"[0.9118387909319899, 0.8816120906801007, 0.8992443324937027, 0.8614609571788413, 0.8914141414141414, 0.8838383838383839, 0.8838383838383839, 0.8939393939393939, 0.8914141414141414, 0.8838383838383839]"
12,0.8895058901356132,"[0.9118387909319899, 0.8866498740554156, 0.9093198992443325, 0.8488664987405542, 0.8914141414141414, 0.8686868686868687, 0.8914141414141414, 0.9015151515151515, 0.9015151515151515, 0.8838383838383839]"
13,0.8892546370506068,"[0.9118387909319899, 0.8790931989924433, 0.8967254408060453, 0.8639798488664987, 0.8914141414141414, 0.8762626262626263, 0.8939393939393939, 0.8939393939393939, 0.898989898989899, 0.8863636363636364]"
14,0.8842066763351397,"[0.906801007556675, 0.8740554156171285, 0.9093198992443325, 0.8513853904282116, 0.8787878787878788, 0.8636363636363636, 0.8939393939393939, 0.8914141414141414, 0.8939393939393939, 0.8787878787878788]"
15,0.8872312546116072,"[0.9093198992443325, 0.8790931989924433, 0.9118387909319899, 0.8639798488664987, 0.8939393939393939, 0.8686868686868687, 0.8888888888888888, 0.8914141414141414, 0.8888888888888888, 0.8762626262626263]"
16,0.8887457700429993,"[0.9093198992443325, 0.8816120906801007, 0.9118387909319899, 0.8639798488664987, 0.8914141414141414, 0.8712121212121212, 0.8914141414141414, 0.8914141414141414, 0.8939393939393939, 0.8813131313131313]"
