LogP,Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
-0.39297047,-0.3449053,0.025236329,0.5015657,0.51797473,0.041338775,0.12126095,-0.13936064,-0.2533764,-0.24974811,-0.109636426,-0.16183677,0.04189736,-0.07573945,-0.1640377,-0.004363803,-0.024225553,-0.0037389237,0.00057445746,0.004298384,0.000116526295,-0.0,-0.0,-0.23168316,-0.06667697,0.009507671,-0.006859572,-0.13578787,-0.11309126,-0.047003623,-0.017211605,0.0006486638,-0.0,0.01169271,0.0017351503,0.062483422,-0.07146204,-0.010728556,-0.009878292,-0.13071018,-0.047851462,-0.0,-0.00040929593,-0.0,0.013330619,-0.12941653,-0.22259249
0.26966393,0.20255972,0.06244626,0.6254988,1.5397552,0.06417155,0.15988992,0.09243209,-0.1375656,0.072915375,0.067096025,0.060107946,0.13731177,0.11642512,0.44455844,0.038612418,-0.022211894,0.14763045,-0.01619586,0.0040028,0.00031796048,-0.0,-0.0,0.12061491,0.04908091,0.01760117,0.04415156,0.4036084,0.4663028,0.12374409,-0.010429594,0.00029287025,-0.0,0.018321387,0.0018086962,0.08048224,-0.03682072,0.0151206795,0.033673175,-0.0727583,-0.033228286,-0.0,-0.00040018902,-0.0,0.055922024,-0.17536396,0.053308178
0.092656195,-0.19920243,0.12190133,0.26531985,0.39717984,0.046883207,-0.13160123,0.08485746,-0.15252633,0.20936236,0.14406332,-0.007885017,0.14741677,0.01672036,-0.23890918,-0.00016012348,0.23131089,0.0038307495,0.00018083866,0.0033511736,-5.7582904e-05,-0.0,-0.0,0.045236602,-0.12869874,0.012930937,0.044579506,-0.2211179,-0.17624265,-0.015167625,-0.008759859,0.0006023591,-0.0,0.018221978,0.0077401055,0.060824934,0.25147948,0.04774102,-0.059797965,0.27628487,0.055822764,-0.0,-0.0004168374,-0.0,-0.0088677965,0.28164667,-0.051407844
0.2733793,-0.16555244,0.12440715,0.75599027,1.2634785,0.05615256,0.09681938,0.09161171,-0.2338314,0.2721177,0.05725487,0.07560637,0.08016691,0.27768025,0.37322956,-0.0023480845,-0.013619957,-0.0054986128,0.00087290467,0.0055347336,0.00016470446,-0.0,-0.0,-0.025710985,0.07276336,0.023729159,-0.034381103,-0.19826736,-0.1445401,0.014346196,-0.011575088,0.00018205115,-0.0,0.016136805,0.004124595,0.054835137,0.032835174,-0.035171084,0.03474044,-0.14954317,0.09939811,-0.0,-0.00040314134,-0.0,-0.00659449,0.035797257,-0.009151663
-0.2265761,-0.019312728,-0.022467462,-0.111248635,0.39680132,0.04593242,0.19464429,-0.035316266,-0.08133797,0.05429203,0.05204595,0.1039662,0.042252257,0.0107416585,-0.026099011,0.0020914592,-0.025320638,0.33554277,0.00044538235,0.004384562,-2.8249495e-05,-0.0,-0.0,-0.17080115,-0.03225708,0.014032092,0.011090532,-0.1111846,-0.11081812,-0.014854498,-0.016252331,0.000107923144,-0.0,0.012661887,0.0046926807,0.018614534,0.0002354543,-0.0045910035,0.05224748,-0.10306982,-0.0633134,-0.0,-0.00042450597,-0.0,0.023164336,-0.04121743,-0.0932168
0.031989735,0.17406057,-0.42311993,-0.05478114,1.0163556,0.04473197,-0.07275607,-0.12304648,0.58056355,0.30428934,0.30042052,0.01014675,0.20301962,0.14940806,0.023487851,0.06911097,-0.014247515,-0.040351126,-0.00019610763,0.0051923557,0.00023640716,-0.0,-0.0,0.20021841,0.03529394,0.017241258,-0.008883814,-0.23440883,-0.10816192,-0.028366815,-0.012973429,0.00092375965,-0.0,0.017537389,0.0026961623,0.04139273,0.14199293,0.07308774,0.047352787,-0.0012491759,-0.013818782,-0.0,-0.00041486783,-0.0,-0.0027705003,0.010923673,0.079003036
0.47808793,-0.07131111,-0.05180775,0.5703039,2.0870874,0.07523081,0.20191206,0.011637993,-0.12100701,0.44956577,0.1986444,0.0043025846,0.14332929,0.24558868,-0.029852338,0.005405952,-0.038422473,0.045097716,0.0009061908,0.0041855727,0.0005042959,-0.0,-0.0,0.07528554,0.040291667,0.020880328,-0.012884546,0.43118533,0.3589886,0.06449731,-0.010459804,0.00043842843,-0.0,0.020228634,0.004812839,0.061066587,-0.016367659,-0.04872533,0.02516397,-0.17174542,-0.082714975,-0.0,-0.00044748496,-0.0,0.046206992,0.074609995,0.041857403
0.2586096,-0.07939297,0.062222324,0.5335027,1.5596135,0.06831048,0.18887019,0.1860357,-0.289777,0.06720426,0.2577487,0.11913121,0.15872036,0.24450074,0.12717597,0.009965983,-0.023022542,0.050097864,0.0011317563,0.0048747445,0.0006240163,-0.0,-0.0,0.061740596,-0.03700932,0.016817652,0.042978913,0.5219673,-0.110574156,0.33777213,-0.011184058,0.00067433756,-0.0,0.017128931,0.0041260635,0.07531963,-0.017546393,-0.007704014,0.054784086,0.17854786,-0.005205707,-0.0,-0.00042501782,-0.0,0.023155957,0.09944827,0.07487098
0.24078311,-0.0011637019,0.0018687797,0.8408132,1.5172126,0.07202174,0.17228727,0.17537501,0.17220816,0.5168627,0.123789124,-0.010425798,0.08045727,0.32103124,0.45026565,-0.060237736,-0.03474384,0.013873485,0.0011261682,0.0048340904,0.0005025838,-0.0,-0.0,-0.002247284,0.035945218,0.0149042,0.031448297,0.34581396,0.34503073,0.053147353,-0.0067569735,-0.00061889435,-0.0,0.017504998,0.003955593,0.059905294,0.0536367,0.038537968,0.07376519,-0.10203919,-0.01819074,-0.0,-0.00044811534,-0.0,0.056138758,-0.17323008,0.02610543
-0.3371803,0.12519771,-0.25233963,-0.0540869,-1.6853544,0.016237656,-0.20985937,-0.0314442,-0.39701062,-0.19327497,-0.22314861,0.031384245,0.029759115,-0.04130231,-0.02250548,0.26390335,-0.023623569,-0.009554294,9.333021e-05,0.00195371,-3.186203e-05,-0.0,-0.0,-0.09310154,0.023380378,0.0037179214,-0.022323033,0.27958822,0.1374061,0.025410818,-0.044802345,0.00022343869,-0.0,-0.24337855,-0.07488767,0.0020986581,0.08602966,-0.02378627,0.04173689,-0.15591234,-0.05226774,-0.0,-0.0033668112,-0.0,-0.0016781471,0.05338053,-0.13228312
