number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8746132610742181,0.8746132610742181,0.8975675585490633,375,2.9286439670943065,0.046655687870074125,28,10,2989,3.2642830514549432,3.6703448262233342,0.5222535857897177,COMPLETE
1,0.8872306185278477,0.8872306185278477,0.5880820240805615,379,0.43105366716864824,0.033103847226306,24,8,924,4.404311963536102,0.21032230600949886,0.8890111788247849,COMPLETE
2,0.878908098618426,0.878908098618426,0.6479241820701503,259,2.44862975402756,0.007864472751805282,14,3,1427,3.5713339275150116,4.857321632492902,0.8426712581975235,COMPLETE
3,0.8688140854387706,0.8688140854387706,0.7307523321103707,76,4.584354553262174,0.07063054540416433,7,10,488,0.5003972439765719,3.08441201024443,0.5049794921121391,COMPLETE
4,0.8635193242246139,0.8635193242246139,0.8260814231107753,208,4.794213868615077,0.00511060930415824,15,10,1139,0.8303591621996759,2.3247257882422865,0.5515076748732703,COMPLETE
5,0.890006488054347,0.890006488054347,0.7969453271409503,282,0.030156083089986074,0.05308529701305516,6,2,672,3.96044469378892,2.4725803774497113,0.4183813619661258,COMPLETE
6,0.8819339490624125,0.8819339490624125,0.8503822656147011,228,2.9507932353991553,0.005875096088869969,17,8,3091,0.9866724528185922,3.507676251258772,0.5991392862626859,COMPLETE
7,0.8892495483805309,0.8892495483805309,0.8884126234450606,347,0.11169788758277122,0.030703603105117216,7,5,2473,4.975164951711371,2.4722918347090053,0.914561662929955,COMPLETE
8,0.8690704271938529,0.8690704271938529,0.6411306211544525,252,3.7807354243359637,0.03655358283713931,21,4,707,3.8450137602330496,1.706632785449313,0.8064271927000165,COMPLETE
9,0.8728563977304532,0.8728563977304532,0.9356605187075707,313,3.862841236533543,0.09094107905629648,23,3,838,4.1534982145922426,2.4610500580681345,0.9869771853938683,COMPLETE
10,0.8890002035468031,0.8890002035468031,0.5169140921470474,95,1.14543809799984,0.016912429828356182,10,1,2021,2.6092210008354835,0.9806595840412493,0.4000321932537411,COMPLETE
11,0.8882438999567462,0.8882438999567462,0.7698148991338895,308,0.08124997755526357,0.018125501121935127,6,6,2248,4.987082087076954,1.6173526656084833,0.6974285092983946,COMPLETE
12,0.8895058901356132,0.8895058901356132,0.9920786423387745,133,1.3568380978630579,0.055964010732588325,11,1,2549,4.975516076747591,4.63888548892356,0.6885649428332021,COMPLETE
13,0.8892546370506068,0.8892546370506068,0.9853179719985998,142,1.4450811475980978,0.05909031654296186,12,1,190,2.132874977305123,4.8461750743794045,0.7134030956770756,COMPLETE
14,0.8842066763351397,0.8842066763351397,0.9989889965374519,19,1.2744367265900358,0.09310507684944164,10,2,1582,2.857810600891685,4.13317426428776,0.4165471255082788,COMPLETE
15,0.8872312546116072,0.8872312546116072,0.7576625575090371,159,1.9222838763568353,0.011796446314214136,10,1,2425,1.8027447741176417,3.0997255742808965,0.6647481398285588,COMPLETE
16,0.8887457700429993,0.8887457700429993,0.6979414534224982,158,0.7562649690989054,0.02451149317158324,13,3,2668,4.462857522246125,4.1816729505996975,0.7524116591011967,COMPLETE
17,0.8847066381701143,0.8847066381701143,0.8161657369920043,291,2.173707814012266,0.05268154309941623,19,5,3453,3.1035372034758315,1.2080850573389585,0.6152074571732733,COMPLETE
18,0.86982609470015,0.86982609470015,0.9103083388005279,107,0.6819666317096602,0.041987061899003704,9,2,110,3.967846641786127,1.9021584076590667,0.4700698761473274,COMPLETE
19,0.8821864743149378,0.8821864743149378,0.9473144197244907,31,1.771144822407422,0.07123426954858646,16,2,1784,4.524701273181429,0.25208280115445714,0.6147200828584639,COMPLETE
20,0.8791548991171159,0.8791548991171159,0.7931969337643526,181,1.0125833943195282,0.02766638530381033,6,7,1267,3.6488820550142513,3.0855893269134214,0.4675536655961966,COMPLETE
21,0.8889982952955245,0.8889982952955245,0.9972554071758643,144,1.53878469594986,0.064824867660695,12,1,217,2.034472492991463,4.799756900586043,0.7362650962244043,COMPLETE
22,0.8902596493906317,0.8902596493906317,0.9651184253225387,132,1.5480487297500491,0.05503907291566581,12,1,483,2.0324391106960786,4.36703880314128,0.7877466501520748,COMPLETE
23,0.8821877464824569,0.8821877464824569,0.8643092005074947,58,2.8117092590690285,0.04323759109833249,9,2,519,1.449357585266267,4.370135183331048,0.7866774450520289,COMPLETE
24,0.8975707961224335,0.8975707961224335,0.9486971631191087,116,0.579988082344636,0.08049064147630565,12,4,1959,0.053899379304949147,3.7750879638059587,0.6664531355936737,COMPLETE
25,0.8970701982036996,0.8970701982036996,0.9374915433942247,189,0.4774972581781408,0.09794932894191835,18,4,1820,0.17565386879919687,3.6297118096615724,0.8672858198787966,COMPLETE
26,0.8998473398977179,0.8998473398977179,0.9466455762631838,188,0.510736065627333,0.08470804768716257,19,4,1977,9.778862569742586e-05,3.6977291828734318,0.8588180439402024,COMPLETE
27,0.8945474900134851,0.8945474900134851,0.9294784199526525,195,0.5858318824444568,0.09898421679914708,19,4,1983,0.02392747693434405,3.631493477252194,0.9696100557871286,COMPLETE
28,0.8973195430374272,0.8973195430374272,0.8669460458223305,231,0.34709670465896814,0.07596633438994205,27,4,1667,0.03784104450482412,3.958251893969486,0.8716889370776205,COMPLETE
29,0.8922715823219602,0.8922715823219602,0.8879815881425922,222,0.8539931622374871,0.07295668799524549,30,6,2834,0.545657747644142,3.930063933596933,0.9308631237377918,COMPLETE
30,0.8965645116148895,0.8965645116148895,0.8629523366773487,240,0.2776650216194696,0.07943650371304475,26,5,2201,1.173285175763647,3.344432716832231,0.8340374032651935,COMPLETE
31,0.8955544106047885,0.8955544106047885,0.9158243171865235,201,0.4830953940635089,0.08265118540304553,27,4,1743,0.03740474349731098,3.8679742924808385,0.8685218360319846,COMPLETE
32,0.8970638373661044,0.8970638373661044,0.9491945419834412,177,0.4059395625169455,0.08160601401872165,22,4,1573,0.4092762855121049,2.918634350463392,0.9245086948594126,COMPLETE
33,0.8978271378775158,0.8978271378775158,0.8933818269891778,106,0.9378494890359224,0.0988596797382176,25,3,1961,0.28299538778837713,3.846532955631992,0.8558309150061314,COMPLETE
34,0.8937899142559094,0.8937899142559094,0.8900643692107383,105,0.9630071957288507,0.06654097569647946,29,3,2074,0.7434198329256901,2.811308354321014,0.8236797801396368,COMPLETE
35,0.8932816833320611,0.8932816833320611,0.8321646346169324,42,0.8078870431715952,0.04610283853127424,26,3,1194,0.32751960464305063,3.9224500979391963,0.8899169589713902,COMPLETE
36,0.8978271378775158,0.8978271378775158,0.9599162380738852,73,0.3082141341844018,0.07803208049177232,25,5,1386,0.6463261243813951,3.2984587170209942,0.7630322522974657,COMPLETE
37,0.8894988932142585,0.8894988932142585,0.9512582013917471,79,1.1800252310243489,0.03590274789761909,25,6,1405,1.3233848632289764,3.3426234329887405,0.7652408202613086,COMPLETE
38,0.8930329745820931,0.8930329745820931,0.9718409348762493,79,0.0016654473240268475,0.011415909220275923,21,5,969,0.7560874889249849,2.768644156810172,0.5659343238023371,COMPLETE
39,0.8854648500114495,0.8854648500114495,0.9217667906416506,118,2.2386264278668015,0.06140479841574478,24,7,1384,1.048814140809686,3.417209958591005,0.6451027628078811,COMPLETE
40,0.8781505228608504,0.8781505228608504,0.9032140278077145,400,3.389855765123158,0.0878019000152716,15,9,1904,0.6811008350660285,4.461249065861929,0.7326036139875353,COMPLETE
41,0.89757524870875,0.89757524870875,0.8700315925995286,55,0.2545993371446774,0.07577935966051907,28,4,1659,0.27335743682158364,3.830424287227402,0.866592845834498,COMPLETE
42,0.8978239574587183,0.8978239574587183,0.7168154471198304,62,0.27216528949569524,0.04944626450637038,28,3,2281,0.30458597024136375,3.7861528775236093,0.8425557726015884,COMPLETE
43,0.8973176347861488,0.8973176347861488,0.7042038206953419,61,0.14596106846093754,0.04891435070668144,29,5,2299,0.4020717197156093,4.17660014253667,0.9509611351223146,COMPLETE
44,0.8973169987023892,0.8973169987023892,0.6571114105203425,45,0.2508525670337231,0.06981312807282525,28,3,2142,0.5277215954239897,3.248685432136192,0.8965544329148903,COMPLETE
45,0.8942949647609598,0.8942949647609598,0.6090453201446744,86,0.9735958077575755,0.03967114638492034,24,3,1027,0.28146654455354536,3.54878813466106,0.8408386650209482,COMPLETE
46,0.895558863191105,0.895558863191105,0.7217651355831268,18,0.26115880700614724,0.06407070592920924,30,5,2376,0.8704272825615279,2.17683321809818,0.8078303615801332,COMPLETE
47,0.8758860646769968,0.8758860646769968,0.790676724081335,60,4.368780022321896,0.08849062733572338,25,3,1579,1.6373160027931883,4.60783242954458,0.8567209098604974,COMPLETE
48,0.8907602473093658,0.8907602473093658,0.6707210703557573,12,0.6849113929368252,0.051679806321578245,28,6,2617,0.9581668490388422,2.6410070138028483,0.7905048058328534,COMPLETE
